Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63856823895000;63856823895055;0;1;505823420d
2;63856823919810;63856823919942;0;2;505823420d
3;63856823959798;63856823959821;1;2;505823420d
4;63856824016260;63856824016304;1;2;505823420d
5;63856824116351;63856824116406;3;1;505823420d
6;63856824161139;63856824161184;3;2;505823420d
7;63856824171719;63856824171765;3;3;505823420d
8;63856824206294;63856824206416;4;3;505823420d
9;63856824206538;63856824206605;4;4;505823420d
10;63856824231604;63856824231604;4;4;505823420d
11;63856824231615;63856824231615;4;5;505823420d
12;63856824281765;63856824281787;-4;3;505823420d
13;63856824392102;63856824392135;6;1;505823420d
14;63856824474299;63856824474344;7;1;505823420d
15;63856824474788;63856824474822;7;2;505823420d
16;63856824478909;63856824478987;7;3;505823420d
17;63856824495045;63856824495147;-7;4;505823420d
