Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63856823873302;63856823873328;0;7,601271;505823420d
2;63856823873472;63856823873551;0;14,53323;505823420d
3;63856823873818;63856823873918;0;19,55724;505823420d
4;63856823873929;63856823873962;0;2,300102;505823420d
5;63856823873985;63856823874085;0;12,87848;505823420d
6;63856823874118;63856823874229;0;25,34266;505823420d
7;63856823874295;63856823874418;0;0,7287365;505823420d
8;63856823874485;63856823874573;0;4,713889;505823420d
9;63856823874606;63856823874662;0;2,811185;505823420d
10;63856823874673;63856823874774;0;12,55011;505823420d
11;63856823874796;63856823874862;0;7,687608;505823420d
12;63856823874907;63856823874973;0;3,981232;505823420d
13;63856823874973;63856823875007;0;7,032185;505823420d
14;63856823875018;63856823875040;0;1,776962;505823420d
15;63856823875051;63856823875118;0;10,89377;505823420d
16;63856823875140;63856823875162;0;3,127563;505823420d
17;63856823875184;63856823875207;0;1,730314;505823420d
18;63856823875362;63856823875385;0;2,593972;505823420d
19;63856823875485;63856823875518;0;11,46894;505823420d
20;63856823875752;63856823875762;0;1,162643;505823420d
21;63856823875785;63856823875807;0;4,959976;505823420d
22;63856823876029;63856823876062;0;10,21373;505823420d
23;63856823876185;63856823876207;0;1,9202;505823420d
24;63856823876362;63856823876418;0;4,31425;505823420d
25;63856823876786;63856823876863;0;25,9509;505823420d
26;63856823876875;63856823876908;0;0,7702479;505823420d
27;63856823876941;63856823877064;0;11,90711;505823420d
28;63856823877186;63856823877219;0;5,14647;505823420d
29;63856823877453;63856823877486;0;7,516403;505823420d
30;63856823877753;63856823877787;0;16,65116;505823420d
31;63856823878109;63856823878152;0;12,28354;505823420d
32;63856823878398;63856823878431;0;5,148145;505823420d
33;63856823878653;63856823878686;0;7,912915;505823420d
34;63856823878887;63856823878976;0;14,85977;505823420d
35;63856823879276;63856823879332;0;13,892;505823420d
36;63856823879688;63856823879765;0;29,19199;505823420d
37;63856823880009;63856823880054;0;5,281532;505823420d
38;63856823880198;63856823880232;0;7,352126;505823420d
39;63856823880510;63856823880554;0;7,114691;505823420d
40;63856823880732;63856823880766;0;4,014589;505823420d
41;63856823880910;63856823880999;0;32,4031;505823420d
42;63856823881255;63856823881288;0;7,07163;505823420d
43;63856823881444;63856823881488;0;8,586158;505823420d
44;63856823881766;63856823881822;0;11,17218;505823420d
45;63856823882044;63856823882099;0;22,06943;505823420d
46;63856823882211;63856823882255;0;4,80962;505823420d
47;63856823882477;63856823882522;0;4,661066;505823420d
48;63856823882700;63856823882733;0;3,8803;505823420d
49;63856823883011;63856823883045;0;5,308324;505823420d
50;63856823883222;63856823883255;0;3,122614;505823420d
51;63856823883433;63856823883478;0;6,43023;505823420d
52;63856823883666;63856823883711;0;6,975864;505823420d
53;63856823883911;63856823883956;0;10,26928;505823420d
54;63856823884200;63856823884244;0;8,082355;505823420d
55;63856823885156;63856823885234;0;14,86547;505823420d
56;63856823885545;63856823885589;0;6,81325;505823420d
57;63856823885768;63856823885812;0;4,881624;505823420d
58;63856823886122;63856823886167;0;7,581625;505823420d
59;63856823886500;63856823886545;0;4,463483;505823420d
60;63856823886778;63856823886801;0;9,440776;505823420d
61;63856823886822;63856823886834;0;4,960015;505823420d
62;63856823887212;63856823887234;0;8,071587;505823420d
63;63856823887245;63856823887267;0;4,07607;505823420d
64;63856823887822;63856823887877;0;4,363094;505823420d
65;63856823887944;63856823888032;0;9,662451;505823420d
66;63856823888043;63856823888066;0;1,577932;505823420d
67;63856823888077;63856823888110;0;3,342577;505823420d
68;63856823888232;63856823888299;0;8,240191;505823420d
69;63856823888399;63856823888432;0;3,503361;505823420d
70;63856823888444;63856823888477;0;2,681172;505823420d
71;63856823888695;63856823888730;0;2,986882;505823420d
72;63856823889232;63856823889243;0;1,786517;505823420d
73;63856823889291;63856823889315;0;2,928373;505823420d
74;63856823889486;63856823889510;0;3,015517;505823420d
75;63856823889637;63856823889695;0;14,67725;505823420d
76;63856823889796;63856823889851;0;8,015819;505823420d
77;63856823890017;63856823890061;0;6,258054;505823420d
78;63856823890072;63856823890177;0;11,14316;505823420d
79;63856823890188;63856823890211;0;1,936944;505823420d
80;63856823890245;63856823890322;0;23,49594;505823420d
81;63856823891154;63856823891253;0;18,4942;505823420d
82;63856823891265;63856823891276;0;3,572428;505823420d
83;63856823891287;63856823891343;0;9,212069;505823420d
84;63856823891392;63856823891466;0;9,123737;505823420d
85;63856823891478;63856823891540;0;12,11492;505823420d
86;63856823891662;63856823891722;0;20,16859;505823420d
87;63856823891909;63856823891957;0;2,816055;505823420d
88;63856823892342;63856823892503;0;37,93674;505823420d
89;63856823892515;63856823892681;0;6,321178;505823420d
90;63856823892692;63856823892739;0;1,683885;505823420d
91;63856823892775;63856823892934;0;22,87073;505823420d
92;63856823892934;63856823892989;0;2,313423;505823420d
93;63856823893067;63856823893178;0;14,22231;505823420d
94;63856823893978;63856823893989;0;1,273493;505823420d
95;63856823894134;63856823894156;0;2,277784;505823420d
96;63856823894689;63856823894745;0;8,290671;505823420d
97;63856823895344;63856823895410;0;8,128448;505823420d
98;63856823895699;63856823895743;0;3,618607;505823420d
99;63856823895832;63856823895855;0;1,873357;505823420d
100;63856823896110;63856823896166;0;11,37832;505823420d
101;63856823896433;63856823896455;0;1,65753;505823420d
102;63856823896455;63856823896477;0;1,699157;505823420d
103;63856823896488;63856823896499;0;0,508604;505823420d
104;63856823896510;63856823896577;0;14,98359;505823420d
105;63856823896834;63856823896900;0;11,94964;505823420d
106;63856823896911;63856823896945;0;3,234827;505823420d
107;63856823897512;63856823897545;0;2,558185;505823420d
108;63856823897700;63856823897722;0;2,815916;505823420d
109;63856823897900;63856823897911;0;2,376605;505823420d
110;63856823897922;63856823897945;0;1,510384;505823420d
111;63856823898211;63856823898244;0;8,731292;505823420d
112;63856823898356;63856823898378;0;8,383868;505823420d
113;63856823898644;63856823898688;0;2,153224;505823420d
114;63856823899280;63856823899303;0;2,405339;505823420d
115;63856823899443;63856823899476;0;6,500321;505823420d
116;63856823899566;63856823899588;0;2,39988;505823420d
117;63856823899788;63856823899821;0;4,498539;505823420d
118;63856823900388;63856823900443;0;20,07991;505823420d
