Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63855190685700;63855190685781;0;170,736;5262348c36
2;63855190685999;63855190686055;0;145,4461;5262348c36
3;63855190686245;63855190686300;0;132,1029;5262348c36
4;63855190686369;63855190686448;0;194,79;5262348c36
5;63855190686543;63855190686596;0;50,17974;5262348c36
6;63855190686610;63855190686650;0;204,494;5262348c36
7;63855190686716;63855190686871;0;159,5502;5262348c36
8;63855190686923;63855190686960;0;87,80253;5262348c36
9;63855190687037;63855190687074;0;77,63629;5262348c36
10;63855190687149;63855190687187;0;151,6917;5262348c36
11;63855190687570;63855190687595;0;223,864;5262348c36
12;63855190687841;63855190687867;0;98,92715;5262348c36
13;63855190688112;63855190688137;0;196,8956;5262348c36
14;63855190688273;63855190688324;0;312,5645;5262348c36
15;63855190688538;63855190688576;0;163,2972;5262348c36
16;63855190689037;63855190689088;0;341,5496;5262348c36
17;63855190689202;63855190689229;0;89,03964;5262348c36
18;63855190691569;63855190691633;0;297,742;5262348c36
19;63855190691785;63855190691850;0;190,8186;5262348c36
20;63855190691933;63855190692002;0;140,8085;5262348c36
21;63855190692038;63855190692074;0;67,34822;5262348c36
22;63855190692089;63855190692136;0;134,4082;5262348c36
23;63855190692233;63855190692282;0;102,2029;5262348c36
24;63855190692437;63855190692461;0;261,0034;5262348c36
25;63855190692719;63855190692767;0;275,1813;5262348c36
26;63855190692918;63855190692941;0;92,04831;5262348c36
27;63855190693778;63855190693813;0;79,37872;5262348c36
28;63855190694046;63855190694080;0;114,7405;5262348c36
29;63855190694302;63855190694349;0;284,0961;5262348c36
30;63855190694873;63855190694897;0;336,3165;5262348c36
31;63855190695107;63855190695165;0;283,9662;5262348c36
32;63855190695317;63855190695375;0;363,1382;5262348c36
33;63855190695504;63855190695539;0;164,0369;5262348c36
34;63855190695772;63855190695843;0;238,4331;5262348c36
35;63855190696089;63855190696123;0;104,1512;5262348c36
36;63855190696424;63855190696460;0;177,1206;5262348c36
37;63855190696587;63855190696663;0;334,6446;5262348c36
38;63855190696794;63855190696836;0;165,7312;5262348c36
39;63855190697495;63855190697523;0;184,1333;5262348c36
40;63855190697881;63855190697920;0;261,9971;5262348c36
41;63855190698427;63855190698467;0;209,9133;5262348c36
42;63855190698760;63855190698801;0;212,4405;5262348c36
43;63855190699060;63855190699118;0;263,1556;5262348c36
44;63855190699206;63855190699250;0;213,4277;5262348c36
45;63855190699412;63855190699440;0;104,2167;5262348c36
46;63855190699513;63855190699616;0;132,5305;5262348c36
47;63855190699736;63855190699765;0;261,205;5262348c36
48;63855190700031;63855190700077;0;126,9973;5262348c36
49;63855190702325;63855190702368;0;134,6055;5262348c36
50;63855190702585;63855190702626;0;173,6436;5262348c36
51;63855190702693;63855190702786;0;228,1227;5262348c36
52;63855190702813;63855190702826;0;82,5808;5262348c36
53;63855190702838;63855190702904;0;109,3531;5262348c36
54;63855190702916;63855190702980;0;174,8582;5262348c36
55;63855190703056;63855190703130;0;217,8931;5262348c36
56;63855190703144;63855190703168;0;95,15036;5262348c36
57;63855190703181;63855190703216;0;118,9722;5262348c36
58;63855190703289;63855190703324;0;129,3692;5262348c36
59;63855190703373;63855190703445;0;138,8893;5262348c36
60;63855190703540;63855190703578;0;307,824;5262348c36
61;63855190703651;63855190703678;0;90,90835;5262348c36
62;63855190703837;63855190703918;0;312,8528;5262348c36
63;63855190704254;63855190704295;0;283,1451;5262348c36
64;63855190704618;63855190704681;0;358,9343;5262348c36
65;63855190704973;63855190705025;0;237,3532;5262348c36
66;63855190705437;63855190705502;0;274,9492;5262348c36
67;63855190705806;63855190705834;0;143,6795;5262348c36
