Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63857176298064;63857176298077;0;2,096205;5546a2f355
2;63857176298249;63857176298262;0;5,495189;5546a2f355
3;63857176298371;63857176298397;0;2,325405;5546a2f355
4;63857176298451;63857176298573;0;7,752512;5546a2f355
5;63857176298600;63857176298615;0;1,677364;5546a2f355
6;63857176298630;63857176298841;0;8,736981;5546a2f355
7;63857176298854;63857176298869;0;1,260985;5546a2f355
8;63857176298897;63857176299073;0;2,840142;5546a2f355
9;63857176299086;63857176299113;0;2,314607;5546a2f355
10;63857176299139;63857176299241;0;9,622653;5546a2f355
11;63857176299253;63857176299294;0;4,350912;5546a2f355
12;63857176299382;63857176299420;0;8,710187;5546a2f355
13;63857176299799;63857176299874;0;22,17407;5546a2f355
14;63857176300073;63857176300098;0;2,255506;5546a2f355
15;63857176300246;63857176300295;0;9,22963;5546a2f355
16;63857176300467;63857176300528;0;9,666092;5546a2f355
17;63857176300746;63857176300793;0;13,7537;5546a2f355
18;63857176301130;63857176301164;0;2,945369;5546a2f355
19;63857176301313;63857176301359;0;4,608532;5546a2f355
20;63857176301632;63857176301679;0;4,89653;5546a2f355
21;63857176302010;63857176302046;0;2,453676;5546a2f355
22;63857176302286;63857176302320;0;6,211861;5546a2f355
23;63857176302778;63857176302813;0;3,04504;5546a2f355
24;63857176303161;63857176303184;0;18,33633;5546a2f355
25;63857176303269;63857176303391;0;10,74992;5546a2f355
26;63857176303391;63857176303586;0;19,45082;5546a2f355
27;63857176303730;63857176303782;0;16,35803;5546a2f355
28;63857176303885;63857176303938;0;18,3039;5546a2f355
29;63857176304095;63857176304135;0;6,294571;5546a2f355
30;63857176304200;63857176304252;0;3,417931;5546a2f355
31;63857176304356;63857176304396;0;4,711602;5546a2f355
32;63857176304927;63857176304978;0;6,923083;5546a2f355
33;63857176305237;63857176305280;0;12,99686;5546a2f355
34;63857176305352;63857176305395;0;11,19514;5546a2f355
35;63857176305468;63857176305628;0;9,558989;5546a2f355
36;63857176305641;63857176305670;0;1,655049;5546a2f355
37;63857176305858;63857176305887;0;9,26285;5546a2f355
38;63857176305945;63857176306004;0;4,3928;5546a2f355
39;63857176306076;63857176306106;0;7,177967;5546a2f355
40;63857176306225;63857176306283;0;15,74321;5546a2f355
41;63857176306709;63857176306722;0;4,728328;5546a2f355
42;63857176306884;63857176306971;0;17,22939;5546a2f355
43;63857176306984;63857176307013;0;2,320771;5546a2f355
44;63857176307028;63857176307096;0;5,687857;5546a2f355
45;63857176307096;63857176307402;0;13,82889;5546a2f355
46;63857176307428;63857176307569;0;11,62386;5546a2f355
47;63857176307684;63857176307722;0;2,751931;5546a2f355
48;63857176308466;63857176308519;0;15,70737;5546a2f355
49;63857176308640;63857176308653;0;0,6872803;5546a2f355
50;63857176308666;63857176308706;0;7,634632;5546a2f355
51;63857176309500;63857176309541;0;7,345905;5546a2f355
52;63857176309633;63857176309775;0;21,60686;5546a2f355
53;63857176309813;63857176309862;0;5,128813;5546a2f355
54;63857176309938;63857176309986;0;20,75543;5546a2f355
55;63857176310155;63857176310216;0;18,6229;5546a2f355
56;63857176310838;63857176310897;0;18,25448;5546a2f355
57;63857176311064;63857176311111;0;8,153504;5546a2f355
58;63857176311220;63857176311269;0;5,728134;5546a2f355
59;63857176311624;63857176311674;0;14,30212;5546a2f355
60;63857176312040;63857176312088;0;13,28904;5546a2f355
61;63857176312299;63857176312363;0;23,39126;5546a2f355
62;63857176312476;63857176312514;0;7,809795;5546a2f355
63;63857176313092;63857176313180;0;32,87989;5546a2f355
64;63857176313451;63857176313500;0;17,48083;5546a2f355
65;63857176313787;63857176313930;0;20,38519;5546a2f355
66;63857176313983;63857176314191;0;5,311018;5546a2f355
67;63857176314204;63857176314254;0;5,601821;5546a2f355
68;63857176314305;63857176314331;0;2,213728;5546a2f355
69;63857176314344;63857176314358;0;2,071693;5546a2f355
70;63857176314549;63857176314598;0;18,78587;5546a2f355
71;63857176314675;63857176314803;0;15,65381;5546a2f355
72;63857176315437;63857176315486;0;10,62897;5546a2f355
73;63857176315536;63857176315572;0;6,67547;5546a2f355
74;63857176315585;63857176315610;0;1,711322;5546a2f355
75;63857176315610;63857176315648;0;7,079005;5546a2f355
76;63857176315672;63857176315762;0;7,293232;5546a2f355
77;63857176315887;63857176315913;0;6,804781;5546a2f355
78;63857176316027;63857176316052;0;3,529419;5546a2f355
79;63857176316281;63857176316344;0;17,63459;5546a2f355
80;63857176316407;63857176316508;0;9,549399;5546a2f355
81;63857176316732;63857176316783;0;4,239562;5546a2f355
82;63857176316981;63857176317019;0;4,246301;5546a2f355
83;63857176317119;63857176317170;0;8,721635;5546a2f355
84;63857176317385;63857176317411;0;7,091603;5546a2f355
85;63857176317839;63857176317890;0;9,884692;5546a2f355
86;63857176318146;63857176318213;0;23,18553;5546a2f355
87;63857176318307;63857176318320;0;1,512326;5546a2f355
88;63857176318335;63857176318404;0;7,202824;5546a2f355
89;63857176318431;63857176318597;0;9,175197;5546a2f355
90;63857176318668;63857176318737;0;7,378606;5546a2f355
91;63857176318833;63857176318862;0;3,583701;5546a2f355
92;63857176318959;63857176319014;0;20,56202;5546a2f355
93;63857176319728;63857176319754;0;8,84973;5546a2f355
94;63857176319838;63857176319893;0;5,511533;5546a2f355
95;63857176320004;63857176320032;0;9,392664;5546a2f355
96;63857176320159;63857176320230;0;11,23668;5546a2f355
97;63857176320243;63857176320259;0;3,269681;5546a2f355
98;63857176320287;63857176320521;0;7,259744;5546a2f355
99;63857176320536;63857176320601;0;17,66311;5546a2f355
100;63857176320652;63857176320743;0;6,911428;5546a2f355
101;63857176320757;63857176320770;0;2,386303;5546a2f355
102;63857176322061;63857176322099;0;11,17528;5546a2f355
103;63857176322215;63857176322265;0;13,12571;5546a2f355
104;63857176322343;63857176322409;0;6,504904;5546a2f355
105;63857176322475;63857176322503;0;3,318004;5546a2f355
106;63857176322649;63857176322701;0;18,49261;5546a2f355
107;63857176322793;63857176322871;0;12,46946;5546a2f355
108;63857176322883;63857176322908;0;2,308595;5546a2f355
109;63857176322933;63857176322972;0;4,318152;5546a2f355
110;63857176323086;63857176323228;0;36,78698;5546a2f355
111;63857176323253;63857176323372;0;13,23248;5546a2f355
112;63857176323583;63857176323596;0;8,266907;5546a2f355
113;63857176323609;63857176323726;0;18,46929;5546a2f355
114;63857176323751;63857176323763;0;1,348572;5546a2f355
115;63857176323951;63857176324014;0;17,94024;5546a2f355
116;63857176324136;63857176324196;0;20,08019;5546a2f355
117;63857176324674;63857176324725;0;19,20763;5546a2f355
118;63857176324938;63857176324975;0;5,350864;5546a2f355
119;63857176325924;63857176326035;0;19,28901;5546a2f355
120;63857176326048;63857176326135;0;11,26829;5546a2f355
121;63857176326148;63857176326319;0;16,18069;5546a2f355
122;63857176326370;63857176326429;0;6,811061;5546a2f355
123;63857176326441;63857176326502;0;14,70806;5546a2f355
124;63857176326643;63857176326666;0;3,207599;5546a2f355
125;63857176327719;63857176327765;0;11,14051;5546a2f355
126;63857176327940;63857176327999;0;14,7497;5546a2f355
127;63857176328115;63857176328173;0;22,41626;5546a2f355
128;63857176328419;63857176328465;0;11,59391;5546a2f355
129;63857176328732;63857176328780;0;17,11068;5546a2f355
130;63857176329049;63857176329109;0;24,65961;5546a2f355
131;63857176329274;63857176329358;0;19,22589;5546a2f355
132;63857176329370;63857176329394;0;2,034805;5546a2f355
133;63857176329405;63857176329535;0;10,95715;5546a2f355
134;63857176329701;63857176329748;0;6,862442;5546a2f355
135;63857176330077;63857176330102;0;2,661755;5546a2f355
136;63857176330325;63857176330361;0;5,917517;5546a2f355
137;63857176330901;63857176330936;0;8,072194;5546a2f355
