Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63857260553503;63857260553577;0;1;6511a4907e
2;63857260553912;63857260553983;0;2;6511a4907e
3;63857260555012;63857260555071;0;3;6511a4907e
4;63857260555385;63857260555458;0;4;6511a4907e
5;63857260555905;63857260555954;0;5;6511a4907e
6;63857260559734;63857260559746;0;6;6511a4907e
7;63857260576455;63857260576519;0;7;6511a4907e
8;63857260608852;63857260608881;1;8;6511a4907e
9;63857260609288;63857260609329;1;9;6511a4907e
10;63857260643008;63857260643122;1;3;6511a4907e
11;63857260677665;63857260677726;-1;2;6511a4907e
12;63857260678315;63857260678424;-1;3;6511a4907e
13;63857260681047;63857260681059;-1;4;6511a4907e
14;63857260692926;63857260693011;-1;5;6511a4907e
15;63857260698642;63857260698706;-1;6;6511a4907e
16;63857260715697;63857260716552;2;6;6511a4907e
17;63857260717854;63857260717878;2;7;6511a4907e
18;63857260717914;63857260717926;2;8;6511a4907e
19;63857260717963;63857260718034;2;9;6511a4907e
20;63857260718361;63857260719230;2;10;6511a4907e
21;63857260719890;63857260719966;2;11;6511a4907e
22;63857260731409;63857260731513;2;12;6511a4907e
23;63857260761447;63857260761487;2;8;6511a4907e
24;63857260789124;63857260789562;2;3;6511a4907e
25;63857260792775;63857260792891;2;3;6511a4907e
26;63857260814464;63857260814544;2;4;6511a4907e
27;63857260819705;63857260819842;2;5;6511a4907e
28;63857260828041;63857260828156;-2;5;6511a4907e
29;63857260830806;63857260831031;-2;6;6511a4907e
30;63857260841997;63857260842059;-2;7;6511a4907e
31;63857260869460;63857260869529;3;6;6511a4907e
32;63857260877504;63857260877555;3;6;6511a4907e
33;63857260888905;63857260888918;3;5;6511a4907e
34;63857260888930;63857260888972;3;6;6511a4907e
35;63857260895370;63857260895427;3;6;6511a4907e
36;63857260898587;63857260898977;3;7;6511a4907e
37;63857260902784;63857260902914;3;7;6511a4907e
38;63857260903492;63857260903531;3;8;6511a4907e
39;63857260946885;63857260947239;-3;7;6511a4907e
40;63857260951797;63857260951836;-3;6;6511a4907e
41;63857260952785;63857260952920;-3;7;6511a4907e
42;63857260954692;63857260954754;-3;8;6511a4907e
43;63857260955405;63857260955480;-3;8;6511a4907e
44;63857260958750;63857260958774;-3;8;6511a4907e
45;63857260959938;63857260960025;-3;9;6511a4907e
46;63857260964097;63857260964160;-3;8;6511a4907e
47;63857260970073;63857260970085;-3;9;6511a4907e
48;63857260974947;63857260974971;-3;10;6511a4907e
49;63857260978457;63857260978520;-3;11;6511a4907e
50;63857261000713;63857261000823;4;12;6511a4907e
51;63857261001306;63857261001645;4;13;6511a4907e
