Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63857260477669;63857260477724;0;10,51421;6511a4907e
2;63857260477806;63857260477947;0;18,05109;6511a4907e
3;63857260477974;63857260478160;0;8,828706;6511a4907e
4;63857260478174;63857260478189;0;1,975263;6511a4907e
5;63857260478203;63857260478497;0;10,50946;6511a4907e
6;63857260478525;63857260478552;0;2,299931;6511a4907e
7;63857260478704;63857260478837;0;22,20321;6511a4907e
8;63857260478850;63857260478993;0;13,96178;6511a4907e
9;63857260479006;63857260479045;0;9,707335;6511a4907e
10;63857260479119;63857260479219;0;8,274528;6511a4907e
11;63857260479393;63857260479455;0;11,9625;6511a4907e
12;63857260479714;63857260479921;0;14,2885;6511a4907e
13;63857260479934;63857260479973;0;4,618467;6511a4907e
14;63857260480052;63857260480093;0;11,01675;6511a4907e
15;63857260480416;63857260480453;0;3,153867;6511a4907e
16;63857260480716;63857260480897;0;31,29931;6511a4907e
17;63857260480911;63857260481137;0;26,4474;6511a4907e
18;63857260481150;63857260481190;0;18,03568;6511a4907e
19;63857260481256;63857260481386;0;3,172188;6511a4907e
20;63857260481413;63857260481426;0;1,327806;6511a4907e
21;63857260481439;63857260481583;0;14,31984;6511a4907e
22;63857260481756;63857260481783;0;3,010514;6511a4907e
23;63857260481836;63857260481957;0;19,00242;6511a4907e
24;63857260481970;63857260481983;0;1,352773;6511a4907e
25;63857260481997;63857260482173;0;14,92003;6511a4907e
26;63857260482256;63857260482347;0;3,476826;6511a4907e
27;63857260482347;63857260482534;0;6,763556;6511a4907e
28;63857260482534;63857260482557;0;3,354271;6511a4907e
29;63857260482569;63857260482766;0;12,88315;6511a4907e
30;63857260482890;63857260482951;0;18,80408;6511a4907e
31;63857260482988;63857260483001;0;1,381827;6511a4907e
32;63857260483025;63857260483146;0;10,38353;6511a4907e
33;63857260483158;63857260483181;0;2,489865;6511a4907e
34;63857260483382;63857260483429;0;9,329108;6511a4907e
35;63857260483769;63857260483781;0;1,479094;6511a4907e
36;63857260483885;63857260484029;0;5,934288;6511a4907e
37;63857260484137;63857260484173;0;9,495314;6511a4907e
38;63857260484185;63857260484211;0;5,644552;6511a4907e
39;63857260484236;63857260484577;0;20,27721;6511a4907e
40;63857260485839;63857260485879;0;7,948063;6511a4907e
41;63857260486090;63857260486104;0;6,077993;6511a4907e
42;63857260486170;63857260486222;0;6,597131;6511a4907e
43;63857260486401;63857260486502;0;14,3826;6511a4907e
44;63857260486514;63857260486539;0;2,666237;6511a4907e
45;63857260486570;63857260486712;0;20,58689;6511a4907e
46;63857260486891;63857260486903;0;10,93657;6511a4907e
47;63857260486914;63857260486949;0;4,651053;6511a4907e
48;63857260486984;63857260487114;0;10,58835;6511a4907e
49;63857260487405;63857260487463;0;17,2654;6511a4907e
50;63857260487590;63857260487648;0;20,68082;6511a4907e
51;63857260488071;63857260488128;0;25,80386;6511a4907e
52;63857260488359;63857260488439;0;22,2248;6511a4907e
53;63857260488646;63857260488680;0;5,056755;6511a4907e
54;63857260488900;63857260488946;0;3,820134;6511a4907e
55;63857260489132;63857260489191;0;6,258179;6511a4907e
56;63857260489203;63857260489227;0;2,815707;6511a4907e
57;63857260489263;63857260489323;0;4,789129;6511a4907e
58;63857260489347;63857260489407;0;18,98549;6511a4907e
59;63857260489543;63857260489579;0;11,05371;6511a4907e
60;63857260489591;63857260489628;0;2,908249;6511a4907e
61;63857260489628;63857260489790;0;19,63545;6511a4907e
62;63857260489802;63857260489852;0;16,48006;6511a4907e
63;63857260489867;63857260489892;0;2,842898;6511a4907e
64;63857260489904;63857260490060;0;18,67014;6511a4907e
65;63857260490201;63857260490316;0;27,28889;6511a4907e
66;63857260490329;63857260490368;0;2,747446;6511a4907e
67;63857260490393;63857260490470;0;6,10936;6511a4907e
68;63857260491170;63857260491211;0;11,45881;6511a4907e
69;63857260491310;63857260491351;0;6,874493;6511a4907e
70;63857260491830;63857260491872;0;15,0243;6511a4907e
71;63857260492818;63857260492894;0;17,23209;6511a4907e
72;63857260493454;63857260493552;0;23,11518;6511a4907e
73;63857260493612;63857260493795;0;6,359617;6511a4907e
74;63857260493922;63857260494051;0;5,939867;6511a4907e
75;63857260494105;63857260494203;0;13,16997;6511a4907e
76;63857260494217;63857260494286;0;7,929494;6511a4907e
77;63857260494314;63857260494439;0;9,231482;6511a4907e
78;63857260494696;63857260494783;0;19,41544;6511a4907e
79;63857260494856;63857260494900;0;5,302526;6511a4907e
80;63857260494928;63857260494972;0;8,082427;6511a4907e
81;63857260495147;63857260495301;0;31,69166;6511a4907e
82;63857260495313;63857260495404;0;15,04206;6511a4907e
83;63857260495417;63857260495444;0;1,990758;6511a4907e
84;63857260495457;63857260495604;0;27,97074;6511a4907e
85;63857260495617;63857260495628;0;3,665755;6511a4907e
86;63857260495640;63857260495702;0;14,82326;6511a4907e
87;63857260495713;63857260495797;0;7,620661;6511a4907e
88;63857260495845;63857260495892;0;11,59243;6511a4907e
89;63857260496061;63857260496110;0;13,87215;6511a4907e
90;63857260496518;63857260496567;0;12,18557;6511a4907e
91;63857260496771;63857260496822;0;3,546244;6511a4907e
92;63857260496971;63857260497015;0;8,510916;6511a4907e
93;63857260497029;63857260497089;0;12,03672;6511a4907e
94;63857260497104;63857260497280;0;17,88527;6511a4907e
95;63857260497338;63857260497411;0;6,370461;6511a4907e
96;63857260497426;63857260497470;0;16,26327;6511a4907e
97;63857260497571;63857260497629;0;6,679494;6511a4907e
98;63857260497880;63857260497998;0;23,31443;6511a4907e
99;63857260497998;63857260498115;0;15,02505;6511a4907e
100;63857260498129;63857260498173;0;8,598729;6511a4907e
101;63857260498292;63857260498306;0;4,12621;6511a4907e
102;63857260498943;63857260499002;0;26,12621;6511a4907e
103;63857260499016;63857260499046;0;4,131427;6511a4907e
104;63857260499060;63857260499150;0;12,29252;6511a4907e
105;63857260499284;63857260499329;0;9,95878;6511a4907e
106;63857260500014;63857260500058;0;5,171991;6511a4907e
107;63857260500609;63857260500624;0;1,401373;6511a4907e
108;63857260501155;63857260501227;0;22,39972;6511a4907e
109;63857260501241;63857260501257;0;2,313;6511a4907e
110;63857260501358;63857260501415;0;10,71294;6511a4907e
111;63857260501429;63857260501568;0;16,54876;6511a4907e
112;63857260501580;63857260501751;0;6,562768;6511a4907e
113;63857260501804;63857260501999;0;19,14837;6511a4907e
114;63857260502012;63857260502062;0;5,353317;6511a4907e
115;63857260502268;63857260502293;0;3,433477;6511a4907e
116;63857260502548;63857260502584;0;2,928038;6511a4907e
117;63857260502648;63857260502688;0;5,745626;6511a4907e
118;63857260502980;63857260503018;0;7,634349;6511a4907e
119;63857260503122;63857260503213;0;5,564227;6511a4907e
120;63857260503833;63857260503873;0;13,21609;6511a4907e
121;63857260504193;63857260504290;0;20,51795;6511a4907e
122;63857260504303;63857260504317;0;1,081551;6511a4907e
123;63857260504331;63857260504358;0;2,240618;6511a4907e
124;63857260504482;63857260504550;0;19,96155;6511a4907e
125;63857260504564;63857260504726;0;29,12543;6511a4907e
126;63857260504740;63857260504993;0;29,71046;6511a4907e
127;63857260505326;63857260505380;0;10,30156;6511a4907e
128;63857260506213;63857260506255;0;3,811256;6511a4907e
129;63857260506352;63857260506395;0;13,56785;6511a4907e
130;63857260506521;63857260506563;0;7,385596;6511a4907e
131;63857260507107;63857260507151;0;9,159978;6511a4907e
132;63857260507379;63857260507422;0;6,190742;6511a4907e
133;63857260507945;63857260508014;0;5,646912;6511a4907e
134;63857260508112;63857260508737;0;28,58242;6511a4907e
135;63857260508788;63857260508913;0;12,31405;6511a4907e
136;63857260509604;63857260509668;0;13,39372;6511a4907e
137;63857260509861;63857260509913;0;18,17975;6511a4907e
138;63857260510030;63857260510136;0;9,711264;6511a4907e
139;63857260510149;63857260510229;0;8,498771;6511a4907e
140;63857260510365;63857260510405;0;9,254359;6511a4907e
141;63857260510715;63857260510769;0;9,524521;6511a4907e
142;63857260511124;63857260511150;0;10,69631;6511a4907e
143;63857260511306;63857260511491;0;27,48296;6511a4907e
144;63857260511514;63857260511550;0;4,20738;6511a4907e
145;63857260511610;63857260511657;0;12,80831;6511a4907e
146;63857260511716;63857260511787;0;19,49844;6511a4907e
147;63857260512034;63857260512068;0;13,57729;6511a4907e
148;63857260512081;63857260512092;0;7,130171;6511a4907e
149;63857260512316;63857260512363;0;7,899111;6511a4907e
150;63857260512603;63857260512663;0;20,04442;6511a4907e
151;63857260512818;63857260512879;0;3,818391;6511a4907e
152;63857260512986;63857260513047;0;11,35234;6511a4907e
153;63857260513193;63857260513268;0;7,475591;6511a4907e
154;63857260513392;63857260513417;0;8,564743;6511a4907e
155;63857260513468;63857260513658;0;22,48838;6511a4907e
156;63857260513683;63857260513913;0;3,529475;6511a4907e
157;63857260513926;63857260513979;0;1,615436;6511a4907e
158;63857260513992;63857260514218;0;6,679846;6511a4907e
159;63857260514232;63857260514504;0;36,27785;6511a4907e
160;63857260514594;63857260514657;0;22,75155;6511a4907e
161;63857260514747;63857260514812;0;6,249903;6511a4907e
162;63857260515030;63857260515056;0;3,411911;6511a4907e
163;63857260515296;63857260515352;0;16,86163;6511a4907e
164;63857260515481;63857260515510;0;6,609189;6511a4907e
165;63857260515510;63857260515595;0;26,27126;6511a4907e
166;63857260515611;63857260515638;0;2,87501;6511a4907e
167;63857260515651;63857260515794;0;12,48107;6511a4907e
168;63857260515837;63857260515866;0;0,4801054;6511a4907e
169;63857260516728;63857260516743;0;2,46942;6511a4907e
170;63857260516811;63857260516880;0;12,07891;6511a4907e
171;63857260516893;63857260516907;0;2,05928;6511a4907e
172;63857260516921;63857260516948;0;4,247869;6511a4907e
173;63857260516976;63857260517017;0;11,046;6511a4907e
174;63857260517088;63857260517256;0;9,41532;6511a4907e
175;63857260517634;63857260517662;0;2,656602;6511a4907e
176;63857260517946;63857260517973;0;4,360849;6511a4907e
177;63857260518283;63857260518325;0;3,287357;6511a4907e
178;63857260518567;63857260518624;0;18,95737;6511a4907e
179;63857260518984;63857260519068;0;17,6754;6511a4907e
180;63857260519107;63857260519303;0;22,80718;6511a4907e
181;63857260519345;63857260519548;0;3,84201;6511a4907e
182;63857260519561;63857260519679;0;6,101397;6511a4907e
