Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63856657082088;63856657082114;0;2,358832;66bb61393c
2;63856657082141;63856657082167;0;4,495708;66bb61393c
3;63856657082421;63856657082434;0;2,657118;66bb61393c
4;63856657082449;63856657082475;0;4,16772;66bb61393c
5;63856657082503;63856657082710;0;20,38672;66bb61393c
6;63856657082941;63856657082981;0;15,0317;66bb61393c
7;63856657083443;63856657083456;0;3,391017;66bb61393c
8;63856657083469;63856657083493;0;4,185726;66bb61393c
9;63856657083569;63856657083630;0;22,0766;66bb61393c
10;63856657083966;63856657084016;0;19,73777;66bb61393c
11;63856657084408;63856657084568;0;3,896767;66bb61393c
12;63856657084670;63856657084903;0;19,50957;66bb61393c
13;63856657084966;63856657085019;0;4,084085;66bb61393c
14;63856657085045;63856657085073;0;2,107844;66bb61393c
15;63856657085381;63856657085433;0;8,333006;66bb61393c
16;63856657085620;63856657085686;0;8,85306;66bb61393c
17;63856657085778;63856657085805;0;7,452509;66bb61393c
18;63856657086914;63856657086940;0;14,57868;66bb61393c
19;63856657086954;63856657086994;0;10,09789;66bb61393c
20;63856657087099;63856657087140;0;3,249019;66bb61393c
21;63856657087165;63856657087193;0;5,499146;66bb61393c
22;63856657087272;63856657087365;0;9,218806;66bb61393c
23;63856657087378;63856657087405;0;5,693196;66bb61393c
24;63856657087471;63856657087564;0;12,35548;66bb61393c
25;63856657087921;63856657087937;0;1,060356;66bb61393c
26;63856657088186;63856657088292;0;18,18321;66bb61393c
27;63856657088305;63856657088603;0;26,29303;66bb61393c
28;63856657089082;63856657089095;0;3,659981;66bb61393c
29;63856657089134;63856657089289;0;21,4292;66bb61393c
30;63856657090493;63856657090544;0;12,23556;66bb61393c
31;63856657091341;63856657091394;0;11,32842;66bb61393c
32;63856657093007;63856657093019;0;1,851501;66bb61393c
33;63856657093098;63856657093163;0;12,02439;66bb61393c
34;63856657093229;63856657093294;0;10,66149;66bb61393c
35;63856657093518;63856657093543;0;8,704773;66bb61393c
36;63856657093558;63856657093584;0;2,593972;66bb61393c
37;63856657093597;63856657093650;0;10,25845;66bb61393c
38;63856657093806;63856657093819;0;2,309443;66bb61393c
39;63856657093844;63856657093871;0;5,825814;66bb61393c
40;63856657094025;63856657094062;0;3,563099;66bb61393c
41;63856657094076;63856657094115;0;2,745949;66bb61393c
42;63856657094278;63856657094393;0;26,6202;66bb61393c
43;63856657094493;63856657094506;0;4,025891;66bb61393c
44;63856657094543;63856657094655;0;9,534917;66bb61393c
45;63856657094681;63856657094730;0;1,989185;66bb61393c
46;63856657094742;63856657094932;0;7,630441;66bb61393c
47;63856657094971;63856657095058;0;8,439664;66bb61393c
48;63856657095071;63856657095096;0;2,114888;66bb61393c
49;63856657095121;63856657095159;0;6,128391;66bb61393c
50;63856657095248;63856657095325;0;5,922682;66bb61393c
51;63856657095325;63856657095375;0;14,43819;66bb61393c
52;63856657095544;63856657095572;0;3,56024;66bb61393c
53;63856657096362;63856657096387;0;1,455353;66bb61393c
54;63856657096583;63856657096643;0;20,18273;66bb61393c
55;63856657096751;63856657096813;0;11,04081;66bb61393c
56;63856657096825;63856657096874;0;5,110481;66bb61393c
57;63856657096909;63856657096958;0;4,891006;66bb61393c
58;63856657097017;63856657097060;0;4,61571;66bb61393c
59;63856657097065;63856657097114;0;5,71251;66bb61393c
60;63856657097208;63856657097291;0;7,715283;66bb61393c
61;63856657097361;63856657097397;0;3,943821;66bb61393c
62;63856657097571;63856657097606;0;5,408272;66bb61393c
63;63856657097710;63856657097744;0;2,417432;66bb61393c
64;63856657097976;63856657097999;0;2,27357;66bb61393c
65;63856657098461;63856657098495;0;5,652324;66bb61393c
66;63856657098920;63856657098955;0;5,907073;66bb61393c
67;63856657099561;63856657099608;0;7,030288;66bb61393c
68;63856657100054;63856657100099;0;4,286788;66bb61393c
69;63856657100340;63856657100385;0;5,767689;66bb61393c
70;63856657100581;63856657100615;0;10,54662;66bb61393c
71;63856657101792;63856657101826;0;6,142386;66bb61393c
72;63856657102055;63856657102102;0;7,244134;66bb61393c
73;63856657102286;63856657102331;0;13,30867;66bb61393c
74;63856657103317;63856657103339;0;2,299506;66bb61393c
75;63856657103476;63856657103511;0;19,83953;66bb61393c
76;63856657103660;63856657103694;0;9,390612;66bb61393c
77;63856657104030;63856657104076;0;12,41514;66bb61393c
78;63856657104284;63856657104318;0;7,27667;66bb61393c
79;63856657104652;63856657104699;0;15,04056;66bb61393c
80;63856657105067;63856657105091;0;9,046504;66bb61393c
81;63856657105103;63856657105125;0;6,021416;66bb61393c
82;63856657105383;63856657105407;0;0,8383681;66bb61393c
83;63856657105442;63856657105587;0;53,58879;66bb61393c
84;63856657105598;63856657105622;0;3,272434;66bb61393c
85;63856657105647;63856657105659;0;1,762919;66bb61393c
86;63856657105683;63856657105769;0;9,792878;66bb61393c
87;63856657105769;63856657105793;0;2,277612;66bb61393c
88;63856657106398;63856657106456;0;16,59907;66bb61393c
89;63856657106469;63856657106492;0;2,065923;66bb61393c
90;63856657106766;63856657106893;0;15,281;66bb61393c
91;63856657106932;63856657106972;0;5,470455;66bb61393c
92;63856657108075;63856657108128;0;12,34268;66bb61393c
93;63856657108742;63856657108767;0;3,892544;66bb61393c
94;63856657109211;63856657109263;0;14,67776;66bb61393c
95;63856657109541;63856657109569;0;3,045104;66bb61393c
96;63856657109569;63856657109593;0;1,537097;66bb61393c
97;63856657109619;63856657109660;0;10,40238;66bb61393c
98;63856657109766;63856657109820;0;3,580312;66bb61393c
99;63856657109886;63856657109914;0;5,49394;66bb61393c
100;63856657110566;63856657110593;0;5,988019;66bb61393c
101;63856657110841;63856657110906;0;21,52912;66bb61393c
102;63856657111073;63856657111085;0;4,757281;66bb61393c
103;63856657111405;63856657111443;0;6,338432;66bb61393c
104;63856657111784;63856657111821;0;5,789262;66bb61393c
105;63856657113131;63856657113170;0;5,990834;66bb61393c
106;63856657113206;63856657113270;0;14,26979;66bb61393c
107;63856657113971;63856657114010;0;7,570901;66bb61393c
108;63856657114808;63856657114834;0;2,442643;66bb61393c
109;63856657116163;63856657116228;0;16,17888;66bb61393c
110;63856657116438;63856657116476;0;7,392553;66bb61393c
111;63856657116717;63856657116743;0;2,253596;66bb61393c
112;63856657117283;63856657117311;0;8,691856;66bb61393c
