Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63856657082088;63856657082114;0;117,9416;66bb61393c
2;63856657082141;63856657082167;0;149,8569;66bb61393c
3;63856657082421;63856657082434;0;132,8559;66bb61393c
4;63856657082449;63856657082475;0;208,386;66bb61393c
5;63856657082503;63856657082710;0;92,66693;66bb61393c
6;63856657082941;63856657082981;0;334,0379;66bb61393c
7;63856657083443;63856657083456;0;226,0678;66bb61393c
8;63856657083469;63856657083493;0;167,4291;66bb61393c
9;63856657083569;63856657083630;0;339,6401;66bb61393c
10;63856657083966;63856657084016;0;394,7555;66bb61393c
11;63856657084408;63856657084568;0;24,3548;66bb61393c
12;63856657084670;63856657084903;0;84,82423;66bb61393c
13;63856657084966;63856657085019;0;74,2561;66bb61393c
14;63856657085045;63856657085073;0;105,3922;66bb61393c
15;63856657085381;63856657085433;0;166,6601;66bb61393c
16;63856657085620;63856657085686;0;136,2009;66bb61393c
17;63856657085778;63856657085805;0;212,9288;66bb61393c
18;63856657086914;63856657086940;0;485,9561;66bb61393c
19;63856657086954;63856657086994;0;252,4472;66bb61393c
20;63856657087099;63856657087140;0;92,8291;66bb61393c
21;63856657087165;63856657087193;0;183,3049;66bb61393c
22;63856657087272;63856657087365;0;102,4312;66bb61393c
23;63856657087378;63856657087405;0;162,6627;66bb61393c
24;63856657087471;63856657087564;0;137,2832;66bb61393c
25;63856657087921;63856657087937;0;70,6904;66bb61393c
26;63856657088186;63856657088292;0;158,1149;66bb61393c
27;63856657088305;63856657088603;0;92,25624;66bb61393c
28;63856657089082;63856657089095;0;243,9987;66bb61393c
29;63856657089134;63856657089289;0;133,9325;66bb61393c
30;63856657090493;63856657090544;0;244,7112;66bb61393c
31;63856657091341;63856657091394;0;226,5685;66bb61393c
32;63856657093007;63856657093019;0;92,57504;66bb61393c
33;63856657093098;63856657093163;0;218,6254;66bb61393c
34;63856657093229;63856657093294;0;177,6915;66bb61393c
35;63856657093518;63856657093543;0;248,7078;66bb61393c
36;63856657093558;63856657093584;0;86,46575;66bb61393c
37;63856657093597;63856657093650;0;205,169;66bb61393c
38;63856657093806;63856657093819;0;115,4721;66bb61393c
39;63856657093844;63856657093871;0;194,1938;66bb61393c
40;63856657094025;63856657094062;0;118,77;66bb61393c
41;63856657094076;63856657094115;0;78,45569;66bb61393c
42;63856657094278;63856657094393;0;253,5257;66bb61393c
43;63856657094493;63856657094506;0;268,3927;66bb61393c
44;63856657094543;63856657094655;0;79,45764;66bb61393c
45;63856657094681;63856657094730;0;39,7837;66bb61393c
46;63856657094742;63856657094932;0;41,24562;66bb61393c
47;63856657094971;63856657095058;0;99,29016;66bb61393c
48;63856657095071;63856657095096;0;105,7444;66bb61393c
49;63856657095121;63856657095159;0;153,2098;66bb61393c
50;63856657095248;63856657095325;0;78,9691;66bb61393c
51;63856657095325;63856657095375;0;288,7639;66bb61393c
52;63856657095544;63856657095572;0;118,6747;66bb61393c
53;63856657096362;63856657096387;0;72,76763;66bb61393c
54;63856657096583;63856657096643;0;336,3788;66bb61393c
55;63856657096751;63856657096813;0;157,7258;66bb61393c
56;63856657096825;63856657096874;0;127,762;66bb61393c
57;63856657096909;63856657096958;0;108,689;66bb61393c
58;63856657097017;63856657097060;0;102,5713;66bb61393c
59;63856657097065;63856657097114;0;114,2502;66bb61393c
60;63856657097208;63856657097291;0;85,72537;66bb61393c
61;63856657097361;63856657097397;0;112,6806;66bb61393c
62;63856657097571;63856657097606;0;135,2068;66bb61393c
63;63856657097710;63856657097744;0;80,58108;66bb61393c
64;63856657097976;63856657097999;0;90,94279;66bb61393c
65;63856657098461;63856657098495;0;141,3081;66bb61393c
66;63856657098920;63856657098955;0;147,6768;66bb61393c
67;63856657099561;63856657099608;0;156,2286;66bb61393c
68;63856657100054;63856657100099;0;107,1697;66bb61393c
69;63856657100340;63856657100385;0;128,1709;66bb61393c
70;63856657100581;63856657100615;0;301,3319;66bb61393c
71;63856657101792;63856657101826;0;175,4967;66bb61393c
72;63856657102055;63856657102102;0;181,1033;66bb61393c
73;63856657102286;63856657102331;0;295,7482;66bb61393c
74;63856657103317;63856657103339;0;91,98023;66bb61393c
75;63856657103476;63856657103511;0;440,8785;66bb61393c
76;63856657103660;63856657103694;0;234,7653;66bb61393c
77;63856657104030;63856657104076;0;310,3786;66bb61393c
78;63856657104284;63856657104318;0;207,9048;66bb61393c
79;63856657104652;63856657104699;0;300,8113;66bb61393c
80;63856657105067;63856657105091;0;452,3252;66bb61393c
81;63856657105103;63856657105125;0;240,8566;66bb61393c
82;63856657105383;63856657105407;0;55,8912;66bb61393c
83;63856657105442;63856657105587;0;345,7341;66bb61393c
84;63856657105598;63856657105622;0;218,1623;66bb61393c
85;63856657105647;63856657105659;0;117,5279;66bb61393c
86;63856657105683;63856657105769;0;122,411;66bb61393c
87;63856657105769;63856657105793;0;91,10449;66bb61393c
88;63856657106398;63856657106456;0;255,3703;66bb61393c
89;63856657106469;63856657106492;0;137,7282;66bb61393c
90;63856657106766;63856657106893;0;113,1926;66bb61393c
91;63856657106932;63856657106972;0;121,5657;66bb61393c
92;63856657108075;63856657108128;0;224,4123;66bb61393c
93;63856657108742;63856657108767;0;129,7515;66bb61393c
94;63856657109211;63856657109263;0;326,1725;66bb61393c
95;63856657109541;63856657109569;0;152,2552;66bb61393c
96;63856657109569;63856657109593;0;76,85486;66bb61393c
