Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63857178242503;63857178242542;0;1;70f1b2e31f
2;63857178275188;63857178275559;1;2;70f1b2e31f
3;63857178291976;63857178292129;1;3;70f1b2e31f
4;63857178297641;63857178297719;1;4;70f1b2e31f
5;63857178305508;63857178305608;1;4;70f1b2e31f
6;63857178334611;63857178334661;1;5;70f1b2e31f
7;63857178335711;63857178335747;1;5;70f1b2e31f
8;63857178336457;63857178336483;1;6;70f1b2e31f
9;63857178428279;63857178428316;2;1;70f1b2e31f
10;63857178429498;63857178429560;2;2;70f1b2e31f
11;63857178518473;63857178518521;4;1;70f1b2e31f
12;63857178546675;63857178546726;4;2;70f1b2e31f
13;63857178562162;63857178562212;-4;3;70f1b2e31f
14;63857178600227;63857178600295;5;3;70f1b2e31f
15;63857178601201;63857178601234;5;4;70f1b2e31f
16;63857178613230;63857178613346;5;4;70f1b2e31f
17;63857178621659;63857178621697;5;5;70f1b2e31f
18;63857178689650;63857178689692;6;1;70f1b2e31f
19;63857178704118;63857178704158;6;2;70f1b2e31f
20;63857178709090;63857178709147;6;3;70f1b2e31f
21;63857178749060;63857178749097;7;4;70f1b2e31f
22;63857178751374;63857178751416;7;4;70f1b2e31f
23;63857178781723;63857178781776;7;3;70f1b2e31f
24;63857178791549;63857178791587;7;4;70f1b2e31f
25;63857178813275;63857178813275;7;3;70f1b2e31f
26;63857178816634;63857178816687;7;4;70f1b2e31f
27;63857178846083;63857178846095;8;4;70f1b2e31f
28;63857178880395;63857178880481;8;2;70f1b2e31f
29;63857178912424;63857178912452;8;2;70f1b2e31f
