Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63857178213175;63857178213242;0;14,71028;70f1b2e31f
2;63857178213444;63857178213471;0;8,517375;70f1b2e31f
3;63857178213499;63857178213566;0;9,052388;70f1b2e31f
4;63857178213634;63857178213755;0;12,72194;70f1b2e31f
5;63857178213783;63857178213867;0;13,69682;70f1b2e31f
6;63857178213867;63857178213881;0;1,503501;70f1b2e31f
7;63857178213894;63857178213991;0;17,17352;70f1b2e31f
8;63857178214005;63857178214072;0;14,15347;70f1b2e31f
9;63857178214099;63857178214112;0;1,638411;70f1b2e31f
10;63857178214124;63857178214364;0;6,674824;70f1b2e31f
11;63857178214388;63857178214411;0;2,421235;70f1b2e31f
12;63857178214436;63857178214604;0;24,58719;70f1b2e31f
13;63857178214737;63857178214775;0;3,374696;70f1b2e31f
14;63857178215121;63857178215156;0;10,46618;70f1b2e31f
15;63857178215345;63857178215369;0;3,002831;70f1b2e31f
16;63857178215666;63857178215714;0;7,831004;70f1b2e31f
17;63857178216507;63857178216544;0;6,589785;70f1b2e31f
18;63857178216680;63857178216756;0;30,9982;70f1b2e31f
19;63857178216781;63857178216806;0;3,455248;70f1b2e31f
20;63857178216820;63857178216883;0;5,598567;70f1b2e31f
21;63857178216897;63857178216935;0;5,485087;70f1b2e31f
22;63857178218068;63857178218178;0;31,55934;70f1b2e31f
23;63857178218178;63857178218213;0;2,586037;70f1b2e31f
24;63857178218224;63857178218320;0;8,710345;70f1b2e31f
25;63857178218412;63857178218436;0;0,1570175;70f1b2e31f
26;63857178218447;63857178218471;0;3,240995;70f1b2e31f
27;63857178219527;63857178219560;0;4,089213;70f1b2e31f
28;63857178220098;63857178220132;0;10,8143;70f1b2e31f
29;63857178220405;63857178220439;0;3,003418;70f1b2e31f
30;63857178220621;63857178220690;0;17,62658;70f1b2e31f
31;63857178220852;63857178220899;0;20,58138;70f1b2e31f
32;63857178221230;63857178221264;0;4,407979;70f1b2e31f
33;63857178221527;63857178221574;0;11,82422;70f1b2e31f
34;63857178221838;63857178221909;0;22,78652;70f1b2e31f
35;63857178222536;63857178222593;0;21,81856;70f1b2e31f
36;63857178223019;63857178223177;0;16,60652;70f1b2e31f
37;63857178223201;63857178223250;0;5,052258;70f1b2e31f
38;63857178223264;63857178223337;0;11,47471;70f1b2e31f
39;63857178223401;63857178223453;0;2,390892;70f1b2e31f
40;63857178223594;63857178223634;0;4,883389;70f1b2e31f
41;63857178223968;63857178224006;0;5,872762;70f1b2e31f
42;63857178224250;63857178224302;0;4,15176;70f1b2e31f
43;63857178224481;63857178224507;0;6,985811;70f1b2e31f
44;63857178224609;63857178224659;0;20,67919;70f1b2e31f
45;63857178224721;63857178224744;0;5,48162;70f1b2e31f
