Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63857178213175;63857178213242;0;226,312;70f1b2e31f
2;63857178213444;63857178213471;0;243,3536;70f1b2e31f
3;63857178213499;63857178213566;0;120,6985;70f1b2e31f
4;63857178213634;63857178213755;0;110,6256;70f1b2e31f
5;63857178213783;63857178213867;0;171,2103;70f1b2e31f
6;63857178213867;63857178213881;0;100,2334;70f1b2e31f
7;63857178213894;63857178213991;0;171,7352;70f1b2e31f
8;63857178214005;63857178214072;0;202,1924;70f1b2e31f
9;63857178214099;63857178214112;0;109,2274;70f1b2e31f
10;63857178214124;63857178214364;0;26,6993;70f1b2e31f
11;63857178214388;63857178214411;0;96,8494;70f1b2e31f
12;63857178214436;63857178214604;0;136,5955;70f1b2e31f
13;63857178214737;63857178214775;0;74,99326;70f1b2e31f
14;63857178215121;63857178215156;0;232,5817;70f1b2e31f
15;63857178215345;63857178215369;0;100,0944;70f1b2e31f
16;63857178215666;63857178215714;0;174,0223;70f1b2e31f
17;63857178216507;63857178216544;0;164,7446;70f1b2e31f
18;63857178216680;63857178216756;0;364,6847;70f1b2e31f
19;63857178216781;63857178216806;0;98,72136;70f1b2e31f
20;63857178216820;63857178216883;0;93,30946;70f1b2e31f
21;63857178216897;63857178216935;0;137,1272;70f1b2e31f
22;63857178218068;63857178218178;0;300,5651;70f1b2e31f
23;63857178218178;63857178218213;0;86,20124;70f1b2e31f
24;63857178218224;63857178218320;0;91,68784;70f1b2e31f
25;63857178218412;63857178218436;0;7,850876;70f1b2e31f
26;63857178218447;63857178218471;0;108,0332;70f1b2e31f
27;63857178219527;63857178219560;0;116,8347;70f1b2e31f
28;63857178220098;63857178220132;0;270,3576;70f1b2e31f
29;63857178220405;63857178220439;0;85,81194;70f1b2e31f
30;63857178220621;63857178220690;0;271,1781;70f1b2e31f
31;63857178220852;63857178220899;0;411,6277;70f1b2e31f
32;63857178221230;63857178221264;0;125,9422;70f1b2e31f
33;63857178221527;63857178221574;0;262,7604;70f1b2e31f
34;63857178221838;63857178221909;0;350,5619;70f1b2e31f
35;63857178222536;63857178222593;0;396,7011;70f1b2e31f
36;63857178223019;63857178223177;0;107,1389;70f1b2e31f
37;63857178223201;63857178223250;0;101,0452;70f1b2e31f
38;63857178223264;63857178223337;0;163,9245;70f1b2e31f
39;63857178223401;63857178223453;0;43,47077;70f1b2e31f
40;63857178223594;63857178223634;0;139,5254;70f1b2e31f
41;63857178223968;63857178224006;0;167,7932;70f1b2e31f
42;63857178224250;63857178224302;0;83,03521;70f1b2e31f
43;63857178224481;63857178224507;0;232,8604;70f1b2e31f
44;63857178224609;63857178224659;0;375,9854;70f1b2e31f
45;63857178224721;63857178224744;0;219,2648;70f1b2e31f
46;63857178224815;63857178224969;0;133,3674;70f1b2e31f
47;63857178225323;63857178225335;0;471,2145;70f1b2e31f
48;63857178225557;63857178225622;0;160,8922;70f1b2e31f
49;63857178225636;63857178225779;0;131,6527;70f1b2e31f
50;63857178225779;63857178225819;0;67,14782;70f1b2e31f
51;63857178225935;63857178225975;0;137,8256;70f1b2e31f
52;63857178226510;63857178226536;0;177,9662;70f1b2e31f
53;63857178226824;63857178226864;0;294,7961;70f1b2e31f
54;63857178227111;63857178227163;0;399,078;70f1b2e31f
55;63857178227176;63857178227214;0;96,46059;70f1b2e31f
56;63857178227241;63857178227319;0;90,44106;70f1b2e31f
57;63857178227357;63857178227410;0;119,6353;70f1b2e31f
58;63857178227722;63857178227811;0;324,4947;70f1b2e31f
59;63857178227824;63857178227849;0;100,8391;70f1b2e31f
60;63857178227876;63857178227965;0;113,6235;70f1b2e31f
61;63857178228322;63857178228360;0;247,0712;70f1b2e31f
62;63857178228500;63857178228551;0;140,3064;70f1b2e31f
63;63857178228805;63857178228844;0;127,6262;70f1b2e31f
64;63857178229137;63857178229164;0;243,4367;70f1b2e31f
65;63857178229449;63857178229476;0;214,8983;70f1b2e31f
66;63857178229657;63857178229697;0;104,1039;70f1b2e31f
67;63857178230000;63857178230067;0;273,05;70f1b2e31f
68;63857178230148;63857178230257;0;60,09082;70f1b2e31f
69;63857178230300;63857178230355;0;76,06242;70f1b2e31f
70;63857178230422;63857178230532;0;126,4377;70f1b2e31f
71;63857178230559;63857178230575;0;95,84502;70f1b2e31f
72;63857178230602;63857178230703;0;98,49677;70f1b2e31f
73;63857178231711;63857178231754;0;120,7028;70f1b2e31f
74;63857178232019;63857178232088;0;266,3631;70f1b2e31f
75;63857178232102;63857178232145;0;122,9753;70f1b2e31f
76;63857178232175;63857178232175;0;148,9897;70f1b2e31f
