Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63856394353699;63856394353757;0;1;7bee04cb79
2;63856394381470;63856394381497;0;2;7bee04cb79
3;63856394382548;63856394382563;0;3;7bee04cb79
4;63856394383280;63856394383363;0;4;7bee04cb79
5;63856394384288;63856394384689;0;5;7bee04cb79
6;63856394385368;63856394385424;0;6;7bee04cb79
7;63856394387524;63856394387551;0;7;7bee04cb79
8;63856394387914;63856394387927;0;8;7bee04cb79
9;63856394398871;63856394398871;0;9;7bee04cb79
10;63856394452377;63856394452426;0;2;7bee04cb79
11;63856394454926;63856394455010;0;3;7bee04cb79
12;63856394455211;63856394455294;0;4;7bee04cb79
13;63856394455389;63856394455402;0;5;7bee04cb79
14;63856394455437;63856394455437;0;6;7bee04cb79
15;63856394476735;63856394476795;0;6;7bee04cb79
16;63856394496614;63856394496649;1;7;7bee04cb79
17;63856394497776;63856394497822;1;8;7bee04cb79
18;63856394499643;63856394499712;1;9;7bee04cb79
19;63856394515065;63856394515155;1;8;7bee04cb79
20;63856394515167;63856394515179;1;9;7bee04cb79
21;63856394515192;63856394515205;1;10;7bee04cb79
22;63856394521732;63856394521773;1;8;7bee04cb79
23;63856394523608;63856394523661;1;9;7bee04cb79
24;63856394534148;63856394534215;1;10;7bee04cb79
25;63856394535361;63856394535414;1;11;7bee04cb79
26;63856394541257;63856394541503;1;11;7bee04cb79
27;63856394541920;63856394542126;1;12;7bee04cb79
28;63856394542469;63856394542497;1;13;7bee04cb79
29;63856394543905;63856394543960;1;14;7bee04cb79
30;63856394544212;63856394544342;1;15;7bee04cb79
31;63856394544918;63856394545020;1;16;7bee04cb79
32;63856394545336;63856394545408;1;17;7bee04cb79
33;63856394545681;63856394546214;1;18;7bee04cb79
34;63856394566841;63856394566841;1;16;7bee04cb79
35;63856394566854;63856394566854;1;17;7bee04cb79
36;63856394566867;63856394566880;1;18;7bee04cb79
37;63856394577103;63856394577115;-1;16;7bee04cb79
38;63856394577437;63856394577524;-1;17;7bee04cb79
39;63856394582625;63856394582742;-1;17;7bee04cb79
40;63856394588753;63856394588791;-1;17;7bee04cb79
41;63856394589467;63856394589507;-1;18;7bee04cb79
42;63856394594314;63856394594422;-1;18;7bee04cb79
43;63856394594622;63856394594714;-1;19;7bee04cb79
44;63856394594821;63856394594833;-1;20;7bee04cb79
45;63856394626111;63856394626124;-1;12;7bee04cb79
46;63856394626124;63856394626124;-1;13;7bee04cb79
47;63856394633206;63856394633242;-1;11;7bee04cb79
48;63856394641225;63856394641272;2;10;7bee04cb79
49;63856394649299;63856394649572;2;9;7bee04cb79
50;63856394650042;63856394650117;2;9;7bee04cb79
