Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63856394336790;63856394336843;0;6,751337;7bee04cb79
2;63856394336964;63856394336979;0;3,791579;7bee04cb79
3;63856394337006;63856394337035;0;7,818537;7bee04cb79
4;63856394337131;63856394337145;0;1,800702;7bee04cb79
5;63856394337173;63856394337341;0;12,20743;7bee04cb79
6;63856394337468;63856394337525;0;15,00268;7bee04cb79
7;63856394337641;63856394337726;0;8,681522;7bee04cb79
8;63856394337740;63856394337811;0;13,49923;7bee04cb79
9;63856394337868;63856394337950;0;17,57863;7bee04cb79
10;63856394337950;63856394337978;0;3,509001;7bee04cb79
11;63856394337992;63856394338005;0;3,148587;7bee04cb79
12;63856394338046;63856394338139;0;14,96764;7bee04cb79
13;63856394338272;63856394338313;0;7,93976;7bee04cb79
14;63856394339581;63856394339630;0;22,15387;7bee04cb79
15;63856394339781;63856394339818;0;3,701475;7bee04cb79
16;63856394339844;63856394339874;0;4,180154;7bee04cb79
17;63856394339967;63856394340004;0;2,857458;7bee04cb79
18;63856394340029;63856394340078;0;3,651733;7bee04cb79
19;63856394340174;63856394340209;0;10,05125;7bee04cb79
20;63856394340305;63856394340351;0;4,011466;7bee04cb79
21;63856394340773;63856394340819;0;15,43011;7bee04cb79
22;63856394340946;63856394340971;0;1,529183;7bee04cb79
23;63856394341086;63856394341146;0;4,408467;7bee04cb79
24;63856394341322;63856394341357;0;3,157465;7bee04cb79
25;63856394341545;63856394341556;0;1,721128;7bee04cb79
26;63856394341814;63856394341849;0;7,2764;7bee04cb79
27;63856394341942;63856394341966;0;3,246246;7bee04cb79
28;63856394342166;63856394342190;0;2,5325;7bee04cb79
29;63856394342658;63856394342681;0;5,306479;7bee04cb79
30;63856394342869;63856394342892;0;3,321719;7bee04cb79
31;63856394343162;63856394343185;0;3,203141;7bee04cb79
32;63856394343738;63856394343785;0;8,085002;7bee04cb79
33;63856394344401;63856394344437;0;4,314568;7bee04cb79
34;63856394344591;63856394344614;0;2,348437;7bee04cb79
35;63856394344698;63856394344712;0;1,882216;7bee04cb79
