Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63856394336790;63856394336843;0;150,0297;7bee04cb79
2;63856394336964;63856394336979;0;252,7719;7bee04cb79
3;63856394337006;63856394337035;0;223,3868;7bee04cb79
4;63856394337131;63856394337145;0;90,0351;7bee04cb79
5;63856394337173;63856394337341;0;71,80838;7bee04cb79
6;63856394337468;63856394337525;0;250,0447;7bee04cb79
7;63856394337641;63856394337726;0;102,1356;7bee04cb79
8;63856394337740;63856394337811;0;192,8461;7bee04cb79
9;63856394337868;63856394337950;0;219,7328;7bee04cb79
10;63856394337950;63856394337978;0;175,4501;7bee04cb79
11;63856394337992;63856394338005;0;125,9435;7bee04cb79
12;63856394338046;63856394338139;0;157,5541;7bee04cb79
13;63856394338272;63856394338313;0;198,494;7bee04cb79
14;63856394339581;63856394339630;0;402,7976;7bee04cb79
15;63856394339781;63856394339818;0;82,255;7bee04cb79
16;63856394339844;63856394339874;0;167,2062;7bee04cb79
17;63856394339967;63856394340004;0;95,2486;7bee04cb79
18;63856394340029;63856394340078;0;91,29333;7bee04cb79
19;63856394340174;63856394340209;0;287,1785;7bee04cb79
20;63856394340305;63856394340351;0;80,22932;7bee04cb79
21;63856394340773;63856394340819;0;308,6023;7bee04cb79
22;63856394340946;63856394340971;0;76,45917;7bee04cb79
23;63856394341086;63856394341146;0;88,16934;7bee04cb79
24;63856394341322;63856394341357;0;105,2488;7bee04cb79
25;63856394341545;63856394341556;0;86,05642;7bee04cb79
26;63856394341814;63856394341849;0;242,5467;7bee04cb79
27;63856394341942;63856394341966;0;108,2082;7bee04cb79
28;63856394342166;63856394342190;0;168,8334;7bee04cb79
29;63856394342658;63856394342681;0;176,8826;7bee04cb79
30;63856394342869;63856394342892;0;132,8688;7bee04cb79
31;63856394343162;63856394343185;0;106,7714;7bee04cb79
32;63856394343738;63856394343785;0;179,6667;7bee04cb79
33;63856394344401;63856394344437;0;123,2734;7bee04cb79
34;63856394344591;63856394344614;0;78,28124;7bee04cb79
35;63856394344698;63856394344712;0;75,28865;7bee04cb79
36;63856394345185;63856394345283;0;314,4757;7bee04cb79
37;63856394345433;63856394345481;0;286,3845;7bee04cb79
38;63856394345494;63856394345533;0;66,52427;7bee04cb79
39;63856394345559;63856394345648;0;144,7431;7bee04cb79
40;63856394346347;63856394346373;0;241,4946;7bee04cb79
41;63856394346648;63856394346714;0;213,5004;7bee04cb79
42;63856394347204;63856394347245;0;247,3863;7bee04cb79
43;63856394347652;63856394347678;0;116,3704;7bee04cb79
44;63856394349955;63856394349955;0;141,3157;7bee04cb79
45;63856394352300;63856394352300;0;282,3519;7bee04cb79
46;63856394352743;63856394352790;0;151,5932;7bee04cb79
47;63856394353384;63856394353427;0;206,3172;7bee04cb79
48;63856394353642;63856394353656;0;111,4971;7bee04cb79
49;63856394353987;63856394354016;0;279,7161;7bee04cb79
50;63856394354704;63856394354747;0;141,9694;7bee04cb79
51;63856394355052;63856394355066;0;79,00979;7bee04cb79
52;63856394356516;63856394356559;0;87,4628;7bee04cb79
53;63856394357178;63856394357222;0;245,1919;7bee04cb79
54;63856394358364;63856394358407;0;211,9603;7bee04cb79
55;63856394359356;63856394359399;0;256,2093;7bee04cb79
56;63856394359543;63856394359600;0;199,6033;7bee04cb79
57;63856394359643;63856394359686;0;126,6386;7bee04cb79
58;63856394359786;63856394359813;0;91,31389;7bee04cb79
59;63856394359813;63856394359912;0;333,7536;7bee04cb79
60;63856394359955;63856394359982;0;129,5283;7bee04cb79
61;63856394359999;63856394360155;0;30,16632;7bee04cb79
62;63856394360182;63856394360212;0;139,0347;7bee04cb79
63;63856394360241;63856394360256;0;157,1678;7bee04cb79
64;63856394360270;63856394360432;0;38,68799;7bee04cb79
65;63856394360490;63856394360519;0;192,0251;7bee04cb79
66;63856394360533;63856394360662;0;47,56036;7bee04cb79
67;63856394360718;63856394360732;0;89,32246;7bee04cb79
68;63856394360759;63856394360789;0;209,9021;7bee04cb79
69;63856394360802;63856394360815;0;144,9608;7bee04cb79
70;63856394360831;63856394360941;0;30,32981;7bee04cb79
71;63856394360996;63856394361010;0;138,804;7bee04cb79
72;63856394361036;63856394361076;0;169,4365;7bee04cb79
73;63856394361131;63856394361228;0;126,5455;7bee04cb79
74;63856394363701;63856394363701;0;134,5648;7bee04cb79
75;63856394363701;63856394363701;0;344,7911;7bee04cb79
76;63856394363887;63856394363924;0;208,8723;7bee04cb79
77;63856394364194;63856394364233;0;228,0388;7bee04cb79
78;63856394364447;63856394364497;0;321,6115;7bee04cb79
79;63856394364866;63856394364960;0;227,5559;7bee04cb79
80;63856394366316;63856394366368;0;149,3653;7bee04cb79
81;63856394366528;63856394366589;0;288,9597;7bee04cb79
82;63856394366701;63856394366794;0;89,86475;7bee04cb79
83;63856394366806;63856394366818;0;102,6258;7bee04cb79
84;63856394366831;63856394366856;0;154,4007;7bee04cb79
85;63856394366896;63856394366934;0;151,5113;7bee04cb79
86;63856394366946;63856394366961;0;85,80591;7bee04cb79
87;63856394367011;63856394367063;0;88,07708;7bee04cb79
88;63856394367076;63856394367088;0;128,5287;7bee04cb79
89;63856394367101;63856394367115;0;178,3501;7bee04cb79
90;63856394367153;63856394367219;0;209,5138;7bee04cb79
91;63856394368117;63856394368157;0;323,1417;7bee04cb79
92;63856394368374;63856394368413;0;167,5028;7bee04cb79
93;63856394368830;63856394368869;0;144,2409;7bee04cb79
94;63856394369181;63856394369221;0;127,6182;7bee04cb79
95;63856394369727;63856394369766;0;109,3262;7bee04cb79
96;63856394369899;63856394369925;0;497,6973;7bee04cb79
97;63856394369939;63856394369965;0;298,4109;7bee04cb79
98;63856394370069;63856394370135;0;105,182;7bee04cb79
99;63856394370162;63856394370200;0;168,6513;7bee04cb79
100;63856394370252;63856394370341;0;254,5995;7bee04cb79
101;63856394370481;63856394370584;0;191,7669;7bee04cb79
102;63856394370597;63856394370647;0;123,148;7bee04cb79
103;63856394370661;63856394370724;0;132,202;7bee04cb79
104;63856394370786;63856394370800;0;189,1653;7bee04cb79
105;63856394370811;63856394370836;0;40,34358;7bee04cb79
106;63856394370888;63856394371052;0;292,2636;7bee04cb79
107;63856394371064;63856394371089;0;132,4548;7bee04cb79
108;63856394371102;63856394371202;0;96,42583;7bee04cb79
109;63856394371253;63856394371278;0;90,08018;7bee04cb79
110;63856394371291;63856394371353;0;176,4532;7bee04cb79
111;63856394371418;63856394371496;0;98,37978;7bee04cb79
112;63856394371521;63856394371547;0;91,35165;7bee04cb79
113;63856394371586;63856394371599;0;86,31754;7bee04cb79
114;63856394372065;63856394372103;0;182,8878;7bee04cb79
115;63856394372582;63856394372609;0;141,4373;7bee04cb79
116;63856394373034;63856394373059;0;91,11543;7bee04cb79
117;63856394373240;63856394373291;0;279,6447;7bee04cb79
118;63856394373497;63856394373548;0;96,3412;7bee04cb79
119;63856394373611;63856394373651;0;94,19634;7bee04cb79
120;63856394374100;63856394374178;0;91,36118;7bee04cb79
121;63856394374256;63856394374294;0;274,4457;7bee04cb79
122;63856394374308;63856394374333;0;70,67201;7bee04cb79
123;63856394374501;63856394374565;0;282,5444;7bee04cb79
124;63856394374966;63856394375030;0;367,9318;7bee04cb79
125;63856394375298;63856394375354;0;271,0575;7bee04cb79
126;63856394375467;63856394375496;0;399,2378;7bee04cb79
127;63856394375957;63856394375970;0;167,8567;7bee04cb79
128;63856394377951;63856394377966;0;157,8299;7bee04cb79
129;63856394378512;63856394378555;0;170,8091;7bee04cb79
130;63856394378806;63856394378849;0;168,4097;7bee04cb79
131;63856394379871;63856394379914;0;99,7313;7bee04cb79
132;63856394381856;63856394381913;0;138,7594;7bee04cb79
133;63856394384895;63856394384950;0;202,9615;7bee04cb79
134;63856394388193;63856394388235;0;135,6059;7bee04cb79
135;63856394389845;63856394389886;0;403,7798;7bee04cb79
136;63856394392011;63856394392026;0;86,56657;7bee04cb79
137;63856394392164;63856394392205;0;100,1986;7bee04cb79
138;63856394393099;63856394393112;0;80,62246;7bee04cb79
139;63856394393138;63856394393234;0;73,90339;7bee04cb79
140;63856394395351;63856394395380;0;113,9579;7bee04cb79
