Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63854825252351;63854825252376;0;1;87e4f56616
2;63854825288103;63854825288177;0;2;87e4f56616
3;63854825319732;63854825319759;0;2;87e4f56616
4;63854825374852;63854825374875;1;2;87e4f56616
5;63854825380189;63854825380240;1;2;87e4f56616
6;63854825395373;63854825395422;1;3;87e4f56616
7;63854825419296;63854825419319;1;4;87e4f56616
8;63854825420105;63854825420139;1;5;87e4f56616
9;63854825507360;63854825507408;2;1;87e4f56616
10;63854825551131;63854825551179;3;2;87e4f56616
11;63854825573660;63854825573682;3;2;87e4f56616
12;63854825574622;63854825574636;3;3;87e4f56616
13;63854825625398;63854825625447;3;3;87e4f56616
14;63854825683395;63854825683445;4;2;87e4f56616
15;63854825794292;63854825794304;5;1;87e4f56616
16;63854825798318;63854825798368;5;2;87e4f56616
17;63854825882703;63854825882741;6;1;87e4f56616
18;63854825885424;63854825885473;6;2;87e4f56616
19;63854825890597;63854825890681;6;3;87e4f56616
20;63854825927543;63854825927606;6;4;87e4f56616
21;63854825957035;63854825957072;6;2;87e4f56616
22;63854826021539;63854826021578;-6;1;87e4f56616
23;63854826024742;63854826024828;-6;2;87e4f56616
24;63854826025086;63854826025174;-6;3;87e4f56616
25;63854826025510;63854826025584;-6;4;87e4f56616
26;63854826027070;63854826027153;-6;5;87e4f56616
27;63854826027785;63854826027827;-6;6;87e4f56616
28;63854826057438;63854826057511;7;7;87e4f56616
29;63854826101605;63854826101657;7;2;87e4f56616
30;63854826226651;63854826226702;9;1;87e4f56616
31;63854826229839;63854826229888;9;2;87e4f56616
32;63854826269435;63854826269471;10;3;87e4f56616
