Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63854825244165;63854825244190;0;3,47384;87e4f56616
2;63854825244191;63854825244299;0;19,80313;87e4f56616
3;63854825244365;63854825244417;0;6,778994;87e4f56616
4;63854825244417;63854825244432;0;2,359994;87e4f56616
5;63854825244472;63854825244555;0;7,528715;87e4f56616
6;63854825244582;63854825244650;0;10,91089;87e4f56616
7;63854825244665;63854825244704;0;1,909571;87e4f56616
8;63854825244704;63854825244770;0;14,49423;87e4f56616
9;63854825244783;63854825244873;0;7,465584;87e4f56616
10;63854825244873;63854825244965;0;8,797589;87e4f56616
11;63854825244965;63854825245002;0;11,76152;87e4f56616
12;63854825245015;63854825245040;0;1,841538;87e4f56616
13;63854825245055;63854825245155;0;6,166977;87e4f56616
14;63854825245353;63854825245366;0;1,335448;87e4f56616
15;63854825245770;63854825245794;0;4,519781;87e4f56616
16;63854825245956;63854825245992;0;2,776856;87e4f56616
17;63854825246155;63854825246180;0;2,634331;87e4f56616
18;63854825246356;63854825246368;0;9,585809;87e4f56616
19;63854825246381;63854825246431;0;11,1339;87e4f56616
20;63854825246531;63854825246568;0;2,628156;87e4f56616
21;63854825246605;63854825246618;0;1,476975;87e4f56616
22;63854825247240;63854825247254;0;10,45984;87e4f56616
23;63854825247573;63854825247600;0;7,538848;87e4f56616
24;63854825249312;63854825249361;0;12,83463;87e4f56616
25;63854825249513;63854825249614;0;11,43923;87e4f56616
26;63854825249626;63854825249639;0;1,758362;87e4f56616
27;63854825249654;63854825249748;0;8,407866;87e4f56616
28;63854825249760;63854825249789;0;5,005507;87e4f56616
29;63854825249955;63854825249967;0;8,655646;87e4f56616
30;63854825249981;63854825250021;0;17,39719;87e4f56616
31;63854825250040;63854825250070;0;4,88379;87e4f56616
32;63854825250070;63854825250095;0;5,474823;87e4f56616
33;63854825250109;63854825250145;0;11,38967;87e4f56616
34;63854825250180;63854825250272;0;14,22365;87e4f56616
35;63854825250284;63854825250332;0;3,330313;87e4f56616
36;63854825250332;63854825250357;0;2,865394;87e4f56616
37;63854825251055;63854825251077;0;4,852926;87e4f56616
38;63854825251274;63854825251309;0;3,316824;87e4f56616
39;63854825251471;63854825251508;0;12,15069;87e4f56616
40;63854825251622;63854825251668;0;13,59275;87e4f56616
41;63854825251856;63854825251890;0;6,855751;87e4f56616
42;63854825252197;63854825252221;0;2,775022;87e4f56616
43;63854825252459;63854825252497;0;3,002375;87e4f56616
44;63854825252497;63854825252644;0;25,61554;87e4f56616
45;63854825252755;63854825252815;0;5,741975;87e4f56616
46;63854825252815;63854825252875;0;10,17896;87e4f56616
47;63854825252969;63854825253003;0;12,34263;87e4f56616
48;63854825253026;63854825253084;0;8,226574;87e4f56616
49;63854825253095;63854825253120;0;7,018364;87e4f56616
50;63854825253762;63854825253787;0;2,827916;87e4f56616
51;63854825254300;63854825254334;0;5,080412;87e4f56616
52;63854825254509;63854825254544;0;7,569553;87e4f56616
53;63854825254955;63854825254979;0;2,241317;87e4f56616
54;63854825255015;63854825255027;0;1,073925;87e4f56616
55;63854825255283;63854825255294;0;6,837904;87e4f56616
56;63854825255306;63854825255392;0;13,90473;87e4f56616
57;63854825255404;63854825255481;0;10,596;87e4f56616
58;63854825255506;63854825255596;0;20,10184;87e4f56616
59;63854825255610;63854825255672;0;15,66693;87e4f56616
60;63854825255777;63854825255882;0;2,36513;87e4f56616
61;63854825256223;63854825256261;0;5,672572;87e4f56616
62;63854825256498;63854825256537;0;9,854009;87e4f56616
63;63854825256932;63854825256984;0;18,36223;87e4f56616
64;63854825256998;63854825257024;0;1,534294;87e4f56616
65;63854825257521;63854825257559;0;9,504831;87e4f56616
66;63854825257717;63854825257731;0;7,430967;87e4f56616
67;63854825257954;63854825257966;0;1,521485;87e4f56616
68;63854825258087;63854825258100;0;1,645086;87e4f56616
69;63854825258220;63854825258259;0;9,71434;87e4f56616
70;63854825258537;63854825258562;0;3,83941;87e4f56616
71;63854825258733;63854825258838;0;10,21793;87e4f56616
72;63854825259136;63854825259163;0;6,114492;87e4f56616
73;63854825259488;63854825259514;0;4,747017;87e4f56616
74;63854825259683;63854825259697;0;8,672151;87e4f56616
75;63854825259970;63854825260048;0;27,16085;87e4f56616
76;63854825260075;63854825260258;0;5,214587;87e4f56616
77;63854825260271;63854825260365;0;16,64924;87e4f56616
78;63854825260391;63854825260428;0;6,353263;87e4f56616
79;63854825260545;63854825260583;0;5,108181;87e4f56616
80;63854825260687;63854825260701;0;2,147763;87e4f56616
81;63854825260765;63854825260791;0;11,35551;87e4f56616
82;63854825260971;63854825260998;0;5,224273;87e4f56616
83;63854825261282;63854825261322;0;19,14966;87e4f56616
84;63854825261464;63854825261488;0;4,142079;87e4f56616
85;63854825261501;63854825261539;0;5,291614;87e4f56616
86;63854825261553;63854825261578;0;3,719628;87e4f56616
87;63854825261706;63854825261745;0;7,151956;87e4f56616
88;63854825261965;63854825261989;0;7,417726;87e4f56616
89;63854825262360;63854825262387;0;6,067696;87e4f56616
90;63854825262720;63854825262758;0;9,543778;87e4f56616
91;63854825262938;63854825262952;0;0,8924097;87e4f56616
92;63854825263028;63854825263056;0;5,332926;87e4f56616
93;63854825263068;63854825263121;0;6,836298;87e4f56616
94;63854825263390;63854825263443;0;9,700345;87e4f56616
95;63854825263636;63854825263673;0;10,38432;87e4f56616
96;63854825263817;63854825263843;0;4,879657;87e4f56616
97;63854825264023;63854825264061;0;4,906882;87e4f56616
98;63854825264283;63854825264323;0;8,690093;87e4f56616
99;63854825264507;63854825264522;0;4,583002;87e4f56616
100;63854825264679;63854825264744;0;12,09493;87e4f56616
101;63854825264956;63854825265023;0;5,289391;87e4f56616
102;63854825265209;63854825265248;0;7,75732;87e4f56616
103;63854825266430;63854825266470;0;5,372136;87e4f56616
104;63854825266605;63854825266703;0;6,290209;87e4f56616
105;63854825267020;63854825267048;0;3,660302;87e4f56616
106;63854825267346;63854825267391;0;7,990284;87e4f56616
107;63854825267572;63854825267589;0;1,345812;87e4f56616
108;63854825267603;63854825267620;0;8,502859;87e4f56616
109;63854825267756;63854825267802;0;3,055886;87e4f56616
110;63854825267817;63854825267833;0;2,92757;87e4f56616
111;63854825267878;63854825267910;0;6,27298;87e4f56616
112;63854825268033;63854825268062;0;5,997179;87e4f56616
113;63854825268819;63854825268849;0;6,185325;87e4f56616
114;63854825268927;63854825268973;0;6,668416;87e4f56616
115;63854825268989;63854825269036;0;13,36754;87e4f56616
116;63854825269053;63854825269082;0;1,471799;87e4f56616
117;63854825269098;63854825269172;0;0,9518273;87e4f56616
118;63854825269188;63854825269232;0;5,033104;87e4f56616
119;63854825269260;63854825269361;0;6,61509;87e4f56616
120;63854825269376;63854825269443;0;6,745931;87e4f56616
121;63854825269482;63854825269521;0;0,6611602;87e4f56616
122;63854825269558;63854825269571;0;3,148649;87e4f56616
123;63854825269637;63854825269676;0;4,174669;87e4f56616
124;63854825269689;63854825269715;0;7,503729;87e4f56616
125;63854825269739;63854825269790;0;4,473608;87e4f56616
126;63854825269816;63854825269867;0;6,201153;87e4f56616
127;63854825269944;63854825269969;0;5,930521;87e4f56616
128;63854825270223;63854825270248;0;2,219379;87e4f56616
129;63854825270389;63854825270425;0;3,852648;87e4f56616
130;63854825270566;63854825270616;0;6,299615;87e4f56616
131;63854825270757;63854825270770;0;1,340713;87e4f56616
132;63854825270965;63854825271043;0;16,32803;87e4f56616
133;63854825271176;63854825271202;0;1,827563;87e4f56616
134;63854825271510;63854825271550;0;12,4944;87e4f56616
135;63854825271823;63854825271849;0;2,201937;87e4f56616
136;63854825272980;63854825273022;0;2,902724;87e4f56616
137;63854825273486;63854825273526;0;4,569347;87e4f56616
138;63854825273634;63854825273674;0;11,53003;87e4f56616
139;63854825273688;63854825273713;0;2,836487;87e4f56616
140;63854825273739;63854825273767;0;2,058805;87e4f56616
141;63854825273779;63854825273831;0;13,66056;87e4f56616
142;63854825273831;63854825273970;0;5,018797;87e4f56616
143;63854825273983;63854825274150;0;1,822416;87e4f56616
144;63854825274150;63854825274317;0;9,363174;87e4f56616
145;63854825274369;63854825274422;0;5,105686;87e4f56616
146;63854825274435;63854825274539;0;3,360103;87e4f56616
147;63854825274655;63854825274681;0;2,813621;87e4f56616
148;63854825274745;63854825274759;0;2,521812;87e4f56616
149;63854825274938;63854825274965;0;7,340187;87e4f56616
150;63854825275132;63854825275171;0;3,184937;87e4f56616
151;63854825275376;63854825275388;0;1,754685;87e4f56616
152;63854825275401;63854825275453;0;15,24749;87e4f56616
153;63854825275581;63854825275605;0;2,016157;87e4f56616
154;63854825275824;63854825275862;0;5,741395;87e4f56616
155;63854825276209;63854825276223;0;11,47166;87e4f56616
156;63854825276260;63854825276287;0;3,242927;87e4f56616
157;63854825276439;63854825276454;0;2,994083;87e4f56616
158;63854825277066;63854825277093;0;8,939296;87e4f56616
159;63854825277153;63854825277167;0;1,648533;87e4f56616
160;63854825277181;63854825277341;0;8,340449;87e4f56616
161;63854825277341;63854825277464;0;10,62106;87e4f56616
162;63854825277611;63854825277623;0;6,50403;87e4f56616
163;63854825277647;63854825277670;0;3,669385;87e4f56616
164;63854825277694;63854825277705;0;3,897973;87e4f56616
165;63854825277742;63854825277875;0;17,41086;87e4f56616
166;63854825277947;63854825277983;0;10,60601;87e4f56616
167;63854825278297;63854825278345;0;9,199153;87e4f56616
168;63854825278728;63854825278791;0;19,89304;87e4f56616
169;63854825278804;63854825278828;0;2,608795;87e4f56616
170;63854825278866;63854825278903;0;6,100304;87e4f56616
171;63854825278916;63854825278927;0;1,751783;87e4f56616
172;63854825278939;63854825278963;0;3,438662;87e4f56616
173;63854825278999;63854825279098;0;10,15522;87e4f56616
174;63854825279513;63854825279550;0;2,68686;87e4f56616
175;63854825279739;63854825279777;0;2,829508;87e4f56616
176;63854825280298;63854825280336;0;8,48545;87e4f56616
177;63854825280426;63854825280478;0;4,699112;87e4f56616
178;63854825280568;63854825280620;0;17,529;87e4f56616
179;63854825280644;63854825280742;0;9,391639;87e4f56616
180;63854825280742;63854825280778;0;8,385063;87e4f56616
181;63854825280778;63854825280814;0;3,409098;87e4f56616
182;63854825280849;63854825280906;0;11,33385;87e4f56616
183;63854825280920;63854825281002;0;11,30704;87e4f56616
184;63854825281124;63854825281159;0;10,37887;87e4f56616
185;63854825281291;63854825281316;0;10,03303;87e4f56616
186;63854825281676;63854825281689;0;9,726577;87e4f56616
187;63854825282038;63854825282074;0;11,73405;87e4f56616
188;63854825282169;63854825282180;0;2,887714;87e4f56616
189;63854825282276;63854825282289;0;6,509305;87e4f56616
190;63854825282301;63854825282325;0;3,185367;87e4f56616
191;63854825282401;63854825282592;0;3,798235;87e4f56616
192;63854825282606;63854825282750;0;10,15619;87e4f56616
193;63854825282779;63854825282850;0;12,20794;87e4f56616
194;63854825282850;63854825282909;0;18,51617;87e4f56616
195;63854825283010;63854825283098;0;8,446223;87e4f56616
196;63854825283244;63854825283288;0;14,9331;87e4f56616
197;63854825283924;63854825283983;0;16,24497;87e4f56616
198;63854825284090;63854825284120;0;3,227981;87e4f56616
199;63854825284134;63854825284180;0;10,36794;87e4f56616
200;63854825284345;63854825284360;0;2,300697;87e4f56616
201;63854825284525;63854825284587;0;16,89938;87e4f56616
202;63854825284587;63854825284601;0;3,218019;87e4f56616
203;63854825284632;63854825284706;0;3,90871;87e4f56616
204;63854825284722;63854825284736;0;2,504834;87e4f56616
205;63854825284767;63854825284811;0;5,341334;87e4f56616
206;63854825284826;63854825284842;0;0,7249676;87e4f56616
