Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63854825244165;63854825244190;0;173,692;87e4f56616
2;63854825244191;63854825244299;0;198,0314;87e4f56616
3;63854825244365;63854825244417;0;135,5799;87e4f56616
4;63854825244417;63854825244432;0;157,3329;87e4f56616
5;63854825244472;63854825244555;0;88,57312;87e4f56616
6;63854825244582;63854825244650;0;155,8699;87e4f56616
7;63854825244665;63854825244704;0;54,55917;87e4f56616
8;63854825244704;63854825244770;0;241,5705;87e4f56616
9;63854825244783;63854825244873;0;82,95094;87e4f56616
10;63854825244873;63854825244965;0;109,9699;87e4f56616
11;63854825244965;63854825245002;0;392,0508;87e4f56616
12;63854825245015;63854825245040;0;73,66152;87e4f56616
13;63854825245055;63854825245155;0;61,66978;87e4f56616
14;63854825245353;63854825245366;0;89,02988;87e4f56616
15;63854825245770;63854825245794;0;180,7912;87e4f56616
16;63854825245956;63854825245992;0;92,56186;87e4f56616
17;63854825246155;63854825246180;0;87,81103;87e4f56616
18;63854825246356;63854825246368;0;479,2904;87e4f56616
19;63854825246381;63854825246431;0;222,678;87e4f56616
20;63854825246531;63854825246568;0;75,09018;87e4f56616
21;63854825246605;63854825246618;0;98,46502;87e4f56616
22;63854825247240;63854825247254;0;522,9919;87e4f56616
23;63854825247573;63854825247600;0;376,9424;87e4f56616
24;63854825249312;63854825249361;0;285,214;87e4f56616
25;63854825249513;63854825249614;0;114,3923;87e4f56616
26;63854825249626;63854825249639;0;117,2241;87e4f56616
27;63854825249654;63854825249748;0;84,07866;87e4f56616
28;63854825249760;63854825249789;0;200,2203;87e4f56616
29;63854825249955;63854825249967;0;577,0431;87e4f56616
30;63854825249981;63854825250021;0;386,6043;87e4f56616
31;63854825250040;63854825250070;0;139,5369;87e4f56616
32;63854825250070;63854825250095;0;273,7412;87e4f56616
33;63854825250109;63854825250145;0;253,1037;87e4f56616
34;63854825250180;63854825250272;0;149,7226;87e4f56616
35;63854825250284;63854825250332;0;83,25784;87e4f56616
36;63854825250332;63854825250357;0;191,0262;87e4f56616
37;63854825251055;63854825251077;0;161,7642;87e4f56616
38;63854825251274;63854825251309;0;94,76639;87e4f56616
39;63854825251471;63854825251508;0;486,0275;87e4f56616
40;63854825251622;63854825251668;0;302,061;87e4f56616
41;63854825251856;63854825251890;0;171,3938;87e4f56616
42;63854825252197;63854825252221;0;92,50075;87e4f56616
43;63854825252459;63854825252497;0;85,78214;87e4f56616
44;63854825252497;63854825252644;0;182,9681;87e4f56616
45;63854825252755;63854825252815;0;104,3996;87e4f56616
46;63854825252815;63854825252875;0;185,0721;87e4f56616
47;63854825252969;63854825253003;0;352,6465;87e4f56616
48;63854825253026;63854825253084;0;149,5741;87e4f56616
49;63854825253095;63854825253120;0;233,9455;87e4f56616
50;63854825253762;63854825253787;0;113,1167;87e4f56616
51;63854825254300;63854825254334;0;145,1546;87e4f56616
52;63854825254509;63854825254544;0;252,3184;87e4f56616
53;63854825254955;63854825254979;0;89,65269;87e4f56616
54;63854825255015;63854825255027;0;71,59502;87e4f56616
55;63854825255283;63854825255294;0;341,8952;87e4f56616
56;63854825255306;63854825255392;0;163,5851;87e4f56616
57;63854825255404;63854825255481;0;141,28;87e4f56616
58;63854825255506;63854825255596;0;211,5983;87e4f56616
59;63854825255610;63854825255672;0;261,1155;87e4f56616
60;63854825255777;63854825255882;0;21,50118;87e4f56616
61;63854825256223;63854825256261;0;162,0735;87e4f56616
62;63854825256498;63854825256537;0;246,3502;87e4f56616
63;63854825256932;63854825256984;0;333,8588;87e4f56616
64;63854825256998;63854825257024;0;76,71468;87e4f56616
65;63854825257521;63854825257559;0;211,2185;87e4f56616
66;63854825257717;63854825257731;0;495,3978;87e4f56616
67;63854825257954;63854825257966;0;101,4324;87e4f56616
68;63854825258087;63854825258100;0;109,6724;87e4f56616
69;63854825258220;63854825258259;0;194,2868;87e4f56616
70;63854825258537;63854825258562;0;191,9705;87e4f56616
71;63854825258733;63854825258838;0;88,85153;87e4f56616
72;63854825259136;63854825259163;0;203,8164;87e4f56616
73;63854825259488;63854825259514;0;189,8807;87e4f56616
74;63854825259683;63854825259697;0;433,6075;87e4f56616
75;63854825259970;63854825260048;0;388,0122;87e4f56616
76;63854825260075;63854825260258;0;28,96993;87e4f56616
77;63854825260271;63854825260365;0;175,2551;87e4f56616
78;63854825260391;63854825260428;0;141,1836;87e4f56616
79;63854825260545;63854825260583;0;127,7045;87e4f56616
80;63854825260687;63854825260701;0;107,3881;87e4f56616
81;63854825260765;63854825260791;0;324,4433;87e4f56616
82;63854825260971;63854825260998;0;261,2137;87e4f56616
83;63854825261282;63854825261322;0;478,7415;87e4f56616
84;63854825261464;63854825261488;0;118,3451;87e4f56616
85;63854825261501;63854825261539;0;151,189;87e4f56616
86;63854825261553;63854825261578;0;123,9876;87e4f56616
87;63854825261706;63854825261745;0;178,7989;87e4f56616
88;63854825261965;63854825261989;0;247,2575;87e4f56616
89;63854825262360;63854825262387;0;242,7078;87e4f56616
90;63854825262720;63854825262758;0;238,5945;87e4f56616
91;63854825262938;63854825262952;0;44,62048;87e4f56616
92;63854825263028;63854825263056;0;266,6463;87e4f56616
93;63854825263068;63854825263121;0;136,726;87e4f56616
94;63854825263390;63854825263443;0;242,5086;87e4f56616
95;63854825263636;63854825263673;0;259,6081;87e4f56616
96;63854825263817;63854825263843;0;162,6552;87e4f56616
97;63854825264023;63854825264061;0;140,1966;87e4f56616
98;63854825264283;63854825264323;0;217,2523;87e4f56616
99;63854825264507;63854825264522;0;305,5334;87e4f56616
100;63854825264679;63854825264744;0;186,0758;87e4f56616
101;63854825264956;63854825265023;0;88,15652;87e4f56616
102;63854825265209;63854825265248;0;193,933;87e4f56616
103;63854825266430;63854825266470;0;107,4427;87e4f56616
104;63854825266605;63854825266703;0;66,21273;87e4f56616
105;63854825267020;63854825267048;0;122,0101;87e4f56616
106;63854825267346;63854825267391;0;199,7571;87e4f56616
107;63854825267572;63854825267589;0;89,72079;87e4f56616
108;63854825267603;63854825267620;0;566,8573;87e4f56616
109;63854825267756;63854825267802;0;87,31101;87e4f56616
110;63854825267817;63854825267833;0;117,1028;87e4f56616
111;63854825267878;63854825267910;0;156,8245;87e4f56616
112;63854825268033;63854825268062;0;239,8872;87e4f56616
113;63854825268819;63854825268849;0;176,7236;87e4f56616
114;63854825268927;63854825268973;0;166,7104;87e4f56616
115;63854825268989;63854825269036;0;297,0565;87e4f56616
116;63854825269053;63854825269082;0;73,58994;87e4f56616
117;63854825269098;63854825269172;0;13,59753;87e4f56616
118;63854825269188;63854825269232;0;125,8276;87e4f56616
119;63854825269260;63854825269361;0;66,15091;87e4f56616
120;63854825269376;63854825269443;0;103,7836;87e4f56616
121;63854825269482;63854825269521;0;22,03867;87e4f56616
122;63854825269558;63854825269571;0;209,9099;87e4f56616
