Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63855710880884;63855710880924;0;11,4878;9010301179
2;63855710880994;63855710881101;0;19,93439;9010301179
3;63855710881387;63855710881441;0;6,227465;9010301179
4;63855710881519;63855710881651;0;8,468908;9010301179
5;63855710881701;63855710881791;0;7,172664;9010301179
6;63855710882277;63855710882303;0;2,782841;9010301179
7;63855710882466;63855710882516;0;4,056468;9010301179
8;63855710882630;63855710882642;0;1,535441;9010301179
9;63855710882844;63855710882882;0;3,563154;9010301179
10;63855710883047;63855710883073;0;1,822094;9010301179
11;63855710883085;63855710883136;0;6,171522;9010301179
12;63855710883302;63855710883340;0;5,985203;9010301179
13;63855710883744;63855710883785;0;12,33683;9010301179
14;63855710883785;63855710883811;0;3,735073;9010301179
15;63855710883839;63855710883933;0;10,41337;9010301179
16;63855710883946;63855710883974;0;3,120921;9010301179
17;63855710884234;63855710884275;0;7,247194;9010301179
18;63855710884344;63855710884386;0;8,551847;9010301179
19;63855710884552;63855710884641;0;21,31662;9010301179
20;63855710884653;63855710884678;0;5,346797;9010301179
21;63855710884690;63855710884718;0;2,852727;9010301179
22;63855710884718;63855710884794;0;8,943009;9010301179
23;63855710884872;63855710884934;0;7,014813;9010301179
24;63855710884946;63855710885120;0;6,319876;9010301179
25;63855710885278;63855710885305;0;7,797496;9010301179
26;63855710885445;63855710885633;0;25,14236;9010301179
27;63855710885719;63855710885755;0;9,691687;9010301179
28;63855710886161;63855710886197;0;6,088016;9010301179
29;63855710886406;63855710886443;0;5,151531;9010301179
30;63855710886765;63855710886777;0;1,331927;9010301179
31;63855710886853;63855710886918;0;21,73792;9010301179
32;63855710886995;63855710887047;0;3,173545;9010301179
33;63855710887074;63855710887223;0;13,5246;9010301179
34;63855710888692;63855710888736;0;1,359843;9010301179
35;63855710888750;63855710888869;0;16,05055;9010301179
36;63855710888904;63855710889017;0;7,908474;9010301179
37;63855710889052;63855710889098;0;3,770086;9010301179
38;63855710889834;63855710889868;0;4,670973;9010301179
39;63855710890469;63855710890530;0;7,782934;9010301179
40;63855710890985;63855710891034;0;10,9329;9010301179
41;63855710891034;63855710891085;0;11,42105;9010301179
42;63855710891135;63855710891149;0;1,550155;9010301179
43;63855710891186;63855710891299;0;0,9507989;9010301179
44;63855710891389;63855710891561;0;25,51404;9010301179
45;63855710891561;63855710891599;0;19,28555;9010301179
46;63855710891695;63855710891842;0;14,88688;9010301179
47;63855710891855;63855710891923;0;8,752886;9010301179
48;63855710891950;63855710891977;0;2,40981;9010301179
49;63855710892002;63855710892085;0;7,864619;9010301179
50;63855710892140;63855710892196;0;16,51795;9010301179
51;63855710892289;63855710892344;0;4,950091;9010301179
52;63855710892399;63855710892413;0;1,689918;9010301179
53;63855710892454;63855710892480;0;5,244637;9010301179
54;63855710892547;63855710892588;0;3,615359;9010301179
55;63855710892858;63855710892899;0;5,662336;9010301179
56;63855710893074;63855710893101;0;18,23862;9010301179
57;63855710893168;63855710893182;0;2,001739;9010301179
58;63855710893208;63855710893316;0;11,19721;9010301179
59;63855710893356;63855710893384;0;3,182231;9010301179
60;63855710893688;63855710893701;0;5,773837;9010301179
61;63855710893928;63855710893941;0;4,853733;9010301179
62;63855710894422;63855710894450;0;8,317911;9010301179
63;63855710894464;63855710894546;0;10,30042;9010301179
64;63855710894587;63855710894654;0;6,974852;9010301179
65;63855710894735;63855710894776;0;7,054355;9010301179
66;63855710895044;63855710895071;0;17,20911;9010301179
67;63855710895152;63855710895219;0;11,00543;9010301179
68;63855710895259;63855710895299;0;5,490729;9010301179
69;63855710895338;63855710895352;0;2,782349;9010301179
70;63855710895405;63855710895444;0;3,405996;9010301179
71;63855710895564;63855710895602;0;3,606792;9010301179
72;63855710896017;63855710896069;0;10,78819;9010301179
73;63855710896334;63855710896374;0;11,44029;9010301179
74;63855710896479;63855710896507;0;9,038073;9010301179
75;63855710896653;63855710896679;0;1,451313;9010301179
76;63855710896719;63855710896745;0;1,981792;9010301179
77;63855710897200;63855710897228;0;14,408;9010301179
78;63855710897253;63855710897308;0;1,328101;9010301179
79;63855710897346;63855710897374;0;4,353971;9010301179
80;63855710897428;63855710897442;0;2,22484;9010301179
81;63855710897806;63855710897846;0;9,87936;9010301179
82;63855710898202;63855710898353;0;13,31543;9010301179
83;63855710898365;63855710898500;0;7,042555;9010301179
84;63855710898512;63855710898550;0;3,027438;9010301179
85;63855710898573;63855710898632;0;6,973558;9010301179
86;63855710898788;63855710898812;0;3,394422;9010301179
87;63855710898825;63855710898838;0;8,016504;9010301179
88;63855710898851;63855710898888;0;6,095514;9010301179
89;63855710899138;63855710899268;0;15,5234;9010301179
90;63855710899639;63855710899677;0;12,01195;9010301179
91;63855710899824;63855710899852;0;2,243848;9010301179
92;63855710899961;63855710900000;0;8,905651;9010301179
93;63855710900205;63855710900231;0;4,932725;9010301179
94;63855710900489;63855710900530;0;3,520921;9010301179
95;63855710900786;63855710900840;0;25,66974;9010301179
96;63855710900976;63855710901016;0;5,782521;9010301179
97;63855710901260;63855710901313;0;5,051638;9010301179
98;63855710901531;63855710901572;0;7,72047;9010301179
99;63855710901841;63855710901854;0;1,726464;9010301179
100;63855710902001;63855710902044;0;10,69756;9010301179
101;63855710902207;63855710902220;0;1,724309;9010301179
102;63855710902400;63855710902442;0;8,012634;9010301179
103;63855710902579;63855710902594;0;11,10039;9010301179
104;63855710903208;63855710903249;0;4,947003;9010301179
105;63855710903424;63855710903452;0;10,73728;9010301179
106;63855710903678;63855710903719;0;16,09974;9010301179
107;63855710904176;63855710904216;0;8,793257;9010301179
108;63855710904486;63855710904540;0;13,06603;9010301179
109;63855710905473;63855710905501;0;8,418813;9010301179
110;63855710905745;63855710905787;0;5,96197;9010301179
111;63855710906018;63855710906062;0;4,767852;9010301179
112;63855710907064;63855710907121;0;11,172;9010301179
113;63855710907395;63855710907449;0;11,9712;9010301179
114;63855710907633;63855710907731;0;12,48318;9010301179
115;63855710907731;63855710907794;0;7,185971;9010301179
116;63855710907831;63855710907942;0;8,562289;9010301179
117;63855710907954;63855710907979;0;0,4677188;9010301179
118;63855710907992;63855710908005;0;3,338768;9010301179
119;63855710908513;63855710908553;0;7,143585;9010301179
120;63855710908823;63855710908850;0;4,614649;9010301179
121;63855710909452;63855710909491;0;8,038636;9010301179
122;63855710909732;63855710909816;0;10,43117;9010301179
123;63855710910958;63855710910984;0;3,638142;9010301179
124;63855710910996;63855710911019;0;2,110627;9010301179
125;63855710911032;63855710911056;0;2,517695;9010301179
126;63855710911142;63855710911202;0;15,67447;9010301179
127;63855710911276;63855710911289;0;1,227964;9010301179
128;63855710911301;63855710911351;0;4,023652;9010301179
129;63855710911511;63855710911573;0;15,32944;9010301179
130;63855710911874;63855710911886;0;2,309019;9010301179
131;63855710912177;63855710912212;0;9,710231;9010301179
132;63855710913039;63855710913099;0;18,20794;9010301179
133;63855710913209;63855710913280;0;6,478111;9010301179
134;63855710913317;63855710913353;0;4,446424;9010301179
135;63855710913365;63855710913377;0;1,835684;9010301179
136;63855710913389;63855710913412;0;2,14521;9010301179
137;63855710913435;63855710913450;0;1,247411;9010301179
138;63855710913485;63855710913545;0;9,637861;9010301179
139;63855710913799;63855710913822;0;6,331716;9010301179
140;63855710913989;63855710914027;0;5,270352;9010301179
141;63855710914302;63855710914374;0;20,54411;9010301179
142;63855710915219;63855710915266;0;14,12131;9010301179
143;63855710915522;63855710915569;0;16,03186;9010301179
144;63855710915739;63855710915777;0;7,726925;9010301179
145;63855710916163;63855710916175;0;5,032715;9010301179
146;63855710916247;63855710916272;0;10,78272;9010301179
147;63855710916643;63855710916702;0;23,44728;9010301179
148;63855710917121;63855710917156;0;7,606278;9010301179
149;63855710917607;63855710917655;0;5,996264;9010301179
150;63855710917947;63855710918010;0;28,21795;9010301179
151;63855710918845;63855710918894;0;3,474573;9010301179
152;63855710919028;63855710919076;0;9,607032;9010301179
153;63855710919588;63855710919675;0;4,704737;9010301179
154;63855710919725;63855710919751;0;2,245592;9010301179
155;63855710919764;63855710920031;0;17,82348;9010301179
156;63855710920044;63855710920069;0;16,10446;9010301179
157;63855710920160;63855710920251;0;13,43591;9010301179
158;63855710920342;63855710920472;0;10,78792;9010301179
159;63855710920601;63855710920653;0;3,960322;9010301179
160;63855710921232;63855710921272;0;9,030547;9010301179
161;63855710921511;63855710921538;0;5,968641;9010301179
162;63855710924086;63855710924141;0;13,05818;9010301179
163;63855710924285;63855710924423;0;13,44919;9010301179
164;63855710926133;63855710926174;0;3,532192;9010301179
165;63855710926360;63855710926467;0;8,584396;9010301179
166;63855710926495;63855710926534;0;4,942566;9010301179
