Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63856561611025;63856561611025;0;113,1536;9bc69d3da4
2;63856561611572;63856561611612;0;409,9426;9bc69d3da4
3;63856561611612;63856561611691;0;58,63654;9bc69d3da4
4;63856561611717;63856561611729;0;89,57527;9bc69d3da4
5;63856561611755;63856561611795;0;96,11807;9bc69d3da4
6;63856561611821;63856561611848;0;113,8956;9bc69d3da4
7;63856561611913;63856561611926;0;107,3289;9bc69d3da4
8;63856561611938;63856561611964;0;210,9431;9bc69d3da4
9;63856561611991;63856561612043;0;205,9803;9bc69d3da4
10;63856561612058;63856561612084;0;50,89937;9bc69d3da4
11;63856561612110;63856561612217;0;20,15139;9bc69d3da4
12;63856561612217;63856561612271;0;296,8269;9bc69d3da4
13;63856561612284;63856561612391;0;182,2467;9bc69d3da4
14;63856561612429;63856561612482;0;133,3085;9bc69d3da4
15;63856561612495;63856561612571;0;177,4944;9bc69d3da4
16;63856561612622;63856561612661;0;20,08695;9bc69d3da4
17;63856561612687;63856561612737;0;130,206;9bc69d3da4
18;63856561612762;63856561612787;0;76,83576;9bc69d3da4
19;63856561612811;63856561612836;0;74,04063;9bc69d3da4
20;63856561612959;63856561613019;0;72,74516;9bc69d3da4
21;63856561613082;63856561613094;0;131,8031;9bc69d3da4
22;63856561613142;63856561613181;0;68,93861;9bc69d3da4
23;63856561613193;63856561613217;0;67,21116;9bc69d3da4
24;63856561613230;63856561613291;0;135,8042;9bc69d3da4
25;63856561613351;63856561613364;0;128,5084;9bc69d3da4
26;63856561613496;63856561613532;0;125,6095;9bc69d3da4
27;63856561613750;63856561613773;0;119,6482;9bc69d3da4
28;63856561613821;63856561613882;0;66,50814;9bc69d3da4
29;63856561613942;63856561613966;0;103,3237;9bc69d3da4
30;63856561613978;63856561614015;0;79,96066;9bc69d3da4
31;63856561614063;63856561614088;0;69,61159;9bc69d3da4
32;63856561614125;63856561614137;0;619,9895;9bc69d3da4
33;63856561614150;63856561614173;0;154,5997;9bc69d3da4
34;63856561614185;63856561614236;0;74,35194;9bc69d3da4
35;63856561614261;63856561614274;0;185,7805;9bc69d3da4
36;63856561614551;63856561614576;0;123,1519;9bc69d3da4
37;63856561614842;63856561614918;0;65,01551;9bc69d3da4
38;63856561615651;63856561615716;0;347,5396;9bc69d3da4
39;63856561616078;63856561616096;0;120,1815;9bc69d3da4
40;63856561616116;63856561616152;0;121,8738;9bc69d3da4
41;63856561616152;63856561616188;0;169,1741;9bc69d3da4
42;63856561616214;63856561616250;0;176,1769;9bc69d3da4
43;63856561616322;63856561616384;0;55,69169;9bc69d3da4
44;63856561616396;63856561616420;0;208,5234;9bc69d3da4
45;63856561616563;63856561616633;0;222,3056;9bc69d3da4
46;63856561616971;63856561617006;0;151,3454;9bc69d3da4
47;63856561617181;63856561617228;0;158,1635;9bc69d3da4
48;63856561617414;63856561617449;0;165,1436;9bc69d3da4
49;63856561617806;63856561617843;0;212,0309;9bc69d3da4
50;63856561617881;63856561617893;0;268,6358;9bc69d3da4
51;63856561617930;63856561617980;0;170,7625;9bc69d3da4
52;63856561618029;63856561618053;0;275,6117;9bc69d3da4
53;63856561618115;63856561618188;0;137,5669;9bc69d3da4
54;63856561618202;63856561618215;0;256,65;9bc69d3da4
55;63856561618252;63856561618277;0;214,1409;9bc69d3da4
56;63856561618304;63856561618316;0;61,19867;9bc69d3da4
57;63856561618342;63856561618395;0;77,23733;9bc69d3da4
58;63856561618472;63856561618485;0;278,6707;9bc69d3da4
59;63856561618498;63856561618576;0;122,26;9bc69d3da4
60;63856561618588;63856561618603;0;148,9897;9bc69d3da4
61;63856561618615;63856561618641;0;52,89772;9bc69d3da4
62;63856561618706;63856561618759;0;113,7839;9bc69d3da4
63;63856561618797;63856561618875;0;11,35731;9bc69d3da4
64;63856561618952;63856561618991;0;86,36511;9bc69d3da4
65;63856561619454;63856561619468;0;381,1793;9bc69d3da4
66;63856561619494;63856561619532;0;302,1736;9bc69d3da4
67;63856561619572;63856561619597;0;91,40086;9bc69d3da4
68;63856561619610;63856561619624;0;143,9174;9bc69d3da4
69;63856561619637;63856561619663;0;251,4088;9bc69d3da4
70;63856561619688;63856561619702;0;215,8681;9bc69d3da4
71;63856561619728;63856561619766;0;148,8584;9bc69d3da4
72;63856561619793;63856561619805;0;103,2914;9bc69d3da4
73;63856561620214;63856561620227;0;551,817;9bc69d3da4
74;63856561620264;63856561620292;0;436,6969;9bc69d3da4
75;63856561620356;63856561620408;0;176,4584;9bc69d3da4
76;63856561620421;63856561620539;0;72,19775;9bc69d3da4
77;63856561620551;63856561620616;0;234,2426;9bc69d3da4
78;63856561620669;63856561620681;0;284,5427;9bc69d3da4
79;63856561620719;63856561620822;0;16,08232;9bc69d3da4
80;63856561620951;63856561620964;0;125,0188;9bc69d3da4
81;63856561621415;63856561621428;0;336,0952;9bc69d3da4
82;63856561621583;63856561621609;0;499,6727;9bc69d3da4
83;63856561621648;63856561621661;0;429,2996;9bc69d3da4
84;63856561621673;63856561621714;0;57,52297;9bc69d3da4
85;63856561621727;63856561621753;0;262,2417;9bc69d3da4
86;63856561621766;63856561621876;0;22,41675;9bc69d3da4
87;63856561621904;63856561621931;0;134,1078;9bc69d3da4
88;63856561621945;63856561622029;0;97,61208;9bc69d3da4
89;63856561622055;63856561622085;0;59,84562;9bc69d3da4
90;63856561622126;63856561622140;0;182,6001;9bc69d3da4
91;63856561622282;63856561622533;0;107,7759;9bc69d3da4
92;63856561622562;63856561622618;0;263,538;9bc69d3da4
93;63856561622618;63856561622659;0;338,1402;9bc69d3da4
94;63856561622672;63856561622881;0;36,04475;9bc69d3da4
95;63856561623081;63856561623153;0;137,0613;9bc69d3da4
96;63856561623241;63856561623416;0;115,3442;9bc69d3da4
97;63856561623428;63856561623453;0;107,6635;9bc69d3da4
98;63856561623465;63856561623478;0;232,883;9bc69d3da4
99;63856561623503;63856561623565;0;117,8412;9bc69d3da4
100;63856561623577;63856561623627;0;146,9281;9bc69d3da4
101;63856561623640;63856561623665;0;125,1876;9bc69d3da4
102;63856561623754;63856561623794;0;77,04073;9bc69d3da4
103;63856561624158;63856561624170;0;126,4974;9bc69d3da4
104;63856561624251;63856561624292;0;65,66647;9bc69d3da4
105;63856561624332;63856561624387;0;112,4259;9bc69d3da4
106;63856561624453;63856561624495;0;95,7542;9bc69d3da4
107;63856561624603;63856561624616;0;77,63285;9bc69d3da4
108;63856561624656;63856561624710;0;104,6933;9bc69d3da4
109;63856561624764;63856561624792;0;87,17483;9bc69d3da4
110;63856561624980;63856561625007;0;114,0894;9bc69d3da4
111;63856561625342;63856561625382;0;239,4099;9bc69d3da4
112;63856561625437;63856561625464;0;300,4106;9bc69d3da4
113;63856561625493;63856561625520;0;95,0749;9bc69d3da4
114;63856561625533;63856561625605;0;167,2885;9bc69d3da4
115;63856561625605;63856561625706;0;113,1462;9bc69d3da4
116;63856561626093;63856561626108;0;452,9386;9bc69d3da4
117;63856561626149;63856561626175;0;166,0647;9bc69d3da4
118;63856561626188;63856561626230;0;324,2679;9bc69d3da4
119;63856561626695;63856561626709;0;272,2628;9bc69d3da4
120;63856561626737;63856561626765;0;75,06485;9bc69d3da4
121;63856561626793;63856561626806;0;80,42805;9bc69d3da4
122;63856561627166;63856561627181;0;71,84967;9bc69d3da4
123;63856561627304;63856561627318;0;84,56962;9bc69d3da4
124;63856561627550;63856561627576;0;389,0975;9bc69d3da4
125;63856561627591;63856561627643;0;109,2498;9bc69d3da4
126;63856561627683;63856561627696;0;223,1039;9bc69d3da4
127;63856561627710;63856561627749;0;313,2387;9bc69d3da4
128;63856561627749;63856561627811;0;308,4558;9bc69d3da4
129;63856561627825;63856561627899;0;117,2696;9bc69d3da4
130;63856561627910;63856561627936;0;256,9847;9bc69d3da4
131;63856561627985;63856561628046;0;166,5119;9bc69d3da4
132;63856561628059;63856561628147;0;140,8432;9bc69d3da4
133;63856561628171;63856561628196;0;125,5847;9bc69d3da4
134;63856561628236;63856561628261;0;79,6675;9bc69d3da4
135;63856561628298;63856561628310;0;117,4177;9bc69d3da4
136;63856561628323;63856561628336;0;51,49182;9bc69d3da4
137;63856561628552;63856561628577;0;68,61529;9bc69d3da4
138;63856561628680;63856561628730;0;175,3013;9bc69d3da4
139;63856561629036;63856561629088;0;271,6174;9bc69d3da4
140;63856561629116;63856561629155;0;69,83787;9bc69d3da4
141;63856561629224;63856561629237;0;153,6008;9bc69d3da4
142;63856561629250;63856561629264;0;76,61258;9bc69d3da4
143;63856561629276;63856561629318;0;69,6097;9bc69d3da4
144;63856561629373;63856561629414;0;86,79896;9bc69d3da4
145;63856561629428;63856561629441;0;95,01263;9bc69d3da4
146;63856561630198;63856561630211;0;513,116;9bc69d3da4
147;63856561630304;63856561630328;0;579,1959;9bc69d3da4
148;63856561630377;63856561630438;0;254,822;9bc69d3da4
149;63856561630462;63856561630498;0;136,4664;9bc69d3da4
150;63856561630510;63856561630533;0;158,7902;9bc69d3da4
151;63856561630606;63856561630630;0;313,1198;9bc69d3da4
152;63856561630665;63856561630676;0;114,8252;9bc69d3da4
153;63856561630725;63856561630761;0;251,7111;9bc69d3da4
154;63856561630785;63856561630821;0;442,9196;9bc69d3da4
155;63856561631082;63856561631093;0;542,963;9bc69d3da4
156;63856561631116;63856561631151;0;141,1225;9bc69d3da4
157;63856561631258;63856561631281;0;119,1655;9bc69d3da4
158;63856561631316;63856561631352;0;105,9985;9bc69d3da4
159;63856561631352;63856561631459;0;16,60152;9bc69d3da4
160;63856561631482;63856561631494;0;31,70674;9bc69d3da4
161;63856561631506;63856561631517;0;741,2808;9bc69d3da4
162;63856561631588;63856561631625;0;71,7438;9bc69d3da4
163;63856561631647;63856561631659;0;121,9517;9bc69d3da4
