Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63856722129739;63856722129754;0;1;a144f91c89
2;63856722134754;63856722134767;0;2;a144f91c89
3;63856722142071;63856722142115;0;3;a144f91c89
4;63856722149402;63856722149443;0;4;a144f91c89
5;63856722180599;63856722180674;0;5;a144f91c89
6;63856722180712;63856722180736;0;6;a144f91c89
7;63856722197137;63856722197137;0;5;a144f91c89
8;63856722201103;63856722201235;0;6;a144f91c89
9;63856722210996;63856722211081;0;5;a144f91c89
10;63856722259821;63856722259880;1;3;a144f91c89
11;63856722271710;63856722271831;1;2;a144f91c89
12;63856722277091;63856722277144;1;3;a144f91c89
13;63856722286422;63856722286636;1;4;a144f91c89
14;63856722293025;63856722293119;1;5;a144f91c89
15;63856722298464;63856722298505;1;6;a144f91c89
16;63856722299973;63856722300077;1;7;a144f91c89
17;63856722335843;63856722335889;2;6;a144f91c89
18;63856722336731;63856722336753;2;7;a144f91c89
19;63856722338130;63856722338154;2;7;a144f91c89
20;63856722342120;63856722342245;2;8;a144f91c89
21;63856722353311;63856722353416;2;7;a144f91c89
22;63856722353596;63856722353632;2;8;a144f91c89
23;63856722353918;63856722353966;2;9;a144f91c89
24;63856722361926;63856722361926;2;8;a144f91c89
25;63856722361940;63856722362020;2;9;a144f91c89
26;63856722376744;63856722376845;2;10;a144f91c89
27;63856722391125;63856722391139;2;11;a144f91c89
28;63856722393931;63856722394045;2;12;a144f91c89
29;63856722403201;63856722403254;2;9;a144f91c89
30;63856722410552;63856722410676;2;10;a144f91c89
31;63856722414833;63856722415084;-2;8;a144f91c89
32;63856722429211;63856722429259;-2;7;a144f91c89
33;63856722449945;63856722450006;3;7;a144f91c89
34;63856722450043;63856722450056;3;8;a144f91c89
35;63856722451274;63856722451563;3;8;a144f91c89
36;63856722464649;63856722464715;3;7;a144f91c89
37;63856722478471;63856722478498;3;6;a144f91c89
38;63856722490247;63856722490327;-3;6;a144f91c89
39;63856722509363;63856722509530;4;7;a144f91c89
40;63856722512976;63856722513028;4;5;a144f91c89
41;63856722520941;63856722520968;4;6;a144f91c89
42;63856722526718;63856722526747;4;6;a144f91c89
43;63856722527898;63856722527898;4;7;a144f91c89
44;63856722530053;63856722530114;4;8;a144f91c89
45;63856722554296;63856722554323;4;7;a144f91c89
46;63856722563400;63856722563466;4;8;a144f91c89
47;63856722567139;63856722567168;4;9;a144f91c89
48;63856722567252;63856722567306;4;10;a144f91c89
49;63856722570901;63856722570955;-4;10;a144f91c89
50;63856722610479;63856722610492;5;6;a144f91c89
51;63856722612417;63856722612432;5;7;a144f91c89
52;63856722620580;63856722620661;5;7;a144f91c89
53;63856722627677;63856722627744;5;5;a144f91c89
54;63856722629190;63856722629190;5;6;a144f91c89
55;63856722631896;63856722632014;5;6;a144f91c89
56;63856722642610;63856722642936;5;7;a144f91c89
57;63856722647632;63856722647691;5;8;a144f91c89
58;63856722650910;63856722650954;5;9;a144f91c89
59;63856722653882;63856722653924;5;10;a144f91c89
60;63856722665086;63856722665099;5;11;a144f91c89
61;63856722677266;63856722677266;-5;10;a144f91c89
62;63856722715304;63856722715384;6;3;a144f91c89
63;63856722715384;63856722715410;6;4;a144f91c89
64;63856722716999;63856722717270;6;5;a144f91c89
65;63856722738556;63856722738641;6;4;a144f91c89
66;63856722754270;63856722754314;6;5;a144f91c89
67;63856722757387;63856722757401;6;6;a144f91c89
68;63856722759109;63856722759148;6;7;a144f91c89
69;63856722771124;63856722771165;6;8;a144f91c89
70;63856722771460;63856722771474;6;9;a144f91c89
71;63856722800455;63856722800495;-6;6;a144f91c89
72;63856722801811;63856722801825;-6;7;a144f91c89
73;63856722814933;63856722814944;-6;7;a144f91c89
74;63856722815175;63856722815233;-6;8;a144f91c89
75;63856722815498;63856722815510;-6;9;a144f91c89
76;63856722830183;63856722830335;7;8;a144f91c89
77;63856722831990;63856722832005;7;7;a144f91c89
78;63856722854932;63856722854974;7;8;a144f91c89
79;63856722866612;63856722866940;7;7;a144f91c89
80;63856722869633;63856722869672;7;8;a144f91c89
81;63856722872423;63856722872423;7;9;a144f91c89
82;63856722874946;63856722874972;7;9;a144f91c89
83;63856722876827;63856722876852;7;8;a144f91c89
84;63856722882913;63856722882965;7;9;a144f91c89
85;63856722905589;63856722905683;-7;8;a144f91c89
86;63856722907329;63856722907343;-7;9;a144f91c89
87;63856722936143;63856722936223;8;5;a144f91c89
88;63856722964027;63856722964076;8;4;a144f91c89
89;63856722964588;63856722964717;8;5;a144f91c89
90;63856722983333;63856722983348;8;4;a144f91c89
91;63856722990151;63856722990164;8;5;a144f91c89
92;63856723005783;63856723005796;8;5;a144f91c89
93;63856723014003;63856723014016;-8;6;a144f91c89
94;63856723015510;63856723015592;-8;7;a144f91c89
