Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63856722094924;63856722094980;0;10,14777;a144f91c89
2;63856722095156;63856722095184;0;5,498754;a144f91c89
3;63856722095404;63856722095458;0;15,23941;a144f91c89
4;63856722095660;63856722095756;0;25,9862;a144f91c89
5;63856722095809;63856722095890;0;13,86164;a144f91c89
6;63856722095903;63856722096010;0;8,810843;a144f91c89
7;63856722096062;63856722096217;0;4,845047;a144f91c89
8;63856722096282;63856722096420;0;11,95532;a144f91c89
9;63856722096706;63856722096745;0;4,247454;a144f91c89
10;63856722096929;63856722096967;0;7,192712;a144f91c89
11;63856722097153;63856722097179;0;2,814664;a144f91c89
12;63856722097342;63856722097379;0;9,06733;a144f91c89
13;63856722097693;63856722097756;0;24,23258;a144f91c89
14;63856722097846;63856722097925;0;11,99904;a144f91c89
15;63856722099634;63856722099711;0;29,76527;a144f91c89
16;63856722099864;63856722099939;0;20,33716;a144f91c89
17;63856722100003;63856722100040;0;4,588981;a144f91c89
18;63856722100053;63856722100091;0;7,225395;a144f91c89
19;63856722100167;63856722100239;0;6,66047;a144f91c89
20;63856722100276;63856722100349;0;15,68085;a144f91c89
21;63856722100722;63856722100757;0;4,946449;a144f91c89
22;63856722101008;63856722101021;0;3,090095;a144f91c89
23;63856722101069;63856722101131;0;26,55062;a144f91c89
24;63856722101225;63856722101284;0;0,5344914;a144f91c89
25;63856722101321;63856722101449;0;22,44954;a144f91c89
26;63856722101472;63856722101498;0;4,465808;a144f91c89
27;63856722101509;63856722101521;0;1,36659;a144f91c89
28;63856722101779;63856722101814;0;6,457252;a144f91c89
29;63856722102143;63856722102178;0;3,615413;a144f91c89
30;63856722102602;63856722102649;0;14,73807;a144f91c89
31;63856722103133;63856722103191;0;19,25117;a144f91c89
32;63856722103369;63856722103393;0;5,390852;a144f91c89
33;63856722104098;63856722104144;0;10,82198;a144f91c89
34;63856722104285;63856722104321;0;10,92688;a144f91c89
35;63856722104615;63856722104698;0;17,7082;a144f91c89
36;63856722104898;63856722104944;0;20,79976;a144f91c89
37;63856722105192;63856722105216;0;1,61034;a144f91c89
38;63856722105392;63856722105426;0;4,418896;a144f91c89
39;63856722106060;63856722106072;0;3,555617;a144f91c89
40;63856722106331;63856722106428;0;18,83974;a144f91c89
41;63856722106467;63856722106676;0;31,4671;a144f91c89
42;63856722107865;63856722107890;0;5,506091;a144f91c89
43;63856722108384;63856722108438;0;8,062339;a144f91c89
44;63856722108450;63856722108569;0;16,16149;a144f91c89
45;63856722109206;63856722109234;0;3,605489;a144f91c89
46;63856722109247;63856722109446;0;25,90484;a144f91c89
47;63856722110822;63856722110848;0;5,710554;a144f91c89
48;63856722111236;63856722111276;0;9,231183;a144f91c89
49;63856722111636;63856722111690;0;17,22388;a144f91c89
50;63856722111731;63856722111744;0;1,909674;a144f91c89
51;63856722111771;63856722111837;0;8,775098;a144f91c89
52;63856722111850;63856722111891;0;2,620549;a144f91c89
53;63856722112900;63856722112953;0;7,576912;a144f91c89
54;63856722113471;63856722113527;0;12,80186;a144f91c89
55;63856722114138;63856722114180;0;6,784662;a144f91c89
56;63856722115011;63856722115065;0;17,8139;a144f91c89
57;63856722115788;63856722115832;0;14,98859;a144f91c89
58;63856722115934;63856722115978;0;11,0584;a144f91c89
59;63856722116008;63856722116023;0;2,146213;a144f91c89
60;63856722116037;63856722116128;0;6,453759;a144f91c89
61;63856722116340;63856722116384;0;6,401318;a144f91c89
62;63856722116523;63856722116554;0;10,01327;a144f91c89
63;63856722116737;63856722116799;0;9,622816;a144f91c89
64;63856722116845;63856722116967;0;8,272249;a144f91c89
65;63856722117871;63856722117917;0;15,56749;a144f91c89
66;63856722117947;63856722118006;0;3,782375;a144f91c89
67;63856722118125;63856722118139;0;1,687368;a144f91c89
68;63856722118183;63856722118346;0;12,91989;a144f91c89
69;63856722118398;63856722118490;0;12,58078;a144f91c89
70;63856722118503;63856722118805;0;6,512406;a144f91c89
71;63856722118818;63856722118881;0;6,424098;a144f91c89
72;63856722119057;63856722119082;0;3,529641;a144f91c89
73;63856722119194;63856722119245;0;20,15603;a144f91c89
74;63856722121209;63856722121261;0;7,948582;a144f91c89
75;63856722121964;63856722122029;0;29,21414;a144f91c89
76;63856722122124;63856722122317;0;16,52594;a144f91c89
77;63856722122443;63856722122499;0;12,20718;a144f91c89
78;63856722122906;63856722122934;0;8,27595;a144f91c89
79;63856722123445;63856722123459;0;2,795264;a144f91c89
80;63856722124236;63856722124264;0;4,799753;a144f91c89
81;63856722124562;63856722124605;0;5,773701;a144f91c89
82;63856722125205;63856722125220;0;4,366729;a144f91c89
83;63856722125288;63856722125329;0;6,925066;a144f91c89
84;63856722125343;63856722125410;0;11,32714;a144f91c89
85;63856722125410;63856722125464;0;11,30002;a144f91c89
86;63856722125514;63856722125638;0;11,26276;a144f91c89
87;63856722125712;63856722125772;0;7,625913;a144f91c89
88;63856722125833;63856722125880;0;11,49358;a144f91c89
89;63856722126120;63856722126179;0;23,30482;a144f91c89
90;63856722126478;63856722126538;0;22,20162;a144f91c89
91;63856722126760;63856722126822;0;31,70108;a144f91c89
92;63856722126958;63856722126971;0;2,403466;a144f91c89
93;63856722127257;63856722127295;0;16,08381;a144f91c89
94;63856722127532;63856722127569;0;3,877827;a144f91c89
95;63856722127848;63856722127886;0;13,88296;a144f91c89
96;63856722128038;63856722128088;0;9,590278;a144f91c89
97;63856722128405;63856722128576;0;38,32816;a144f91c89
98;63856722128589;63856722128601;0;1,047171;a144f91c89
99;63856722129286;63856722129324;0;3,901037;a144f91c89
100;63856722129820;63856722129846;0;2,710433;a144f91c89
101;63856722129858;63856722130016;0;19,01695;a144f91c89
102;63856722130082;63856722130109;0;2,797784;a144f91c89
103;63856722130902;63856722130927;0;1,751224;a144f91c89
104;63856722130979;63856722130991;0;0,4937682;a144f91c89
105;63856722131105;63856722131119;0;2,750294;a144f91c89
106;63856722131169;63856722131181;0;4,972205;a144f91c89
107;63856722131193;63856722131232;0;7,121747;a144f91c89
108;63856722131232;63856722131431;0;10,99141;a144f91c89
109;63856722131625;63856722131662;0;5,790718;a144f91c89
110;63856722132314;63856722132360;0;17,62818;a144f91c89
111;63856722132602;63856722132648;0;16,97397;a144f91c89
112;63856722132853;63856722132901;0;13,34295;a144f91c89
113;63856722133155;63856722133227;0;30,48949;a144f91c89
114;63856722133470;63856722133671;0;5,461277;a144f91c89
115;63856722133683;63856722133722;0;3,446908;a144f91c89
116;63856722133734;63856722133759;0;9,617809;a144f91c89
117;63856722133771;63856722133798;0;12,05364;a144f91c89
118;63856722133822;63856722133900;0;10,53689;a144f91c89
119;63856722133953;63856722134031;0;27,19505;a144f91c89
120;63856722134045;63856722134111;0;11,15129;a144f91c89
121;63856722134123;63856722134190;0;28,55726;a144f91c89
122;63856722134322;63856722134347;0;3,624068;a144f91c89
123;63856722134387;63856722134426;0;4,381639;a144f91c89
124;63856722134886;63856722134924;0;4,649073;a144f91c89
125;63856722134974;63856722134999;0;2,730293;a144f91c89
126;63856722135035;63856722135059;0;1,972388;a144f91c89
127;63856722135170;63856722135378;0;24,85942;a144f91c89
128;63856722135606;63856722135656;0;14,30163;a144f91c89
129;63856722135924;63856722135974;0;21,50967;a144f91c89
130;63856722136122;63856722136220;0;39,83783;a144f91c89
131;63856722136305;63856722136392;0;13,309;a144f91c89
132;63856722136432;63856722136709;0;7,889389;a144f91c89
133;63856722136722;63856722136808;0;15,66278;a144f91c89
134;63856722136822;63856722136898;0;22,7629;a144f91c89
135;63856722136910;63856722136934;0;2,807074;a144f91c89
136;63856722136946;63856722137072;0;16,9196;a144f91c89
137;63856722137212;63856722137288;0;26,22004;a144f91c89
138;63856722137349;63856722137564;0;40,84525;a144f91c89
139;63856722137661;63856722137722;0;12,11035;a144f91c89
140;63856722137937;63856722137960;0;5,69175;a144f91c89
141;63856722138821;63856722138844;0;7,25477;a144f91c89
142;63856722139045;63856722139067;0;1,111355;a144f91c89
143;63856722139393;63856722139420;0;0,1557664;a144f91c89
144;63856722139445;63856722139510;0;11,80927;a144f91c89
145;63856722139510;63856722139537;0;0,6581939;a144f91c89
146;63856722139564;63856722139670;0;15,13096;a144f91c89
147;63856722139698;63856722139737;0;14,06792;a144f91c89
148;63856722139805;63856722139928;0;17,50248;a144f91c89
149;63856722140305;63856722140333;0;3,741306;a144f91c89
150;63856722140670;63856722140710;0;7,081222;a144f91c89
151;63856722141302;63856722141359;0;18,44262;a144f91c89
152;63856722141447;63856722141491;0;14,83929;a144f91c89
153;63856722141742;63856722141802;0;6,056215;a144f91c89
154;63856722142146;63856722142191;0;8,149796;a144f91c89
155;63856722142913;63856722142958;0;6,102136;a144f91c89
156;63856722143138;63856722143182;0;6,940711;a144f91c89
157;63856722143287;63856722143345;0;11,37214;a144f91c89
158;63856722143504;63856722143548;0;17,20349;a144f91c89
159;63856722143605;63856722143636;0;4,102601;a144f91c89
160;63856722143753;63856722143781;0;4,368164;a144f91c89
161;63856722144015;63856722144031;0;1,275489;a144f91c89
162;63856722144148;63856722144178;0;2,301803;a144f91c89
163;63856722144523;63856722144569;0;4,530516;a144f91c89
164;63856722144584;63856722144613;0;7,602794;a144f91c89
165;63856722145447;63856722145509;0;15,28977;a144f91c89
166;63856722145732;63856722145787;0;6,625547;a144f91c89
167;63856722145826;63856722145972;0;31,02457;a144f91c89
168;63856722146131;63856722146171;0;4,840031;a144f91c89
169;63856722147238;63856722147279;0;15,0534;a144f91c89
170;63856722147400;63856722147439;0;5,406062;a144f91c89
171;63856722147492;63856722147561;0;5,062602;a144f91c89
172;63856722148759;63856722148773;0;1,30761;a144f91c89
173;63856722149116;63856722149280;0;15,46109;a144f91c89
174;63856722149322;63856722149363;0;9,446395;a144f91c89
175;63856722149575;63856722149589;0;1,62305;a144f91c89
176;63856722149682;63856722149765;0;12,96163;a144f91c89
177;63856722149791;63856722149887;0;6,956238;a144f91c89
178;63856722150006;63856722150034;0;1,933404;a144f91c89
179;63856722150088;63856722150142;0;6,116864;a144f91c89
180;63856722150687;63856722150700;0;2,549217;a144f91c89
181;63856722151402;63856722151456;0;4,851674;a144f91c89
182;63856722151456;63856722151508;0;7,295949;a144f91c89
183;63856722151828;63856722151881;0;18,47143;a144f91c89
184;63856722151961;63856722152030;0;7,169763;a144f91c89
185;63856722152242;63856722152269;0;8,370037;a144f91c89
186;63856722152588;63856722152614;0;4,537039;a144f91c89
187;63856722153025;63856722153208;0;25,3806;a144f91c89
188;63856722153504;63856722153543;0;5,970118;a144f91c89
189;63856722153594;63856722153660;0;9,404018;a144f91c89
190;63856722153853;63856722153879;0;4,174904;a144f91c89
191;63856722153956;63856722153993;0;3,009929;a144f91c89
192;63856722154020;63856722154202;0;3,941338;a144f91c89
193;63856722154215;63856722154361;0;20,49816;a144f91c89
194;63856722154747;63856722154775;0;7,058969;a144f91c89
195;63856722154976;63856722155002;0;3,615738;a144f91c89
196;63856722155593;63856722155652;0;31,06244;a144f91c89
197;63856722155754;63856722155916;0;11,59524;a144f91c89
198;63856722156317;63856722156364;0;11,22281;a144f91c89
199;63856722156880;63856722156925;0;4,21979;a144f91c89
200;63856722157160;63856722157205;0;4,508934;a144f91c89
201;63856722157448;63856722157491;0;16,38359;a144f91c89
202;63856722157665;63856722157706;0;5,619845;a144f91c89
203;63856722157821;63856722157864;0;3,57796;a144f91c89
204;63856722157922;63856722157936;0;1,461525;a144f91c89
205;63856722157966;63856722158010;0;4,315748;a144f91c89
206;63856722158038;63856722158053;0;1,513749;a144f91c89
207;63856722158156;63856722158170;0;1,42189;a144f91c89
208;63856722158406;63856722158452;0;8,889864;a144f91c89
209;63856722158613;63856722158627;0;1,726691;a144f91c89
210;63856722158893;63856722158936;0;11,42205;a144f91c89
211;63856722159038;63856722159098;0;8,940131;a144f91c89
212;63856722159231;63856722159258;0;3,57796;a144f91c89
213;63856722159303;63856722159391;0;19,12703;a144f91c89
214;63856722159408;63856722159436;0;6,262094;a144f91c89
215;63856722159565;63856722159764;0;23,36258;a144f91c89
216;63856722159935;63856722159972;0;2,953865;a144f91c89
217;63856722160301;63856722160338;0;4,081495;a144f91c89
218;63856722160601;63856722160653;0;18,9352;a144f91c89
219;63856722160691;63856722160720;0;1,887511;a144f91c89
220;63856722160733;63856722160758;0;4,069434;a144f91c89
221;63856722160839;63856722160937;0;9,742695;a144f91c89
222;63856722161121;63856722161176;0;8,605054;a144f91c89
223;63856722161358;63856722161388;0;5,748423;a144f91c89
224;63856722161614;63856722161657;0;10,95386;a144f91c89
225;63856722161810;63856722161838;0;7,582246;a144f91c89
226;63856722162402;63856722162430;0;9,807323;a144f91c89
227;63856722162443;63856722162509;0;8,976888;a144f91c89
228;63856722162603;63856722162628;0;4,555996;a144f91c89
229;63856722162641;63856722162666;0;7,958701;a144f91c89
230;63856722162679;63856722162766;0;17,354;a144f91c89
231;63856722162959;63856722162997;0;3,833847;a144f91c89
232;63856722163803;63856722163854;0;19,63089;a144f91c89
233;63856722164369;63856722164396;0;2,587853;a144f91c89
234;63856722164408;63856722164434;0;2,832067;a144f91c89
235;63856722164434;63856722164674;0;17,55612;a144f91c89
236;63856722164870;63856722164938;0;18,35828;a144f91c89
237;63856722165118;63856722165171;0;9,010203;a144f91c89
238;63856722165365;63856722165433;0;18,44611;a144f91c89
239;63856722165555;63856722165771;0;6,890566;a144f91c89
240;63856722165799;63856722165825;0;1,643063;a144f91c89
241;63856722165852;63856722165932;0;6,568114;a144f91c89
242;63856722166131;63856722166170;0;9,54108;a144f91c89
243;63856722166434;63856722166475;0;3,474404;a144f91c89
244;63856722166901;63856722166926;0;7,547745;a144f91c89
245;63856722167421;63856722167447;0;3,902743;a144f91c89
246;63856722167513;63856722167567;0;21,48561;a144f91c89
247;63856722167606;63856722167620;0;1,809051;a144f91c89
248;63856722167633;63856722167792;0;18,50696;a144f91c89
249;63856722168201;63856722168253;0;7,582297;a144f91c89
250;63856722168608;63856722168675;0;28,19461;a144f91c89
251;63856722168714;63856722168741;0;1,631109;a144f91c89
252;63856722168767;63856722168820;0;11,44723;a144f91c89
253;63856722168846;63856722168860;0;1,206259;a144f91c89
254;63856722169168;63856722169193;0;2,186507;a144f91c89
255;63856722169615;63856722169642;0;3,332547;a144f91c89
256;63856722169655;63856722169760;0;16,6025;a144f91c89
257;63856722170175;63856722170188;0;2,041814;a144f91c89
258;63856722170636;63856722170676;0;7,52037;a144f91c89
259;63856722171082;63856722171122;0;14,58495;a144f91c89
260;63856722171402;63856722171430;0;3,282649;a144f91c89
261;63856722172534;63856722172577;0;22,20675;a144f91c89
262;63856722172648;63856722172691;0;10,56446;a144f91c89
263;63856722172721;63856722172736;0;1,873044;a144f91c89
264;63856722172752;63856722172841;0;8,803415;a144f91c89
265;63856722172931;63856722173020;0;15,78779;a144f91c89
266;63856722173201;63856722173232;0;8,567381;a144f91c89
267;63856722173564;63856722173609;0;9,103728;a144f91c89
268;63856722173700;63856722173730;0;4,763865;a144f91c89
269;63856722173941;63856722173985;0;12,9402;a144f91c89
270;63856722174088;63856722174178;0;26,69409;a144f91c89
271;63856722174264;63856722174303;0;2,342011;a144f91c89
272;63856722174319;63856722174344;0;2,351769;a144f91c89
273;63856722174383;63856722174575;0;30,30377;a144f91c89
274;63856722174589;63856722174614;0;3,242867;a144f91c89
275;63856722175074;63856722175100;0;4,332869;a144f91c89
276;63856722175374;63856722175400;0;3,537288;a144f91c89
277;63856722175638;63856722175705;0;27,37962;a144f91c89
278;63856722175732;63856722175745;0;2,714691;a144f91c89
279;63856722175758;63856722175885;0;16,58528;a144f91c89
280;63856722176354;63856722176409;0;14,99371;a144f91c89
281;63856722176694;63856722176736;0;4,604195;a144f91c89
282;63856722177039;63856722177068;0;6,522816;a144f91c89
283;63856722177315;63856722177345;0;9,366553;a144f91c89
284;63856722177653;63856722177697;0;17,07859;a144f91c89
285;63856722177881;63856722177897;0;2,845238;a144f91c89
286;63856722178686;63856722178745;0;11,67062;a144f91c89
287;63856722179353;63856722179409;0;6,278073;a144f91c89
288;63856722179437;63856722179465;0;1,444014;a144f91c89
289;63856722179507;63856722179521;0;2,003693;a144f91c89
290;63856722179535;63856722179577;0;9,173569;a144f91c89
291;63856722179853;63856722179879;0;8,845667;a144f91c89
292;63856722179891;63856722179904;0;1,332221;a144f91c89
293;63856722179983;63856722179997;0;1,492528;a144f91c89
294;63856722180010;63856722180036;0;4,468614;a144f91c89
295;63856722180074;63856722180098;0;6,778155;a144f91c89
296;63856722180123;63856722180147;0;2,554509;a144f91c89
297;63856722180332;63856722180355;0;2,645601;a144f91c89
298;63856722180789;63856722181000;0;39,20061;a144f91c89
299;63856722181092;63856722181251;0;19,68231;a144f91c89
300;63856722182074;63856722182127;0;17,18966;a144f91c89
301;63856722182631;63856722182656;0;3,617362;a144f91c89
302;63856722183116;63856722183169;0;8,822184;a144f91c89
303;63856722183642;63856722183680;0;6,258117;a144f91c89
304;63856722183969;63856722183996;0;2,955918;a144f91c89
305;63856722184166;63856722184257;0;28,13592;a144f91c89
306;63856722184337;63856722184376;0;2,772129;a144f91c89
307;63856722184877;63856722184983;0;26,42765;a144f91c89
308;63856722185036;63856722185171;0;11,05067;a144f91c89
309;63856722185185;63856722185237;0;8,462483;a144f91c89
310;63856722185856;63856722185869;0;2,593595;a144f91c89
311;63856722185882;63856722185922;0;3,640079;a144f91c89
312;63856722185948;63856722186042;0;12,25115;a144f91c89
313;63856722186336;63856722186377;0;7,867713;a144f91c89
314;63856722187004;63856722187031;0;3,142737;a144f91c89
315;63856722187683;63856722187723;0;7,090468;a144f91c89
316;63856722187748;63856722187814;0;11,75182;a144f91c89
317;63856722187826;63856722187934;0;10,94643;a144f91c89
318;63856722187934;63856722187946;0;1,756692;a144f91c89
319;63856722188367;63856722188420;0;12,1286;a144f91c89
320;63856722188847;63856722188887;0;10,98797;a144f91c89
321;63856722189400;63856722189427;0;16,4426;a144f91c89
322;63856722189544;63856722189558;0;1,727824;a144f91c89
323;63856722189558;63856722189602;0;6,562977;a144f91c89
324;63856722189747;63856722189763;0;2,532114;a144f91c89
325;63856722189981;63856722190024;0;4,723478;a144f91c89
326;63856722190127;63856722190200;0;26,09324;a144f91c89
327;63856722190288;63856722190377;0;5,468126;a144f91c89
328;63856722190806;63856722190882;0;28,59346;a144f91c89
329;63856722190926;63856722190939;0;1,456294;a144f91c89
330;63856722191134;63856722191189;0;19,73188;a144f91c89
331;63856722191300;63856722191355;0;5,938184;a144f91c89
332;63856722191382;63856722191465;0;9,621999;a144f91c89
333;63856722191491;63856722191521;0;4,721404;a144f91c89
334;63856722191536;63856722191736;0;25,09931;a144f91c89
335;63856722191752;63856722191780;0;2,732228;a144f91c89
336;63856722191794;63856722191922;0;11,0945;a144f91c89
337;63856722191922;63856722191965;0;8,067524;a144f91c89
338;63856722192021;63856722192067;0;11,24955;a144f91c89
339;63856722192296;63856722192310;0;7,091243;a144f91c89
340;63856722192324;63856722192354;0;5,487695;a144f91c89
341;63856722192455;63856722192512;0;15,50711;a144f91c89
342;63856722192657;63856722192671;0;1,386775;a144f91c89
343;63856722192671;63856722192718;0;21,92359;a144f91c89
344;63856722192908;63856722192936;0;1,2874;a144f91c89
345;63856722193038;63856722193096;0;22,92447;a144f91c89
346;63856722193212;63856722193256;0;3,800658;a144f91c89
347;63856722193331;63856722193488;0;27,14087;a144f91c89
348;63856722193669;63856722193696;0;3,067204;a144f91c89
349;63856722193736;63856722193954;0;22,13617;a144f91c89
350;63856722194936;63856722195003;0;29,09715;a144f91c89
351;63856722195031;63856722195220;0;7,840948;a144f91c89
352;63856722195589;63856722195631;0;4,692605;a144f91c89
353;63856722195991;63856722196020;0;4,271868;a144f91c89
354;63856722196278;63856722196307;0;6,580136;a144f91c89
355;63856722196526;63856722196549;0;2,492536;a144f91c89
356;63856722196834;63856722196877;0;13,02601;a144f91c89
357;63856722196890;63856722196918;0;1,752118;a144f91c89
358;63856722196946;63856722197015;0;5,834387;a144f91c89
359;63856722197030;63856722197056;0;2,329022;a144f91c89
360;63856722197069;63856722197085;0;3,467917;a144f91c89
361;63856722197232;63856722197244;0;2,013728;a144f91c89
362;63856722197244;63856722197270;0;2,333136;a144f91c89
363;63856722197349;63856722197363;0;4,276267;a144f91c89
