Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63856722094924;63856722094980;0;202,9553;a144f91c89
2;63856722095156;63856722095184;0;183,2918;a144f91c89
3;63856722095404;63856722095458;0;277,0801;a144f91c89
4;63856722095660;63856722095756;0;288,7356;a144f91c89
5;63856722095809;63856722095890;0;154,0182;a144f91c89
6;63856722095903;63856722096010;0;83,91279;a144f91c89
7;63856722096062;63856722096217;0;31,25837;a144f91c89
8;63856722096282;63856722096420;0;82,45045;a144f91c89
9;63856722096706;63856722096745;0;121,3558;a144f91c89
10;63856722096929;63856722096967;0;179,8178;a144f91c89
11;63856722097153;63856722097179;0;93,82215;a144f91c89
12;63856722097342;63856722097379;0;226,6833;a144f91c89
13;63856722097693;63856722097756;0;372,8089;a144f91c89
14;63856722097846;63856722097925;0;133,3227;a144f91c89
15;63856722099634;63856722099711;0;425,2181;a144f91c89
16;63856722099864;63856722099939;0;290,5308;a144f91c89
17;63856722100003;63856722100040;0;114,7245;a144f91c89
18;63856722100053;63856722100091;0;160,5643;a144f91c89
19;63856722100167;63856722100239;0;83,25588;a144f91c89
20;63856722100276;63856722100349;0;209,078;a144f91c89
21;63856722100722;63856722100757;0;141,3271;a144f91c89
22;63856722101008;63856722101021;0;154,5048;a144f91c89
23;63856722101069;63856722101131;0;408,471;a144f91c89
24;63856722101225;63856722101284;0;8,90819;a144f91c89
25;63856722101321;63856722101449;0;187,0795;a144f91c89
26;63856722101472;63856722101498;0;178,6323;a144f91c89
27;63856722101509;63856722101521;0;91,106;a144f91c89
28;63856722101779;63856722101814;0;161,4313;a144f91c89
29;63856722102143;63856722102178;0;103,2975;a144f91c89
30;63856722102602;63856722102649;0;327,5126;a144f91c89
31;63856722103133;63856722103191;0;320,8529;a144f91c89
32;63856722103369;63856722103393;0;179,6951;a144f91c89
33;63856722104098;63856722104144;0;216,4397;a144f91c89
34;63856722104285;63856722104321;0;312,1967;a144f91c89
35;63856722104615;63856722104698;0;236,1094;a144f91c89
36;63856722104898;63856722104944;0;378,1775;a144f91c89
37;63856722105192;63856722105216;0;80,51703;a144f91c89
38;63856722105392;63856722105426;0;126,2542;a144f91c89
39;63856722106060;63856722106072;0;237,0412;a144f91c89
40;63856722106331;63856722106428;0;198,3131;a144f91c89
41;63856722106467;63856722106676;0;146,3586;a144f91c89
42;63856722107865;63856722107890;0;183,5364;a144f91c89
43;63856722108384;63856722108438;0;161,2468;a144f91c89
44;63856722108450;63856722108569;0;134,6791;a144f91c89
45;63856722109206;63856722109234;0;120,183;a144f91c89
46;63856722109247;63856722109446;0;129,5242;a144f91c89
47;63856722110822;63856722110848;0;163,1587;a144f91c89
48;63856722111236;63856722111276;0;230,7796;a144f91c89
49;63856722111636;63856722111690;0;313,1615;a144f91c89
50;63856722111731;63856722111744;0;76,38695;a144f91c89
51;63856722111771;63856722111837;0;125,3585;a144f91c89
52;63856722111850;63856722111891;0;74,87282;a144f91c89
53;63856722112900;63856722112953;0;168,3758;a144f91c89
54;63856722113471;63856722113527;0;232,761;a144f91c89
55;63856722114138;63856722114180;0;169,6165;a144f91c89
56;63856722115011;63856722115065;0;323,8891;a144f91c89
