Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63856829587109;63856829587148;0;6,36926;a453d61137
2;63856829587576;63856829587647;0;18,84876;a453d61137
3;63856829587732;63856829587746;0;1,865506;a453d61137
4;63856829587760;63856829587815;0;12,2209;a453d61137
5;63856829587843;63856829587856;0;1,151141;a453d61137
6;63856829587882;63856829587960;0;4,61002;a453d61137
7;63856829588024;63856829588099;0;7,078008;a453d61137
8;63856829588161;63856829588224;0;15,46674;a453d61137
9;63856829588637;63856829588688;0;12,7939;a453d61137
10;63856829588849;63856829588910;0;15,91064;a453d61137
11;63856829589331;63856829589412;0;23,10578;a453d61137
12;63856829589495;63856829589557;0;6,843352;a453d61137
13;63856829590110;63856829590136;0;8,804085;a453d61137
14;63856829590227;63856829590239;0;1,200241;a453d61137
15;63856829590254;63856829590414;0;14,98754;a453d61137
16;63856829590501;63856829590548;0;9,187717;a453d61137
17;63856829590800;63856829590836;0;11,93664;a453d61137
18;63856829591072;63856829591120;0;9,116541;a453d61137
19;63856829591249;63856829591297;0;11,35147;a453d61137
20;63856829591625;63856829591637;0;9,154892;a453d61137
21;63856829591648;63856829591694;0;13,2598;a453d61137
22;63856829591981;63856829592038;0;10,40431;a453d61137
23;63856829592187;63856829592221;0;4,562311;a453d61137
24;63856829592347;63856829592405;0;24,71438;a453d61137
25;63856829592580;63856829592615;0;6,917357;a453d61137
26;63856829592815;63856829592861;0;9,2554;a453d61137
27;63856829593027;63856829593087;0;22,71959;a453d61137
28;63856829593262;63856829593288;0;3,590251;a453d61137
29;63856829593503;63856829593551;0;15,71892;a453d61137
30;63856829593961;63856829594011;0;19,63547;a453d61137
31;63856829594215;63856829594253;0;10,70574;a453d61137
32;63856829594543;63856829594591;0;7,609554;a453d61137
33;63856829594783;63856829594821;0;8,155864;a453d61137
34;63856829595233;63856829595269;0;7,916908;a453d61137
35;63856829595333;63856829595359;0;4,874074;a453d61137
36;63856829595372;63856829595387;0;1,573336;a453d61137
37;63856829595399;63856829595453;0;10,69965;a453d61137
38;63856829595480;63856829595493;0;1,464468;a453d61137
39;63856829595522;63856829595578;0;5,030729;a453d61137
40;63856829595676;63856829595732;0;15,52351;a453d61137
41;63856829597105;63856829597204;0;33,98137;a453d61137
42;63856829597232;63856829597245;0;1,402071;a453d61137
43;63856829597258;63856829597338;0;8,158223;a453d61137
44;63856829597468;63856829597523;0;11,79634;a453d61137
45;63856829597806;63856829597843;0;4,080392;a453d61137
46;63856829597999;63856829598048;0;12,87394;a453d61137
47;63856829598406;63856829598455;0;11,70696;a453d61137
48;63856829598669;63856829598704;0;2,893335;a453d61137
49;63856829598834;63856829598857;0;1,517622;a453d61137
50;63856829598988;63856829599035;0;16,91135;a453d61137
51;63856829599142;63856829599188;0;13,10508;a453d61137
52;63856829599338;63856829599420;0;6,754386;a453d61137
53;63856829599956;63856829599978;0;2,772482;a453d61137
54;63856829600321;63856829600389;0;10,44582;a453d61137
55;63856829600515;63856829600560;0;11,49593;a453d61137
56;63856829600883;63856829600920;0;3,057807;a453d61137
57;63856829601114;63856829601150;0;5,575767;a453d61137
58;63856829601380;63856829601432;0;8,933338;a453d61137
59;63856829602027;63856829602079;0;15,33957;a453d61137
60;63856829602545;63856829602586;0;3,556884;a453d61137
61;63856829602812;63856829602866;0;22,7311;a453d61137
62;63856829602892;63856829602904;0;2,857115;a453d61137
63;63856829602945;63856829603024;0;7,328014;a453d61137
64;63856829603049;63856829603090;0;4,918845;a453d61137
65;63856829603288;63856829603327;0;4,637176;a453d61137
66;63856829603812;63856829603913;0;32,23399;a453d61137
67;63856829603927;63856829603956;0;3,147716;a453d61137
68;63856829603956;63856829604013;0;12,47693;a453d61137
69;63856829604013;63856829604156;0;6,4706;a453d61137
70;63856829604370;63856829604427;0;14,43159;a453d61137
71;63856829604870;63856829604908;0;15,44841;a453d61137
72;63856829605109;63856829605147;0;3,243893;a453d61137
73;63856829605409;63856829605462;0;14,95204;a453d61137
74;63856829605532;63856829605572;0;3,602121;a453d61137
75;63856829605588;63856829605643;0;6,565815;a453d61137
76;63856829605882;63856829605898;0;2,585659;a453d61137
77;63856829606731;63856829606772;0;4,112803;a453d61137
78;63856829607212;63856829607256;0;2,957176;a453d61137
79;63856829607299;63856829607312;0;1,386492;a453d61137
80;63856829607668;63856829607781;0;17,65199;a453d61137
81;63856829607810;63856829607868;0;9,075756;a453d61137
82;63856829607970;63856829608000;0;2,851766;a453d61137
83;63856829608176;63856829608234;0;13,06586;a453d61137
84;63856829608964;63856829609006;0;9,967565;a453d61137
85;63856829609283;63856829609338;0;18,56089;a453d61137
86;63856829609491;63856829609548;0;6,465325;a453d61137
87;63856829609592;63856829609666;0;5,3026;a453d61137
88;63856829610141;63856829610183;0;16,58586;a453d61137
89;63856829610313;63856829610357;0;11,36876;a453d61137
90;63856829610371;63856829610400;0;0,9815831;a453d61137
91;63856829610428;63856829610443;0;2,965241;a453d61137
92;63856829610587;63856829610797;0;23,18567;a453d61137
93;63856829611047;63856829611104;0;10,04383;a453d61137
94;63856829611880;63856829611922;0;6,279665;a453d61137
95;63856829612065;63856829612135;0;8,475515;a453d61137
96;63856829612148;63856829612178;0;2,74438;a453d61137
97;63856829612220;63856829612332;0;10,86924;a453d61137
98;63856829612648;63856829612687;0;7,381104;a453d61137
99;63856829612948;63856829612986;0;2,056808;a453d61137
100;63856829613099;63856829613148;0;8,716364;a453d61137
101;63856829613413;63856829613464;0;9,702331;a453d61137
102;63856829613602;63856829613652;0;6,594931;a453d61137
103;63856829613915;63856829613954;0;5,323916;a453d61137
104;63856829614091;63856829614141;0;11,58393;a453d61137
105;63856829614215;63856829614254;0;4,509324;a453d61137
106;63856829614906;63856829614945;0;4,714055;a453d61137
107;63856829615417;63856829615468;0;9,877588;a453d61137
108;63856829615632;63856829615681;0;9,59833;a453d61137
109;63856829616988;63856829617026;0;3,48706;a453d61137
110;63856829617181;63856829617221;0;8,173755;a453d61137
111;63856829617480;63856829617533;0;17,63671;a453d61137
112;63856829617558;63856829617584;0;2,310883;a453d61137
113;63856829617597;63856829617676;0;8,194722;a453d61137
114;63856829617702;63856829617714;0;2,149494;a453d61137
115;63856829617886;63856829617925;0;8,667075;a453d61137
116;63856829618278;63856829618316;0;17,05268;a453d61137
117;63856829618343;63856829618369;0;1,970998;a453d61137
118;63856829618381;63856829618497;0;12,26775;a453d61137
119;63856829618613;63856829618638;0;10,86861;a453d61137
120;63856829618758;63856829618784;0;1,815638;a453d61137
121;63856829618798;63856829618958;0;22,0077;a453d61137
122;63856829619357;63856829619371;0;1,561851;a453d61137
123;63856829619531;63856829619583;0;29,65652;a453d61137
124;63856829619829;63856829619895;0;4,385973;a453d61137
125;63856829620180;63856829620206;0;5,38274;a453d61137
126;63856829620639;63856829620681;0;6,79988;a453d61137
127;63856829620903;63856829620945;0;12,67224;a453d61137
128;63856829621014;63856829621193;0;14,8669;a453d61137
129;63856829621209;63856829621266;0;12,12428;a453d61137
130;63856829621266;63856829621349;0;2,343515;a453d61137
131;63856829621421;63856829621448;0;3,799782;a453d61137
132;63856829621694;63856829621748;0;15,36703;a453d61137
133;63856829621887;63856829621942;0;7,857877;a453d61137
134;63856829622539;63856829622597;0;18,89865;a453d61137
135;63856829622897;63856829622939;0;21,77959;a453d61137
136;63856829623302;63856829623359;0;13,59857;a453d61137
137;63856829623693;63856829623753;0;16,88805;a453d61137
138;63856829624277;63856829624306;0;9,610346;a453d61137
139;63856829624759;63856829624803;0;11,76924;a453d61137
140;63856829625540;63856829625642;0;31,19421;a453d61137
141;63856829625889;63856829625932;0;4,346272;a453d61137
142;63856829626426;63856829626483;0;10,99947;a453d61137
143;63856829626688;63856829626745;0;4,531856;a453d61137
144;63856829627446;63856829627475;0;1,90084;a453d61137
145;63856829627576;63856829627620;0;13,65353;a453d61137
146;63856829627953;63856829628010;0;19,29374;a453d61137
147;63856829628024;63856829628053;0;0,4541341;a453d61137
148;63856829628109;63856829628223;0;10,56518;a453d61137
149;63856829628628;63856829628655;0;3,234888;a453d61137
150;63856829628871;63856829628909;0;7,747118;a453d61137
151;63856829629136;63856829629175;0;9,90949;a453d61137
152;63856829629450;63856829629489;0;4,637049;a453d61137
153;63856829629797;63856829629848;0;14,17263;a453d61137
154;63856829629938;63856829629978;0;4,38642;a453d61137
155;63856829630003;63856829630028;0;2,418242;a453d61137
156;63856829630648;63856829630660;0;4,324362;a453d61137
157;63856829630741;63856829630780;0;16,451;a453d61137
158;63856829630806;63856829630870;0;6,42019;a453d61137
159;63856829631009;63856829631045;0;18,19452;a453d61137
160;63856829631157;63856829631453;0;4,10966;a453d61137
161;63856829631761;63856829631813;0;18,08487;a453d61137
162;63856829632195;63856829632234;0;5,724781;a453d61137
163;63856829632336;63856829632425;0;15,67603;a453d61137
164;63856829632438;63856829632526;0;10,5811;a453d61137
165;63856829632553;63856829632602;0;6,604944;a453d61137
166;63856829632920;63856829632958;0;6,28575;a453d61137
167;63856829633159;63856829633199;0;5,027262;a453d61137
168;63856829633404;63856829633445;0;7,813816;a453d61137
169;63856829633527;63856829633555;0;11,37932;a453d61137
170;63856829633912;63856829633925;0;1,939771;a453d61137
171;63856829635166;63856829635291;0;22,28454;a453d61137
172;63856829635333;63856829635527;0;24,01176;a453d61137
173;63856829635678;63856829635731;0;15,2159;a453d61137
174;63856829635848;63856829635964;0;5,992208;a453d61137
175;63856829635977;63856829636002;0;1,511679;a453d61137
176;63856829636014;63856829636100;0;7,991905;a453d61137
177;63856829636209;63856829636245;0;12,30703;a453d61137
178;63856829636491;63856829636543;0;7,309061;a453d61137
179;63856829637028;63856829637068;0;10,24934;a453d61137
180;63856829637159;63856829637172;0;1,263465;a453d61137
181;63856829637199;63856829637253;0;16,86604;a453d61137
182;63856829638288;63856829638356;0;16,92327;a453d61137
183;63856829638705;63856829638758;0;11,33013;a453d61137
184;63856829638891;63856829638904;0;1,700884;a453d61137
185;63856829639259;63856829639286;0;13,08211;a453d61137
186;63856829639337;63856829639350;0;0,7295417;a453d61137
187;63856829639364;63856829639390;0;0,3946573;a453d61137
