Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63856829587109;63856829587148;0;141,5391;a453d61137
2;63856829587576;63856829587647;0;289,981;a453d61137
3;63856829587732;63856829587746;0;124,3671;a453d61137
4;63856829587760;63856829587815;0;222,1982;a453d61137
5;63856829587843;63856829587856;0;57,55705;a453d61137
6;63856829587882;63856829587960;0;61,46693;a453d61137
7;63856829588024;63856829588099;0;108,8924;a453d61137
8;63856829588161;63856829588224;0;257,7791;a453d61137
9;63856829588637;63856829588688;0;255,878;a453d61137
10;63856829588849;63856829588910;0;244,7791;a453d61137
11;63856829589331;63856829589412;0;308,0771;a453d61137
12;63856829589495;63856829589557;0;114,0559;a453d61137
13;63856829590110;63856829590136;0;352,1634;a453d61137
14;63856829590227;63856829590239;0;80,01608;a453d61137
15;63856829590254;63856829590414;0;93,67214;a453d61137
16;63856829590501;63856829590548;0;183,7544;a453d61137
17;63856829590800;63856829590836;0;265,2587;a453d61137
18;63856829591072;63856829591120;0;202,5898;a453d61137
19;63856829591249;63856829591297;0;252,2549;a453d61137
20;63856829591625;63856829591637;0;457,7446;a453d61137
21;63856829591648;63856829591694;0;294,6623;a453d61137
22;63856829591981;63856829592038;0;208,0863;a453d61137
23;63856829592187;63856829592221;0;152,077;a453d61137
24;63856829592347;63856829592405;0;449,3523;a453d61137
25;63856829592580;63856829592615;0;153,7191;a453d61137
26;63856829592815;63856829592861;0;185,108;a453d61137
27;63856829593027;63856829593087;0;413,0835;a453d61137
28;63856829593262;63856829593288;0;143,61;a453d61137
29;63856829593503;63856829593551;0;392,9731;a453d61137
30;63856829593961;63856829594011;0;392,7095;a453d61137
31;63856829594215;63856829594253;0;305,8783;a453d61137
32;63856829594543;63856829594591;0;190,2388;a453d61137
33;63856829594783;63856829594821;0;203,8966;a453d61137
34;63856829595233;63856829595269;0;226,1974;a453d61137
35;63856829595333;63856829595359;0;194,963;a453d61137
36;63856829595372;63856829595387;0;78,66682;a453d61137
37;63856829595399;63856829595453;0;178,3275;a453d61137
38;63856829595480;63856829595493;0;73,22339;a453d61137
39;63856829595522;63856829595578;0;91,4678;a453d61137
40;63856829595676;63856829595732;0;258,7252;a453d61137
41;63856829597105;63856829597204;0;357,6987;a453d61137
42;63856829597232;63856829597245;0;93,47143;a453d61137
43;63856829597258;63856829597338;0;116,546;a453d61137
44;63856829597468;63856829597523;0;235,9267;a453d61137
45;63856829597806;63856829597843;0;116,5826;a453d61137
46;63856829597999;63856829598048;0;257,4788;a453d61137
47;63856829598406;63856829598455;0;234,1393;a453d61137
48;63856829598669;63856829598704;0;96,44451;a453d61137
49;63856829598834;63856829598857;0;75,88111;a453d61137
50;63856829598988;63856829599035;0;375,8077;a453d61137
51;63856829599142;63856829599188;0;238,2742;a453d61137
52;63856829599338;63856829599420;0;79,46336;a453d61137
53;63856829599956;63856829599978;0;92,41606;a453d61137
54;63856829600321;63856829600389;0;174,0969;a453d61137
55;63856829600515;63856829600560;0;287,3983;a453d61137
56;63856829600883;63856829600920;0;87,36591;a453d61137
57;63856829601114;63856829601150;0;139,3942;a453d61137
58;63856829601380;63856829601432;0;223,3335;a453d61137
59;63856829602027;63856829602079;0;306,7914;a453d61137
60;63856829602545;63856829602586;0;88,9221;a453d61137
61;63856829602812;63856829602866;0;454,6221;a453d61137
62;63856829602892;63856829602904;0;142,8558;a453d61137
63;63856829602945;63856829603024;0;91,60018;a453d61137
64;63856829603049;63856829603090;0;109,3077;a453d61137
65;63856829603288;63856829603327;0;103,0484;a453d61137
66;63856829603812;63856829603913;0;306,9904;a453d61137
67;63856829603927;63856829603956;0;104,9239;a453d61137
68;63856829603956;63856829604013;0;277,265;a453d61137
69;63856829604013;63856829604156;0;44,62483;a453d61137
70;63856829604370;63856829604427;0;262,3925;a453d61137
71;63856829604870;63856829604908;0;441,383;a453d61137
72;63856829605109;63856829605147;0;92,68265;a453d61137
73;63856829605409;63856829605462;0;299,0409;a453d61137
74;63856829605532;63856829605572;0;102,9177;a453d61137
75;63856829605588;63856829605643;0;101,0126;a453d61137
76;63856829605882;63856829605898;0;129,2829;a453d61137
77;63856829606731;63856829606772;0;102,8201;a453d61137
78;63856829607212;63856829607256;0;65,71503;a453d61137
79;63856829607299;63856829607312;0;92,43282;a453d61137
80;63856829607668;63856829607781;0;153,4956;a453d61137
81;63856829607810;63856829607868;0;139,627;a453d61137
82;63856829607970;63856829608000;0;114,0707;a453d61137
83;63856829608176;63856829608234;0;237,5611;a453d61137
84;63856829608964;63856829609006;0;199,3513;a453d61137
85;63856829609283;63856829609338;0;309,3482;a453d61137
86;63856829609491;63856829609548;0;117,5514;a453d61137
87;63856829609592;63856829609666;0;75,75143;a453d61137
88;63856829610141;63856829610183;0;331,7173;a453d61137
89;63856829610313;63856829610357;0;252,6391;a453d61137
90;63856829610371;63856829610400;0;28,04523;a453d61137
91;63856829610428;63856829610443;0;118,6097;a453d61137
92;63856829610587;63856829610797;0;115,9283;a453d61137
93;63856829611047;63856829611104;0;167,3971;a453d61137
94;63856829611880;63856829611922;0;156,9916;a453d61137
95;63856829612065;63856829612135;0;141,2586;a453d61137
96;63856829612148;63856829612178;0;109,7752;a453d61137
97;63856829612220;63856829612332;0;103,5166;a453d61137
98;63856829612648;63856829612687;0;164,0246;a453d61137
99;63856829612948;63856829612986;0;58,76594;a453d61137
100;63856829613099;63856829613148;0;158,4793;a453d61137
