Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63855259910336;63855259910373;0;1;ace1bf8e2b
2;63855259912865;63855259912902;0;2;ace1bf8e2b
3;63855259916020;63855259916076;0;3;ace1bf8e2b
4;63855259941013;63855259941057;0;4;ace1bf8e2b
5;63855259942091;63855259942135;0;5;ace1bf8e2b
6;63855259947226;63855259947313;0;6;ace1bf8e2b
7;63855259964405;63855259964445;0;7;ace1bf8e2b
8;63855259968298;63855259968363;0;8;ace1bf8e2b
9;63855259978856;63855259978924;0;6;ace1bf8e2b
10;63855259980990;63855259981045;0;7;ace1bf8e2b
11;63855259982249;63855259982290;0;8;ace1bf8e2b
12;63855260013384;63855260013446;0;6;ace1bf8e2b
13;63855260016780;63855260016943;0;7;ace1bf8e2b
14;63855260020975;63855260020988;0;8;ace1bf8e2b
15;63855260024486;63855260024510;0;8;ace1bf8e2b
16;63855260037268;63855260037333;0;8;ace1bf8e2b
17;63855260049661;63855260049736;0;6;ace1bf8e2b
18;63855260060081;63855260060095;0;7;ace1bf8e2b
19;63855260066812;63855260066848;0;8;ace1bf8e2b
20;63855260076630;63855260076667;0;8;ace1bf8e2b
21;63855260077012;63855260077024;0;8;ace1bf8e2b
22;63855260078089;63855260078149;0;9;ace1bf8e2b
23;63855260078639;63855260078678;0;10;ace1bf8e2b
24;63855260079460;63855260079471;0;11;ace1bf8e2b
25;63855260079484;63855260079534;0;12;ace1bf8e2b
26;63855260101419;63855260101463;1;10;ace1bf8e2b
27;63855260120306;63855260120319;1;9;ace1bf8e2b
28;63855260120358;63855260120386;1;10;ace1bf8e2b
29;63855260124903;63855260124963;1;11;ace1bf8e2b
30;63855260143273;63855260143336;1;5;ace1bf8e2b
31;63855260156367;63855260156395;1;6;ace1bf8e2b
32;63855260163284;63855260163311;1;6;ace1bf8e2b
33;63855260196024;63855260196038;1;4;ace1bf8e2b
34;63855260206098;63855260206098;-1;4;ace1bf8e2b
35;63855260208538;63855260208615;-1;5;ace1bf8e2b
36;63855260227352;63855260227390;2;4;ace1bf8e2b
37;63855260232991;63855260233014;2;5;ace1bf8e2b
38;63855260234754;63855260234843;2;6;ace1bf8e2b
39;63855260244910;63855260244925;2;7;ace1bf8e2b
40;63855260244939;63855260244981;2;8;ace1bf8e2b
41;63855260248978;63855260249034;2;9;ace1bf8e2b
42;63855260252141;63855260252210;2;10;ace1bf8e2b
43;63855260265174;63855260265189;2;10;ace1bf8e2b
44;63855260267592;63855260267735;2;10;ace1bf8e2b
45;63855260273442;63855260273456;2;10;ace1bf8e2b
46;63855260280866;63855260280879;2;11;ace1bf8e2b
47;63855260280906;63855260280920;2;12;ace1bf8e2b
48;63855260281761;63855260281777;2;13;ace1bf8e2b
49;63855260284059;63855260284059;2;14;ace1bf8e2b
50;63855260315432;63855260315519;2;8;ace1bf8e2b
51;63855260316678;63855260316678;2;9;ace1bf8e2b
52;63855260318878;63855260318955;2;10;ace1bf8e2b
53;63855260336141;63855260336168;2;8;ace1bf8e2b
54;63855260353291;63855260353342;2;5;ace1bf8e2b
55;63855260354762;63855260354777;2;6;ace1bf8e2b
56;63855260367913;63855260367962;2;7;ace1bf8e2b
57;63855260371921;63855260371973;2;8;ace1bf8e2b
58;63855260376037;63855260376098;2;8;ace1bf8e2b
59;63855260380880;63855260380949;2;7;ace1bf8e2b
60;63855260389645;63855260389687;2;8;ace1bf8e2b
61;63855260411879;63855260411919;-2;8;ace1bf8e2b
62;63855260427624;63855260427699;3;7;ace1bf8e2b
63;63855260434374;63855260434473;3;6;ace1bf8e2b
64;63855260440658;63855260440672;3;6;ace1bf8e2b
65;63855260460466;63855260460481;3;5;ace1bf8e2b
66;63855260469529;63855260469658;3;6;ace1bf8e2b
67;63855260478144;63855260478168;3;6;ace1bf8e2b
68;63855260484593;63855260484623;3;7;ace1bf8e2b
69;63855260487352;63855260487394;3;8;ace1bf8e2b
70;63855260496449;63855260496501;3;7;ace1bf8e2b
71;63855260498127;63855260498206;3;8;ace1bf8e2b
72;63855260506029;63855260506029;3;8;ace1bf8e2b
73;63855260508294;63855260508358;3;9;ace1bf8e2b
74;63855260512641;63855260512772;-3;10;ace1bf8e2b
75;63855260531886;63855260531911;4;9;ace1bf8e2b
76;63855260539401;63855260539457;4;9;ace1bf8e2b
77;63855260547061;63855260547175;4;9;ace1bf8e2b
78;63855260557909;63855260557965;4;8;ace1bf8e2b
79;63855260562614;63855260562644;4;8;ace1bf8e2b
80;63855260562715;63855260562744;4;9;ace1bf8e2b
81;63855260570412;63855260570528;4;8;ace1bf8e2b
82;63855260583740;63855260583806;4;8;ace1bf8e2b
83;63855260589194;63855260589239;4;9;ace1bf8e2b
84;63855260595549;63855260595639;-4;9;ace1bf8e2b
85;63855260600030;63855260600071;-4;9;ace1bf8e2b
86;63855260617509;63855260617569;5;9;ace1bf8e2b
87;63855260618791;63855260618843;5;9;ace1bf8e2b
88;63855260620253;63855260620340;5;10;ace1bf8e2b
89;63855260625465;63855260625479;5;9;ace1bf8e2b
90;63855260625495;63855260625509;5;10;ace1bf8e2b
91;63855260633982;63855260634023;5;10;ace1bf8e2b
92;63855260636168;63855260636235;5;11;ace1bf8e2b
93;63855260638977;63855260639042;5;12;ace1bf8e2b
94;63855260643900;63855260643938;5;12;ace1bf8e2b
95;63855260647238;63855260647291;5;13;ace1bf8e2b
96;63855260657917;63855260658065;5;12;ace1bf8e2b
97;63855260659451;63855260659481;5;13;ace1bf8e2b
98;63855260661394;63855260661432;5;13;ace1bf8e2b
99;63855260663646;63855260663682;5;14;ace1bf8e2b
100;63855260668766;63855260668856;5;15;ace1bf8e2b
101;63855260677414;63855260677505;5;16;ace1bf8e2b
102;63855260689658;63855260689840;-5;12;ace1bf8e2b
103;63855260694361;63855260694388;-5;12;ace1bf8e2b
104;63855260703848;63855260703906;6;11;ace1bf8e2b
105;63855260705344;63855260705392;6;11;ace1bf8e2b
106;63855260721576;63855260721618;6;8;ace1bf8e2b
107;63855260722046;63855260722086;6;9;ace1bf8e2b
108;63855260723261;63855260723349;6;10;ace1bf8e2b
109;63855260725585;63855260725598;6;10;ace1bf8e2b
110;63855260725598;63855260725654;6;11;ace1bf8e2b
111;63855260731225;63855260731283;6;11;ace1bf8e2b
112;63855260731310;63855260731427;6;12;ace1bf8e2b
113;63855260731692;63855260731732;6;13;ace1bf8e2b
114;63855260734830;63855260734843;6;14;ace1bf8e2b
115;63855260738838;63855260738902;6;14;ace1bf8e2b
116;63855260739565;63855260739616;6;15;ace1bf8e2b
117;63855260740975;63855260741024;6;16;ace1bf8e2b
118;63855260743468;63855260743515;6;17;ace1bf8e2b
119;63855260750141;63855260750167;6;17;ace1bf8e2b
120;63855260755168;63855260755168;6;17;ace1bf8e2b
121;63855260761210;63855260761280;6;18;ace1bf8e2b
122;63855260767502;63855260767555;6;17;ace1bf8e2b
123;63855260778022;63855260778062;6;18;ace1bf8e2b
124;63855260778879;63855260778915;6;19;ace1bf8e2b
125;63855260781175;63855260781236;6;20;ace1bf8e2b
126;63855260786184;63855260786234;6;16;ace1bf8e2b
127;63855260790984;63855260791026;6;17;ace1bf8e2b
128;63855260794151;63855260794235;6;15;ace1bf8e2b
129;63855260804337;63855260804416;6;11;ace1bf8e2b
130;63855260805077;63855260805144;6;12;ace1bf8e2b
131;63855260810729;63855260810777;6;12;ace1bf8e2b
132;63855260814964;63855260815142;6;13;ace1bf8e2b
133;63855260821171;63855260821198;6;13;ace1bf8e2b
134;63855260827273;63855260827311;6;13;ace1bf8e2b
135;63855260831540;63855260831566;-6;13;ace1bf8e2b
136;63855260835624;63855260835647;-6;14;ace1bf8e2b
137;63855260853864;63855260853916;7;10;ace1bf8e2b
138;63855260857730;63855260857786;7;10;ace1bf8e2b
139;63855260859458;63855260859536;7;11;ace1bf8e2b
140;63855260860533;63855260860571;7;12;ace1bf8e2b
141;63855260870021;63855260870063;7;11;ace1bf8e2b
142;63855260871914;63855260871943;7;11;ace1bf8e2b
143;63855260873626;63855260873695;7;12;ace1bf8e2b
144;63855260878466;63855260878478;7;12;ace1bf8e2b
145;63855260888208;63855260888223;7;11;ace1bf8e2b
146;63855260892259;63855260892286;7;11;ace1bf8e2b
147;63855260912093;63855260912134;7;11;ace1bf8e2b
148;63855260916984;63855260916997;7;11;ace1bf8e2b
149;63855260927500;63855260927516;7;9;ace1bf8e2b
150;63855260932973;63855260933023;7;8;ace1bf8e2b
151;63855260944325;63855260944388;-7;7;ace1bf8e2b
152;63855260968671;63855260968684;8;6;ace1bf8e2b
153;63855260973105;63855260973204;8;6;ace1bf8e2b
154;63855260975984;63855260976157;8;7;ace1bf8e2b
155;63855260979215;63855260979256;8;7;ace1bf8e2b
156;63855260983816;63855260983830;8;8;ace1bf8e2b
157;63855260987172;63855260987214;8;9;ace1bf8e2b
158;63855260987924;63855260987963;8;9;ace1bf8e2b
159;63855260992567;63855260992595;8;10;ace1bf8e2b
160;63855260995170;63855260995223;8;10;ace1bf8e2b
161;63855261002105;63855261002120;8;11;ace1bf8e2b
162;63855261002120;63855261002177;8;12;ace1bf8e2b
163;63855261002177;63855261002192;8;13;ace1bf8e2b
164;63855261005843;63855261005885;8;13;ace1bf8e2b
165;63855261015497;63855261015574;8;14;ace1bf8e2b
166;63855261023328;63855261023366;8;15;ace1bf8e2b
167;63855261030416;63855261030466;8;15;ace1bf8e2b
168;63855261031720;63855261031775;8;16;ace1bf8e2b
169;63855261036862;63855261036924;8;15;ace1bf8e2b
170;63855261041496;63855261041508;8;15;ace1bf8e2b
171;63855261047033;63855261047259;8;15;ace1bf8e2b
172;63855261050733;63855261050814;8;14;ace1bf8e2b
173;63855261063986;63855261064144;8;10;ace1bf8e2b
174;63855261079307;63855261079372;-8;9;ace1bf8e2b
175;63855261083814;63855261083827;-8;9;ace1bf8e2b
