Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63855259901192;63855259901260;0;267,7505;ace1bf8e2b
2;63855259901742;63855259901782;0;264,6492;ace1bf8e2b
3;63855259901981;63855259902007;0;77,64733;ace1bf8e2b
4;63855259902020;63855259902085;0;58,09146;ace1bf8e2b
5;63855259902098;63855259902138;0;229,3971;ace1bf8e2b
6;63855259902216;63855259902282;0;81,23435;ace1bf8e2b
7;63855259902319;63855259902359;0;93,44233;ace1bf8e2b
8;63855259902489;63855259902595;0;197,6545;ace1bf8e2b
9;63855259902806;63855259902886;0;175,8238;ace1bf8e2b
10;63855259902966;63855259903021;0;118,1413;ace1bf8e2b
11;63855259903035;63855259903117;0;31,54059;ace1bf8e2b
12;63855259903117;63855259903143;0;148,0468;ace1bf8e2b
13;63855259903259;63855259903343;0;126,4165;ace1bf8e2b
14;63855259903355;63855259903410;0;200,7828;ace1bf8e2b
15;63855259903617;63855259903672;0;91,29082;ace1bf8e2b
16;63855259903685;63855259903712;0;103,85;ace1bf8e2b
17;63855259903952;63855259904005;0;97,36365;ace1bf8e2b
18;63855259904017;63855259904082;0;55,12293;ace1bf8e2b
19;63855259904222;63855259904235;0;124,388;ace1bf8e2b
20;63855259904402;63855259904454;0;150,0645;ace1bf8e2b
21;63855259904605;63855259904630;0;93,50312;ace1bf8e2b
22;63855259904806;63855259904831;0;199,8515;ace1bf8e2b
23;63855259904918;63855259904942;0;210,8134;ace1bf8e2b
24;63855259905055;63855259905080;0;136,9004;ace1bf8e2b
25;63855259905355;63855259905379;0;105,5831;ace1bf8e2b
26;63855259905491;63855259905529;0;396,6057;ace1bf8e2b
27;63855259905992;63855259906018;0;206,8251;ace1bf8e2b
28;63855259906367;63855259906392;0;374,849;ace1bf8e2b
29;63855259906530;63855259906554;0;77,65279;ace1bf8e2b
30;63855259906930;63855259906942;0;409,8271;ace1bf8e2b
31;63855259907005;63855259907030;0;156,7236;ace1bf8e2b
32;63855259907179;63855259907231;0;198,8982;ace1bf8e2b
33;63855259907456;63855259907469;0;110,2735;ace1bf8e2b
34;63855259908528;63855259908602;0;392,3555;ace1bf8e2b
35;63855259908718;63855259908754;0;78,32319;ace1bf8e2b
36;63855259908831;63855259909015;0;27,21472;ace1bf8e2b
37;63855259909040;63855259909052;0;99,01993;ace1bf8e2b
38;63855259909088;63855259909158;0;105,5457;ace1bf8e2b
39;63855259909219;63855259909276;0;209,4103;ace1bf8e2b
40;63855259909454;63855259909489;0;127,4812;ace1bf8e2b
41;63855259909877;63855259909901;0;155,9491;ace1bf8e2b
42;63855259910536;63855259910572;0;145,155;ace1bf8e2b
43;63855259911056;63855259911091;0;201,7885;ace1bf8e2b
44;63855259911256;63855259911316;0;255,5678;ace1bf8e2b
45;63855259911481;63855259911504;0;264,9686;ace1bf8e2b
46;63855259911658;63855259911706;0;369,955;ace1bf8e2b
47;63855259911846;63855259911884;0;81,07348;ace1bf8e2b
48;63855259912132;63855259912143;0;102,7738;ace1bf8e2b
49;63855259913064;63855259913076;0;88,98102;ace1bf8e2b
50;63855259913089;63855259913139;0;125,7387;ace1bf8e2b
51;63855259913227;63855259913278;0;169,2438;ace1bf8e2b
52;63855259913586;63855259913600;0;78,6917;ace1bf8e2b
53;63855259913863;63855259913902;0;211,9237;ace1bf8e2b
54;63855259914113;63855259914154;0;151,3042;ace1bf8e2b
