Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63856407034037;63856407034064;0;9,48703;b0514d19a5
2;63856407034308;63856407034349;0;10,24551;b0514d19a5
3;63856407034542;63856407034611;0;11,96909;b0514d19a5
4;63856407034664;63856407034801;0;4,70582;b0514d19a5
5;63856407034855;63856407034935;0;9,274003;b0514d19a5
6;63856407034961;63856407035015;0;12,60781;b0514d19a5
7;63856407035240;63856407035267;0;6,144652;b0514d19a5
8;63856407036220;63856407036247;0;7,511101;b0514d19a5
9;63856407036711;63856407036789;0;30,48787;b0514d19a5
10;63856407036943;63856407036969;0;3,478853;b0514d19a5
11;63856407037044;63856407037069;0;4,56686;b0514d19a5
12;63856407037208;63856407037234;0;0,6367366;b0514d19a5
13;63856407037246;63856407037283;0;2,99055;b0514d19a5
14;63856407037346;63856407037359;0;1,644848;b0514d19a5
15;63856407037384;63856407037408;0;4,93352;b0514d19a5
16;63856407037622;63856407037660;0;7,232479;b0514d19a5
17;63856407037900;63856407037924;0;4,530905;b0514d19a5
18;63856407038183;63856407038223;0;14,47104;b0514d19a5
19;63856407038420;63856407038473;0;18,13849;b0514d19a5
20;63856407038617;63856407038657;0;5,676716;b0514d19a5
21;63856407039332;63856407039370;0;9,127634;b0514d19a5
22;63856407039500;63856407039537;0;9,922935;b0514d19a5
23;63856407039790;63856407039840;0;12,28175;b0514d19a5
24;63856407040080;63856407040155;0;18,9945;b0514d19a5
25;63856407040241;63856407040292;0;6,532909;b0514d19a5
26;63856407040340;63856407040367;0;2,266327;b0514d19a5
27;63856407040391;63856407040415;0;2,416461;b0514d19a5
28;63856407040451;63856407040475;0;0,4159008;b0514d19a5
29;63856407040475;63856407040513;0;3,614059;b0514d19a5
30;63856407040622;63856407040633;0;1,305213;b0514d19a5
31;63856407040705;63856407040740;0;2,402163;b0514d19a5
32;63856407040765;63856407040812;0;4,361118;b0514d19a5
33;63856407041101;63856407041146;0;13,89165;b0514d19a5
34;63856407041341;63856407041400;0;14,80807;b0514d19a5
35;63856407041572;63856407041595;0;8,071709;b0514d19a5
36;63856407041769;63856407041803;0;5,797923;b0514d19a5
37;63856407042103;63856407042148;0;20,76734;b0514d19a5
38;63856407042381;63856407042415;0;8,447223;b0514d19a5
39;63856407042673;63856407042722;0;10,4934;b0514d19a5
40;63856407042983;63856407043020;0;6,428431;b0514d19a5
41;63856407045258;63856407045284;0;7,50428;b0514d19a5
42;63856407045297;63856407045349;0;0,9827783;b0514d19a5
43;63856407045362;63856407045420;0;4,833227;b0514d19a5
44;63856407045439;63856407045452;0;3,766864;b0514d19a5
45;63856407045562;63856407045659;0;9,391826;b0514d19a5
46;63856407045741;63856407045788;0;7,849405;b0514d19a5
47;63856407045967;63856407046014;0;10,47213;b0514d19a5
48;63856407046170;63856407046182;0;2,313507;b0514d19a5
49;63856407046348;63856407046383;0;7,321747;b0514d19a5
50;63856407046711;63856407046757;0;12,5555;b0514d19a5
51;63856407046792;63856407046850;0;14,92824;b0514d19a5
52;63856407047208;63856407047245;0;4,449242;b0514d19a5
53;63856407047581;63856407047615;0;7,630981;b0514d19a5
54;63856407047801;63856407047847;0;12,77657;b0514d19a5
55;63856407048290;63856407048362;0;13,34019;b0514d19a5
56;63856407048411;63856407048483;0;7,598094;b0514d19a5
57;63856407048496;63856407048572;0;19,01316;b0514d19a5
58;63856407048891;63856407048917;0;2,289098;b0514d19a5
59;63856407049079;63856407049134;0;20,34926;b0514d19a5
60;63856407049509;63856407049578;0;29,88358;b0514d19a5
61;63856407049700;63856407049726;0;2,37471;b0514d19a5
62;63856407049740;63856407049768;0;3,2419;b0514d19a5
63;63856407049875;63856407049903;0;15,25316;b0514d19a5
64;63856407049917;63856407049958;0;18,32935;b0514d19a5
65;63856407050052;63856407050093;0;5,519883;b0514d19a5
66;63856407050120;63856407050160;0;3,773823;b0514d19a5
67;63856407050324;63856407050391;0;8,422707;b0514d19a5
68;63856407050457;63856407050483;0;2,557955;b0514d19a5
69;63856407050791;63856407050896;0;29,72894;b0514d19a5
70;63856407051373;63856407051401;0;2,025067;b0514d19a5
71;63856407052161;63856407052249;0;34,39903;b0514d19a5
72;63856407052368;63856407052516;0;28,54008;b0514d19a5
73;63856407052574;63856407052604;0;7,225314;b0514d19a5
74;63856407052692;63856407052793;0;16,01844;b0514d19a5
75;63856407053323;63856407053366;0;14,3676;b0514d19a5
76;63856407053380;63856407053394;0;0,9431533;b0514d19a5
77;63856407053917;63856407053931;0;8,814811;b0514d19a5
78;63856407054063;63856407054106;0;6,881366;b0514d19a5
79;63856407054604;63856407054662;0;13,39352;b0514d19a5
80;63856407054675;63856407054705;0;3,045747;b0514d19a5
81;63856407054779;63856407054792;0;2,149585;b0514d19a5
82;63856407054820;63856407054879;0;8,991955;b0514d19a5
83;63856407054993;63856407055038;0;9,495356;b0514d19a5
84;63856407055038;63856407055052;0;2,842898;b0514d19a5
85;63856407055068;63856407055081;0;3,277217;b0514d19a5
86;63856407055194;63856407055328;0;14,99909;b0514d19a5
87;63856407055341;63856407055354;0;6,450112;b0514d19a5
88;63856407055474;63856407055597;0;12,61623;b0514d19a5
89;63856407055611;63856407055637;0;5,611714;b0514d19a5
90;63856407055676;63856407055757;0;8,395735;b0514d19a5
91;63856407055808;63856407055824;0;1,969707;b0514d19a5
92;63856407055863;63856407055903;0;6,073282;b0514d19a5
93;63856407056303;63856407056328;0;2,321362;b0514d19a5
94;63856407056828;63856407056853;0;4,978663;b0514d19a5
95;63856407057649;63856407057700;0;7,557566;b0514d19a5
96;63856407058436;63856407058473;0;4,10112;b0514d19a5
97;63856407060520;63856407060570;0;12,77969;b0514d19a5
98;63856407060729;63856407060767;0;4,717336;b0514d19a5
99;63856407061690;63856407061805;0;11,18919;b0514d19a5
100;63856407061819;63856407061846;0;2,667411;b0514d19a5
101;63856407061859;63856407061975;0;12,1138;b0514d19a5
102;63856407062016;63856407062057;0;4,246347;b0514d19a5
103;63856407062082;63856407062108;0;2,77904;b0514d19a5
104;63856407062123;63856407062174;0;9,646649;b0514d19a5
105;63856407062506;63856407062594;0;26,10612;b0514d19a5
106;63856407062631;63856407062645;0;2,158398;b0514d19a5
107;63856407062772;63856407062785;0;2,153678;b0514d19a5
108;63856407062798;63856407062824;0;2,094617;b0514d19a5
109;63856407062850;63856407062971;0;17,72081;b0514d19a5
110;63856407062984;63856407062997;0;4,982479;b0514d19a5
111;63856407063063;63856407063153;0;9,425961;b0514d19a5
112;63856407063206;63856407063246;0;8,993243;b0514d19a5
113;63856407063519;63856407063532;0;1,654102;b0514d19a5
114;63856407063584;63856407063612;0;3,293307;b0514d19a5
115;63856407063638;63856407063691;0;14,75997;b0514d19a5
116;63856407063808;63856407063835;0;3,172002;b0514d19a5
117;63856407064028;63856407064106;0;27,89207;b0514d19a5
118;63856407064353;63856407064393;0;13,21247;b0514d19a5
119;63856407064589;63856407064614;0;2,932047;b0514d19a5
120;63856407064758;63856407064783;0;13,89785;b0514d19a5
121;63856407064822;63856407064835;0;0,1493534;b0514d19a5
122;63856407065682;63856407065720;0;6,173364;b0514d19a5
123;63856407066593;63856407066618;0;1,826064;b0514d19a5
124;63856407066746;63856407066772;0;6,099051;b0514d19a5
125;63856407067668;63856407067696;0;17,68225;b0514d19a5
126;63856407067856;63856407067884;0;3,331136;b0514d19a5
127;63856407067942;63856407068002;0;6,534501;b0514d19a5
128;63856407068175;63856407068190;0;1,559845;b0514d19a5
129;63856407068726;63856407068769;0;15,19496;b0514d19a5
130;63856407068783;63856407068813;0;4,217515;b0514d19a5
131;63856407068943;63856407068958;0;2,348271;b0514d19a5
132;63856407068972;63856407068986;0;1,541547;b0514d19a5
133;63856407068986;63856407069045;0;9,296143;b0514d19a5
134;63856407069159;63856407069187;0;2,456945;b0514d19a5
135;63856407069430;63856407069487;0;16,25549;b0514d19a5
136;63856407069727;63856407069824;0;28,52828;b0514d19a5
137;63856407069901;63856407069963;0;5,420433;b0514d19a5
138;63856407070001;63856407070049;0;16,21698;b0514d19a5
139;63856407070273;63856407070297;0;8,139116;b0514d19a5
140;63856407070297;63856407070373;0;20,87704;b0514d19a5
141;63856407070449;63856407070474;0;3,195921;b0514d19a5
142;63856407070487;63856407070550;0;7,186517;b0514d19a5
143;63856407070563;63856407070626;0;4,537255;b0514d19a5
144;63856407071057;63856407071094;0;10,74701;b0514d19a5
145;63856407071260;63856407071313;0;4,804852;b0514d19a5
146;63856407071479;63856407071529;0;14,15429;b0514d19a5
147;63856407071790;63856407071803;0;7,9429;b0514d19a5
148;63856407073505;63856407073574;0;6,913159;b0514d19a5
149;63856407074003;63856407074072;0;17,75358;b0514d19a5
150;63856407074970;63856407074996;0;9,414046;b0514d19a5
151;63856407075024;63856407075080;0;8,879272;b0514d19a5
152;63856407075093;63856407075106;0;2,174209;b0514d19a5
153;63856407075120;63856407075147;0;2,481281;b0514d19a5
154;63856407075161;63856407075187;0;2,990812;b0514d19a5
