Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63857503119454;63857503119504;0;1;bbdd1709de
2;63857503171522;63857503171570;0;2;bbdd1709de
3;63857503209662;63857503209719;1;2;bbdd1709de
4;63857503216399;63857503216478;1;3;bbdd1709de
5;63857503217722;63857503217761;1;4;bbdd1709de
6;63857503228806;63857503228846;1;5;bbdd1709de
7;63857503230294;63857503230479;1;6;bbdd1709de
8;63857503230663;63857503230716;1;7;bbdd1709de
9;63857503231505;63857503231544;1;8;bbdd1709de
10;63857503231544;63857503231570;1;8;bbdd1709de
11;63857503239704;63857503239761;1;9;bbdd1709de
12;63857503243214;63857503243314;1;10;bbdd1709de
13;63857503243981;63857503244119;1;11;bbdd1709de
14;63857503244329;63857503244369;1;12;bbdd1709de
15;63857503249626;63857503249675;1;13;bbdd1709de
16;63857503264847;63857503264905;1;14;bbdd1709de
17;63857503267479;63857503267569;1;15;bbdd1709de
18;63857503268900;63857503268963;1;16;bbdd1709de
19;63857503271975;63857503272019;1;16;bbdd1709de
20;63857503275686;63857503275815;-1;17;bbdd1709de
21;63857503277540;63857503277597;-1;17;bbdd1709de
22;63857503277612;63857503277624;-1;18;bbdd1709de
23;63857503284798;63857503284857;-1;18;bbdd1709de
24;63857503302823;63857503302891;2;13;bbdd1709de
25;63857503306514;63857503306514;2;11;bbdd1709de
26;63857503306528;63857503306541;2;12;bbdd1709de
27;63857503306541;63857503306615;2;13;bbdd1709de
28;63857503308924;63857503309007;2;14;bbdd1709de
29;63857503309134;63857503309161;2;15;bbdd1709de
30;63857503311977;63857503312057;2;15;bbdd1709de
31;63857503316709;63857503316769;2;16;bbdd1709de
32;63857503316798;63857503316871;2;17;bbdd1709de
33;63857503334892;63857503334892;2;14;bbdd1709de
34;63857503334904;63857503334904;2;15;bbdd1709de
35;63857503336076;63857503336131;2;15;bbdd1709de
36;63857503341307;63857503341363;2;14;bbdd1709de
37;63857503345463;63857503345529;2;14;bbdd1709de
38;63857503356878;63857503356893;2;15;bbdd1709de
39;63857503370600;63857503370614;-2;10;bbdd1709de
40;63857503381014;63857503381069;3;8;bbdd1709de
41;63857503391703;63857503391760;3;9;bbdd1709de
42;63857503394217;63857503394282;3;10;bbdd1709de
43;63857503398282;63857503398371;3;8;bbdd1709de
44;63857503401854;63857503401932;-3;8;bbdd1709de
45;63857503403192;63857503403316;-3;9;bbdd1709de
46;63857503417704;63857503417704;4;8;bbdd1709de
47;63857503431226;63857503431252;4;8;bbdd1709de
48;63857503434474;63857503434553;4;9;bbdd1709de
49;63857503450274;63857503450340;4;9;bbdd1709de
50;63857503453585;63857503453697;4;9;bbdd1709de
51;63857503462567;63857503462683;-4;7;bbdd1709de
52;63857503464131;63857503464186;-4;7;bbdd1709de
53;63857503466753;63857503466815;-4;8;bbdd1709de
54;63857503480606;63857503480646;5;8;bbdd1709de
55;63857503480688;63857503480787;5;9;bbdd1709de
56;63857503485300;63857503485352;5;10;bbdd1709de
57;63857503490025;63857503490085;5;11;bbdd1709de
58;63857503491251;63857503491353;5;11;bbdd1709de
59;63857503495080;63857503495080;5;11;bbdd1709de
60;63857503495106;63857503495131;5;12;bbdd1709de
61;63857503505292;63857503505319;5;13;bbdd1709de
62;63857503519090;63857503519222;5;12;bbdd1709de
63;63857503522791;63857503522850;5;12;bbdd1709de
64;63857503523446;63857503523517;5;13;bbdd1709de
65;63857503526795;63857503526844;5;12;bbdd1709de
66;63857503532377;63857503532522;5;13;bbdd1709de
67;63857503535297;63857503535311;5;14;bbdd1709de
68;63857503535311;63857503535324;5;15;bbdd1709de
69;63857503539184;63857503539209;-5;16;bbdd1709de
70;63857503540839;63857503540906;-5;15;bbdd1709de
71;63857503569301;63857503569401;6;10;bbdd1709de
72;63857503571259;63857503571311;6;11;bbdd1709de
73;63857503572178;63857503572232;6;12;bbdd1709de
