Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63857503119939;63857503120055;0;11,34161;bbdd1709de
2;63857503120128;63857503120166;0;6,136224;bbdd1709de
3;63857503120215;63857503120253;0;3,654949;bbdd1709de
4;63857503120265;63857503120278;0;3,257864;bbdd1709de
5;63857503120351;63857503120389;0;4,54351;bbdd1709de
6;63857503120426;63857503120511;0;6,290988;bbdd1709de
7;63857503120571;63857503120632;0;6,722021;bbdd1709de
8;63857503120667;63857503120704;0;2,484828;bbdd1709de
9;63857503120753;63857503120766;0;1,961443;bbdd1709de
10;63857503120801;63857503120813;0;1,285423;bbdd1709de
11;63857503120861;63857503120969;0;12,01633;bbdd1709de
12;63857503120994;63857503121018;0;0,4297835;bbdd1709de
13;63857503121174;63857503121210;0;0,9571576;bbdd1709de
14;63857503121222;63857503121234;0;1,793842;bbdd1709de
15;63857503121317;63857503121354;0;6,982975;bbdd1709de
16;63857503121378;63857503121402;0;7,455116;bbdd1709de
17;63857503121414;63857503121487;0;1,155891;bbdd1709de
18;63857503121499;63857503121534;0;3,824437;bbdd1709de
19;63857503121583;63857503121607;0;3,480541;bbdd1709de
20;63857503121621;63857503121632;0;0,7651502;bbdd1709de
21;63857503121656;63857503121692;0;1,296639;bbdd1709de
22;63857503121742;63857503121754;0;0,4149588;bbdd1709de
23;63857503121802;63857503121814;0;2,068573;bbdd1709de
24;63857503121850;63857503121874;0;8,445478;bbdd1709de
25;63857503121900;63857503121936;0;0,5630175;bbdd1709de
26;63857503122084;63857503122098;0;1,251639;bbdd1709de
27;63857503122111;63857503122123;0;1,482001;bbdd1709de
28;63857503122198;63857503122235;0;4,362286;bbdd1709de
29;63857503122593;63857503122605;0;2,31579;bbdd1709de
30;63857503122632;63857503122656;0;1,381544;bbdd1709de
31;63857503122668;63857503122681;0;1,38395;bbdd1709de
32;63857503123267;63857503123292;0;1,231465;bbdd1709de
33;63857503123714;63857503123776;0;24,56128;bbdd1709de
34;63857503123873;63857503123898;0;3,019409;bbdd1709de
35;63857503123934;63857503123970;0;5,137096;bbdd1709de
36;63857503123982;63857503124043;0;2,194548;bbdd1709de
37;63857503124089;63857503124160;0;4,890485;bbdd1709de
38;63857503124171;63857503124183;0;1,660361;bbdd1709de
39;63857503124217;63857503124242;0;8,716116;bbdd1709de
40;63857503124254;63857503124300;0;1,505582;bbdd1709de
41;63857503124346;63857503124358;0;2,13093;bbdd1709de
42;63857503124369;63857503124392;0;1,798853;bbdd1709de
43;63857503124427;63857503124450;0;0,3631561;bbdd1709de
44;63857503124475;63857503124532;0;2,835244;bbdd1709de
45;63857503124835;63857503124847;0;3,241659;bbdd1709de
46;63857503124858;63857503124916;0;3,298238;bbdd1709de
47;63857503125055;63857503125067;0;0,7935224;bbdd1709de
48;63857503125079;63857503125137;0;7,999541;bbdd1709de
49;63857503125148;63857503125184;0;4,631216;bbdd1709de
50;63857503125195;63857503125206;0;3,902943;bbdd1709de
51;63857503125220;63857503125301;0;5,623855;bbdd1709de
52;63857503125324;63857503125370;0;1,859622;bbdd1709de
53;63857503125382;63857503125417;0;1,505842;bbdd1709de
54;63857503125706;63857503125731;0;2,318493;bbdd1709de
55;63857503125754;63857503125778;0;0,4618246;bbdd1709de
56;63857503125813;63857503125848;0;0,9561348;bbdd1709de
57;63857503125859;63857503125905;0;11,86106;bbdd1709de
58;63857503125929;63857503125964;0;5,391724;bbdd1709de
59;63857503126126;63857503126233;0;10,792;bbdd1709de
60;63857503126245;63857503126327;0;4,205704;bbdd1709de
61;63857503126339;63857503126377;0;3,775898;bbdd1709de
62;63857503126400;63857503126424;0;5,549026;bbdd1709de
63;63857503126424;63857503126495;0;3,738636;bbdd1709de
64;63857503126544;63857503126613;0;13,86465;bbdd1709de
65;63857503126624;63857503126648;0;2,419375;bbdd1709de
66;63857503126659;63857503126682;0;1,729635;bbdd1709de
67;63857503126682;63857503126705;0;7,56364;bbdd1709de
68;63857503126949;63857503126999;0;8,199081;bbdd1709de
69;63857503127023;63857503127035;0;4,769865;bbdd1709de
70;63857503127047;63857503127070;0;9,018247;bbdd1709de
71;63857503127083;63857503127095;0;1,692001;bbdd1709de
72;63857503127109;63857503127183;0;12,38144;bbdd1709de
73;63857503127183;63857503127259;0;4,630413;bbdd1709de
74;63857503127284;63857503127347;0;2,116461;bbdd1709de
75;63857503127360;63857503127436;0;8,761611;bbdd1709de
76;63857503127551;63857503127603;0;2,237647;bbdd1709de
77;63857503127628;63857503127667;0;1,378424;bbdd1709de
78;63857503127680;63857503127718;0;4,616558;bbdd1709de
