Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63857503119939;63857503120055;0;94,51344;bbdd1709de
2;63857503120128;63857503120166;0;175,3207;bbdd1709de
3;63857503120215;63857503120253;0;81,22108;bbdd1709de
4;63857503120265;63857503120278;0;217,1909;bbdd1709de
5;63857503120351;63857503120389;0;113,5878;bbdd1709de
6;63857503120426;63857503120511;0;74,01163;bbdd1709de
7;63857503120571;63857503120632;0;103,4157;bbdd1709de
8;63857503120667;63857503120704;0;62,12071;bbdd1709de
9;63857503120753;63857503120766;0;98,07214;bbdd1709de
10;63857503120801;63857503120813;0;85,69484;bbdd1709de
11;63857503120861;63857503120969;0;114,4412;bbdd1709de
12;63857503120994;63857503121018;0;17,19134;bbdd1709de
13;63857503121174;63857503121210;0;27,34736;bbdd1709de
14;63857503121222;63857503121234;0;119,5895;bbdd1709de
15;63857503121317;63857503121354;0;199,5135;bbdd1709de
16;63857503121378;63857503121402;0;372,7558;bbdd1709de
17;63857503121414;63857503121487;0;15,41188;bbdd1709de
18;63857503121499;63857503121534;0;109,2696;bbdd1709de
19;63857503121583;63857503121607;0;99,44402;bbdd1709de
20;63857503121621;63857503121632;0;51,01002;bbdd1709de
21;63857503121656;63857503121692;0;43,2213;bbdd1709de
22;63857503121742;63857503121754;0;27,66392;bbdd1709de
23;63857503121802;63857503121814;0;137,9049;bbdd1709de
24;63857503121850;63857503121874;0;337,8192;bbdd1709de
25;63857503121900;63857503121936;0;14,07544;bbdd1709de
26;63857503122084;63857503122098;0;83,44261;bbdd1709de
27;63857503122111;63857503122123;0;74,10007;bbdd1709de
28;63857503122198;63857503122235;0;124,6367;bbdd1709de
29;63857503122593;63857503122605;0;154,386;bbdd1709de
30;63857503122632;63857503122656;0;46,05145;bbdd1709de
31;63857503122668;63857503122681;0;92,26331;bbdd1709de
32;63857503123267;63857503123292;0;61,57323;bbdd1709de
33;63857503123714;63857503123776;0;350,8754;bbdd1709de
34;63857503123873;63857503123898;0;150,9705;bbdd1709de
35;63857503123934;63857503123970;0;146,7742;bbdd1709de
36;63857503123982;63857503124043;0;39,90087;bbdd1709de
37;63857503124089;63857503124160;0;75,23824;bbdd1709de
38;63857503124171;63857503124183;0;83,01806;bbdd1709de
39;63857503124217;63857503124242;0;348,6447;bbdd1709de
40;63857503124254;63857503124300;0;33,45738;bbdd1709de
41;63857503124346;63857503124358;0;142,062;bbdd1709de
42;63857503124369;63857503124392;0;59,96178;bbdd1709de
43;63857503124427;63857503124450;0;24,21041;bbdd1709de
44;63857503124475;63857503124532;0;51,5499;bbdd1709de
45;63857503124835;63857503124847;0;216,1106;bbdd1709de
46;63857503124858;63857503124916;0;59,96796;bbdd1709de
47;63857503125055;63857503125067;0;52,90149;bbdd1709de
48;63857503125079;63857503125137;0;159,9908;bbdd1709de
49;63857503125148;63857503125184;0;132,3205;bbdd1709de
50;63857503125195;63857503125206;0;260,1962;bbdd1709de
51;63857503125220;63857503125301;0;70,29819;bbdd1709de
52;63857503125324;63857503125370;0;46,49054;bbdd1709de
53;63857503125382;63857503125417;0;43,02406;bbdd1709de
54;63857503125706;63857503125731;0;92,73973;bbdd1709de
55;63857503125754;63857503125778;0;23,09123;bbdd1709de
56;63857503125813;63857503125848;0;21,24744;bbdd1709de
57;63857503125859;63857503125905;0;296,5265;bbdd1709de
58;63857503125929;63857503125964;0;154,0493;bbdd1709de
59;63857503126126;63857503126233;0;98,10912;bbdd1709de
60;63857503126245;63857503126327;0;52,5713;bbdd1709de
61;63857503126339;63857503126377;0;107,8828;bbdd1709de
62;63857503126400;63857503126424;0;221,961;bbdd1709de
63;63857503126424;63857503126495;0;57,51748;bbdd1709de
64;63857503126544;63857503126613;0;184,8619;bbdd1709de
65;63857503126624;63857503126648;0;120,9688;bbdd1709de
66;63857503126659;63857503126682;0;115,309;bbdd1709de
67;63857503126682;63857503126705;0;504,2426;bbdd1709de
68;63857503126949;63857503126999;0;163,9816;bbdd1709de
69;63857503127023;63857503127035;0;317,991;bbdd1709de
70;63857503127047;63857503127070;0;300,6082;bbdd1709de
71;63857503127083;63857503127095;0;112,8001;bbdd1709de
72;63857503127109;63857503127183;0;176,8777;bbdd1709de
73;63857503127183;63857503127259;0;71,23712;bbdd1709de
74;63857503127284;63857503127347;0;35,27435;bbdd1709de
75;63857503127360;63857503127436;0;109,5201;bbdd1709de
76;63857503127551;63857503127603;0;37,29411;bbdd1709de
77;63857503127628;63857503127667;0;34,46059;bbdd1709de
78;63857503127680;63857503127718;0;131,9017;bbdd1709de
79;63857503127757;63857503127783;0;52,84519;bbdd1709de
80;63857503127795;63857503127848;0;72,90646;bbdd1709de
81;63857503127900;63857503127951;0;70,85031;bbdd1709de
82;63857503127978;63857503128028;0;122,7251;bbdd1709de
83;63857503128043;63857503128158;0;177,6315;bbdd1709de
84;63857503128172;63857503128231;0;71,04739;bbdd1709de
85;63857503128245;63857503128288;0;52,13684;bbdd1709de
86;63857503128302;63857503128358;0;39,75613;bbdd1709de
87;63857503128444;63857503128471;0;140,277;bbdd1709de
88;63857503128501;63857503128587;0;240,4965;bbdd1709de
89;63857503128644;63857503128671;0;61,18267;bbdd1709de
90;63857503128728;63857503128743;0;100,951;bbdd1709de
91;63857503128771;63857503128815;0;138,1858;bbdd1709de
92;63857503128815;63857503128858;0;105,3299;bbdd1709de
93;63857503129053;63857503129135;0;90,85754;bbdd1709de
94;63857503129191;63857503129204;0;297,5334;bbdd1709de
95;63857503129218;63857503129273;0;82,17941;bbdd1709de
96;63857503129302;63857503129329;0;67,93457;bbdd1709de
97;63857503129344;63857503129356;0;138,4748;bbdd1709de
98;63857503129370;63857503129399;0;71,6255;bbdd1709de
99;63857503129412;63857503129439;0;275,2455;bbdd1709de
100;63857503129481;63857503129495;0;60,39349;bbdd1709de
101;63857503129972;63857503130001;0;73,70837;bbdd1709de
