Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63856141437100;63856141437126;0;324,9172;c72e33d6b7
2;63856141437140;63856141437219;0;158,7668;c72e33d6b7
3;63856141437258;63856141437326;0;111,8622;c72e33d6b7
4;63856141437353;63856141437434;0;133,9993;c72e33d6b7
5;63856141437434;63856141437460;0;170,3973;c72e33d6b7
6;63856141437488;63856141437500;0;112,6921;c72e33d6b7
7;63856141437529;63856141437757;0;60,22277;c72e33d6b7
8;63856141437770;63856141437850;0;95,45122;c72e33d6b7
9;63856141437929;63856141437954;0;128,1468;c72e33d6b7
10;63856141438020;63856141438058;0;198,3421;c72e33d6b7
11;63856141438085;63856141438110;0;46,13165;c72e33d6b7
12;63856141438136;63856141438162;0;138,9807;c72e33d6b7
13;63856141438175;63856141438188;0;206,6936;c72e33d6b7
14;63856141438277;63856141438330;0;54,73899;c72e33d6b7
15;63856141438660;63856141438674;0;377,0688;c72e33d6b7
16;63856141439029;63856141439055;0;155,1069;c72e33d6b7
17;63856141439232;63856141439257;0;131,4252;c72e33d6b7
18;63856141439282;63856141439334;0;109,2539;c72e33d6b7
19;63856141439629;63856141439679;0;286,3613;c72e33d6b7
20;63856141439795;63856141439808;0;80,56561;c72e33d6b7
21;63856141439885;63856141439923;0;170,2737;c72e33d6b7
22;63856141440130;63856141440193;0;70,33852;c72e33d6b7
23;63856141440501;63856141440514;0;86,41951;c72e33d6b7
24;63856141440683;63856141440775;0;295,969;c72e33d6b7
25;63856141440919;63856141440957;0;202,1244;c72e33d6b7
26;63856141441047;63856141441062;0;80,4713;c72e33d6b7
27;63856141441922;63856141441948;0;478,1064;c72e33d6b7
28;63856141441975;63856141442000;0;135,6114;c72e33d6b7
29;63856141442025;63856141442078;0;104,0601;c72e33d6b7
30;63856141442103;63856141442182;0;99,7833;c72e33d6b7
31;63856141442209;63856141442235;0;196,8357;c72e33d6b7
32;63856141442353;63856141442377;0;45,49842;c72e33d6b7
33;63856141442509;63856141442522;0;258,7075;c72e33d6b7
34;63856141442535;63856141442560;0;457,5717;c72e33d6b7
35;63856141442587;63856141442600;0;254,9864;c72e33d6b7
36;63856141442613;63856141442640;0;103,4181;c72e33d6b7
37;63856141442678;63856141442691;0;260,233;c72e33d6b7
38;63856141442703;63856141442731;0;253,9079;c72e33d6b7
39;63856141442796;63856141442809;0;206,7736;c72e33d6b7
40;63856141442809;63856141442858;0;84,22977;c72e33d6b7
41;63856141442870;63856141442897;0;155,9362;c72e33d6b7
42;63856141442934;63856141442946;0;393,7518;c72e33d6b7
43;63856141442970;63856141442997;0;269,9131;c72e33d6b7
44;63856141443144;63856141443181;0;136,7852;c72e33d6b7
45;63856141443220;63856141443232;0;127,7408;c72e33d6b7
46;63856141443268;63856141443380;0;68,99072;c72e33d6b7
47;63856141443418;63856141443491;0;88,88639;c72e33d6b7
48;63856141443529;63856141443552;0;153,2292;c72e33d6b7
49;63856141443743;63856141443779;0;83,08192;c72e33d6b7
50;63856141443826;63856141443852;0;141,2741;c72e33d6b7
51;63856141443888;63856141443899;0;215,7148;c72e33d6b7
