Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63857173561267;63857173561315;0;1;cebce821a5
2;63857173597825;63857173597860;0;2;cebce821a5
3;63857173630847;63857173630903;0;2;cebce821a5
4;63857173705087;63857173705223;1;1;cebce821a5
5;63857173710423;63857173710467;1;2;cebce821a5
6;63857173713334;63857173713345;1;3;cebce821a5
7;63857173856932;63857173857004;2;1;cebce821a5
8;63857173898342;63857173898530;-2;2;cebce821a5
9;63857173949874;63857173949941;-3;2;cebce821a5
10;63857173992347;63857173992383;4;2;cebce821a5
11;63857174010312;63857174012709;4;2;cebce821a5
12;63857174019077;63857174019110;4;3;cebce821a5
13;63857174019199;63857174019243;4;4;cebce821a5
14;63857174019365;63857174019410;4;5;cebce821a5
15;63857174019499;63857174019555;4;6;cebce821a5
16;63857174019655;63857174019710;4;7;cebce821a5
17;63857174019899;63857174019943;4;8;cebce821a5
18;63857174019988;63857174020055;4;9;cebce821a5
19;63857174036872;63857174037094;-4;10;cebce821a5
20;63857174093344;63857174093977;5;2;cebce821a5
21;63857174116515;63857174116637;5;2;cebce821a5
22;63857174138859;63857174138939;5;3;cebce821a5
23;63857174139053;63857174139154;5;4;cebce821a5
24;63857174154938;63857174155411;5;4;cebce821a5
25;63857174155548;63857174158110;5;5;cebce821a5
26;63857174158942;63857174158998;5;6;cebce821a5
27;63857174170179;63857174170465;5;7;cebce821a5
28;63857174172206;63857174172251;5;8;cebce821a5
29;63857174175676;63857174179693;5;9;cebce821a5
30;63857174189147;63857174189169;5;9;cebce821a5
31;63857174277804;63857174278285;6;1;cebce821a5
32;63857174294379;63857174296517;6;2;cebce821a5
33;63857174297588;63857174297645;6;3;cebce821a5
34;63857174304119;63857174304187;6;4;cebce821a5
35;63857174304424;63857174304479;6;5;cebce821a5
36;63857174317863;63857174317940;6;6;cebce821a5
37;63857174318540;63857174319107;6;7;cebce821a5
38;63857174327000;63857174327055;6;8;cebce821a5
39;63857174327177;63857174327232;6;9;cebce821a5
40;63857174333655;63857174333732;6;10;cebce821a5
41;63857174333899;63857174333922;6;11;cebce821a5
42;63857174334021;63857174334055;6;12;cebce821a5
43;63857174334132;63857174334188;6;13;cebce821a5
44;63857174334243;63857174334310;6;14;cebce821a5
45;63857174423209;63857174423254;7;1;cebce821a5
46;63857174423886;63857174423909;7;2;cebce821a5
47;63857174426941;63857174428174;7;3;cebce821a5
48;63857174428579;63857174428615;7;4;cebce821a5
49;63857174429960;63857174430096;7;5;cebce821a5
50;63857174453986;63857174454286;7;6;cebce821a5
51;63857174454385;63857174454552;7;7;cebce821a5
52;63857174454618;63857174454685;7;8;cebce821a5
53;63857174455341;63857174455375;7;9;cebce821a5
54;63857174455452;63857174455730;7;10;cebce821a5
55;63857174467949;63857174467949;7;11;cebce821a5
56;63857174482115;63857174482170;7;12;cebce821a5
57;63857174494605;63857174494687;-7;8;cebce821a5
58;63857174506919;63857174507329;-7;9;cebce821a5
59;63857174547208;63857174547208;8;3;cebce821a5
60;63857174588006;63857174588184;8;2;cebce821a5
61;63857174591372;63857174592139;8;3;cebce821a5
62;63857174674172;63857174674308;8;1;cebce821a5
63;63857174674647;63857174674765;8;2;cebce821a5
64;63857174675957;63857174676139;8;3;cebce821a5
65;63857174676335;63857174678812;8;4;cebce821a5
66;63857174678884;63857174678896;8;5;cebce821a5
67;63857174678896;63857174678908;8;6;cebce821a5
68;63857174681688;63857174681722;8;7;cebce821a5
69;63857174682152;63857174682163;8;8;cebce821a5
70;63857174682430;63857174682463;8;9;cebce821a5
71;63857174683362;63857174684048;8;10;cebce821a5
72;63857174684082;63857174687359;8;11;cebce821a5
73;63857174695916;63857174695983;8;12;cebce821a5
74;63857174697932;63857174701941;8;13;cebce821a5
75;63857174711995;63857174714939;8;14;cebce821a5
76;63857174723980;63857174724158;8;15;cebce821a5
77;63857174725881;63857174728637;8;16;cebce821a5
78;63857174733293;63857174734538;8;17;cebce821a5
79;63857174734589;63857174736655;8;17;cebce821a5
80;63857174736951;63857174737039;8;15;cebce821a5
81;63857174738438;63857174738450;8;16;cebce821a5
82;63857174740747;63857174741614;8;15;cebce821a5
83;63857174744414;63857174744691;8;11;cebce821a5
84;63857174744758;63857174744835;8;12;cebce821a5
85;63857174744958;63857174745014;8;13;cebce821a5
86;63857174760402;63857174760458;-8;12;cebce821a5
87;63857174761158;63857174761191;-8;13;cebce821a5
