Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63856219305503;63856219305571;1;1;ceda45263f
2;63856219318595;63856219318624;1;2;ceda45263f
3;63856219319297;63856219319494;1;3;ceda45263f
4;63856219332240;63856219332283;1;4;ceda45263f
5;63856219336525;63856219336539;1;5;ceda45263f
6;63856219348814;63856219348840;1;6;ceda45263f
7;63856219350697;63856219350756;1;7;ceda45263f
8;63856219528834;63856219528848;4;1;ceda45263f
9;63856219602411;63856219602464;5;1;ceda45263f
10;63856219677873;63856219677987;6;1;ceda45263f
11;63856219683395;63856219683395;6;2;ceda45263f
12;63856219980826;63856219980826;-8;1;ceda45263f
