Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63856219182306;63856219182306;0;2,663078;ceda45263f
2;63856219182559;63856219182598;0;6,159661;ceda45263f
3;63856219182910;63856219183017;0;26,35513;ceda45263f
4;63856219183030;63856219183056;0;5,724814;ceda45263f
5;63856219183071;63856219183096;0;4,055696;ceda45263f
6;63856219183109;63856219183136;0;3,798751;ceda45263f
7;63856219183136;63856219183305;0;22,39451;ceda45263f
8;63856219183493;63856219183545;0;12,42821;ceda45263f
9;63856219183585;63856219183639;0;0,2382111;ceda45263f
10;63856219183639;63856219183677;0;11,25696;ceda45263f
11;63856219183807;63856219183832;0;4,781884;ceda45263f
12;63856219183832;63856219183858;0;1,569476;ceda45263f
13;63856219183871;63856219183948;0;6,739474;ceda45263f
14;63856219183998;63856219184074;0;3,715414;ceda45263f
15;63856219184201;63856219184227;0;3,410706;ceda45263f
16;63856219184264;63856219184276;0;2,712455;ceda45263f
17;63856219184352;63856219184415;0;4,239377;ceda45263f
18;63856219184515;63856219184552;0;7,566104;ceda45263f
19;63856219184988;63856219185026;0;8,375151;ceda45263f
20;63856219185250;63856219185275;0;2,37817;ceda45263f
21;63856219185351;63856219185400;0;13,66638;ceda45263f
22;63856219185551;63856219185587;0;5,661782;ceda45263f
23;63856219185938;63856219185977;0;2,529252;ceda45263f
24;63856219186128;63856219186180;0;11,64437;ceda45263f
25;63856219186392;63856219186429;0;4,070493;ceda45263f
26;63856219186605;63856219186642;0;5,184062;ceda45263f
27;63856219186870;63856219186919;0;15,56856;ceda45263f
28;63856219187100;63856219187139;0;2,88473;ceda45263f
29;63856219188396;63856219188498;0;30,48564;ceda45263f
30;63856219188597;63856219188685;0;6,009749;ceda45263f
31;63856219188733;63856219188758;0;1,893102;ceda45263f
32;63856219188867;63856219188917;0;9,442941;ceda45263f
33;63856219189252;63856219189287;0;4,444441;ceda45263f
34;63856219189510;63856219189535;0;2,139271;ceda45263f
35;63856219189743;63856219189779;0;5,984745;ceda45263f
36;63856219189965;63856219190002;0;2,491436;ceda45263f
37;63856219190225;63856219190260;0;6,691785;ceda45263f
38;63856219190381;63856219190405;0;5,018797;ceda45263f
39;63856219190465;63856219190491;0;3,802357;ceda45263f
40;63856219190528;63856219190553;0;3,45349;ceda45263f
41;63856219190652;63856219190775;0;16,03924;ceda45263f
42;63856219190775;63856219190802;0;5,035634;ceda45263f
43;63856219191011;63856219191150;0;12,27764;ceda45263f
44;63856219191547;63856219191571;0;3,860467;ceda45263f
45;63856219191725;63856219191785;0;11,18181;ceda45263f
46;63856219191844;63856219191871;0;2,372319;ceda45263f
47;63856219191895;63856219191930;0;5,113279;ceda45263f
48;63856219192065;63856219192103;0;3,858032;ceda45263f
49;63856219192115;63856219192140;0;2,243674;ceda45263f
50;63856219192353;63856219192392;0;3,429768;ceda45263f
51;63856219192404;63856219192418;0;2,965241;ceda45263f
52;63856219192442;63856219192508;0;18,29212;ceda45263f
53;63856219192534;63856219192548;0;1,575574;ceda45263f
54;63856219192561;63856219192706;0;15,59329;ceda45263f
55;63856219192798;63856219192838;0;6,684248;ceda45263f
56;63856219193049;63856219193087;0;6,28706;ceda45263f
57;63856219193338;63856219193392;0;15,60004;ceda45263f
58;63856219193537;63856219193617;0;21,50819;ceda45263f
59;63856219193629;63856219193655;0;1,72306;ceda45263f
60;63856219193670;63856219193775;0;10,56857;ceda45263f
61;63856219193815;63856219193854;0;7,323327;ceda45263f
62;63856219194315;63856219194341;0;8,532372;ceda45263f
63;63856219194922;63856219194965;0;10,35868;ceda45263f
64;63856219195242;63856219195285;0;3,812438;ceda45263f
65;63856219197684;63856219197712;0;2,780941;ceda45263f
66;63856219198168;63856219198210;0;4,209148;ceda45263f
67;63856219200042;63856219200058;0;2,091064;ceda45263f
68;63856219201469;63856219201609;0;28,62461;ceda45263f
69;63856219201792;63856219201905;0;15,15919;ceda45263f
70;63856219202033;63856219202132;0;7,797094;ceda45263f
71;63856219202147;63856219202203;0;7,499675;ceda45263f
72;63856219202297;63856219202350;0;10,98021;ceda45263f
73;63856219202363;63856219202482;0;22,42859;ceda45263f
74;63856219202534;63856219202753;0;11,32361;ceda45263f
75;63856219202780;63856219202792;0;1,754016;ceda45263f
76;63856219202805;63856219202920;0;11,18682;ceda45263f
77;63856219203010;63856219203074;0;12,30397;ceda45263f
78;63856219203285;63856219203325;0;6,183201;ceda45263f
79;63856219203377;63856219203430;0;6,262063;ceda45263f
80;63856219203909;63856219203950;0;10,23845;ceda45263f
81;63856219204532;63856219204585;0;16,15247;ceda45263f
82;63856219204731;63856219204785;0;12,02402;ceda45263f
83;63856219205220;63856219205247;0;3,630384;ceda45263f
84;63856219205274;63856219205302;0;3,218567;ceda45263f
85;63856219206120;63856219206133;0;6,359401;ceda45263f
86;63856219206304;63856219206341;0;4,236882;ceda45263f
87;63856219206353;63856219206391;0;3,539004;ceda45263f
88;63856219206476;63856219206514;0;17,64356;ceda45263f
89;63856219206742;63856219206793;0;15,76249;ceda45263f
90;63856219207215;63856219207483;0;15,52686;ceda45263f
91;63856219207495;63856219207520;0;3,001527;ceda45263f
92;63856219207520;63856219207739;0;16,46522;ceda45263f
93;63856219207765;63856219207777;0;1,570598;ceda45263f
94;63856219207792;63856219207870;0;8,565317;ceda45263f
95;63856219208194;63856219208233;0;5,8794;ceda45263f
96;63856219208600;63856219208639;0;9,668227;ceda45263f
97;63856219208851;63856219208892;0;10,52267;ceda45263f
98;63856219209182;63856219209208;0;2,990419;ceda45263f
99;63856219210235;63856219210302;0;24,65767;ceda45263f
100;63856219210420;63856219210460;0;2,002227;ceda45263f
101;63856219210565;63856219210592;0;5,546376;ceda45263f
102;63856219210737;63856219210817;0;23,37929;ceda45263f
103;63856219211610;63856219211653;0;13,67673;ceda45263f
104;63856219212403;63856219212431;0;2,99441;ceda45263f
105;63856219212573;63856219212630;0;17,33435;ceda45263f
106;63856219213115;63856219213142;0;2,345435;ceda45263f
107;63856219213285;63856219213358;0;20,47713;ceda45263f
108;63856219213514;63856219213570;0;9,316354;ceda45263f
109;63856219214681;63856219214709;0;7,899857;ceda45263f
