Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63856402111169;63856402111262;0;1;d218a50a47
2;63856402111262;63856402111262;0;2;d218a50a47
3;63856402113296;63856402113358;0;3;d218a50a47
4;63856402116104;63856402116165;0;4;d218a50a47
5;63856402122667;63856402123112;0;5;d218a50a47
6;63856402123127;63856402123141;0;6;d218a50a47
7;63856402123155;63856402123184;0;7;d218a50a47
8;63856402123906;63856402124181;0;8;d218a50a47
9;63856402125183;63856402125254;0;9;d218a50a47
10;63856402129690;63856402130126;0;10;d218a50a47
11;63856402130154;63856402130182;0;11;d218a50a47
12;63856402131670;63856402131741;0;12;d218a50a47
13;63856402131870;63856402131884;0;13;d218a50a47
14;63856402141297;63856402141297;0;14;d218a50a47
15;63856402141312;63856402141324;0;15;d218a50a47
16;63856402141667;63856402141718;0;16;d218a50a47
17;63856402144102;63856402144159;0;17;d218a50a47
18;63856402160346;63856402160415;0;18;d218a50a47
19;63856402160733;63856402160761;0;19;d218a50a47
20;63856402161667;63856402161694;0;20;d218a50a47
21;63856402169044;63856402169122;0;21;d218a50a47
22;63856402170314;63856402170364;0;22;d218a50a47
23;63856402173617;63856402173645;0;20;d218a50a47
24;63856402179749;63856402179784;0;20;d218a50a47
25;63856402180371;63856402180431;0;21;d218a50a47
26;63856402181679;63856402181752;0;22;d218a50a47
27;63856402181930;63856402181993;0;23;d218a50a47
28;63856402183417;63856402183519;0;21;d218a50a47
29;63856402186113;63856402186159;0;20;d218a50a47
30;63856402186438;63856402186545;0;21;d218a50a47
31;63856402186778;63856402186847;0;22;d218a50a47
32;63856402189290;63856402189524;0;23;d218a50a47
33;63856402190416;63856402190488;0;22;d218a50a47
34;63856402197002;63856402197059;0;21;d218a50a47
35;63856402198823;63856402198879;0;22;d218a50a47
36;63856402205857;63856402205930;0;19;d218a50a47
37;63856402227079;63856402227177;0;17;d218a50a47
38;63856402245314;63856402245469;1;10;d218a50a47
39;63856402246822;63856402246873;1;8;d218a50a47
40;63856402247959;63856402248025;1;9;d218a50a47
41;63856402249319;63856402249372;1;9;d218a50a47
42;63856402250310;63856402250365;1;10;d218a50a47
43;63856402259902;63856402259916;1;8;d218a50a47
44;63856402265413;63856402265493;1;9;d218a50a47
45;63856402265561;63856402265668;1;10;d218a50a47
46;63856402265883;63856402265950;1;10;d218a50a47
47;63856402268758;63856402268927;1;11;d218a50a47
48;63856402269336;63856402269456;1;12;d218a50a47
49;63856402269626;63856402269639;1;13;d218a50a47
50;63856402272079;63856402272142;1;14;d218a50a47
51;63856402283054;63856402283144;1;15;d218a50a47
52;63856402283246;63856402283349;1;16;d218a50a47
53;63856402283568;63856402283605;1;17;d218a50a47
54;63856402284394;63856402284408;1;18;d218a50a47
55;63856402290148;63856402290191;1;18;d218a50a47
56;63856402304145;63856402304145;1;19;d218a50a47
57;63856402304145;63856402304228;1;20;d218a50a47
58;63856402304686;63856402304725;1;21;d218a50a47
59;63856402306070;63856402306110;1;21;d218a50a47
60;63856402319082;63856402319124;1;18;d218a50a47
61;63856402319755;63856402319824;1;19;d218a50a47
62;63856402320002;63856402320057;1;19;d218a50a47
63;63856402320281;63856402320360;1;20;d218a50a47
64;63856402320647;63856402320687;1;21;d218a50a47
65;63856402320921;63856402321233;1;22;d218a50a47
66;63856402321769;63856402321874;1;23;d218a50a47
67;63856402322759;63856402322837;1;24;d218a50a47
68;63856402323138;63856402323556;1;25;d218a50a47
69;63856402324430;63856402324509;1;26;d218a50a47
70;63856402325292;63856402325358;1;27;d218a50a47
71;63856402326248;63856402326301;1;25;d218a50a47
72;63856402327412;63856402327676;1;26;d218a50a47
73;63856402329642;63856402329774;1;24;d218a50a47
74;63856402330010;63856402330326;1;25;d218a50a47
75;63856402331456;63856402331532;1;26;d218a50a47
76;63856402331944;63856402332070;1;27;d218a50a47
77;63856402334008;63856402334097;1;27;d218a50a47
78;63856402334420;63856402334575;1;28;d218a50a47
79;63856402335065;63856402335192;1;29;d218a50a47
80;63856402337990;63856402338042;1;30;d218a50a47
81;63856402338275;63856402338430;1;31;d218a50a47
82;63856402338598;63856402338663;1;32;d218a50a47
83;63856402339768;63856402339805;1;33;d218a50a47
84;63856402340294;63856402340346;1;34;d218a50a47
85;63856402341080;63856402341131;1;35;d218a50a47
86;63856402341792;63856402342003;1;36;d218a50a47
87;63856402342469;63856402342521;1;37;d218a50a47
88;63856402345486;63856402345580;1;34;d218a50a47
