Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63856221365093;63856221365104;0;1;d237cc6778
2;63856221365304;63856221365359;0;2;d237cc6778
3;63856221376884;63856221376895;0;3;d237cc6778
4;63856221377710;63856221377768;0;4;d237cc6778
5;63856221378475;63856221378663;0;5;d237cc6778
6;63856221397860;63856221397904;0;6;d237cc6778
7;63856221413686;63856221413741;0;7;d237cc6778
8;63856221423832;63856221423877;0;8;d237cc6778
9;63856221428254;63856221428454;0;7;d237cc6778
10;63856221434765;63856221434809;0;8;d237cc6778
11;63856221440864;63856221440898;0;6;d237cc6778
12;63856221450810;63856221450976;1;7;d237cc6778
13;63856221460211;63856221460255;1;7;d237cc6778
14;63856221465699;63856221465821;1;8;d237cc6778
15;63856221496498;63856221496543;1;5;d237cc6778
16;63856221500697;63856221500745;1;6;d237cc6778
17;63856221502737;63856221502774;1;6;d237cc6778
18;63856221569023;63856221569079;2;1;d237cc6778
19;63856221571479;63856221571523;2;2;d237cc6778
20;63856221594841;63856221594887;-2;3;d237cc6778
21;63856221645580;63856221645647;4;2;d237cc6778
22;63856221645936;63856221646035;4;3;d237cc6778
23;63856221662817;63856221662957;4;3;d237cc6778
24;63856221674148;63856221674316;4;4;d237cc6778
25;63856221683981;63856221684102;4;5;d237cc6778
26;63856221684449;63856221684527;4;6;d237cc6778
27;63856221718637;63856221718682;5;5;d237cc6778
28;63856221762635;63856221762789;5;2;d237cc6778
29;63856221781017;63856221781184;6;2;d237cc6778
30;63856221781495;63856221781550;6;3;d237cc6778
31;63856221786527;63856221786572;6;4;d237cc6778
32;63856221825817;63856221825828;6;4;d237cc6778
33;63856221836680;63856221836725;6;5;d237cc6778
34;63856221842607;63856221842661;-6;4;d237cc6778
35;63856221844884;63856221844940;-6;5;d237cc6778
36;63856221869212;63856221869345;7;5;d237cc6778
37;63856221896408;63856221896563;7;5;d237cc6778
38;63856221918597;63856221918642;8;3;d237cc6778
39;63856221919097;63856221919130;8;4;d237cc6778
40;63856221920064;63856221920086;8;5;d237cc6778
41;63856221930564;63856221930653;8;5;d237cc6778
42;63856221969341;63856221969563;8;5;d237cc6778
43;63856221969752;63856221969785;8;6;d237cc6778
44;63856221971133;63856221971222;8;7;d237cc6778
45;63856221979696;63856221979751;8;6;d237cc6778
46;63856221980018;63856221980118;8;7;d237cc6778
47;63856221989663;63856221989719;8;7;d237cc6778
48;63856222008321;63856222008365;8;7;d237cc6778
