Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63857597481312;63857597481312;0;12,54623;d268ec78d8
2;63857597482497;63857597482539;0;6,376798;d268ec78d8
3;63857597482913;63857597482941;0;2,478519;d268ec78d8
4;63857597482981;63857597483022;0;5,917086;d268ec78d8
5;63857597483168;63857597483208;0;2,263043;d268ec78d8
6;63857597483286;63857597483339;0;5,649653;d268ec78d8
7;63857597483685;63857597483711;0;3,677221;d268ec78d8
8;63857597483739;63857597483752;0;1,333102;d268ec78d8
9;63857597483764;63857597483818;0;9,858438;d268ec78d8
10;63857597483925;63857597483979;0;6,018192;d268ec78d8
11;63857597484209;63857597484236;0;2,261486;d268ec78d8
12;63857597484574;63857597484601;0;6,597993;d268ec78d8
13;63857597485356;63857597485384;0;11,6452;d268ec78d8
14;63857597485530;63857597485571;0;3,50459;d268ec78d8
15;63857597485585;63857597485636;0;7,69312;d268ec78d8
16;63857597485688;63857597485819;0;10,8986;d268ec78d8
17;63857597485984;63857597486049;0;22,87219;d268ec78d8
18;63857597486124;63857597486235;0;6,872809;d268ec78d8
19;63857597486285;63857597486384;0;7,640002;d268ec78d8
20;63857597486396;63857597486421;0;2,377264;d268ec78d8
21;63857597486630;63857597486678;0;7,952558;d268ec78d8
22;63857597486838;63857597486886;0;7,037233;d268ec78d8
23;63857597487173;63857597487209;0;3,660677;d268ec78d8
24;63857597487532;63857597487567;0;7,155329;d268ec78d8
25;63857597487710;63857597487746;0;5,275592;d268ec78d8
26;63857597487951;63857597487987;0;4,285189;d268ec78d8
27;63857597488057;63857597488106;0;12,10577;d268ec78d8
28;63857597488671;63857597488707;0;4,459048;d268ec78d8
29;63857597488887;63857597488946;0;21,8522;d268ec78d8
30;63857597489107;63857597489132;0;5,784182;d268ec78d8
31;63857597489408;63857597489445;0;8,052764;d268ec78d8
32;63857597491313;63857597491365;0;14,87568;d268ec78d8
33;63857597491834;63857597491847;0;1,542308;d268ec78d8
34;63857597491861;63857597491988;0;5,215376;d268ec78d8
35;63857597492013;63857597492053;0;1,058324;d268ec78d8
36;63857597492104;63857597492154;0;6,874379;d268ec78d8
37;63857597492167;63857597492194;0;5,868855;d268ec78d8
38;63857597492273;63857597492454;0;23,01413;d268ec78d8
39;63857597492466;63857597492506;0;10,30865;d268ec78d8
40;63857597492611;63857597492677;0;13,943;d268ec78d8
41;63857597493793;63857597493831;0;3,765616;d268ec78d8
42;63857597493844;63857597493934;0;17,2696;d268ec78d8
43;63857597493946;63857597494009;0;23,02096;d268ec78d8
44;63857597494035;63857597494061;0;3,335307;d268ec78d8
45;63857597494073;63857597494208;0;22,18398;d268ec78d8
