Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63857597481312;63857597481312;0;100,3698;d268ec78d8
2;63857597482497;63857597482539;0;159,42;d268ec78d8
3;63857597482913;63857597482941;0;82,61729;d268ec78d8
4;63857597482981;63857597483022;0;131,4908;d268ec78d8
5;63857597483168;63857597483208;0;64,65837;d268ec78d8
6;63857597483286;63857597483339;0;112,9931;d268ec78d8
7;63857597483685;63857597483711;0;105,0634;d268ec78d8
8;63857597483739;63857597483752;0;88,87344;d268ec78d8
9;63857597483764;63857597483818;0;179,2443;d268ec78d8
10;63857597483925;63857597483979;0;109,4217;d268ec78d8
11;63857597484209;63857597484236;0;90,45943;d268ec78d8
12;63857597484574;63857597484601;0;263,9197;d268ec78d8
13;63857597485356;63857597485384;0;388,1734;d268ec78d8
14;63857597485530;63857597485571;0;100,1311;d268ec78d8
15;63857597485585;63857597485636;0;139,8749;d268ec78d8
16;63857597485688;63857597485819;0;83,83539;d268ec78d8
17;63857597485984;63857597486049;0;381,2032;d268ec78d8
18;63857597486124;63857597486235;0;65,45533;d268ec78d8
19;63857597486285;63857597486384;0;80,42107;d268ec78d8
20;63857597486396;63857597486421;0;67,92183;d268ec78d8
21;63857597486630;63857597486678;0;176,7235;d268ec78d8
22;63857597486838;63857597486886;0;156,383;d268ec78d8
23;63857597487173;63857597487209;0;122,0226;d268ec78d8
24;63857597487532;63857597487567;0;178,8832;d268ec78d8
25;63857597487710;63857597487746;0;150,7312;d268ec78d8
26;63857597487951;63857597487987;0;142,8396;d268ec78d8
27;63857597488057;63857597488106;0;302,6444;d268ec78d8
28;63857597488671;63857597488707;0;148,6349;d268ec78d8
29;63857597488887;63857597488946;0;364,2034;d268ec78d8
30;63857597489107;63857597489132;0;192,8061;d268ec78d8
31;63857597489408;63857597489445;0;201,3191;d268ec78d8
32;63857597491313;63857597491365;0;270,4669;d268ec78d8
33;63857597491834;63857597491847;0;102,8205;d268ec78d8
34;63857597491861;63857597491988;0;38,63242;d268ec78d8
35;63857597492013;63857597492053;0;23,51831;d268ec78d8
36;63857597492104;63857597492154;0;152,764;d268ec78d8
37;63857597492167;63857597492194;0;234,7542;d268ec78d8
38;63857597492273;63857597492454;0;131,5093;d268ec78d8
39;63857597492466;63857597492506;0;257,7161;d268ec78d8
40;63857597492611;63857597492677;0;232,3833;d268ec78d8
41;63857597493793;63857597493831;0;125,5206;d268ec78d8
42;63857597493844;63857597493934;0;172,696;d268ec78d8
43;63857597493946;63857597494009;0;383,6826;d268ec78d8
44;63857597494035;63857597494061;0;111,1769;d268ec78d8
45;63857597494073;63857597494208;0;164,3258;d268ec78d8
46;63857597494221;63857597494331;0;187,3195;d268ec78d8
47;63857597494343;63857597494509;0;145,4513;d268ec78d8
48;63857597494521;63857597494567;0;220,5206;d268ec78d8
49;63857597494752;63857597494797;0;185,4623;d268ec78d8
50;63857597495164;63857597495199;0;110,9147;d268ec78d8
51;63857597495324;63857597495360;0;186,156;d268ec78d8
52;63857597495801;63857597495835;0;157,4258;d268ec78d8
53;63857597496800;63857597496846;0;215,0248;d268ec78d8
54;63857597497019;63857597497041;0;113,4291;d268ec78d8
55;63857597497246;63857597497294;0;146,7376;d268ec78d8
56;63857597497318;63857597497340;0;98,22042;d268ec78d8
57;63857597497589;63857597497650;0;205,4168;d268ec78d8
58;63857597497793;63857597497804;0;83,35917;d268ec78d8
59;63857597498017;63857597498051;0;177,735;d268ec78d8
60;63857597498200;63857597498223;0;257,3414;d268ec78d8
61;63857597498360;63857597498384;0;247,0088;d268ec78d8
62;63857597498488;63857597498547;0;104,3665;d268ec78d8
63;63857597498560;63857597498572;0;189,6642;d268ec78d8
64;63857597498853;63857597498866;0;92,71761;d268ec78d8
65;63857597498877;63857597499033;0;173,6183;d268ec78d8
66;63857597499046;63857597499086;0;118,4307;d268ec78d8
67;63857597499255;63857597499308;0;135,3501;d268ec78d8
68;63857597499974;63857597500012;0;257,6531;d268ec78d8
69;63857597500155;63857597500207;0;361,7487;d268ec78d8
70;63857597500286;63857597500390;0;99,97707;d268ec78d8
71;63857597500718;63857597500756;0;320,1022;d268ec78d8
72;63857597500913;63857597500966;0;308,3628;d268ec78d8
73;63857597501006;63857597501020;0;76,31185;d268ec78d8
74;63857597501073;63857597501127;0;86,97115;d268ec78d8
75;63857597501686;63857597501727;0;258,929;d268ec78d8
76;63857597502061;63857597502099;0;129,4421;d268ec78d8
77;63857597502534;63857597502574;0;215,739;d268ec78d8
78;63857597503045;63857597503097;0;356,0757;d268ec78d8
79;63857597503189;63857597503333;0;107,4922;d268ec78d8
80;63857597503555;63857597503595;0;151,4564;d268ec78d8
81;63857597504023;63857597504079;0;249,632;d268ec78d8
82;63857597504853;63857597504909;0;142,2278;d268ec78d8
83;63857597506608;63857597506779;0;76,3635;d268ec78d8
84;63857597506795;63857597506838;0;73,25609;d268ec78d8
85;63857597506851;63857597506922;0;115,4438;d268ec78d8
86;63857597507094;63857597507152;0;179,6646;d268ec78d8
87;63857597507237;63857597507252;0;418,3646;d268ec78d8
88;63857597507323;63857597507383;0;49,09365;d268ec78d8
89;63857597507383;63857597507396;0;88,11668;d268ec78d8
90;63857597507439;63857597507553;0;116,3775;d268ec78d8
91;63857597507928;63857597507955;0;485,3426;d268ec78d8
92;63857597507969;63857597508066;0;95,2196;d268ec78d8
93;63857597508079;63857597508134;0;103,5108;d268ec78d8
94;63857597508398;63857597508453;0;432,2109;d268ec78d8
95;63857597508508;63857597508535;0;80,9563;d268ec78d8
96;63857597508535;63857597508712;0;26,65243;d268ec78d8
97;63857597508727;63857597508753;0;89,2536;d268ec78d8
98;63857597508766;63857597508917;0;89,19685;d268ec78d8
99;63857597509067;63857597509123;0;91,82486;d268ec78d8
100;63857597509194;63857597509234;0;270,8871;d268ec78d8
101;63857597509332;63857597509388;0;398,5667;d268ec78d8
102;63857597510629;63857597510656;0;183,7148;d268ec78d8
103;63857597510797;63857597510826;0;96,4305;d268ec78d8
104;63857597510840;63857597510979;0;157,7368;d268ec78d8
105;63857597511050;63857597511132;0;126,5472;d268ec78d8
106;63857597511161;63857597511310;0;92,90249;d268ec78d8
107;63857597511310;63857597511351;0;384,2798;d268ec78d8
108;63857597511391;63857597511405;0;94,24056;d268ec78d8
109;63857597511418;63857597511524;0;141,8825;d268ec78d8
110;63857597511538;63857597511589;0;303,7256;d268ec78d8
111;63857597511616;63857597511629;0;75,28971;d268ec78d8
112;63857597511655;63857597511810;0;21,10962;d268ec78d8
113;63857597511900;63857597511952;0;417,5058;d268ec78d8
114;63857597512238;63857597512276;0;299,9021;d268ec78d8
115;63857597513289;63857597513341;0;164,1154;d268ec78d8
116;63857597513495;63857597513532;0;170,2967;d268ec78d8
117;63857597514231;63857597514283;0;146,4174;d268ec78d8
118;63857597514817;63857597514842;0;174,2512;d268ec78d8
119;63857597516618;63857597516656;0;239,676;d268ec78d8
120;63857597516721;63857597516815;0;89,51567;d268ec78d8
121;63857597517063;63857597517205;0;159,4886;d268ec78d8
122;63857597517217;63857597517230;0;221,817;d268ec78d8
123;63857597517345;63857597517371;0;98,71022;d268ec78d8
124;63857597517396;63857597517587;0;64,12878;d268ec78d8
125;63857597517587;63857597517612;0;395,1688;d268ec78d8
126;63857597517626;63857597517664;0;109,4605;d268ec78d8
127;63857597517676;63857597517767;0;203,8345;d268ec78d8
128;63857597517782;63857597517844;0;350,8032;d268ec78d8
129;63857597517871;63857597517896;0;110,8823;d268ec78d8
130;63857597517909;63857597518090;0;8,468403;d268ec78d8
131;63857597518168;63857597518311;0;73,92365;d268ec78d8
132;63857597518324;63857597518351;0;83,09415;d268ec78d8
133;63857597518650;63857597518688;0;182,9438;d268ec78d8
134;63857597519028;63857597519094;0;224,4545;d268ec78d8
135;63857597519528;63857597519586;0;272,013;d268ec78d8
136;63857597519728;63857597519771;0;157,3082;d268ec78d8
137;63857597519928;63857597519971;0;176,436;d268ec78d8
138;63857597520928;63857597520955;0;90,27164;d268ec78d8
139;63857597522052;63857597522093;0;143,0235;d268ec78d8
140;63857597522106;63857597522239;0;24,74116;d268ec78d8
141;63857597522265;63857597522291;0;128,4504;d268ec78d8
142;63857597522291;63857597522356;0;245,6551;d268ec78d8
143;63857597522370;63857597522434;0;308,4529;d268ec78d8
144;63857597522446;63857597522617;0;99,7284;d268ec78d8
145;63857597523594;63857597523620;0;121,8856;d268ec78d8
146;63857597523789;63857597523842;0;255,9449;d268ec78d8
147;63857597524010;63857597524037;0;215,1702;d268ec78d8
148;63857597525327;63857597525378;0;344,9204;d268ec78d8
149;63857597525472;63857597525628;0;134,7119;d268ec78d8
150;63857597525806;63857597525831;0;151,6983;d268ec78d8
151;63857597525843;63857597525966;0;214,3677;d268ec78d8
152;63857597526076;63857597526102;0;135,1734;d268ec78d8
153;63857597526116;63857597526216;0;192,3655;d268ec78d8
154;63857597526228;63857597526266;0;223,2241;d268ec78d8
155;63857597526329;63857597526406;0;93,42714;d268ec78d8
156;63857597526418;63857597526454;0;164,3848;d268ec78d8
157;63857597527138;63857597527177;0;221,7187;d268ec78d8
158;63857597527232;63857597527312;0;126,0773;d268ec78d8
159;63857597527312;63857597527366;0;238,3825;d268ec78d8
160;63857597527447;63857597527501;0;326,3219;d268ec78d8
161;63857597527583;63857597527768;0;82,90234;d268ec78d8
162;63857597528115;63857597528221;0;134,6522;d268ec78d8
