Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63855508328826;63855508328838;0;1;dcbd3755ee
2;63855508332312;63855508332429;0;2;dcbd3755ee
3;63855508343871;63855508343990;0;3;dcbd3755ee
4;63855508347821;63855508347864;0;4;dcbd3755ee
5;63855508348275;63855508348304;0;5;dcbd3755ee
6;63855508366075;63855508366089;0;6;dcbd3755ee
7;63855508372711;63855508372739;0;7;dcbd3755ee
8;63855508398993;63855508399029;0;6;dcbd3755ee
9;63855508417452;63855508417510;1;4;dcbd3755ee
10;63855508418888;63855508419169;1;5;dcbd3755ee
11;63855508420604;63855508420604;1;6;dcbd3755ee
12;63855508430162;63855508430213;1;6;dcbd3755ee
13;63855508443848;63855508443889;1;6;dcbd3755ee
14;63855508444193;63855508444247;1;7;dcbd3755ee
15;63855508454873;63855508454955;1;8;dcbd3755ee
16;63855508499570;63855508500136;2;4;dcbd3755ee
17;63855508530248;63855508530331;2;2;dcbd3755ee
18;63855508531755;63855508531848;2;3;dcbd3755ee
19;63855508551042;63855508551042;2;4;dcbd3755ee
20;63855508561696;63855508561735;2;4;dcbd3755ee
21;63855508562383;63855508562411;2;5;dcbd3755ee
22;63855508585844;63855508585882;2;6;dcbd3755ee
23;63855508587711;63855508587723;2;7;dcbd3755ee
24;63855508592901;63855508592901;2;6;dcbd3755ee
25;63855508593541;63855508593629;2;7;dcbd3755ee
26;63855508594821;63855508595242;2;8;dcbd3755ee
27;63855508603637;63855508603744;-2;9;dcbd3755ee
28;63855508608277;63855508608347;-2;10;dcbd3755ee
29;63855508622800;63855508622813;-2;8;dcbd3755ee
30;63855508632341;63855508632412;3;9;dcbd3755ee
31;63855508653431;63855508653457;3;7;dcbd3755ee
32;63855508662631;63855508662671;3;6;dcbd3755ee
33;63855508700872;63855508700885;-3;3;dcbd3755ee
34;63855508726360;63855508726412;4;2;dcbd3755ee
35;63855508763157;63855508763217;4;2;dcbd3755ee
36;63855508763496;63855508763555;4;3;dcbd3755ee
37;63855508783323;63855508783379;-4;4;dcbd3755ee
38;63855508792411;63855508792484;-4;4;dcbd3755ee
39;63855508811776;63855508811837;5;5;dcbd3755ee
40;63855508812599;63855508812660;5;6;dcbd3755ee
41;63855508813644;63855508813704;5;7;dcbd3755ee
42;63855508827732;63855508827825;5;6;dcbd3755ee
43;63855508871669;63855508871739;5;5;dcbd3755ee
44;63855508874481;63855508874629;5;3;dcbd3755ee
45;63855508892136;63855508892192;-5;3;dcbd3755ee
46;63855508916454;63855508916609;6;4;dcbd3755ee
47;63855508946169;63855508946181;6;3;dcbd3755ee
48;63855508947763;63855508948046;6;4;dcbd3755ee
49;63855508981331;63855508981371;6;3;dcbd3755ee
50;63855508994638;63855508994763;6;4;dcbd3755ee
51;63855509004417;63855509004458;6;5;dcbd3755ee
52;63855509004526;63855509004594;6;6;dcbd3755ee
53;63855509023833;63855509023899;6;5;dcbd3755ee
54;63855509025752;63855509025766;6;6;dcbd3755ee
55;63855509040717;63855509040782;6;7;dcbd3755ee
56;63855509071526;63855509071526;7;4;dcbd3755ee
57;63855509080698;63855509080737;7;5;dcbd3755ee
58;63855509102682;63855509102695;7;3;dcbd3755ee
59;63855509111444;63855509111548;7;4;dcbd3755ee
60;63855509147536;63855509147571;-7;3;dcbd3755ee
61;63855509171408;63855509171430;8;3;dcbd3755ee
62;63855509181585;63855509181613;8;3;dcbd3755ee
63;63855509184509;63855509184553;8;4;dcbd3755ee
64;63855509187083;63855509187136;8;5;dcbd3755ee
