Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63855508318359;63855508318401;0;115,3335;dcbd3755ee
2;63855508318719;63855508318732;0;240,6296;dcbd3755ee
3;63855508318826;63855508318839;0;91,38242;dcbd3755ee
4;63855508319432;63855508319446;0;98,98479;dcbd3755ee
5;63855508319739;63855508319768;0;456,4685;dcbd3755ee
6;63855508320292;63855508320334;0;187,7608;dcbd3755ee
7;63855508320498;63855508320539;0;128,0167;dcbd3755ee
8;63855508320841;63855508320880;0;176,6444;dcbd3755ee
9;63855508320983;63855508321059;0;334,8978;dcbd3755ee
10;63855508321149;63855508321238;0;58,93092;dcbd3755ee
11;63855508321264;63855508321352;0;73,99918;dcbd3755ee
12;63855508321365;63855508321403;0;100,5463;dcbd3755ee
13;63855508321750;63855508321774;0;355,5681;dcbd3755ee
14;63855508321923;63855508321959;0;136,074;dcbd3755ee
15;63855508322048;63855508322085;0;299,1589;dcbd3755ee
16;63855508322495;63855508322522;0;338,2967;dcbd3755ee
17;63855508322562;63855508322576;0;80,21264;dcbd3755ee
18;63855508322604;63855508322749;0;101,9647;dcbd3755ee
19;63855508322894;63855508322947;0;250,528;dcbd3755ee
20;63855508323172;63855508323209;0;119,6283;dcbd3755ee
21;63855508323285;63855508323348;0;346,5941;dcbd3755ee
22;63855508323449;63855508323474;0;100,0429;dcbd3755ee
23;63855508323474;63855508323513;0;74,5425;dcbd3755ee
24;63855508323765;63855508323803;0;206,8824;dcbd3755ee
25;63855508323928;63855508323965;0;103,6728;dcbd3755ee
26;63855508324117;63855508324154;0;254,8314;dcbd3755ee
27;63855508324329;63855508324369;0;145,5299;dcbd3755ee
28;63855508324506;63855508324557;0;340,014;dcbd3755ee
29;63855508324746;63855508324771;0;110,9416;dcbd3755ee
30;63855508325805;63855508325817;0;378,6825;dcbd3755ee
31;63855508325892;63855508325917;0;235,5739;dcbd3755ee
32;63855508326066;63855508326091;0;122,5456;dcbd3755ee
33;63855508326151;63855508326201;0;127,2607;dcbd3755ee
34;63855508326260;63855508326321;0;81,12998;dcbd3755ee
35;63855508326393;63855508326429;0;261,5867;dcbd3755ee
36;63855508326687;63855508326709;0;135,9694;dcbd3755ee
37;63855508326849;63855508326895;0;139,2218;dcbd3755ee
38;63855508327045;63855508327079;0;172,8222;dcbd3755ee
39;63855508327264;63855508327301;0;121,8691;dcbd3755ee
40;63855508327600;63855508327623;0;117,7342;dcbd3755ee
41;63855508328056;63855508328079;0;137,8559;dcbd3755ee
42;63855508328278;63855508328313;0;139,6894;dcbd3755ee
43;63855508328662;63855508328698;0;159,91;dcbd3755ee
44;63855508329060;63855508329094;0;136,8758;dcbd3755ee
45;63855508329504;63855508329528;0;116,268;dcbd3755ee
46;63855508329808;63855508329831;0;95,1595;dcbd3755ee
47;63855508329983;63855508330030;0;236,4479;dcbd3755ee
48;63855508330148;63855508330194;0;286,2427;dcbd3755ee
49;63855508330392;63855508330439;0;382,743;dcbd3755ee
50;63855508330849;63855508330883;0;251,2896;dcbd3755ee
51;63855508331011;63855508331035;0;110,0459;dcbd3755ee
52;63855508331116;63855508331150;0;323,351;dcbd3755ee
53;63855508331314;63855508331359;0;201,9085;dcbd3755ee
54;63855508331719;63855508331754;0;176,5414;dcbd3755ee
55;63855508331981;63855508332017;0;131,5588;dcbd3755ee
56;63855508332078;63855508332151;0;88,29747;dcbd3755ee
57;63855508332162;63855508332212;0;22,93264;dcbd3755ee
58;63855508332497;63855508332537;0;128,5058;dcbd3755ee
59;63855508332564;63855508332684;0;109,6729;dcbd3755ee
60;63855508332736;63855508332787;0;274,291;dcbd3755ee
61;63855508332969;63855508333008;0;130,1657;dcbd3755ee
62;63855508333347;63855508333386;0;272,3673;dcbd3755ee
63;63855508333569;63855508333594;0;185,6679;dcbd3755ee
64;63855508333776;63855508333828;0;245,8796;dcbd3755ee
65;63855508334152;63855508334192;0;201,5303;dcbd3755ee
66;63855508334309;63855508334349;0;168,5382;dcbd3755ee
67;63855508335728;63855508335772;0;237,2086;dcbd3755ee
68;63855508335916;63855508335942;0;209,6913;dcbd3755ee
69;63855508336001;63855508336114;0;67,97418;dcbd3755ee
70;63855508336373;63855508336416;0;195,4427;dcbd3755ee
71;63855508336517;63855508336547;0;370,1973;dcbd3755ee
72;63855508336835;63855508336863;0;99,38782;dcbd3755ee
73;63855508337721;63855508337763;0;201,5391;dcbd3755ee
74;63855508337935;63855508337978;0;261,9905;dcbd3755ee
75;63855508338036;63855508338207;0;70,80254;dcbd3755ee
76;63855508338221;63855508338238;0;102,5567;dcbd3755ee
77;63855508338252;63855508338356;0;181,3117;dcbd3755ee
78;63855508338371;63855508338485;0;148,8008;dcbd3755ee
79;63855508338501;63855508338668;0;23,04036;dcbd3755ee
80;63855508338756;63855508338796;0;80,24338;dcbd3755ee
81;63855508338989;63855508339046;0;175,6783;dcbd3755ee
82;63855508339216;63855508339259;0;205,4166;dcbd3755ee
83;63855508339653;63855508339696;0;169,7972;dcbd3755ee
84;63855508340439;63855508340483;0;125,5997;dcbd3755ee
85;63855508340752;63855508340805;0;183,9712;dcbd3755ee
86;63855508340951;63855508340991;0;178,2426;dcbd3755ee
87;63855508341191;63855508341234;0;147,0217;dcbd3755ee
88;63855508341842;63855508341869;0;145,1279;dcbd3755ee
89;63855508342445;63855508342483;0;251,7683;dcbd3755ee
90;63855508342562;63855508342683;0;79,49419;dcbd3755ee
91;63855508343016;63855508343072;0;128,5735;dcbd3755ee
92;63855508343660;63855508343726;0;309,9312;dcbd3755ee
93;63855508343792;63855508343818;0;135,9867;dcbd3755ee
94;63855508344057;63855508344095;0;123,7168;dcbd3755ee
95;63855508344108;63855508344201;0;93,14547;dcbd3755ee
96;63855508344602;63855508344627;0;268,7235;dcbd3755ee
97;63855508344742;63855508344782;0;85,80244;dcbd3755ee
98;63855508344807;63855508344989;0;81,69716;dcbd3755ee
99;63855508345143;63855508345169;0;177,8805;dcbd3755ee
100;63855508345312;63855508345351;0;290,6944;dcbd3755ee
101;63855508345453;63855508345467;0;129,9101;dcbd3755ee
102;63855508346058;63855508346097;0;186,9562;dcbd3755ee
103;63855508346291;63855508346316;0;183,6119;dcbd3755ee
104;63855508346576;63855508346616;0;235,7496;dcbd3755ee
105;63855508346878;63855508346929;0;198,4771;dcbd3755ee
106;63855508347314;63855508347356;0;238,9607;dcbd3755ee
107;63855508347526;63855508347569;0;125,4646;dcbd3755ee
108;63855508348035;63855508348078;0;177,9774;dcbd3755ee
109;63855508348331;63855508348360;0;283,9411;dcbd3755ee
110;63855508348615;63855508348657;0;192,5146;dcbd3755ee
111;63855508349367;63855508349408;0;116,9116;dcbd3755ee
112;63855508349836;63855508349864;0;95,57893;dcbd3755ee
113;63855508351036;63855508351064;0;125,311;dcbd3755ee
114;63855508351280;63855508351293;0;133,8073;dcbd3755ee
115;63855508352236;63855508352279;0;227,734;dcbd3755ee
116;63855508352423;63855508352481;0;190,6204;dcbd3755ee
117;63855508352539;63855508352728;0;36,64677;dcbd3755ee
118;63855508352786;63855508352872;0;61,84;dcbd3755ee
119;63855508353236;63855508353278;0;114,622;dcbd3755ee
120;63855508353696;63855508353767;0;326,3762;dcbd3755ee
121;63855508353867;63855508353968;0;89,04592;dcbd3755ee
122;63855508354313;63855508354327;0;94,66808;dcbd3755ee
123;63855508355329;63855508355357;0;367,6559;dcbd3755ee
124;63855508355429;63855508355445;0;148,7969;dcbd3755ee
125;63855508355515;63855508355574;0;153,5049;dcbd3755ee
126;63855508355589;63855508355691;0;154,1598;dcbd3755ee
127;63855508355691;63855508355835;0;156,1321;dcbd3755ee
128;63855508355849;63855508355906;0;213,2058;dcbd3755ee
129;63855508356261;63855508356304;0;208,8774;dcbd3755ee
130;63855508356487;63855508356530;0;156,6337;dcbd3755ee
131;63855508357101;63855508357129;0;150,2518;dcbd3755ee
132;63855508357303;63855508357347;0;86,86211;dcbd3755ee
133;63855508357404;63855508357577;0;96,84704;dcbd3755ee
134;63855508357619;63855508357693;0;312,9539;dcbd3755ee
135;63855508357780;63855508357969;0;97,39265;dcbd3755ee
136;63855508358767;63855508358839;0;189,6081;dcbd3755ee
137;63855508358912;63855508359067;0;30,85033;dcbd3755ee
138;63855508359120;63855508359345;0;18,87286;dcbd3755ee
139;63855508359358;63855508359396;0;88,21781;dcbd3755ee
140;63855508359422;63855508359561;0;107,5911;dcbd3755ee
141;63855508359600;63855508359662;0;286,1669;dcbd3755ee
142;63855508359762;63855508359787;0;169,4327;dcbd3755ee
143;63855508359974;63855508360037;0;211,5436;dcbd3755ee
144;63855508360312;63855508360337;0;103,6327;dcbd3755ee
145;63855508360839;63855508360865;0;231,5073;dcbd3755ee
146;63855508361073;63855508361138;0;348,2845;dcbd3755ee
147;63855508361268;63855508361319;0;127,1516;dcbd3755ee
148;63855508361660;63855508361701;0;126,097;dcbd3755ee
149;63855508362339;63855508362392;0;300,4763;dcbd3755ee
150;63855508362526;63855508362552;0;165,46;dcbd3755ee
151;63855508362708;63855508362759;0;53,81256;dcbd3755ee
152;63855508362772;63855508362861;0;199,5801;dcbd3755ee
153;63855508362875;63855508363004;0;176,357;dcbd3755ee
154;63855508363017;63855508363147;0;153,5979;dcbd3755ee
155;63855508363159;63855508363212;0;176,2126;dcbd3755ee
156;63855508363261;63855508363314;0;118,5488;dcbd3755ee
157;63855508363326;63855508363378;0;226,348;dcbd3755ee
158;63855508363405;63855508363417;0;69,47266;dcbd3755ee
159;63855508363444;63855508363573;0;77,84489;dcbd3755ee
160;63855508363871;63855508363896;0;308,3654;dcbd3755ee
161;63855508364075;63855508364115;0;152,9582;dcbd3755ee
162;63855508364245;63855508364284;0;164,47;dcbd3755ee
163;63855508364546;63855508364596;0;182,0819;dcbd3755ee
164;63855508364805;63855508364818;0;79,27396;dcbd3755ee
165;63855508365079;63855508365117;0;118,1531;dcbd3755ee
166;63855508365585;63855508365638;0;293,4016;dcbd3755ee
167;63855508366011;63855508366024;0;317,9308;dcbd3755ee
168;63855508366242;63855508366422;0;111,1697;dcbd3755ee
169;63855508367008;63855508367047;0;249,3563;dcbd3755ee
170;63855508367392;63855508367441;0;319,371;dcbd3755ee
171;63855508368060;63855508368098;0;202,978;dcbd3755ee
172;63855508368163;63855508368215;0;200,22;dcbd3755ee
173;63855508368394;63855508368434;0;388,7438;dcbd3755ee
174;63855508368627;63855508368729;0;121,5451;dcbd3755ee
175;63855508368756;63855508368924;0;123,8052;dcbd3755ee
176;63855508368949;63855508369027;0;367,6508;dcbd3755ee
177;63855508369412;63855508369438;0;119,575;dcbd3755ee
178;63855508369578;63855508369617;0;166,0746;dcbd3755ee
179;63855508369884;63855508369896;0;360,8605;dcbd3755ee
180;63855508369985;63855508370011;0;99,45126;dcbd3755ee
181;63855508370564;63855508370603;0;306,1282;dcbd3755ee
182;63855508371085;63855508371124;0;98,51234;dcbd3755ee
183;63855508371491;63855508371541;0;242,2672;dcbd3755ee
184;63855508371937;63855508371989;0;319,1748;dcbd3755ee
185;63855508372305;63855508372360;0;287,708;dcbd3755ee
186;63855508372458;63855508372513;0;279,8458;dcbd3755ee
187;63855508373026;63855508373080;0;65,36398;dcbd3755ee
188;63855508373745;63855508373758;0;95,59638;dcbd3755ee
189;63855508374335;63855508374375;0;251,9012;dcbd3755ee
190;63855508374651;63855508374706;0;148,3956;dcbd3755ee
191;63855508375653;63855508375734;0;73,72214;dcbd3755ee
192;63855508376162;63855508376204;0;337,8396;dcbd3755ee
193;63855508376218;63855508376273;0;340,2864;dcbd3755ee
194;63855508376289;63855508376329;0;93,75482;dcbd3755ee
195;63855508376344;63855508376496;0;20,38367;dcbd3755ee
196;63855508376511;63855508376538;0;103,1869;dcbd3755ee
197;63855508376551;63855508376668;0;23,42809;dcbd3755ee
198;63855508376706;63855508376769;0;153,5659;dcbd3755ee
199;63855508376794;63855508376845;0;446,1012;dcbd3755ee
