Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63857258014009;63857258014077;0;1;ddf0149910
2;63857258014298;63857258014354;0;2;ddf0149910
3;63857258014631;63857258014664;0;3;ddf0149910
4;63857258019898;63857258019943;0;4;ddf0149910
5;63857258042839;63857258042917;1;5;ddf0149910
6;63857258181384;63857258181439;2;1;ddf0149910
7;63857258181973;63857258182029;2;2;ddf0149910
8;63857258217827;63857258217894;3;3;ddf0149910
9;63857258218016;63857258218072;3;4;ddf0149910
10;63857258266371;63857258266448;4;3;ddf0149910
11;63857258277002;63857258277034;4;4;ddf0149910
12;63857258368823;63857258368891;6;1;ddf0149910
13;63857258384269;63857258384302;6;2;ddf0149910
14;63857258388791;63857258388857;6;3;ddf0149910
15;63857258402683;63857258402738;6;4;ddf0149910
16;63857258485144;63857258485233;7;1;ddf0149910
17;63857258504899;63857258504965;-7;2;ddf0149910
18;63857258508488;63857258508521;8;3;ddf0149910
19;63857258526443;63857258526499;8;4;ddf0149910
20;63857258529998;63857258530054;8;5;ddf0149910
21;63857258546176;63857258546253;8;5;ddf0149910
22;63857258576652;63857258576674;8;4;ddf0149910
