Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63857257894266;63857257894311;0;13,98634;ddf0149910
2;63857257894551;63857257894611;0;6,767324;ddf0149910
3;63857257894814;63857257894874;0;18,73577;ddf0149910
4;63857257895030;63857257895054;0;6,431054;ddf0149910
5;63857257895113;63857257895162;0;6,329764;ddf0149910
6;63857257895836;63857257895848;0;4,046947;ddf0149910
7;63857257895885;63857257895909;0;3,660409;ddf0149910
8;63857257895981;63857257896018;0;14,69896;ddf0149910
9;63857257896194;63857257896321;0;3,971777;ddf0149910
10;63857257896489;63857257896522;0;9,930503;ddf0149910
11;63857257896761;63857257896806;0;6,729893;ddf0149910
12;63857257896987;63857257897021;0;5,16346;ddf0149910
13;63857257897661;63857257897720;0;12,52957;ddf0149910
14;63857257897937;63857257897996;0;16,17129;ddf0149910
15;63857257898133;63857257898167;0;2,728643;ddf0149910
16;63857257898485;63857257898530;0;3,854426;ddf0149910
17;63857257898779;63857257898836;0;21,69595;ddf0149910
18;63857257898941;63857257899056;0;9,056055;ddf0149910
19;63857257899078;63857257899136;0;7,008939;ddf0149910
20;63857257899299;63857257899345;0;13,33644;ddf0149910
21;63857257899575;63857257899678;0;16,96975;ddf0149910
22;63857257899700;63857257899757;0;6,845559;ddf0149910
23;63857257899767;63857257899790;0;2,550905;ddf0149910
24;63857257900041;63857257900084;0;7,249088;ddf0149910
25;63857257900254;63857257900311;0;11,89464;ddf0149910
26;63857257900444;63857257900489;0;11,51925;ddf0149910
27;63857257900622;63857257900655;0;6,729311;ddf0149910
28;63857257900955;63857257900989;0;7,869484;ddf0149910
29;63857257901144;63857257901178;0;6,419457;ddf0149910
30;63857257901433;63857257901489;0;12,56545;ddf0149910
31;63857257901800;63857257901833;0;3,035833;ddf0149910
32;63857257901989;63857257902022;0;7,323756;ddf0149910
33;63857257902144;63857257902177;0;2,496695;ddf0149910
34;63857257902733;63857257902778;0;9,699109;ddf0149910
35;63857257903011;63857257903055;0;4,974018;ddf0149910
36;63857257903233;63857257903278;0;8,057126;ddf0149910
37;63857257903488;63857257903555;0;14,71732;ddf0149910
38;63857257903754;63857257903777;0;6,994482;ddf0149910
39;63857257903788;63857257903843;0;12,66437;ddf0149910
40;63857257904021;63857257904054;0;10,20612;ddf0149910
41;63857257904576;63857257904621;0;15,15514;ddf0149910
42;63857257905173;63857257905218;0;9,250982;ddf0149910
43;63857257905511;63857257905555;0;11,38965;ddf0149910
44;63857257905678;63857257905722;0;10,10676;ddf0149910
45;63857257906078;63857257906111;0;7,177776;ddf0149910
46;63857257906333;63857257906389;0;10,96552;ddf0149910
47;63857257906755;63857257906799;0;18,41262;ddf0149910
48;63857257906810;63857257906833;0;0,912574;ddf0149910
49;63857257906933;63857257907032;0;9,359941;ddf0149910
50;63857257907195;63857257907251;0;5,431376;ddf0149910
51;63857257907329;63857257907385;0;14,50651;ddf0149910
52;63857257907606;63857257907664;0;12,42605;ddf0149910
53;63857257907758;63857257907852;0;4,642791;ddf0149910
54;63857257907863;63857257907886;0;2,124307;ddf0149910
55;63857257907945;63857257908015;0;5,427406;ddf0149910
56;63857257909313;63857257909371;0;8,197573;ddf0149910
57;63857257909588;63857257909645;0;2,55742;ddf0149910
58;63857257909861;63857257909906;0;8,779417;ddf0149910
59;63857257910064;63857257910120;0;11,94151;ddf0149910
60;63857257910656;63857257910690;0;7,899186;ddf0149910
61;63857257911070;63857257911117;0;14,51185;ddf0149910
62;63857257911275;63857257911331;0;9,133187;ddf0149910
63;63857257911465;63857257911543;0;12,55283;ddf0149910
64;63857257911599;63857257911748;0;4,765921;ddf0149910
65;63857257911748;63857257911804;0;6,812415;ddf0149910
66;63857257911849;63857257911932;0;4,122363;ddf0149910
67;63857257912221;63857257912255;0;8,66941;ddf0149910
68;63857257912366;63857257912388;0;13,94314;ddf0149910
69;63857257912421;63857257912477;0;12,16855;ddf0149910
70;63857257912477;63857257912499;0;0,6743467;ddf0149910
71;63857257912510;63857257912532;0;2,104777;ddf0149910
72;63857257912543;63857257912621;0;3,538007;ddf0149910
73;63857257912666;63857257912786;0;14,92325;ddf0149910
74;63857257912797;63857257912841;0;10,78434;ddf0149910
75;63857257913376;63857257913420;0;15,94424;ddf0149910
76;63857257914133;63857257914177;0;10,81554;ddf0149910
77;63857257914299;63857257914332;0;3,734339;ddf0149910
78;63857257915045;63857257915089;0;19,52155;ddf0149910
79;63857257915210;63857257915322;0;10,98892;ddf0149910
80;63857257915356;63857257915400;0;9,739062;ddf0149910
81;63857257915545;63857257915578;0;3,672212;ddf0149910
82;63857257915678;63857257915712;0;14,03715;ddf0149910
83;63857257915944;63857257915990;0;4,157605;ddf0149910
84;63857257916278;63857257916300;0;3,24715;ddf0149910
85;63857257917011;63857257917056;0;11,32973;ddf0149910
86;63857257917178;63857257917223;0;16,29431;ddf0149910
87;63857257917456;63857257917500;0;4,98912;ddf0149910
88;63857257917967;63857257918000;0;4,076599;ddf0149910
89;63857257918311;63857257918345;0;3,730509;ddf0149910
90;63857257918911;63857257918955;0;9,149674;ddf0149910
91;63857257919010;63857257919110;0;9,668349;ddf0149910
92;63857257919355;63857257919377;0;3,175703;ddf0149910
93;63857257919532;63857257919565;0;3,067331;ddf0149910
