Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63857257894266;63857257894311;0;310,8076;ddf0149910
2;63857257894551;63857257894611;0;123,0423;ddf0149910
3;63857257894814;63857257894874;0;312,2629;ddf0149910
4;63857257895030;63857257895054;0;321,5527;ddf0149910
5;63857257895113;63857257895162;0;115,0866;ddf0149910
6;63857257895836;63857257895848;0;269,7964;ddf0149910
7;63857257895885;63857257895909;0;183,0204;ddf0149910
8;63857257895981;63857257896018;0;293,9793;ddf0149910
9;63857257896194;63857257896321;0;31,77421;ddf0149910
10;63857257896489;63857257896522;0;248,2626;ddf0149910
11;63857257896761;63857257896806;0;149,5532;ddf0149910
12;63857257896987;63857257897021;0;147,5274;ddf0149910
13;63857257897661;63857257897720;0;192,7626;ddf0149910
14;63857257897937;63857257897996;0;294,0234;ddf0149910
15;63857257898133;63857257898167;0;90,95478;ddf0149910
16;63857257898485;63857257898530;0;77,08853;ddf0149910
17;63857257898779;63857257898836;0;361,5992;ddf0149910
18;63857257898941;63857257899056;0;78,74831;ddf0149910
19;63857257899078;63857257899136;0;116,8157;ddf0149910
20;63857257899299;63857257899345;0;242,4808;ddf0149910
21;63857257899575;63857257899678;0;154,2704;ddf0149910
22;63857257899700;63857257899757;0;136,9112;ddf0149910
23;63857257899767;63857257899790;0;85,03018;ddf0149910
24;63857257900041;63857257900084;0;161,0909;ddf0149910
25;63857257900254;63857257900311;0;237,8929;ddf0149910
26;63857257900444;63857257900489;0;255,9833;ddf0149910
27;63857257900622;63857257900655;0;192,266;ddf0149910
28;63857257900955;63857257900989;0;224,8424;ddf0149910
29;63857257901144;63857257901178;0;183,4131;ddf0149910
30;63857257901433;63857257901489;0;228,4628;ddf0149910
31;63857257901800;63857257901833;0;101,1944;ddf0149910
32;63857257901989;63857257902022;0;244,1252;ddf0149910
33;63857257902144;63857257902177;0;99,86779;ddf0149910
34;63857257902733;63857257902778;0;242,4777;ddf0149910
35;63857257903011;63857257903055;0;124,3504;ddf0149910
36;63857257903233;63857257903278;0;179,0473;ddf0149910
37;63857257903488;63857257903555;0;226,4204;ddf0149910
38;63857257903754;63857257903777;0;349,7241;ddf0149910
39;63857257903788;63857257903843;0;253,2875;ddf0149910
40;63857257904021;63857257904054;0;255,1529;ddf0149910
41;63857257904576;63857257904621;0;303,1029;ddf0149910
42;63857257905173;63857257905218;0;205,5774;ddf0149910
43;63857257905511;63857257905555;0;227,793;ddf0149910
44;63857257905678;63857257905722;0;252,6691;ddf0149910
45;63857257906078;63857257906111;0;205,0793;ddf0149910
46;63857257906333;63857257906389;0;199,373;ddf0149910
47;63857257906755;63857257906799;0;409,1693;ddf0149910
48;63857257906810;63857257906833;0;36,50296;ddf0149910
49;63857257906933;63857257907032;0;93,59942;ddf0149910
50;63857257907195;63857257907251;0;90,52294;ddf0149910
51;63857257907329;63857257907385;0;263,7547;ddf0149910
52;63857257907606;63857257907664;0;225,9282;ddf0149910
53;63857257907758;63857257907852;0;48,87148;ddf0149910
54;63857257907863;63857257907886;0;106,2153;ddf0149910
55;63857257907945;63857257908015;0;83,49856;ddf0149910
56;63857257909313;63857257909371;0;163,9515;ddf0149910
57;63857257909588;63857257909645;0;46,49854;ddf0149910
58;63857257909861;63857257909906;0;175,5883;ddf0149910
59;63857257910064;63857257910120;0;238,8302;ddf0149910
60;63857257910656;63857257910690;0;197,4796;ddf0149910
61;63857257911070;63857257911117;0;362,7962;ddf0149910
62;63857257911275;63857257911331;0;166,058;ddf0149910
63;63857257911465;63857257911543;0;156,9104;ddf0149910
64;63857257911599;63857257911748;0;32,86842;ddf0149910
65;63857257911748;63857257911804;0;123,8621;ddf0149910
66;63857257911849;63857257911932;0;45,80404;ddf0149910
67;63857257912221;63857257912255;0;247,6974;ddf0149910
68;63857257912366;63857257912388;0;464,7713;ddf0149910
69;63857257912421;63857257912477;0;221,2464;ddf0149910
70;63857257912477;63857257912499;0;44,95645;ddf0149910
71;63857257912510;63857257912532;0;84,1911;ddf0149910
72;63857257912543;63857257912621;0;44,22509;ddf0149910
73;63857257912666;63857257912786;0;119,386;ddf0149910
74;63857257912797;63857257912841;0;239,652;ddf0149910
75;63857257913376;63857257913420;0;318,8848;ddf0149910
76;63857257914133;63857257914177;0;240,3454;ddf0149910
77;63857257914299;63857257914332;0;106,6954;ddf0149910
78;63857257915045;63857257915089;0;433,8123;ddf0149910
79;63857257915210;63857257915322;0;95,55584;ddf0149910
80;63857257915356;63857257915400;0;216,4236;ddf0149910
81;63857257915545;63857257915578;0;104,9203;ddf0149910
82;63857257915678;63857257915712;0;401,0614;ddf0149910
83;63857257915944;63857257915990;0;118,7887;ddf0149910
84;63857257916278;63857257916300;0;129,886;ddf0149910
85;63857257917011;63857257917056;0;251,7717;ddf0149910
86;63857257917178;63857257917223;0;362,0959;ddf0149910
87;63857257917456;63857257917500;0;124,728;ddf0149910
88;63857257917967;63857257918000;0;135,8866;ddf0149910
89;63857257918311;63857257918345;0;93,26273;ddf0149910
90;63857257918911;63857257918955;0;228,7419;ddf0149910
91;63857257919010;63857257919110;0;101,7721;ddf0149910
92;63857257919355;63857257919377;0;105,8568;ddf0149910
93;63857257919532;63857257919565;0;87,63803;ddf0149910
94;63857257919710;63857257919765;0;225,4402;ddf0149910
95;63857257920232;63857257920277;0;205,0282;ddf0149910
96;63857257920476;63857257920520;0;136,9457;ddf0149910
