Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63856920076738;63856920076738;0;0,6798376;de0e13f252
2;63856920076738;63856920076738;0;1,841751;de0e13f252
3;63856920076851;63856920076873;0;1,764251;de0e13f252
4;63856920077061;63856920077084;0;1,36487;de0e13f252
5;63856920077268;63856920077279;0;3,77538;de0e13f252
6;63856920077335;63856920077349;0;0,607807;de0e13f252
7;63856920077360;63856920077418;0;4,478903;de0e13f252
8;63856920077441;63856920077474;0;6,26779;de0e13f252
9;63856920077497;63856920077520;0;2,87174;de0e13f252
10;63856920077565;63856920077587;0;1,387057;de0e13f252
11;63856920077643;63856920077688;0;2,047653;de0e13f252
12;63856920077699;63856920077743;0;9,253447;de0e13f252
13;63856920077754;63856920077788;0;5,408344;de0e13f252
14;63856920077800;63856920077823;0;3,513128;de0e13f252
15;63856920077836;63856920077848;0;3,244134;de0e13f252
16;63856920077897;63856920077920;0;5,698254;de0e13f252
17;63856920077976;63856920078021;0;5,14449;de0e13f252
18;63856920078054;63856920078076;0;3,156535;de0e13f252
19;63856920078154;63856920078187;0;6,558344;de0e13f252
20;63856920078197;63856920078231;0;1,821127;de0e13f252
21;63856920078242;63856920078264;0;3,479809;de0e13f252
22;63856920078287;63856920078298;0;2,291064;de0e13f252
23;63856920078431;63856920078499;0;3,191323;de0e13f252
24;63856920078509;63856920078531;0;2,201404;de0e13f252
25;63856920078554;63856920078576;0;2,087598;de0e13f252
26;63856920078676;63856920078687;0;1,096108;de0e13f252
27;63856920078721;63856920078754;0;5,430077;de0e13f252
28;63856920078798;63856920078820;0;3,940742;de0e13f252
29;63856920078954;63856920078976;0;1,456965;de0e13f252
30;63856920079053;63856920079110;0;11,90107;de0e13f252
31;63856920079143;63856920079165;0;0,8758101;de0e13f252
32;63856920079243;63856920079266;0;2,092186;de0e13f252
33;63856920079409;63856920079432;0;1,572092;de0e13f252
34;63856920079543;63856920079622;0;11,90809;de0e13f252
35;63856920079687;63856920079720;0;3,949726;de0e13f252
36;63856920079732;63856920079765;0;1,454949;de0e13f252
37;63856920079810;63856920079843;0;12,13294;de0e13f252
38;63856920079921;63856920079953;0;14,6476;de0e13f252
39;63856920079966;63856920079988;0;0,4083038;de0e13f252
40;63856920080099;63856920080132;0;2,986423;de0e13f252
41;63856920080321;63856920080377;0;2,120803;de0e13f252
42;63856920080388;63856920080432;0;3,944219;de0e13f252
43;63856920080510;63856920080565;0;3,541271;de0e13f252
44;63856920080577;63856920080599;0;4,610359;de0e13f252
45;63856920080621;63856920080632;0;9,742069;de0e13f252
46;63856920080666;63856920080699;0;1,989381;de0e13f252
47;63856920080710;63856920080753;0;2,425677;de0e13f252
48;63856920080810;63856920080843;0;1,280847;de0e13f252
49;63856920080888;63856920080910;0;3,251006;de0e13f252
50;63856920080932;63856920080954;0;3,46255;de0e13f252
51;63856920081010;63856920081021;0;1,436677;de0e13f252
52;63856920081176;63856920081243;0;9,91558;de0e13f252
53;63856920081266;63856920081366;0;4,073763;de0e13f252
54;63856920081388;63856920081433;0;3,101919;de0e13f252
55;63856920081544;63856920081567;0;2,055475;de0e13f252
56;63856920081599;63856920081622;0;10,33512;de0e13f252
57;63856920081633;63856920081666;0;2,979664;de0e13f252
58;63856920081800;63856920081833;0;4,01376;de0e13f252
59;63856920081844;63856920081855;0;0,9532654;de0e13f252
60;63856920081866;63856920081911;0;2,242801;de0e13f252
61;63856920081933;63856920081967;0;5,443126;de0e13f252
62;63856920081988;63856920082033;0;4,863532;de0e13f252
63;63856920082044;63856920082111;0;4,520301;de0e13f252
64;63856920082122;63856920082156;0;0,4865827;de0e13f252
65;63856920082211;63856920082233;0;5,784961;de0e13f252
66;63856920082256;63856920082267;0;1,300858;de0e13f252
67;63856920082334;63856920082389;0;3,746013;de0e13f252
