Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63856920076738;63856920076738;0;45,32251;de0e13f252
2;63856920076738;63856920076738;0;92,08752;de0e13f252
3;63856920076851;63856920076873;0;58,80836;de0e13f252
4;63856920077061;63856920077084;0;54,59482;de0e13f252
5;63856920077268;63856920077279;0;188,769;de0e13f252
6;63856920077335;63856920077349;0;40,52047;de0e13f252
7;63856920077360;63856920077418;0;74,64838;de0e13f252
8;63856920077441;63856920077474;0;250,7116;de0e13f252
9;63856920077497;63856920077520;0;95,72466;de0e13f252
10;63856920077565;63856920077587;0;46,23523;de0e13f252
11;63856920077643;63856920077688;0;40,95306;de0e13f252
12;63856920077699;63856920077743;0;231,3362;de0e13f252
13;63856920077754;63856920077788;0;216,3338;de0e13f252
14;63856920077800;63856920077823;0;140,5251;de0e13f252
15;63856920077836;63856920077848;0;216,2756;de0e13f252
16;63856920077897;63856920077920;0;284,9127;de0e13f252
17;63856920077976;63856920078021;0;146,9854;de0e13f252
18;63856920078054;63856920078076;0;126,2614;de0e13f252
19;63856920078154;63856920078187;0;218,6115;de0e13f252
20;63856920078197;63856920078231;0;52,0322;de0e13f252
21;63856920078242;63856920078264;0;139,1924;de0e13f252
22;63856920078287;63856920078298;0;152,7376;de0e13f252
23;63856920078431;63856920078499;0;45,59033;de0e13f252
24;63856920078509;63856920078531;0;146,7603;de0e13f252
25;63856920078554;63856920078576;0;104,3799;de0e13f252
26;63856920078676;63856920078687;0;73,07389;de0e13f252
27;63856920078721;63856920078754;0;181,0026;de0e13f252
28;63856920078798;63856920078820;0;157,6297;de0e13f252
29;63856920078954;63856920078976;0;58,27862;de0e13f252
30;63856920079053;63856920079110;0;216,3831;de0e13f252
31;63856920079143;63856920079165;0;43,7905;de0e13f252
32;63856920079243;63856920079266;0;104,6093;de0e13f252
33;63856920079409;63856920079432;0;104,8061;de0e13f252
34;63856920079543;63856920079622;0;140,0952;de0e13f252
35;63856920079687;63856920079720;0;131,6575;de0e13f252
36;63856920079732;63856920079765;0;48,49831;de0e13f252
37;63856920079810;63856920079843;0;404,4314;de0e13f252
38;63856920079921;63856920079953;0;418,5028;de0e13f252
39;63856920079966;63856920079988;0;20,41519;de0e13f252
40;63856920080099;63856920080132;0;99,54745;de0e13f252
41;63856920080321;63856920080377;0;35,34671;de0e13f252
42;63856920080388;63856920080432;0;98,60547;de0e13f252
43;63856920080510;63856920080565;0;78,69492;de0e13f252
44;63856920080577;63856920080599;0;230,518;de0e13f252
45;63856920080621;63856920080632;0;649,4713;de0e13f252
46;63856920080666;63856920080699;0;66,31271;de0e13f252
47;63856920080710;63856920080753;0;53,90393;de0e13f252
48;63856920080810;63856920080843;0;42,69491;de0e13f252
49;63856920080888;63856920080910;0;130,0403;de0e13f252
50;63856920080932;63856920080954;0;173,1275;de0e13f252
51;63856920081010;63856920081021;0;95,77847;de0e13f252
52;63856920081176;63856920081243;0;141,6511;de0e13f252
53;63856920081266;63856920081366;0;42,88171;de0e13f252
54;63856920081388;63856920081433;0;68,93155;de0e13f252
55;63856920081544;63856920081567;0;82,21902;de0e13f252
56;63856920081599;63856920081622;0;413,4048;de0e13f252
57;63856920081633;63856920081666;0;99,32214;de0e13f252
58;63856920081800;63856920081833;0;133,792;de0e13f252
59;63856920081844;63856920081855;0;63,55103;de0e13f252
60;63856920081866;63856920081911;0;64,08002;de0e13f252
61;63856920081933;63856920081967;0;155,5179;de0e13f252
62;63856920081988;63856920082033;0;121,5883;de0e13f252
63;63856920082044;63856920082111;0;69,54309;de0e13f252
64;63856920082122;63856920082156;0;19,46331;de0e13f252
65;63856920082211;63856920082233;0;231,3984;de0e13f252
66;63856920082256;63856920082267;0;86,72386;de0e13f252
67;63856920082334;63856920082389;0;68,10934;de0e13f252
68;63856920082400;63856920082445;0;194,9297;de0e13f252
69;63856920082456;63856920082467;0;179,0123;de0e13f252
70;63856920082477;63856920082511;0;79,4273;de0e13f252
71;63856920082611;63856920082756;0;153,4375;de0e13f252
72;63856920082767;63856920082789;0;151,4883;de0e13f252
73;63856920082833;63856920082878;0;338,9574;de0e13f252
74;63856920082889;63856920082922;0;94,59929;de0e13f252
75;63856920082933;63856920082944;0;368,5882;de0e13f252
76;63856920082967;63856920083000;0;94,88101;de0e13f252
77;63856920083023;63856920083056;0;185,8601;de0e13f252
78;63856920083089;63856920083111;0;269,5545;de0e13f252
79;63856920083222;63856920083233;0;156,618;de0e13f252
80;63856920083300;63856920083322;0;36,65101;de0e13f252
81;63856920083388;63856920083410;0;88,05745;de0e13f252
82;63856920083510;63856920083533;0;264,1467;de0e13f252
83;63856920083566;63856920083621;0;249,0234;de0e13f252
84;63856920083643;63856920083676;0;89,93865;de0e13f252
85;63856920083710;63856920083721;0;172,9114;de0e13f252
86;63856920083821;63856920083866;0;49,99985;de0e13f252
87;63856920083888;63856920083932;0;365,6678;de0e13f252
88;63856920084059;63856920084073;0;77,74095;de0e13f252
89;63856920084085;63856920084155;0;129,4175;de0e13f252
90;63856920084167;63856920084179;0;51,73793;de0e13f252
91;63856920084272;63856920084295;0;46,47878;de0e13f252
92;63856920084307;63856920084342;0;119,3443;de0e13f252
93;63856920084435;63856920084458;0;138,2847;de0e13f252
94;63856920084542;63856920084578;0;104,4019;de0e13f252
95;63856920084603;63856920084676;0;136,0186;de0e13f252
