Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63856638912785;63856638912785;0;1,920404;deaa43e599
2;63856638912785;63856638912785;0;1,534039;deaa43e599
3;63856638912785;63856638912785;0;6,583562;deaa43e599
4;63856638912785;63856638912785;0;3,116464;deaa43e599
5;63856638912785;63856638912785;0;5,194031;deaa43e599
6;63856638912785;63856638912800;0;1,64782;deaa43e599
7;63856638912832;63856638912876;0;3,40818;deaa43e599
8;63856638912899;63856638912920;0;2,74024;deaa43e599
9;63856638912957;63856638912979;0;1,138836;deaa43e599
10;63856638912990;63856638913035;0;4,948152;deaa43e599
11;63856638913057;63856638913090;0;8,719383;deaa43e599
12;63856638913101;63856638913146;0;9,838292;deaa43e599
13;63856638913202;63856638913224;0;3,573689;deaa43e599
14;63856638913235;63856638913280;0;2,131848;deaa43e599
15;63856638913280;63856638913324;0;11,0772;deaa43e599
16;63856638913346;63856638913357;0;2,908451;deaa43e599
17;63856638913413;63856638913468;0;16,35584;deaa43e599
18;63856638913490;63856638913524;0;7,250036;deaa43e599
19;63856638913543;63856638913610;0;16,96823;deaa43e599
20;63856638913620;63856638913633;0;4,577228;deaa43e599
21;63856638913643;63856638913713;0;8,464014;deaa43e599
22;63856638913713;63856638913768;0;8,686611;deaa43e599
23;63856638913779;63856638913802;0;6,672884;deaa43e599
24;63856638913913;63856638913965;0;3,416614;deaa43e599
25;63856638914010;63856638914046;0;4,665602;deaa43e599
26;63856638914190;63856638914201;0;1,352773;deaa43e599
27;63856638914213;63856638914235;0;3,242383;deaa43e599
28;63856638914291;63856638914302;0;1,229715;deaa43e599
29;63856638914557;63856638914568;0;1,078471;deaa43e599
30;63856638914780;63856638914802;0;1,272263;deaa43e599
31;63856638914902;63856638914914;0;0,2676108;deaa43e599
32;63856638915035;63856638915047;0;1,672574;deaa43e599
33;63856638915114;63856638915147;0;1,956248;deaa43e599
34;63856638915358;63856638915369;0;2,637895;deaa43e599
35;63856638915480;63856638915502;0;1,97209;deaa43e599
36;63856638915502;63856638915524;0;6,148416;deaa43e599
37;63856638915536;63856638915547;0;5,139079;deaa43e599
38;63856638915570;63856638915581;0;1,56135;deaa43e599
39;63856638915692;63856638915703;0;0,4427898;deaa43e599
40;63856638915725;63856638915792;0;15,44262;deaa43e599
41;63856638915903;63856638915936;0;3,62801;deaa43e599
42;63856638916180;63856638916258;0;15,18275;deaa43e599
43;63856638916269;63856638916292;0;0,3961419;deaa43e599
44;63856638916314;63856638916336;0;0,711894;deaa43e599
45;63856638916436;63856638916480;0;1,68121;deaa43e599
46;63856638916691;63856638916702;0;0,9968149;deaa43e599
47;63856638916769;63856638916780;0;2,00545;deaa43e599
48;63856638916814;63856638916824;0;6,563545;deaa43e599
49;63856638916858;63856638916914;0;12,41435;deaa43e599
50;63856638916936;63856638916947;0;0,7113441;deaa43e599
51;63856638917002;63856638917036;0;7,928602;deaa43e599
52;63856638917080;63856638917102;0;0,6122975;deaa43e599
53;63856638917113;63856638917179;0;11,43766;deaa43e599
54;63856638917257;63856638917302;0;11,36016;deaa43e599
55;63856638917302;63856638917320;0;3,094843;deaa43e599
56;63856638917454;63856638917477;0;0,9952432;deaa43e599
57;63856638917979;63856638918001;0;2,667631;deaa43e599
58;63856638918012;63856638918058;0;10,39739;deaa43e599
59;63856638918125;63856638918170;0;1,966724;deaa43e599
60;63856638918225;63856638918258;0;3,371852;deaa43e599
61;63856638918380;63856638918392;0;1,571594;deaa43e599
62;63856638918570;63856638918603;0;2,948292;deaa43e599
63;63856638918814;63856638918836;0;1,630749;deaa43e599
64;63856638919325;63856638919358;0;2,314438;deaa43e599
65;63856638919592;63856638919603;0;0,7348864;deaa43e599
66;63856638919725;63856638919747;0;1,240962;deaa43e599
67;63856638919970;63856638919981;0;1,600956;deaa43e599
68;63856638920025;63856638920047;0;1,67888;deaa43e599
69;63856638920336;63856638920359;0;3,032155;deaa43e599
70;63856638920514;63856638920536;0;1,156737;deaa43e599
71;63856638920803;63856638920814;0;1,354653;deaa43e599
72;63856638920836;63856638920869;0;4,37166;deaa43e599
73;63856638921403;63856638921447;0;3,01662;deaa43e599
