Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63856638912785;63856638912785;0;128,0269;deaa43e599
2;63856638912785;63856638912785;0;30,68077;deaa43e599
3;63856638912785;63856638912785;0;146,3014;deaa43e599
4;63856638912785;63856638912785;0;155,8232;deaa43e599
5;63856638912785;63856638912785;0;129,8508;deaa43e599
6;63856638912785;63856638912800;0;82,39101;deaa43e599
7;63856638912832;63856638912876;0;75,73733;deaa43e599
8;63856638912899;63856638912920;0;137,012;deaa43e599
9;63856638912957;63856638912979;0;45,55343;deaa43e599
10;63856638912990;63856638913035;0;109,9589;deaa43e599
11;63856638913057;63856638913090;0;249,1252;deaa43e599
12;63856638913101;63856638913146;0;218,6287;deaa43e599
13;63856638913202;63856638913224;0;178,6844;deaa43e599
14;63856638913235;63856638913280;0;60,90995;deaa43e599
15;63856638913280;63856638913324;0;276,93;deaa43e599
16;63856638913346;63856638913357;0;145,4226;deaa43e599
17;63856638913413;63856638913468;0;363,4631;deaa43e599
18;63856638913490;63856638913524;0;241,6679;deaa43e599
19;63856638913543;63856638913610;0;261,0497;deaa43e599
20;63856638913620;63856638913633;0;305,1486;deaa43e599
21;63856638913643;63856638913713;0;130,2156;deaa43e599
22;63856638913713;63856638913768;0;173,7322;deaa43e599
23;63856638913779;63856638913802;0;266,9154;deaa43e599
24;63856638913913;63856638913965;0;68,33228;deaa43e599
25;63856638914010;63856638914046;0;133,3029;deaa43e599
26;63856638914190;63856638914201;0;90,18489;deaa43e599
27;63856638914213;63856638914235;0;216,1589;deaa43e599
28;63856638914291;63856638914302;0;81,98102;deaa43e599
29;63856638914557;63856638914568;0;71,89807;deaa43e599
30;63856638914780;63856638914802;0;42,40876;deaa43e599
31;63856638914902;63856638914914;0;17,84072;deaa43e599
32;63856638915035;63856638915047;0;111,5049;deaa43e599
33;63856638915114;63856638915147;0;78,24991;deaa43e599
34;63856638915358;63856638915369;0;175,8597;deaa43e599
35;63856638915480;63856638915502;0;98,60451;deaa43e599
36;63856638915502;63856638915524;0;409,8944;deaa43e599
37;63856638915536;63856638915547;0;342,6053;deaa43e599
38;63856638915570;63856638915581;0;104,09;deaa43e599
39;63856638915692;63856638915703;0;29,51932;deaa43e599
40;63856638915725;63856638915792;0;237,5788;deaa43e599
41;63856638915903;63856638915936;0;103,6574;deaa43e599
42;63856638916180;63856638916258;0;202,4366;deaa43e599
43;63856638916269;63856638916292;0;26,40946;deaa43e599
44;63856638916314;63856638916336;0;47,4596;deaa43e599
45;63856638916436;63856638916480;0;37,36023;deaa43e599
46;63856638916691;63856638916702;0;66,45433;deaa43e599
47;63856638916769;63856638916780;0;133,6967;deaa43e599
48;63856638916814;63856638916824;0;437,5697;deaa43e599
49;63856638916858;63856638916914;0;225,7155;deaa43e599
50;63856638916936;63856638916947;0;47,42294;deaa43e599
51;63856638917002;63856638917036;0;264,2867;deaa43e599
52;63856638917080;63856638917102;0;30,61488;deaa43e599
53;63856638917113;63856638917179;0;175,964;deaa43e599
54;63856638917257;63856638917302;0;324,576;deaa43e599
55;63856638917302;63856638917320;0;154,7421;deaa43e599
56;63856638917454;63856638917477;0;39,80973;deaa43e599
57;63856638917979;63856638918001;0;177,8421;deaa43e599
58;63856638918012;63856638918058;0;231,0531;deaa43e599
59;63856638918125;63856638918170;0;56,19211;deaa43e599
60;63856638918225;63856638918258;0;96,33864;deaa43e599
61;63856638918380;63856638918392;0;104,7729;deaa43e599
62;63856638918570;63856638918603;0;84,23693;deaa43e599
63;63856638918814;63856638918836;0;81,53745;deaa43e599
64;63856638919325;63856638919358;0;92,57751;deaa43e599
65;63856638919592;63856638919603;0;48,99243;deaa43e599
66;63856638919725;63856638919747;0;62,04811;deaa43e599
67;63856638919970;63856638919981;0;106,7304;deaa43e599
68;63856638920025;63856638920047;0;111,9254;deaa43e599
