Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63856820458755;63856820458806;0;222,0557;e2f2d05ef0
2;63856820459007;63856820459082;0;403,8027;e2f2d05ef0
3;63856820459544;63856820459594;0;169,8863;e2f2d05ef0
4;63856820459793;63856820459918;0;193,5854;e2f2d05ef0
5;63856820459930;63856820459942;0;103,2258;e2f2d05ef0
6;63856820459969;63856820460186;0;106,6111;e2f2d05ef0
7;63856820460239;63856820460371;0;169,0733;e2f2d05ef0
8;63856820460384;63856820460397;0;28,68257;e2f2d05ef0
9;63856820460424;63856820460692;0;35,50974;e2f2d05ef0
10;63856820460692;63856820460730;0;111,1201;e2f2d05ef0
11;63856820460742;63856820460842;0;171,7786;e2f2d05ef0
12;63856820460842;63856820460868;0;151,2814;e2f2d05ef0
13;63856820460931;63856820460993;0;68,78835;e2f2d05ef0
14;63856820461092;63856820461128;0;124,377;e2f2d05ef0
15;63856820461239;63856820461287;0;337,2849;e2f2d05ef0
16;63856820461694;63856820461755;0;241,211;e2f2d05ef0
17;63856820462108;63856820462158;0;264,4038;e2f2d05ef0
18;63856820462350;63856820462374;0;84,97227;e2f2d05ef0
19;63856820462613;63856820462636;0;87,87357;e2f2d05ef0
20;63856820462803;63856820462838;0;103,1352;e2f2d05ef0
21;63856820463004;63856820463052;0;274,6042;e2f2d05ef0
22;63856820463267;63856820463303;0;118,1477;e2f2d05ef0
23;63856820463481;63856820463504;0;104,0976;e2f2d05ef0
24;63856820463731;63856820463767;0;133,1457;e2f2d05ef0
25;63856820463995;63856820464019;0;116,233;e2f2d05ef0
26;63856820464354;63856820464403;0;190,5039;e2f2d05ef0
27;63856820464535;63856820464571;0;215,1345;e2f2d05ef0
28;63856820465367;63856820465427;0;406,3233;e2f2d05ef0
29;63856820465667;63856820465715;0;189,7969;e2f2d05ef0
30;63856820466037;63856820466073;0;218,4622;e2f2d05ef0
31;63856820466228;63856820466251;0;119,1065;e2f2d05ef0
32;63856820466286;63856820466298;0;77,64405;e2f2d05ef0
33;63856820466439;63856820466462;0;281,3811;e2f2d05ef0
34;63856820466531;63856820466690;0;162,7145;e2f2d05ef0
35;63856820468007;63856820468052;0;117,737;e2f2d05ef0
36;63856820468360;63856820468395;0;97,91277;e2f2d05ef0
37;63856820468769;63856820468803;0;199,9097;e2f2d05ef0
38;63856820469702;63856820469725;0;110,333;e2f2d05ef0
39;63856820470385;63856820470408;0;78,48626;e2f2d05ef0
40;63856820471146;63856820471169;0;86,24114;e2f2d05ef0
41;63856820471511;63856820471545;0;268,571;e2f2d05ef0
42;63856820471829;63856820471851;0;160,5052;e2f2d05ef0
43;63856820473990;63856820474013;0;91,451;e2f2d05ef0
44;63856820474623;63856820474634;0;119,1469;e2f2d05ef0
45;63856820474656;63856820474668;0;118,8307;e2f2d05ef0
46;63856820475447;63856820475514;0;109,1607;e2f2d05ef0
47;63856820475526;63856820475548;0;107,8235;e2f2d05ef0
48;63856820475559;63856820475582;0;71,74495;e2f2d05ef0
49;63856820475784;63856820475818;0;242,8302;e2f2d05ef0
50;63856820475852;63856820475864;0;102,9593;e2f2d05ef0
51;63856820475908;63856820475920;0;96,00521;e2f2d05ef0
52;63856820476021;63856820476146;0;130,4671;e2f2d05ef0
53;63856820476169;63856820476192;0;83,30701;e2f2d05ef0
54;63856820476352;63856820476478;0;119,8958;e2f2d05ef0
55;63856820476912;63856820476923;0;314,2813;e2f2d05ef0
56;63856820476994;63856820477207;0;116,038;e2f2d05ef0
57;63856820477257;63856820477293;0;126,6047;e2f2d05ef0
58;63856820477673;63856820477724;0;195,6254;e2f2d05ef0
59;63856820477812;63856820477888;0;47,96663;e2f2d05ef0
60;63856820477888;63856820477926;0;134,2596;e2f2d05ef0
61;63856820478064;63856820478128;0;305,3161;e2f2d05ef0
62;63856820478204;63856820478345;0;92,94093;e2f2d05ef0
63;63856820478460;63856820478484;0;182,2345;e2f2d05ef0
64;63856820478574;63856820478613;0;221,7964;e2f2d05ef0
65;63856820478804;63856820478880;0;271,0919;e2f2d05ef0
66;63856820478893;63856820478905;0;133,3645;e2f2d05ef0
67;63856820478945;63856820479046;0;112,5327;e2f2d05ef0
68;63856820479224;63856820479261;0;282,7378;e2f2d05ef0
69;63856820479439;63856820479466;0;116,693;e2f2d05ef0
70;63856820479996;63856820480047;0;188,5273;e2f2d05ef0
71;63856820480148;63856820480224;0;316,6958;e2f2d05ef0
72;63856820480301;63856820480414;0;115,6356;e2f2d05ef0
73;63856820480414;63856820480438;0;100,2774;e2f2d05ef0
74;63856820480751;63856820480802;0;201,2147;e2f2d05ef0
75;63856820480927;63856820480952;0;12,18183;e2f2d05ef0
76;63856820481281;63856820481472;0;197,1633;e2f2d05ef0
77;63856820481536;63856820481561;0;92,47723;e2f2d05ef0
78;63856820481652;63856820481678;0;122,4604;e2f2d05ef0
79;63856820482022;63856820482100;0;275,9227;e2f2d05ef0
80;63856820482177;63856820482266;0;130,0697;e2f2d05ef0
81;63856820482266;63856820482330;0;133,541;e2f2d05ef0
82;63856820482756;63856820482807;0;406,4871;e2f2d05ef0
83;63856820482896;63856820482960;0;89,93111;e2f2d05ef0
84;63856820482985;63856820482999;0;126,487;e2f2d05ef0
85;63856820483179;63856820483228;0;339,2906;e2f2d05ef0
86;63856820483597;63856820483648;0;154,2527;e2f2d05ef0
87;63856820483697;63856820483772;0;141,8307;e2f2d05ef0
88;63856820483784;63856820483881;0;360,1704;e2f2d05ef0
89;63856820483917;63856820484156;0;142,5749;e2f2d05ef0
90;63856820484214;63856820484226;0;221,1885;e2f2d05ef0
91;63856820484311;63856820484670;0;70,62423;e2f2d05ef0
92;63856820484707;63856820484734;0;90,69857;e2f2d05ef0
93;63856820485091;63856820485129;0;137,1959;e2f2d05ef0
94;63856820485501;63856820485551;0;199,3716;e2f2d05ef0
95;63856820486050;63856820486088;0;119,4885;e2f2d05ef0
96;63856820487116;63856820487188;0;131,0447;e2f2d05ef0
97;63856820487273;63856820487358;0;94,80721;e2f2d05ef0
98;63856820487358;63856820487457;0;119,9218;e2f2d05ef0
99;63856820487485;63856820487600;0;146,765;e2f2d05ef0
100;63856820487684;63856820487771;0;291,4014;e2f2d05ef0
101;63856820488349;63856820488378;0;145,8042;e2f2d05ef0
102;63856820489270;63856820489313;0;215,1268;e2f2d05ef0
103;63856820489552;63856820489595;0;180,1999;e2f2d05ef0
104;63856820489660;63856820489686;0;163,6519;e2f2d05ef0
105;63856820489700;63856820489790;0;314,8734;e2f2d05ef0
106;63856820489802;63856820490042;0;47,71906;e2f2d05ef0
107;63856820490105;63856820490206;0;106,4242;e2f2d05ef0
108;63856820490283;63856820490335;0;175,1217;e2f2d05ef0
109;63856820490600;63856820490637;0;151,5372;e2f2d05ef0
110;63856820491826;63856820491903;0;347,2483;e2f2d05ef0
111;63856820492056;63856820492081;0;83,77348;e2f2d05ef0
112;63856820492181;63856820492257;0;313,5626;e2f2d05ef0
113;63856820492357;63856820492559;0;56,00032;e2f2d05ef0
114;63856820492584;63856820492737;0;113,1979;e2f2d05ef0
115;63856820492749;63856820492802;0;128,4898;e2f2d05ef0
116;63856820493025;63856820493079;0;73,29788;e2f2d05ef0
117;63856820493431;63856820493472;0;382,9886;e2f2d05ef0
118;63856820493764;63856820493817;0;260,7708;e2f2d05ef0
