Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63856995704457;63856995704511;0;5,46637;e5b6272806
2;63856995704712;63856995704780;0;12,60802;e5b6272806
3;63856995705157;63856995705224;0;12,8938;e5b6272806
4;63856995705279;63856995705416;0;15,84874;e5b6272806
5;63856995705428;63856995705457;0;2,793372;e5b6272806
6;63856995705457;63856995705647;0;7,659039;e5b6272806
7;63856995705688;63856995705857;0;5,650798;e5b6272806
8;63856995705869;63856995705882;0;1,738888;e5b6272806
9;63856995705895;63856995706036;0;17,34517;e5b6272806
10;63856995706138;63856995706177;0;7,318262;e5b6272806
11;63856995706403;63856995706455;0;7,971073;e5b6272806
12;63856995706734;63856995706796;0;18,09717;e5b6272806
13;63856995706923;63856995706948;0;1,898161;e5b6272806
14;63856995707049;63856995707101;0;20,22487;e5b6272806
15;63856995707352;63856995707392;0;4,220997;e5b6272806
16;63856995707580;63856995707630;0;7,817508;e5b6272806
17;63856995707858;63856995707895;0;7,342806;e5b6272806
18;63856995708070;63856995708134;0;25,84688;e5b6272806
19;63856995708506;63856995708545;0;5,523858;e5b6272806
20;63856995708911;63856995708946;0;6,854921;e5b6272806
21;63856995709294;63856995709367;0;32,41484;e5b6272806
22;63856995709570;63856995709618;0;14,55575;e5b6272806
23;63856995709834;63856995709882;0;7,41201;e5b6272806
24;63856995709980;63856995710028;0;9,583265;e5b6272806
25;63856995710160;63856995710220;0;23,81574;e5b6272806
26;63856995710352;63856995710390;0;3,620663;e5b6272806
27;63856995710535;63856995710582;0;13,42787;e5b6272806
28;63856995710835;63856995710872;0;3,130566;e5b6272806
29;63856995711005;63856995711040;0;9,859735;e5b6272806
30;63856995711234;63856995711294;0;18,50579;e5b6272806
31;63856995711403;63856995711415;0;1,242696;e5b6272806
32;63856995711583;63856995711769;0;44,91569;e5b6272806
33;63856995711782;63856995711900;0;11,28914;e5b6272806
34;63856995711913;63856995711967;0;7,297213;e5b6272806
35;63856995712115;63856995712156;0;7,433765;e5b6272806
36;63856995712315;63856995712390;0;7,863146;e5b6272806
37;63856995714035;63856995714080;0;16,16182;e5b6272806
38;63856995714990;63856995715004;0;1,814128;e5b6272806
39;63856995715135;63856995715163;0;22,52436;e5b6272806
40;63856995715394;63856995715495;0;17,14827;e5b6272806
41;63856995715557;63856995715616;0;13,09518;e5b6272806
42;63856995715796;63856995715830;0;12,38445;e5b6272806
43;63856995716068;63856995716115;0;3,97365;e5b6272806
44;63856995716281;63856995716293;0;1,993116;e5b6272806
45;63856995716469;63856995716503;0;3,874492;e5b6272806
46;63856995716611;63856995716657;0;4,731102;e5b6272806
47;63856995716857;63856995716880;0;3,326019;e5b6272806
48;63856995717091;63856995717127;0;3,726886;e5b6272806
49;63856995717315;63856995717364;0;11,97831;e5b6272806
50;63856995717513;63856995717688;0;13,92914;e5b6272806
51;63856995717753;63856995717860;0;10,27648;e5b6272806
52;63856995718312;63856995718351;0;8,674846;e5b6272806
53;63856995718537;63856995718592;0;13,84588;e5b6272806
54;63856995719225;63856995719266;0;7,060665;e5b6272806
55;63856995719630;63856995719683;0;11,99178;e5b6272806
56;63856995719899;63856995719926;0;5,239852;e5b6272806
57;63856995720197;63856995720240;0;9,597306;e5b6272806
58;63856995720418;63856995720478;0;16,76633;e5b6272806
59;63856995720596;63856995720671;0;19,02249;e5b6272806
60;63856995720746;63856995720789;0;5,004568;e5b6272806
61;63856995720818;63856995720849;0;4,791337;e5b6272806
62;63856995720968;63856995721012;0;3,787187;e5b6272806
63;63856995721159;63856995721204;0;17,93927;e5b6272806
64;63856995721600;63856995721659;0;23,29488;e5b6272806
65;63856995721778;63856995721806;0;2,571464;e5b6272806
66;63856995721954;63856995721999;0;7,735201;e5b6272806
67;63856995722218;63856995722248;0;3,938306;e5b6272806
68;63856995722588;63856995722647;0;18,19988;e5b6272806
69;63856995722884;63856995722944;0;14,92491;e5b6272806
70;63856995722958;63856995722973;0;1,808185;e5b6272806
71;63856995722989;63856995723148;0;9,24601;e5b6272806
72;63856995723161;63856995723177;0;3,351702;e5b6272806
73;63856995723190;63856995723588;0;17,02019;e5b6272806
74;63856995723600;63856995723811;0;20,75127;e5b6272806
