Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63856570946705;63856570946763;0;8,727781;e706b5f36e
2;63856570946862;63856570946945;0;12,71668;e706b5f36e
3;63856570946985;63856570946999;0;2,804562;e706b5f36e
4;63856570947040;63856570947118;0;10,6378;e706b5f36e
5;63856570947144;63856570947210;0;7,583747;e706b5f36e
6;63856570947247;63856570947261;0;1,29875;e706b5f36e
7;63856570947401;63856570947453;0;22,65244;e706b5f36e
8;63856570947579;63856570947631;0;4,849696;e706b5f36e
9;63856570947643;63856570947657;0;1,482925;e706b5f36e
10;63856570947758;63856570947847;0;6,431176;e706b5f36e
11;63856570947923;63856570947974;0;26,04997;e706b5f36e
12;63856570948088;63856570948202;0;11,78288;e706b5f36e
13;63856570948330;63856570948395;0;13,32659;e706b5f36e
14;63856570948865;63856570948914;0;9,089818;e706b5f36e
15;63856570949171;63856570949220;0;6,468144;e706b5f36e
16;63856570949392;63856570949431;0;10,48942;e706b5f36e
17;63856570949861;63856570949898;0;3,285451;e706b5f36e
18;63856570950266;63856570950291;0;4,249528;e706b5f36e
19;63856570950426;63856570950489;0;16,34559;e706b5f36e
20;63856570950784;63856570950832;0;6,90146;e706b5f36e
21;63856570951037;63856570951048;0;2,345685;e706b5f36e
22;63856570951232;63856570951268;0;3,528865;e706b5f36e
23;63856570951501;63856570951551;0;15,23669;e706b5f36e
24;63856570951820;63856570951858;0;6,569398;e706b5f36e
25;63856570952369;63856570952419;0;12,24964;e706b5f36e
26;63856570952495;63856570952545;0;7,500461;e706b5f36e
27;63856570952634;63856570952698;0;6,573696;e706b5f36e
28;63856570952801;63856570952829;0;2,806097;e706b5f36e
29;63856570953256;63856570953309;0;4,908239;e706b5f36e
30;63856570953542;63856570953580;0;3,279486;e706b5f36e
31;63856570954040;63856570954101;0;22,55579;e706b5f36e
32;63856570954317;63856570954530;0;9,175539;e706b5f36e
33;63856570954603;63856570954678;0;19,57692;e706b5f36e
34;63856570954884;63856570955012;0;13,80382;e706b5f36e
35;63856570955106;63856570955153;0;5,159853;e706b5f36e
36;63856570955259;63856570955295;0;4,938918;e706b5f36e
37;63856570955457;63856570955492;0;3,523868;e706b5f36e
38;63856570955598;63856570955633;0;7,019873;e706b5f36e
39;63856570955995;63856570956030;0;3,989929;e706b5f36e
40;63856570956450;63856570956474;0;2,866965;e706b5f36e
41;63856570957035;63856570957092;0;14,64509;e706b5f36e
42;63856570957199;63856570957245;0;6,773552;e706b5f36e
43;63856570957374;63856570957409;0;3,7576;e706b5f36e
44;63856570957514;63856570957575;0;13,91386;e706b5f36e
45;63856570957655;63856570957702;0;8,615729;e706b5f36e
46;63856570957831;63856570957900;0;22,21719;e706b5f36e
47;63856570958458;63856570958519;0;11,1518;e706b5f36e
48;63856570958579;63856570958592;0;5,107145;e706b5f36e
49;63856570958605;63856570958631;0;12,79518;e706b5f36e
50;63856570959233;63856570959259;0;8,824878;e706b5f36e
51;63856570959551;63856570959591;0;3,841806;e706b5f36e
52;63856570959737;63856570959790;0;9,066074;e706b5f36e
53;63856570960056;63856570960097;0;9,446353;e706b5f36e
54;63856570960375;63856570960440;0;17,10913;e706b5f36e
55;63856570960506;63856570960584;0;9,596529;e706b5f36e
56;63856570960648;63856570960675;0;3,098825;e706b5f36e
