Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63856570946705;63856570946763;0;158,6869;e706b5f36e
2;63856570946862;63856570946945;0;158,9586;e706b5f36e
3;63856570946985;63856570946999;0;186,9708;e706b5f36e
4;63856570947040;63856570947118;0;141,8373;e706b5f36e
5;63856570947144;63856570947210;0;126,3958;e706b5f36e
6;63856570947247;63856570947261;0;86,58334;e706b5f36e
7;63856570947401;63856570947453;0;411,8625;e706b5f36e
8;63856570947579;63856570947631;0;96,99392;e706b5f36e
9;63856570947643;63856570947657;0;74,14627;e706b5f36e
10;63856570947758;63856570947847;0;71,45751;e706b5f36e
11;63856570947923;63856570947974;0;473,6358;e706b5f36e
12;63856570948088;63856570948202;0;98,19067;e706b5f36e
13;63856570948330;63856570948395;0;222,1099;e706b5f36e
14;63856570948865;63856570948914;0;201,996;e706b5f36e
15;63856570949171;63856570949220;0;129,3629;e706b5f36e
16;63856570949392;63856570949431;0;233,0983;e706b5f36e
17;63856570949861;63856570949898;0;93,87002;e706b5f36e
18;63856570950266;63856570950291;0;169,9811;e706b5f36e
19;63856570950426;63856570950489;0;272,4265;e706b5f36e
20;63856570950784;63856570950832;0;172,5365;e706b5f36e
21;63856570951037;63856570951048;0;117,2843;e706b5f36e
22;63856570951232;63856570951268;0;100,8247;e706b5f36e
23;63856570951501;63856570951551;0;304,7338;e706b5f36e
24;63856570951820;63856570951858;0;145,9866;e706b5f36e
25;63856570952369;63856570952419;0;244,9927;e706b5f36e
26;63856570952495;63856570952545;0;150,0092;e706b5f36e
27;63856570952634;63856570952698;0;87,64928;e706b5f36e
28;63856570952801;63856570952829;0;112,2439;e706b5f36e
29;63856570953256;63856570953309;0;98,16479;e706b5f36e
30;63856570953542;63856570953580;0;109,3162;e706b5f36e
31;63856570954040;63856570954101;0;375,9298;e706b5f36e
32;63856570954317;63856570954530;0;42,67693;e706b5f36e
33;63856570954603;63856570954678;0;261,0256;e706b5f36e
34;63856570954884;63856570955012;0;106,1832;e706b5f36e
35;63856570955106;63856570955153;0;128,9963;e706b5f36e
36;63856570955259;63856570955295;0;123,4729;e706b5f36e
37;63856570955457;63856570955492;0;100,6819;e706b5f36e
38;63856570955598;63856570955633;0;175,4968;e706b5f36e
39;63856570955995;63856570956030;0;113,998;e706b5f36e
40;63856570956450;63856570956474;0;95,56549;e706b5f36e
41;63856570957035;63856570957092;0;244,0848;e706b5f36e
42;63856570957199;63856570957245;0;169,3388;e706b5f36e
43;63856570957374;63856570957409;0;107,36;e706b5f36e
44;63856570957514;63856570957575;0;252,9792;e706b5f36e
45;63856570957655;63856570957702;0;191,4607;e706b5f36e
46;63856570957831;63856570957900;0;317,3885;e706b5f36e
47;63856570958458;63856570958519;0;202,76;e706b5f36e
48;63856570958579;63856570958592;0;340,4763;e706b5f36e
49;63856570958605;63856570958631;0;511,8072;e706b5f36e
50;63856570959233;63856570959259;0;252,1394;e706b5f36e
51;63856570959551;63856570959591;0;96,04517;e706b5f36e
52;63856570959737;63856570959790;0;151,1012;e706b5f36e
53;63856570960056;63856570960097;0;236,1588;e706b5f36e
54;63856570960375;63856570960440;0;263,2173;e706b5f36e
55;63856570960506;63856570960584;0;127,9537;e706b5f36e
56;63856570960648;63856570960675;0;154,9413;e706b5f36e
57;63856570960701;63856570960714;0;121,1646;e706b5f36e
58;63856570961146;63856570961292;0;155,1637;e706b5f36e
59;63856570961622;63856570961662;0;212,5621;e706b5f36e
60;63856570962054;63856570962093;0;128,9555;e706b5f36e
61;63856570962524;63856570962537;0;74,39494;e706b5f36e
62;63856570962792;63856570962832;0;225,6949;e706b5f36e
63;63856570963073;63856570963085;0;161,8256;e706b5f36e
64;63856570963178;63856570963218;0;437,9677;e706b5f36e
65;63856570963218;63856570963284;0;36,66339;e706b5f36e
66;63856570963297;63856570963428;0;111,1396;e706b5f36e
67;63856570963466;63856570963479;0;78,87179;e706b5f36e
68;63856570963832;63856570963952;0;186,7345;e706b5f36e
69;63856570963965;63856570964018;0;66,51685;e706b5f36e
70;63856570964887;63856570964928;0;252,9021;e706b5f36e
71;63856570965755;63856570965795;0;217,2352;e706b5f36e
72;63856570965968;63856570966008;0;388,5179;e706b5f36e
73;63856570966034;63856570966046;0;113,3077;e706b5f36e
74;63856570966087;63856570966154;0;91,26369;e706b5f36e
75;63856570966418;63856570966457;0;142,506;e706b5f36e
76;63856570967055;63856570967097;0;173,032;e706b5f36e
77;63856570967864;63856570967903;0;276,4912;e706b5f36e
78;63856570968506;63856570968559;0;115,4754;e706b5f36e
79;63856570969017;63856570969058;0;186,9331;e706b5f36e
80;63856570969143;63856570969173;0;137,9227;e706b5f36e
81;63856570969258;63856570969314;0;147,9814;e706b5f36e
82;63856570969531;63856570969545;0;75,3051;e706b5f36e
83;63856570969559;63856570969603;0;208,2791;e706b5f36e
84;63856570969820;63856570969921;0;135,858;e706b5f36e
85;63856570970325;63856570970398;0;155,3092;e706b5f36e
86;63856570970455;63856570970470;0;83,42957;e706b5f36e
87;63856570970485;63856570970513;0;139,6037;e706b5f36e
88;63856570970543;63856570970572;0;123,9931;e706b5f36e
89;63856570970717;63856570970745;0;123,3878;e706b5f36e
90;63856570971251;63856570971424;0;33,74819;e706b5f36e
91;63856570971669;63856570971712;0;112,175;e706b5f36e
92;63856570972245;63856570972290;0;376,6643;e706b5f36e
93;63856570972508;63856570972521;0;168,6855;e706b5f36e
