Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63857246357442;63857246357530;0;85,9861;e7ced685f4
2;63857246357555;63857246357606;0;143,1486;e7ced685f4
3;63857246357655;63857246357680;0;110,2762;e7ced685f4
4;63857246357694;63857246357705;0;117,8162;e7ced685f4
5;63857246357730;63857246357791;0;117,9983;e7ced685f4
6;63857246357803;63857246357842;0;221,4818;e7ced685f4
7;63857246357994;63857246358020;0;148,8612;e7ced685f4
8;63857246358085;63857246358110;0;231,0947;e7ced685f4
9;63857246358123;63857246358163;0;270,3326;e7ced685f4
10;63857246358189;63857246358201;0;95,01263;e7ced685f4
11;63857246358214;63857246358228;0;292,8623;e7ced685f4
12;63857246358329;63857246358442;0;148,9965;e7ced685f4
13;63857246358530;63857246358567;0;140,8238;e7ced685f4
14;63857246358654;63857246358706;0;88,4106;e7ced685f4
15;63857246358779;63857246358805;0;214,6841;e7ced685f4
16;63857246359025;63857246359061;0;203,2288;e7ced685f4
17;63857246359216;63857246359228;0;87,78046;e7ced685f4
18;63857246359430;63857246359465;0;138,8476;e7ced685f4
19;63857246359761;63857246359797;0;110,1366;e7ced685f4
20;63857246359835;63857246359872;0;101,5485;e7ced685f4
21;63857246360047;63857246360059;0;399,1642;e7ced685f4
22;63857246360085;63857246360097;0;102,6682;e7ced685f4
23;63857246360173;63857246360185;0;440,0859;e7ced685f4
24;63857246360385;63857246360397;0;63,93305;e7ced685f4
25;63857246360520;63857246360569;0;199,5525;e7ced685f4
26;63857246361197;63857246361222;0;92,60457;e7ced685f4
27;63857246361247;63857246361273;0;204,8727;e7ced685f4
28;63857246361781;63857246361819;0;56,26315;e7ced685f4
29;63857246361843;63857246361855;0;180,8015;e7ced685f4
30;63857246362267;63857246362306;0;236,1288;e7ced685f4
31;63857246362655;63857246362667;0;129,3046;e7ced685f4
32;63857246362961;63857246362997;0;104,897;e7ced685f4
33;63857246363168;63857246363230;0;235,2442;e7ced685f4
34;63857246363307;63857246363344;0;123,1027;e7ced685f4
35;63857246363356;63857246363368;0;134,882;e7ced685f4
36;63857246363380;63857246363480;0;223,7741;e7ced685f4
37;63857246363543;63857246363646;0;99,11633;e7ced685f4
