Blink_rate_number;Measurement_start_time;Measurement_end_time;Round_number;Blink_rate_last_minute;User_ID
1;63857413535823;63857413535889;0;1;e99c3f87fd
2;63857413598932;63857413598988;1;1;e99c3f87fd
3;63857413624186;63857413624242;1;2;e99c3f87fd
4;63857413635240;63857413635366;1;3;e99c3f87fd
5;63857413645685;63857413645773;-1;4;e99c3f87fd
6;63857413668475;63857413668542;2;4;e99c3f87fd
7;63857413669675;63857413669709;2;5;e99c3f87fd
8;63857413677265;63857413677322;2;6;e99c3f87fd
9;63857413679016;63857413679083;2;7;e99c3f87fd
10;63857413716862;63857413716918;2;5;e99c3f87fd
11;63857413723009;63857413723066;2;6;e99c3f87fd
12;63857413730017;63857413730184;-2;5;e99c3f87fd
13;63857413731649;63857413731662;-2;6;e99c3f87fd
14;63857413748474;63857413748507;3;5;e99c3f87fd
15;63857413751263;63857413751362;3;6;e99c3f87fd
16;63857413767620;63857413767712;3;7;e99c3f87fd
17;63857413778728;63857413778806;3;7;e99c3f87fd
18;63857413787099;63857413787168;3;7;e99c3f87fd
19;63857413791638;63857413791716;3;7;e99c3f87fd
20;63857413797994;63857413798065;3;7;e99c3f87fd
21;63857413801536;63857413801595;3;8;e99c3f87fd
22;63857413803782;63857413803782;3;9;e99c3f87fd
23;63857413805069;63857413805105;3;10;e99c3f87fd
24;63857413809982;63857413809982;3;10;e99c3f87fd
25;63857413809982;63857413810004;3;11;e99c3f87fd
26;63857413810015;63857413810104;3;12;e99c3f87fd
27;63857413814962;63857413815072;3;12;e99c3f87fd
28;63857413816765;63857413816801;3;13;e99c3f87fd
29;63857413827227;63857413827283;-3;14;e99c3f87fd
30;63857413828927;63857413829005;-3;14;e99c3f87fd
31;63857413833494;63857413833549;-3;15;e99c3f87fd
32;63857413834961;63857413835049;-3;16;e99c3f87fd
33;63857413835249;63857413835583;-3;17;e99c3f87fd
34;63857413847783;63857413847827;4;16;e99c3f87fd
35;63857413854439;63857413854509;4;16;e99c3f87fd
36;63857413875919;63857413875963;4;9;e99c3f87fd
37;63857413908671;63857413908715;-4;3;e99c3f87fd
38;63857413920537;63857413920592;5;3;e99c3f87fd
39;63857413954696;63857413954762;5;3;e99c3f87fd
40;63857413985070;63857413985092;-5;2;e99c3f87fd
41;63857413993859;63857413993958;6;3;e99c3f87fd
42;63857414000024;63857414000069;6;4;e99c3f87fd
43;63857414020939;63857414021000;6;4;e99c3f87fd
44;63857414026757;63857414026893;6;5;e99c3f87fd
45;63857414044068;63857414044123;-6;6;e99c3f87fd
46;63857414047901;63857414047935;-6;6;e99c3f87fd
47;63857414054813;63857414054879;7;6;e99c3f87fd
48;63857414079975;63857414079997;-7;6;e99c3f87fd
49;63857414118086;63857414118133;8;2;e99c3f87fd
50;63857414128965;63857414129032;-8;3;e99c3f87fd
51;63857414129438;63857414129516;-8;4;e99c3f87fd
