Saccade_amplitude_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_amplitude_raw;User_ID
1;63857426981822;63857426981912;0;14,07681;ed0fe57727
2;63857426981989;63857426982191;0;18,23176;ed0fe57727
3;63857426982615;63857426982677;0;14,15491;ed0fe57727
4;63857426983106;63857426983156;0;12,436;ed0fe57727
5;63857426983308;63857426983358;0;13,57677;ed0fe57727
6;63857426983450;63857426983512;0;22,0142;ed0fe57727
7;63857426983537;63857426983574;0;2,164104;ed0fe57727
8;63857426983598;63857426983710;0;13,18064;ed0fe57727
9;63857426983897;63857426983970;0;31,0121;ed0fe57727
10;63857426983995;63857426984032;0;2,844275;ed0fe57727
11;63857426984056;63857426984120;0;4,364081;ed0fe57727
12;63857426984245;63857426984282;0;5,02426;ed0fe57727
13;63857426984490;63857426984564;0;27,48826;ed0fe57727
14;63857426984662;63857426984674;0;1,683537;ed0fe57727
15;63857426984868;63857426984892;0;3,228648;ed0fe57727
16;63857426985298;63857426985373;0;20,89592;ed0fe57727
17;63857426985770;63857426985808;0;7,553748;ed0fe57727
18;63857426986693;63857426986760;0;20,97434;ed0fe57727
19;63857426986865;63857426986876;0;10,35763;ed0fe57727
20;63857426986888;63857426986911;0;6,649096;ed0fe57727
21;63857426986958;63857426986995;0;2,413624;ed0fe57727
22;63857426987031;63857426987042;0;1,968017;ed0fe57727
23;63857426987054;63857426987139;0;5,272695;ed0fe57727
24;63857426987247;63857426987284;0;15,29767;ed0fe57727
25;63857426987296;63857426987320;0;8,191342;ed0fe57727
26;63857426987453;63857426987513;0;5,914733;ed0fe57727
27;63857426987833;63857426987880;0;7,939291;ed0fe57727
28;63857426988010;63857426988044;0;5,442297;ed0fe57727
29;63857426988571;63857426988607;0;4,224011;ed0fe57727
30;63857426989052;63857426989085;0;3,38142;ed0fe57727
31;63857426990354;63857426990376;0;2,129827;ed0fe57727
32;63857426990399;63857426990445;0;4,07006;ed0fe57727
33;63857426990697;63857426990732;0;3,646797;ed0fe57727
34;63857426990891;63857426990925;0;3,567218;ed0fe57727
35;63857426991200;63857426991222;0;3,845933;ed0fe57727
36;63857426991601;63857426991646;0;10,112;ed0fe57727
37;63857426991908;63857426991932;0;2,570017;ed0fe57727
38;63857426992196;63857426992218;0;4,146332;ed0fe57727
39;63857426992521;63857426992579;0;11,4893;ed0fe57727
40;63857426993168;63857426993240;0;24,20514;ed0fe57727
41;63857426993462;63857426993474;0;3,328961;ed0fe57727
42;63857426993486;63857426993510;0;11,78042;ed0fe57727
43;63857426994013;63857426994051;0;4,562741;ed0fe57727
44;63857426994242;63857426994304;0;23,74737;ed0fe57727
45;63857426994484;63857426994509;0;3,412198;ed0fe57727
46;63857426994991;63857426995031;0;8,642543;ed0fe57727
47;63857426995233;63857426995271;0;5,465401;ed0fe57727
48;63857426995499;63857426995538;0;10,30093;ed0fe57727
49;63857426995818;63857426995908;0;28,42802;ed0fe57727
50;63857426996192;63857426996207;0;6,606933;ed0fe57727
51;63857426996207;63857426996244;0;12,96962;ed0fe57727
52;63857426996597;63857426996623;0;9,455152;ed0fe57727
53;63857426996767;63857426996793;0;4,911272;ed0fe57727
54;63857426996963;63857426996989;0;2,078107;ed0fe57727
55;63857426997146;63857426997198;0;10,5144;ed0fe57727
56;63857426997632;63857426997673;0;10,06326;ed0fe57727
57;63857426998081;63857426998134;0;12,75119;ed0fe57727
58;63857426999218;63857426999231;0;7,411057;ed0fe57727
59;63857426999498;63857426999552;0;13,98229;ed0fe57727
60;63857427000253;63857427000297;0;4,778277;ed0fe57727
61;63857427000469;63857427000512;0;9,635414;ed0fe57727
62;63857427000686;63857427000758;0;17,23587;ed0fe57727
63;63857427001639;63857427001667;0;2,656455;ed0fe57727
64;63857427001798;63857427001825;0;2,298229;ed0fe57727
65;63857427002232;63857427002246;0;1,695237;ed0fe57727
66;63857427002595;63857427002667;0;12,00897;ed0fe57727
67;63857427002923;63857427002979;0;16,64284;ed0fe57727
68;63857427003688;63857427003751;0;22,29531;ed0fe57727
