Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63857422802906;63857422802919;0;96,06096;edab8c7cb8
2;63857422802932;63857422802999;0;75,05161;edab8c7cb8
3;63857422803215;63857422803292;0;119,5023;edab8c7cb8
4;63857422803305;63857422803344;0;212,4935;edab8c7cb8
5;63857422803358;63857422803370;0;94,91188;edab8c7cb8
6;63857422803395;63857422803497;0;23,55823;edab8c7cb8
7;63857422803535;63857422803660;0;113,8551;edab8c7cb8
8;63857422803870;63857422803917;0;76,71983;edab8c7cb8
9;63857422803929;63857422803965;0;97,49957;edab8c7cb8
10;63857422804050;63857422804114;0;320,7093;edab8c7cb8
11;63857422804295;63857422804318;0;164,4004;edab8c7cb8
12;63857422804538;63857422804549;0;403,2943;edab8c7cb8
13;63857422804561;63857422804597;0;372,128;edab8c7cb8
14;63857422804717;63857422804752;0;70,38936;edab8c7cb8
15;63857422804895;63857422804930;0;147,8015;edab8c7cb8
16;63857422805155;63857422805180;0;105,5217;edab8c7cb8
17;63857422805370;63857422805394;0;69,20454;edab8c7cb8
18;63857422805525;63857422805560;0;112,3044;edab8c7cb8
19;63857422805595;63857422805607;0;390,7737;edab8c7cb8
20;63857422805619;63857422805666;0;456,6535;edab8c7cb8
21;63857422807410;63857422807447;0;525,746;edab8c7cb8
22;63857422807616;63857422807663;0;53,28445;edab8c7cb8
23;63857422807709;63857422807813;0;74,1508;edab8c7cb8
24;63857422807870;63857422807916;0;105,5562;edab8c7cb8
25;63857422807939;63857422808007;0;217,1768;edab8c7cb8
26;63857422808142;63857422808188;0;135,4747;edab8c7cb8
27;63857422808392;63857422808438;0;117,8085;edab8c7cb8
28;63857422808597;63857422808630;0;126,6859;edab8c7cb8
29;63857422808814;63857422808848;0;131,6542;edab8c7cb8
30;63857422808985;63857422809128;0;17,98298;edab8c7cb8
31;63857422809225;63857422809505;0;51,44078;edab8c7cb8
32;63857422809852;63857422809892;0;253,9645;edab8c7cb8
33;63857422811057;63857422811098;0;218,654;edab8c7cb8
34;63857422811269;63857422811297;0;95,01566;edab8c7cb8
35;63857422812398;63857422812485;0;357,5331;edab8c7cb8
36;63857422812574;63857422812587;0;47,12654;edab8c7cb8
37;63857422812734;63857422812820;0;36,72812;edab8c7cb8
38;63857422813070;63857422813170;0;153,3322;edab8c7cb8
39;63857422813329;63857422813372;0;262,3456;edab8c7cb8
40;63857422813588;63857422813604;0;85,42038;edab8c7cb8
41;63857422813732;63857422813775;0;170,2686;edab8c7cb8
42;63857422814135;63857422814177;0;101,816;edab8c7cb8
43;63857422815221;63857422815249;0;171,1354;edab8c7cb8
44;63857422815496;63857422815727;0;16,1074;edab8c7cb8
45;63857422815740;63857422815876;0;66,16018;edab8c7cb8
46;63857422816057;63857422816070;0;5,748616;edab8c7cb8
47;63857422816419;63857422816459;0;181,9883;edab8c7cb8
48;63857422816537;63857422816588;0;242,3919;edab8c7cb8
49;63857422816706;63857422816758;0;31,5465;edab8c7cb8
50;63857422817762;63857422817804;0;274,7257;edab8c7cb8
51;63857422817913;63857422817965;0;23,35362;edab8c7cb8
52;63857422818107;63857422818194;0;84,3538;edab8c7cb8
53;63857422818231;63857422818348;0;79,58395;edab8c7cb8
54;63857422818385;63857422818619;0;94,32644;edab8c7cb8
55;63857422818696;63857422818748;0;169,3016;edab8c7cb8
56;63857422818812;63857422818916;0;107,559;edab8c7cb8
57;63857422819058;63857422819082;0;177,2787;edab8c7cb8
58;63857422819185;63857422819288;0;110,5822;edab8c7cb8
59;63857422819380;63857422819418;0;284,387;edab8c7cb8
60;63857422819548;63857422819585;0;510,9745;edab8c7cb8
61;63857422819686;63857422819734;0;59,82672;edab8c7cb8
62;63857422819830;63857422820022;0;178,0608;edab8c7cb8
63;63857422820035;63857422820082;0;223,8908;edab8c7cb8
64;63857422820142;63857422820155;0;126,131;edab8c7cb8
65;63857422820180;63857422820204;0;98,3447;edab8c7cb8
66;63857422820386;63857422820448;0;397,8724;edab8c7cb8
67;63857422820460;63857422820542;0;119,4279;edab8c7cb8
68;63857422820638;63857422820663;0;403,6292;edab8c7cb8
69;63857422820676;63857422820740;0;172,8901;edab8c7cb8
70;63857422820765;63857422820907;0;257,4807;edab8c7cb8
71;63857422820919;63857422820932;0;278,5364;edab8c7cb8
72;63857422821086;63857422821111;0;90,47418;edab8c7cb8
73;63857422821442;63857422821482;0;140,8262;edab8c7cb8
74;63857422821671;63857422821748;0;380,2159;edab8c7cb8
75;63857422821748;63857422821784;0;136,995;edab8c7cb8
76;63857422821797;63857422821874;0;129,7928;edab8c7cb8
77;63857422822915;63857422822952;0;357,9426;edab8c7cb8
78;63857422823334;63857422823376;0;308,1894;edab8c7cb8
79;63857422823417;63857422823459;0;153,9478;edab8c7cb8
80;63857422823675;63857422823759;0;408,2498;edab8c7cb8
81;63857422823869;63857422823884;0;335,369;edab8c7cb8
82;63857422823884;63857422823897;0;96,78117;edab8c7cb8
83;63857422823939;63857422823953;0;92,71467;edab8c7cb8
84;63857422823966;63857422823995;0;82,2571;edab8c7cb8
85;63857422824025;63857422824066;0;93,16574;edab8c7cb8
86;63857422824437;63857422824464;0;515,4191;edab8c7cb8
87;63857422824478;63857422824520;0;75,33541;edab8c7cb8
88;63857422824549;63857422824576;0;114,5959;edab8c7cb8
89;63857422824605;63857422824632;0;158,8832;edab8c7cb8
90;63857422824827;63857422824869;0;293,6848;edab8c7cb8
91;63857422825328;63857422825370;0;126,9283;edab8c7cb8
92;63857422825426;63857422825469;0;242,9442;edab8c7cb8
93;63857422825650;63857422825691;0;372,9251;edab8c7cb8
94;63857422825705;63857422825732;0;145,5173;edab8c7cb8
95;63857422825747;63857422825786;0;141,6632;edab8c7cb8
96;63857422825854;63857422825949;0;86,77523;edab8c7cb8
97;63857422826056;63857422826084;0;160,972;edab8c7cb8
98;63857422826194;63857422826221;0;67,36007;edab8c7cb8
99;63857422826510;63857422826552;0;45,54162;edab8c7cb8
100;63857422826565;63857422826594;0;222,6065;edab8c7cb8
101;63857422826733;63857422826762;0;258,4044;edab8c7cb8
102;63857422826844;63857422826859;0;124,1921;edab8c7cb8
103;63857422826939;63857422827016;0;125,6047;edab8c7cb8
104;63857422827028;63857422827065;0;283,792;edab8c7cb8
105;63857422827078;63857422827103;0;124,097;edab8c7cb8
106;63857422827115;63857422827299;0;131,0859;edab8c7cb8
107;63857422828198;63857422828237;0;199,8581;edab8c7cb8
108;63857422828389;63857422828440;0;193,8475;edab8c7cb8
109;63857422829750;63857422829791;0;334,3067;edab8c7cb8
110;63857422830042;63857422830160;0;162,5967;edab8c7cb8
111;63857422830287;63857422830299;0;90,2331;edab8c7cb8
112;63857422830525;63857422830574;0;186,1548;edab8c7cb8
113;63857422830695;63857422830754;0;199,4638;edab8c7cb8
