Saccade_velocity_number;Measurement_start_time;Measurement_end_time;Round_number;Saccade_velocity_raw;User_ID
1;63857171258098;63857171258150;0;169,4185;f671189e62
2;63857171258309;63857171258468;0;133,3948;f671189e62
3;63857171258468;63857171258508;0;95,46204;f671189e62
4;63857171258521;63857171258749;0;52,00591;f671189e62
5;63857171258762;63857171258831;0;254,2267;f671189e62
6;63857171258844;63857171258911;0;209,8721;f671189e62
7;63857171258923;63857171258949;0;158,764;f671189e62
8;63857171258962;63857171259028;0;427,5282;f671189e62
9;63857171259042;63857171259056;0;127,9658;f671189e62
10;63857171259108;63857171259212;0;153,5426;f671189e62
11;63857171259224;63857171259250;0;34,58267;f671189e62
12;63857171259262;63857171259289;0;544,2589;f671189e62
13;63857171259315;63857171259340;0;83,01806;f671189e62
14;63857171259367;63857171259431;0;90,75494;f671189e62
15;63857171259788;63857171259825;0;96,40166;f671189e62
16;63857171260399;63857171260424;0;115,1296;f671189e62
17;63857171260868;63857171260918;0;198,1846;f671189e62
18;63857171261448;63857171261498;0;143,7665;f671189e62
19;63857171261684;63857171261722;0;95,38879;f671189e62
20;63857171261909;63857171261933;0;115,7937;f671189e62
21;63857171262143;63857171262179;0;190,3227;f671189e62
22;63857171262502;63857171262528;0;78,52953;f671189e62
23;63857171262742;63857171262780;0;225,1917;f671189e62
24;63857171263134;63857171263158;0;159,9171;f671189e62
25;63857171263400;63857171263477;0;359,054;f671189e62
26;63857171263555;63857171263714;0;117,1244;f671189e62
27;63857171263726;63857171263835;0;318,694;f671189e62
28;63857171263903;63857171264025;0;84,23059;f671189e62
29;63857171264067;63857171264108;0;242,0657;f671189e62
30;63857171264455;63857171264648;0;104,694;f671189e62
31;63857171265059;63857171265099;0;90,92265;f671189e62
32;63857171266123;63857171266222;0;218,7563;f671189e62
33;63857171266591;63857171266627;0;191,069;f671189e62
34;63857171266800;63857171266837;0;87,49751;f671189e62
35;63857171267338;63857171267399;0;149,4323;f671189e62
36;63857171267450;63857171267550;0;74,85056;f671189e62
37;63857171267613;63857171267637;0;75,38009;f671189e62
38;63857171268178;63857171268248;0;309,3279;f671189e62
39;63857171268925;63857171268948;0;124,7974;f671189e62
40;63857171269512;63857171269535;0;107,1875;f671189e62
41;63857171270392;63857171270431;0;121,2565;f671189e62
42;63857171270443;63857171270658;0;78,63357;f671189e62
43;63857171270711;63857171270804;0;85,34356;f671189e62
44;63857171270936;63857171270961;0;101,3813;f671189e62
45;63857171271172;63857171271238;0;297,7724;f671189e62
46;63857171272073;63857171272126;0;188,8979;f671189e62
47;63857171272572;63857171272612;0;270,5873;f671189e62
48;63857171272769;63857171272782;0;74,97718;f671189e62
49;63857171272966;63857171273017;0;226,1434;f671189e62
50;63857171273615;63857171273656;0;168,377;f671189e62
51;63857171273768;63857171273780;0;72,11548;f671189e62
52;63857171274377;63857171274459;0;338,4137;f671189e62
53;63857171274613;63857171274668;0;154,7086;f671189e62
54;63857171274889;63857171274930;0;339,1285;f671189e62
55;63857171275053;63857171275080;0;86,41241;f671189e62
56;63857171275256;63857171275324;0;397,2286;f671189e62
57;63857171275422;63857171275464;0;116,6277;f671189e62
58;63857171275464;63857171275534;0;74,85001;f671189e62
59;63857171275673;63857171275716;0;184,5785;f671189e62
60;63857171276717;63857171276759;0;203,0429;f671189e62
61;63857171277347;63857171277402;0;247,303;f671189e62
62;63857171277487;63857171277598;0;55,88367;f671189e62
63;63857171277706;63857171277758;0;221,9975;f671189e62
64;63857171277811;63857171277823;0;88,046;f671189e62
65;63857171277836;63857171277887;0;264,2124;f671189e62
66;63857171277900;63857171278011;0;61,64567;f671189e62
67;63857171278048;63857171278253;0;37,78093;f671189e62
68;63857171278953;63857171279004;0;161,8392;f671189e62
69;63857171279272;63857171279323;0;226,1307;f671189e62
70;63857171279438;63857171279490;0;168,7011;f671189e62
71;63857171279555;63857171279697;0;87,51166;f671189e62
72;63857171280219;63857171280272;0;237,0177;f671189e62
73;63857171280953;63857171280992;0;220,9008;f671189e62
74;63857171281865;63857171281904;0;364,8383;f671189e62
75;63857171281970;63857171282036;0;109,7846;f671189e62
76;63857171282311;63857171282349;0;203,6413;f671189e62
77;63857171282415;63857171282455;0;113,0885;f671189e62
78;63857171282455;63857171282637;0;107,0975;f671189e62
79;63857171283058;63857171283111;0;248,6495;f671189e62
80;63857171283309;63857171283347;0;80,39305;f671189e62
81;63857171283531;63857171283568;0;139,7854;f671189e62
