Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;HR;User_ID
63844031319941;712174;0;100;45;08c00ca162
63844031319942;712934;0;100;52;08c00ca162
63844031319942;712934;0;100;52;08c00ca162
63844031319944;714681;0;100;49;08c00ca162
63844031319944;714681;0;100;49;08c00ca162
63844031319945;715447;0;100;55;08c00ca162
63844031319945;715447;0;100;55;08c00ca162
63844031319946;716210;0;100;61;08c00ca162
63844031319946;716210;0;100;61;08c00ca162
63844031319947;716577;0;100;84;08c00ca162
63844031319947;716577;0;100;84;08c00ca162
63844031319949;717770;0;100;77;08c00ca162
63844031319949;717770;0;100;77;08c00ca162
63844031319952;719010;0;100;71;08c00ca162
63844031319952;719010;0;100;71;08c00ca162
63844031319953;719663;0;100;76;08c00ca162
63844031319953;719663;0;100;76;08c00ca162
63844031319954;720114;0;100;89;08c00ca162
63844031319954;720114;0;100;89;08c00ca162
63844031319954;720313;0;100;139;08c00ca162
63844031319954;720313;0;100;139;08c00ca162
63844031319958;722470;0;100;114;08c00ca162
63844031319958;722470;0;100;114;08c00ca162
63844031319962;724260;0;100;97;08c00ca162
63844031319962;724260;0;100;97;08c00ca162
63844031319962;724690;0;100;106;08c00ca162
63844031319962;724690;0;100;106;08c00ca162
63844031319964;726276;0;100;91;08c00ca162
63844031319964;726276;0;100;91;08c00ca162
63844031319965;727486;0;100;82;08c00ca162
63844031319965;727486;0;100;82;08c00ca162
63844031319968;728926;0;100;73;08c00ca162
63844031319968;728926;0;100;73;08c00ca162
63844031319969;729876;0;100;71;08c00ca162
63844031319969;729876;0;100;71;08c00ca162
63844031319970;730353;0;100;84;08c00ca162
63844031319970;730353;0;100;84;08c00ca162
63844031319973;731822;0;100;74;08c00ca162
63844031319973;731822;0;100;74;08c00ca162
63844031319973;732379;0;100;82;08c00ca162
63844031319973;732379;0;100;82;08c00ca162
63844031319980;736269;0;100;67;08c00ca162
63844031319980;736269;0;100;67;08c00ca162
63844031319984;739325;0;100;57;08c00ca162
63844031319984;739325;0;100;57;08c00ca162
63844031319993;745064;0;100;46;08c00ca162
63844031319993;745064;0;100;46;08c00ca162
63844031319996;746451;0;100;46;08c00ca162
63844031319996;746451;0;100;46;08c00ca162
63844031320002;750137;0;100;39;08c00ca162
63844031320002;750137;0;100;39;08c00ca162
63844031320003;750890;0;100;48;08c00ca162
63844031320003;750890;0;100;48;08c00ca162
63844031320006;751520;0;100;59;08c00ca162
63844031320006;751520;0;100;59;08c00ca162
63844031320012;754617;0;100;50;08c00ca162
63844031320012;754617;0;100;50;08c00ca162
63844031320020;760359;0;100;42;08c00ca162
63844031320020;760359;0;100;42;08c00ca162
63844031320025;763109;0;100;37;08c00ca162
63844031320025;763109;0;100;37;08c00ca162
63844031320026;764069;0;100;43;08c00ca162
63844031320026;764069;0;100;43;08c00ca162
63844031320030;766433;0;100;39;08c00ca162
63844031320030;766433;0;100;39;08c00ca162
63844031320033;768079;0;100;39;08c00ca162
63844031320033;768079;0;100;39;08c00ca162
63844031320036;769912;0;100;37;08c00ca162
63844031320036;769912;0;100;37;08c00ca162
63844031320038;771645;0;100;37;08c00ca162
63844031320038;771645;0;100;37;08c00ca162
63844031320040;772811;0;100;40;08c00ca162
63844031320040;772811;0;100;40;08c00ca162
63844031325188;774005;0;100;43;08c00ca162
63844031325188;774005;0;100;43;08c00ca162
63844031325194;777868;0;100;37;08c00ca162
63844031325194;777868;0;100;37;08c00ca162
63844031326036;779135;0;100;39;08c00ca162
63844031326036;779135;0;100;39;08c00ca162
63844031326985;780041;0;100;45;08c00ca162
63844031326985;780041;0;100;45;08c00ca162
63844031435023;781687;2;100;43;08c00ca162
63844031435023;781687;2;100;43;08c00ca162
63844031435024;782837;2;100;46;08c00ca162
63844031435024;782837;2;100;46;08c00ca162
63844031435026;784057;2;100;47;08c00ca162
63844031435026;784057;2;100;47;08c00ca162
63844031435027;784714;2;100;57;08c00ca162
63844031435027;784714;2;100;57;08c00ca162
63844031435032;788483;2;100;48;08c00ca162
63844031435032;788483;2;100;48;08c00ca162
63844031435032;788550;2;100;259;08c00ca162
63844031435032;788550;2;100;259;08c00ca162
63844031435033;789040;2;100;229;08c00ca162
63844031435033;789040;2;100;229;08c00ca162
63844031435034;789960;2;100;193;08c00ca162
63844031435034;789960;2;100;193;08c00ca162
63844031435034;790307;2;100;189;08c00ca162
63844031435034;790307;2;100;189;08c00ca162
63844031435035;790916;2;100;169;08c00ca162
63844031435035;790916;2;100;169;08c00ca162
63844031435041;795096;2;100;135;08c00ca162
63844031435041;795096;2;100;135;08c00ca162
63844031435043;796352;2;100;116;08c00ca162
63844031435043;796352;2;100;116;08c00ca162
63844031435044;797586;2;100;101;08c00ca162
63844031435044;797586;2;100;101;08c00ca162
63844031435045;798112;2;100;104;08c00ca162
63844031435045;798112;2;100;104;08c00ca162
63844031435046;798812;2;100;100;08c00ca162
63844031435046;798812;2;100;100;08c00ca162
63844031435050;801535;2;100;83;08c00ca162
63844031435050;801535;2;100;83;08c00ca162
63844031435060;809255;2;100;66;08c00ca162
63844031435060;809255;2;100;66;08c00ca162
63844031435062;810491;2;100;62;08c00ca162
63844031435062;810491;2;100;62;08c00ca162
63844031435063;811164;2;100;69;08c00ca162
63844031435063;811164;2;100;69;08c00ca162
63844031435065;812801;2;100;62;08c00ca162
63844031435065;812801;2;100;62;08c00ca162
63844031435069;815231;2;100;54;08c00ca162
63844031435069;815231;2;100;54;08c00ca162
63844031435070;816014;2;100;59;08c00ca162
63844031435070;816014;2;100;59;08c00ca162
63844031435073;818064;2;100;52;08c00ca162
63844031435073;818064;2;100;52;08c00ca162
63844031435074;818867;2;100;58;08c00ca162
63844031435074;818867;2;100;58;08c00ca162
63844031435076;819814;2;100;59;08c00ca162
63844031435076;819814;2;100;59;08c00ca162
63844031435076;820397;2;100;69;08c00ca162
63844031435076;820397;2;100;69;08c00ca162
63844031435077;821200;2;100;71;08c00ca162
63844031435077;821200;2;100;71;08c00ca162
63844031435080;823303;2;100;61;08c00ca162
63844031435080;823303;2;100;61;08c00ca162
63844031435082;824613;2;100;58;08c00ca162
63844031435082;824613;2;100;58;08c00ca162
63844031435083;825223;2;100;67;08c00ca162
63844031435083;825223;2;100;67;08c00ca162
63844031435084;826046;2;100;69;08c00ca162
63844031435084;826046;2;100;69;08c00ca162
63844031435085;826746;2;100;73;08c00ca162
63844031435085;826746;2;100;73;08c00ca162
63844031435086;827256;2;100;83;08c00ca162
63844031435086;827256;2;100;83;08c00ca162
63844031435089;829533;2;100;70;08c00ca162
63844031435089;829533;2;100;70;08c00ca162
63844031435091;830956;2;100;64;08c00ca162
63844031435091;830956;2;100;64;08c00ca162
63844031435095;834259;2;100;54;08c00ca162
63844031435095;834259;2;100;54;08c00ca162
63844031435102;838972;2;100;45;08c00ca162
63844031435102;838972;2;100;45;08c00ca162
63844031435103;839615;2;100;56;08c00ca162
63844031435103;839615;2;100;56;08c00ca162
63844031435104;840488;2;100;59;08c00ca162
63844031435104;840488;2;100;59;08c00ca162
63844031435105;840998;2;100;72;08c00ca162
63844031435105;840998;2;100;72;08c00ca162
63844031435106;841951;2;100;70;08c00ca162
63844031435106;841951;2;100;70;08c00ca162
63844031435108;842708;2;100;73;08c00ca162
63844031435108;842708;2;100;73;08c00ca162
63844031435109;843438;2;100;75;08c00ca162
63844031435109;843438;2;100;75;08c00ca162
