Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63844031319941;710500;0;100;30,2423;08c00ca162
63844031319941;710833;0;100;29,8925;08c00ca162
63844031319941;711233;0;100;29,5467;08c00ca162
63844031319941;711566;0;100;29,2049;08c00ca162
63844031319941;711833;0;100;28,8671;08c00ca162
63844031319941;712233;0;100;28,5331;08c00ca162
63844031319942;712500;0;100;28,2031;08c00ca162
63844031319942;712833;0;100;27,8768;08c00ca162
63844031319943;713233;0;100;27,5543;08c00ca162
63844031319943;713500;0;100;27,2356;08c00ca162
63844031319943;713833;0;100;26,9205;08c00ca162
63844031319943;714166;0;100;26,6091;08c00ca162
63844031319944;714566;0;100;26,3013;08c00ca162
63844031319944;714833;0;100;28,0793;08c00ca162
63844031319945;715166;0;100;27,7544;08c00ca162
63844031319946;715566;0;100;27,4334;08c00ca162
63844031319946;715833;0;100;27,116;08c00ca162
63844031319946;716166;0;100;26,8023;08c00ca162
63844031319947;716499;0;100;26,4923;08c00ca162
63844031319948;716899;0;100;26,1858;08c00ca162
63844031319948;717166;0;100;25,8829;08c00ca162
63844031319949;717566;0;100;25,5835;08c00ca162
63844031319950;717832;0;100;25,2875;08c00ca162
63844031319950;718166;0;100;24,995;08c00ca162
63844031319951;718566;0;100;24,7059;08c00ca162
63844031319951;718899;0;100;24,4201;08c00ca162
63844031319952;719166;0;100;24,1376;08c00ca162
63844031319953;719499;0;100;23,8584;08c00ca162
63844031319954;719899;0;100;23,5824;08c00ca162
63844031319954;720166;0;100;23,3096;08c00ca162
63844031319955;720499;0;100;23,0399;08c00ca162
63844031319955;720832;0;100;22,7734;08c00ca162
63844031319956;721232;0;100;22,5099;08c00ca162
63844031319956;721499;0;100;22,2495;08c00ca162
63844031319956;721832;0;100;21,9922;08c00ca162
63844031319957;722232;0;100;23,82;08c00ca162
63844031319958;722499;0;100;25,6267;08c00ca162
63844031319959;722898;0;100;27,4125;08c00ca162
63844031319959;723165;0;100;27,0954;08c00ca162
63844031319960;723498;0;100;28,8642;08c00ca162
63844031319960;723899;0;100;28,5303;08c00ca162
63844031319961;724232;0;100;28,2003;08c00ca162
63844031319962;724498;0;100;29,9563;08c00ca162
63844031319962;724832;0;100;29,6098;08c00ca162
63844031319962;725232;0;100;31,3495;08c00ca162
63844031319962;725498;0;100;33,0691;08c00ca162
63844031319963;725832;0;100;34,7688;08c00ca162
63844031319963;726165;0;100;34,3666;08c00ca162
63844031319964;726565;0;100;33,969;08c00ca162
63844031319964;726831;0;100;33,5761;08c00ca162
63844031319965;727165;0;100;33,1877;08c00ca162
63844031319966;727631;0;100;32,8037;08c00ca162
63844031319966;727831;0;100;34,5065;08c00ca162
63844031319966;728231;0;100;36,1896;08c00ca162
63844031319966;728565;0;100;35,771;08c00ca162
63844031319968;728831;0;100;35,3572;08c00ca162
63844031319968;729165;0;100;37,0304;08c00ca162
63844031319969;729564;0;100;36,602;08c00ca162
63844031319969;729831;0;100;38,2609;08c00ca162
63844031319970;730165;0;100;39,9005;08c00ca162
63844031319970;730565;0;100;39,4389;08c00ca162
63844031319971;730898;0;100;43,1472;08c00ca162
63844031319971;731164;0;100;42,6481;08c00ca162
63844031319972;731498;0;100;44,237;08c00ca162
63844031319973;731898;0;100;45,8075;08c00ca162
63844031319973;732164;0;100;47,3598;08c00ca162
63844031319974;732498;0;100;46,812;08c00ca162
63844031319974;732898;0;100;48,3527;08c00ca162
63844031319975;733164;0;100;47,7934;08c00ca162
63844031319975;733497;0;100;47,2405;08c00ca162
63844031319976;733898;0;100;46,694;08c00ca162
63844031319976;734164;0;100;46,1538;08c00ca162
63844031319976;734497;0;100;47,7022;08c00ca162
63844031319977;734897;0;100;49,2326;08c00ca162
63844031319978;735231;0;100;50,7453;08c00ca162
63844031319979;735497;0;100;50,1583;08c00ca162
63844031319980;735831;0;100;51,6603;08c00ca162
63844031319980;736231;0;100;53,145;08c00ca162
63844031319980;736497;0;100;56,6947;08c00ca162
63844031319980;736830;0;100;56,0388;08c00ca162
63844031319981;737230;0;100;55,3906;08c00ca162
63844031319981;737564;0;100;54,7498;08c00ca162
63844031319982;737897;0;100;54,1165;08c00ca162
63844031319982;738164;0;100;53,4904;08c00ca162
63844031319983;738497;0;100;52,8717;08c00ca162
63844031319983;738830;0;100;52,26;08c00ca162
63844031319984;739230;0;100;51,6555;08c00ca162
63844031319985;739497;0;100;51,0579;08c00ca162
63844031319985;739830;0;100;50,4673;08c00ca162
63844031319986;740230;0;100;49,8835;08c00ca162
63844031319986;740497;0;100;49,3064;08c00ca162
63844031319986;740830;0;100;50,8183;08c00ca162
63844031319987;741163;0;100;50,2304;08c00ca162
63844031319988;741563;0;100;51,7316;08c00ca162
63844031319988;741830;0;100;51,1332;08c00ca162
63844031319989;742163;0;100;50,5417;08c00ca162
63844031319989;742563;0;100;49,957;08c00ca162
63844031319990;742897;0;100;49,3791;08c00ca162
63844031319990;743163;0;100;48,8079;08c00ca162
63844031319991;743496;0;100;48,2433;08c00ca162
63844031319991;743830;0;100;47,6852;08c00ca162
63844031319992;744230;0;100;47,1335;08c00ca162
63844031319992;744496;0;100;46,5883;08c00ca162
63844031319993;744830;0;100;46,0494;08c00ca162
63844031319993;745163;0;100;45,5167;08c00ca162
63844031319994;745563;0;100;44,9901;08c00ca162
63844031319995;745896;0;100;44,4697;08c00ca162
63844031319995;746163;0;100;43,9552;08c00ca162
63844031319996;746496;0;100;43,4468;08c00ca162
63844031319996;746896;0;100;42,9442;08c00ca162
63844031319998;747163;0;100;42,4474;08c00ca162
63844031319998;747563;0;100;41,9564;08c00ca162
63844031319998;747829;0;100;41,471;08c00ca162
63844031319998;748163;0;100;40,9913;08c00ca162
63844031319999;748563;0;100;44,6816;08c00ca162
63844031319999;748829;0;100;44,1647;08c00ca162
63844031320000;749163;0;100;45,7361;08c00ca162
63844031320000;749496;0;100;45,207;08c00ca162
63844031320001;749829;0;100;44,684;08c00ca162
63844031320002;750229;0;100;44,1671;08c00ca162
63844031320003;750496;0;100;43,6562;08c00ca162
63844031320003;750829;0;100;43,1512;08c00ca162
63844031320004;751162;0;100;42,652;08c00ca162
63844031320006;751562;0;100;44,2408;08c00ca162
63844031320006;751896;0;100;43,7291;08c00ca162
63844031320008;752162;0;100;43,2232;08c00ca162
63844031320008;752496;0;100;42,7232;08c00ca162
63844031320009;752896;0;100;42,229;08c00ca162
63844031320009;753162;0;100;41,7405;08c00ca162
63844031320010;753495;0;100;41,2576;08c00ca162
63844031320010;753829;0;100;42,8626;08c00ca162
63844031320011;754229;0;100;42,3668;08c00ca162
63844031320011;754562;0;100;43,9589;08c00ca162
63844031320012;754829;0;100;43,4504;08c00ca162
63844031320012;755162;0;100;42,9478;08c00ca162
63844031320013;755495;0;100;42,4509;08c00ca162
63844031320013;755895;0;100;41,9599;08c00ca162
63844031320014;756162;0;100;41,4745;08c00ca162
63844031320014;756495;0;100;40,9947;08c00ca162
63844031320015;756895;0;100;40,5205;08c00ca162
63844031320015;757162;0;100;40,0517;08c00ca162
63844031320016;757495;0;100;39,5884;08c00ca162
63844031320016;757828;0;100;39,1304;08c00ca162
63844031320017;758228;0;100;40,76;08c00ca162
63844031320018;758562;0;100;40,2885;08c00ca162
63844031320018;758828;0;100;39,8224;08c00ca162
63844031320020;759162;0;100;39,3618;08c00ca162
63844031320020;759561;0;100;40,9887;08c00ca162
63844031320020;759828;0;100;40,5145;08c00ca162
63844031320020;760161;0;100;40,0458;08c00ca162
63844031320021;760495;0;100;39,5826;08c00ca162
63844031320021;760895;0;100;39,1247;08c00ca162
63844031320022;761161;0;100;40,7544;08c00ca162
63844031320022;761495;0;100;42,3652;08c00ca162
63844031320023;761828;0;100;41,8751;08c00ca162
63844031320023;762228;0;100;43,4729;08c00ca162
63844031320024;762495;0;100;42,97;08c00ca162
63844031320024;762828;0;100;42,4729;08c00ca162
63844031320025;763228;0;100;41,9816;08c00ca162
63844031320025;763561;0;100;41,496;08c00ca162
63844031320026;763828;0;100;41,0159;08c00ca162
63844031320026;764161;0;100;40,5415;08c00ca162
63844031320027;764561;0;100;40,0725;08c00ca162
63844031320028;764828;0;100;39,6089;08c00ca162
63844031320028;765161;0;100;39,1507;08c00ca162
63844031320029;765494;0;100;40,7801;08c00ca162
63844031320029;765894;0;100;40,3083;08c00ca162
63844031320030;766161;0;100;44,0065;08c00ca162
63844031320030;766494;0;100;43,4975;08c00ca162
63844031320031;766827;0;100;45,0765;08c00ca162
63844031320031;767227;0;100;44,5551;08c00ca162
63844031320032;767494;0;100;44,0397;08c00ca162
63844031320032;767827;0;100;43,5302;08c00ca162
63844031320033;768227;0;100;45,1089;08c00ca162
63844031320034;768494;0;100;44,5871;08c00ca162
63844031320034;768894;0;100;44,0713;08c00ca162
63844031320035;769161;0;100;43,5615;08c00ca162
63844031320035;769494;0;100;43,0576;08c00ca162
63844031320036;769827;0;100;42,5595;08c00ca162
63844031320036;770227;0;100;42,0671;08c00ca162
63844031320038;770494;0;100;41,5805;08c00ca162
63844031320038;770827;0;100;41,0995;08c00ca162
63844031320038;771227;0;100;40,624;08c00ca162
63844031320038;771494;0;100;42,2364;08c00ca162
63844031320039;771827;0;100;43,83;08c00ca162
63844031320039;772160;0;100;45,4052;08c00ca162
63844031320040;772560;0;100;44,88;08c00ca162
63844031320040;772827;0;100;44,3608;08c00ca162
63844031325186;773160;0;100;43,8476;08c00ca162
63844031325186;773560;0;100;43,3404;08c00ca162
63844031325187;773893;0;100;42,839;08c00ca162
63844031325188;774160;0;100;42,3435;08c00ca162
63844031325188;774493;0;100;41,8536;08c00ca162
63844031325189;774827;0;100;41,3695;08c00ca162
63844031325189;775227;0;100;40,8909;08c00ca162
63844031325190;775560;0;100;40,4179;08c00ca162
63844031325190;775827;0;100;39,9503;08c00ca162
63844031325191;776160;0;100;39,4882;08c00ca162
