Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;IBI;User_ID
63845250019520;454091;0;100;720;10dd32d73d
63845250020986;455517;0;100;1400;10dd32d73d
63845250022919;457077;0;100;1550;10dd32d73d
63845250024085;458690;0;100;1590;10dd32d73d
63845250026220;460730;0;100;2010;10dd32d73d
63845250027119;461697;0;100;960;10dd32d73d
63845250027719;462023;0;100;320;10dd32d73d
63845250028019;462627;0;100;600;10dd32d73d
63845250029185;463747;0;100;1100;10dd32d73d
63845250029652;464263;0;100;510;10dd32d73d
63845250030219;464703;0;100;440;10dd32d73d
63845250032652;467220;0;100;2490;10dd32d73d
63845250033419;467983;0;100;750;10dd32d73d
63845250035353;469936;0;100;1930;10dd32d73d
63845250036352;470889;0;100;940;10dd32d73d
63845250038785;473369;0;100;2450;10dd32d73d
63845250040219;474832;0;100;1440;10dd32d73d
63845250042218;476452;0;100;1600;10dd32d73d
63845250042219;476719;0;100;270;10dd32d73d
63845250044552;478719;0;100;1970;10dd32d73d
63845250044819;479428;0;100;700;10dd32d73d
63845250046152;480712;0;100;1270;10dd32d73d
63845250047619;482138;0;100;1410;10dd32d73d
63845250049351;483625;0;100;1470;10dd32d73d
63845250049752;484261;0;100;630;10dd32d73d
63845250052151;486711;0;100;2420;10dd32d73d
63845250052952;487544;0;100;820;10dd32d73d
63845250054152;488394;0;100;840;10dd32d73d
63845250054385;488924;0;100;520;10dd32d73d
63845250056552;491107;0;100;2160;10dd32d73d
63845250056918;491551;0;100;440;10dd32d73d
63845250057318;491930;0;100;370;10dd32d73d
63845250059351;493950;0;100;2000;10dd32d73d
63845250060485;495100;0;100;1140;10dd32d73d
63845250062718;497277;0;100;2140;10dd32d73d
63845250063219;497827;0;100;550;10dd32d73d
63845250064151;498703;0;100;860;10dd32d73d
63845250064985;499567;0;100;860;10dd32d73d
63845250066785;501363;0;100;1770;10dd32d73d
63845250067385;501986;0;100;620;10dd32d73d
63845250070051;504589;0;100;2570;10dd32d73d
63845250071585;506149;0;100;1540;10dd32d73d
63845250072685;507219;0;100;1060;10dd32d73d
63845250073418;507679;1;100;450;10dd32d73d
63845250075085;509635;1;100;1930;10dd32d73d
63845250076918;511462;1;100;1810;10dd32d73d
63845250077718;512295;1;100;820;10dd32d73d
63845250078618;513145;1;100;840;10dd32d73d
63845250079218;513758;1;100;610;10dd32d73d
63845250080619;515041;1;100;1260;10dd32d73d
63845250083218;517698;1;100;2630;10dd32d73d
63845250083785;518378;1;100;670;10dd32d73d
63845250084918;519488;1;100;1100;10dd32d73d
63845250085418;519901;1;100;400;10dd32d73d
63845250086118;520724;1;100;820;10dd32d73d
63845250086918;521524;1;100;790;10dd32d73d
63845250087818;522167;1;100;630;10dd32d73d
63845250089051;523634;1;100;1450;10dd32d73d
63845250090651;525200;1;100;1550;10dd32d73d
63845250091184;525747;1;100;540;10dd32d73d
63845250091684;526284;1;100;530;10dd32d73d
63845250092584;526780;1;100;490;10dd32d73d
63845250092785;527310;1;100;520;10dd32d73d
63845250093451;528057;1;100;740;10dd32d73d
63845250094451;529070;1;100;1000;10dd32d73d
63845250095085;529623;1;100;550;10dd32d73d
63845250095385;529920;1;100;290;10dd32d73d
63845250096318;530910;1;100;980;10dd32d73d
63845250097718;532236;1;100;1310;10dd32d73d
63845250098685;533267;1;100;1020;10dd32d73d
63845250099818;534260;1;100;980;10dd32d73d
63845250103518;538066;1;100;3760;10dd32d73d
63845250105751;540292;1;100;2200;10dd32d73d
63845250107018;541389;1;100;1080;10dd32d73d
63845250108684;543299;1;100;1890;10dd32d73d
63845250110018;544609;1;100;1290;10dd32d73d
63845250111218;545669;1;100;1050;10dd32d73d
63845250112151;546752;1;100;1070;10dd32d73d
63845250113218;547768;1;100;1000;10dd32d73d
63845250114518;549078;1;100;1300;10dd32d73d
63845250115417;550005;-1;100;910;10dd32d73d
63845250117050;551621;-1;100;1600;10dd32d73d
63845250117850;552438;-1;100;810;10dd32d73d
63845250119051;553374;-1;100;920;10dd32d73d
63845250119684;554284;-1;100;900;10dd32d73d
63845250121618;556081;-1;100;1770;10dd32d73d
63845250122250;556777;-1;100;690;10dd32d73d
63845250123984;558537;-1;100;1740;10dd32d73d
63845250124384;558981;-1;100;440;10dd32d73d
63845250126818;561367;2;100;2350;10dd32d73d
63845250127650;562254;2;100;880;10dd32d73d
63845250128650;562833;2;100;570;10dd32d73d
63845250129984;564543;2;100;1690;10dd32d73d
63845250132917;567490;2;100;2910;10dd32d73d
63845250133784;568330;2;100;830;10dd32d73d
63845250137051;571616;2;100;3250;10dd32d73d
63845250138851;573392;2;100;1750;10dd32d73d
63845250139150;573769;2;100;380;10dd32d73d
63845250139850;574415;2;100;630;10dd32d73d
63845250140684;575229;2;100;810;10dd32d73d
63845250142417;576929;2;100;1680;10dd32d73d
63845250144017;578575;2;100;1620;10dd32d73d
63845250145550;580139;2;100;1550;10dd32d73d
63845250146684;581255;2;100;1100;10dd32d73d
63845250147984;582575;2;100;1300;10dd32d73d
63845250149517;584105;2;100;1520;10dd32d73d
63845250151950;586485;2;100;2350;10dd32d73d
63845250152951;587491;2;100;990;10dd32d73d
63845250154284;588841;2;100;1330;10dd32d73d
63845250155283;589781;2;100;930;10dd32d73d
63845250156317;590897;2;100;1100;10dd32d73d
63845250156717;591301;2;100;400;10dd32d73d
63845250158250;592794;2;100;1480;10dd32d73d
63845250159884;594177;2;100;1360;10dd32d73d
63845250161417;596003;2;100;1810;10dd32d73d
63845250162850;597433;2;100;1410;10dd32d73d
63845250164751;599183;2;100;1730;10dd32d73d
63845250166116;600633;2;100;1430;10dd32d73d
63845250167117;601706;2;100;1060;10dd32d73d
63845250167983;602509;2;100;790;10dd32d73d
63845250168817;603359;2;100;840;10dd32d73d
63845250169950;604409;2;100;1040;10dd32d73d
