Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63845250019021;453606;0;100;4575,2;10dd32d73d
63845250019021;453606;0;100;4578;10dd32d73d
63845250019119;453740;0;100;4567,8;10dd32d73d
63845250019119;453740;0;100;4554,6;10dd32d73d
63845250019219;453806;0;100;4520,8;10dd32d73d
63845250019320;453940;0;100;4476,2;10dd32d73d
63845250019320;453940;0;100;4454,4;10dd32d73d
63845250019420;454006;0;100;4467,6;10dd32d73d
63845250019520;454140;0;100;4475,8;10dd32d73d
63845250019520;454140;0;100;4490,4;10dd32d73d
63845250019653;454206;0;100;4499;10dd32d73d
63845250019719;454340;0;100;4520;10dd32d73d
63845250019719;454340;0;100;4537;10dd32d73d
63845250019819;454406;0;100;4534,8;10dd32d73d
63845250019919;454540;0;100;4514,6;10dd32d73d
63845250019919;454540;0;100;4514;10dd32d73d
63845250020019;454606;0;100;4505,4;10dd32d73d
63845250020586;454740;0;100;4498,6;10dd32d73d
63845250020586;454740;0;100;4513,6;10dd32d73d
63845250020586;454873;0;100;4532,4;10dd32d73d
63845250020586;454873;0;100;4541,4;10dd32d73d
63845250020619;454940;0;100;4530,4;10dd32d73d
63845250020619;455073;0;100;4504,8;10dd32d73d
63845250020619;455073;0;100;4496,4;10dd32d73d
63845250020619;455140;0;100;4492,8;10dd32d73d
63845250020686;455273;0;100;4502;10dd32d73d
63845250020686;455273;0;100;4498,2;10dd32d73d
63845250020785;455340;0;100;4507,6;10dd32d73d
63845250020886;455473;0;100;4516,4;10dd32d73d
63845250020886;455473;0;100;4511,4;10dd32d73d
63845250020986;455606;0;100;4507;10dd32d73d
63845250020986;455606;0;100;4511,8;10dd32d73d
63845250021086;455673;0;100;4505,2;10dd32d73d
63845250021219;455806;0;100;4500;10dd32d73d
63845250021219;455806;0;100;4495,2;10dd32d73d
63845250021285;455873;0;100;4487,4;10dd32d73d
63845250021386;456006;0;100;4475,8;10dd32d73d
63845250021386;456006;0;100;4468,6;10dd32d73d
63845250021486;456073;0;100;4460,6;10dd32d73d
63845250021586;456206;0;100;4453,8;10dd32d73d
63845250021586;456206;0;100;4456,2;10dd32d73d
63845250021686;456273;0;100;4464;10dd32d73d
63845250021786;456406;0;100;4466,8;10dd32d73d
63845250021786;456406;0;100;4466,2;10dd32d73d
63845250021886;456473;0;100;4467,2;10dd32d73d
63845250021986;456606;0;100;4462,2;10dd32d73d
63845250021986;456606;0;100;4464,4;10dd32d73d
63845250022086;456673;0;100;4457;10dd32d73d
63845250022252;456806;0;100;4466;10dd32d73d
63845250022252;456806;0;100;4474,8;10dd32d73d
63845250022352;456939;0;100;4461,4;10dd32d73d
63845250022352;456939;0;100;4447,4;10dd32d73d
63845250022452;457006;0;100;4420;10dd32d73d
63845250022919;457139;0;100;4439,2;10dd32d73d
63845250022919;457139;0;100;4453,8;10dd32d73d
63845250022919;457206;0;100;4448;10dd32d73d
63845250022919;457339;0;100;4445,4;10dd32d73d
63845250022919;457339;0;100;4448,4;10dd32d73d
63845250022919;457406;0;100;4454,2;10dd32d73d
63845250022952;457539;0;100;4457,8;10dd32d73d
63845250022952;457539;0;100;4456,6;10dd32d73d
63845250023052;457673;0;100;4460;10dd32d73d
63845250023052;457673;0;100;4447,4;10dd32d73d
63845250023219;457739;0;100;4438,2;10dd32d73d
63845250023286;457873;0;100;4448,8;10dd32d73d
63845250023286;457873;0;100;4455,2;10dd32d73d
63845250023352;457939;0;100;4453;10dd32d73d
63845250023452;458072;0;100;4452,6;10dd32d73d
63845250023452;458072;0;100;4443,6;10dd32d73d
63845250023586;458139;0;100;4444,6;10dd32d73d
63845250023686;458272;0;100;4441,6;10dd32d73d
63845250023686;458272;0;100;4433;10dd32d73d
63845250023786;458339;0;100;4415,8;10dd32d73d
63845250023886;458472;0;100;4426,6;10dd32d73d
63845250023886;458472;0;100;4418,6;10dd32d73d
63845250023985;458539;0;100;4418,2;10dd32d73d
63845250024085;458672;0;100;4403,8;10dd32d73d
63845250024085;458672;0;100;4397,6;10dd32d73d
63845250024252;458739;0;100;4391;10dd32d73d
63845250024386;458939;0;100;4393,6;10dd32d73d
63845250024386;458939;0;100;4396;10dd32d73d
63845250024386;458939;0;100;4407,8;10dd32d73d
63845250024719;459272;0;100;4411,4;10dd32d73d
63845250024719;459272;0;100;4399,4;10dd32d73d
63845250024719;459272;0;100;4410,2;10dd32d73d
63845250024719;459272;0;100;4429,6;10dd32d73d
63845250024719;459272;0;100;4426,8;10dd32d73d
63845250025319;459539;0;100;4414,4;10dd32d73d
63845250025319;459539;0;100;4387,6;10dd32d73d
63845250025319;459539;0;100;4403,2;10dd32d73d
63845250025319;459539;0;100;4396,2;10dd32d73d
63845250025319;459672;0;100;4378,4;10dd32d73d
63845250025319;459672;0;100;4351,2;10dd32d73d
63845250025319;459739;0;100;4337,2;10dd32d73d
