Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63844639596760;1338191;0;100;0,007918;146fbc180f
63844639597827;1339057;0;100;0,038974;146fbc180f
63844639700059;1441580;1;100;0,002158;146fbc180f
63844639700225;1441781;1;100;0,0058;146fbc180f
63844639703692;1444780;1;100;0,089607;146fbc180f
63844639704594;1445780;1;100;0,050613;146fbc180f
63844639705692;1447246;1;100;0,012879;146fbc180f
63844639764858;1506174;2;100;0,014639;146fbc180f
63844639773824;1515174;2;100;0,027677;146fbc180f
63844639775058;1515706;2;100;0,138941;146fbc180f
63844639821690;1563169;2;100;0,00981;146fbc180f
63844639822357;1563435;2;100;0,01984;146fbc180f
63844639852239;1593699;-2;100;0,012474;146fbc180f
63844639852440;1594032;-2;100;0,007028;146fbc180f
63844639860807;1601231;3;100;0,123856;146fbc180f
63844639862573;1603697;3;100;0,039454;146fbc180f
63844639862773;1604297;3;100;0,005909;146fbc180f
63844639876573;1617896;3;100;0,025524;146fbc180f
63844639876772;1618363;3;100;0,006845;146fbc180f
63844639876973;1618563;3;100;0,007646;146fbc180f
63844639885972;1627429;3;100;0,030168;146fbc180f
63844639889673;1631095;3;100;0,01682;146fbc180f
63844639890172;1631762;3;100;0,00496;146fbc180f
63844639899239;1640560;3;100;0,045182;146fbc180f
63844639899538;1641027;3;100;0,01513;146fbc180f
63844639912105;1653493;3;100;0,014875;146fbc180f
63844639912505;1654026;3;100;0,003774;146fbc180f
63844639917571;1659092;3;100;0,006055;146fbc180f
63844639918539;1659426;3;100;0,039029;146fbc180f
63844639918738;1660225;3;100;0,007103;146fbc180f
63844639954038;1695489;-3;100;0,00905;146fbc180f
63844639958071;1698822;-3;100;0,104525;146fbc180f
63844639962238;1703288;4;100;0,046263;146fbc180f
63844639962571;1704087;4;100;0,015217;146fbc180f
63844639995670;1737018;4;100;0,027586;146fbc180f
63844639995970;1737551;4;100;0,006404;146fbc180f
63844640016070;1757415;4;100;0,019998;146fbc180f
63844640023704;1765149;-4;100;0,008096;146fbc180f
63844640067769;1809144;5;100;0,011862;146fbc180f
63844640086669;1827808;5;100;0,003316;146fbc180f
63844640097702;1839207;-5;100;0,005346;146fbc180f
63844640136234;1877737;6;100;0,001871;146fbc180f
63844640137935;1879470;6;100;0,005739;146fbc180f
63844640157034;1898468;7;100;0,006082;146fbc180f
63844640209233;1950729;8;100;0,008507;146fbc180f
63844640219533;1960796;-8;100;0,008522;146fbc180f
63844640219766;1961262;-8;100;0,006321;146fbc180f
63844640235766;1976860;9;100;0,038814;146fbc180f
63844640236399;1977927;9;100;0,012391;146fbc180f
63844640265366;2005990;-9;100;0,165789;146fbc180f
63844640275699;2016590;10;100;0,079918;146fbc180f
63844640275899;2017457;10;100;0,008126;146fbc180f
63844640288565;2029655;10;100;0,009934;146fbc180f
63844640296665;2037721;10;100;0,031441;146fbc180f
63844640309598;2050919;10;100;0,021053;146fbc180f
63844640322798;2064185;10;100;0,008397;146fbc180f
63844640323098;2064518;10;100;0,007967;146fbc180f
63844640323398;2064985;10;100;0,007488;146fbc180f
63844640323798;2065318;10;100;0,001745;146fbc180f
63844640323997;2065518;10;100;0,005859;146fbc180f
63844640324564;2065718;10;100;0,011209;146fbc180f
63844640324565;2065985;10;100;0,011314;146fbc180f
63844640327265;2068851;10;100;0,005553;146fbc180f
63844640327698;2069051;10;100;0,026361;146fbc180f
63844640328065;2069584;10;100;0,013482;146fbc180f
63844640328598;2069851;10;100;0,049318;146fbc180f
63844640329365;2070317;10;100;0,034964;146fbc180f
63844640336930;2077917;10;100;0,071887;146fbc180f
63844640337065;2078650;10;100;0,005853;146fbc180f
63844640339198;2080517;10;100;0,020804;146fbc180f
63844640339698;2081050;10;100;0,023124;146fbc180f
63844640346197;2086849;10;100;0,095883;146fbc180f
63844640349530;2090849;10;100;0,03334;146fbc180f
63844640358264;2098515;10;100;0,213835;146fbc180f
63844640359798;2100581;10;100;0,094949;146fbc180f
63844640360831;2101381;10;100;0,22398;146fbc180f
63844640360832;2102314;10;100;0,017224;146fbc180f
63844640363264;2104315;10;100;0,158811;146fbc180f
63844640369564;2111047;10;100;0,174359;146fbc180f
63844640371397;2111980;10;100;0,342475;146fbc180f
63844640378197;2118779;10;100;0,571015;146fbc180f
63844640386097;2127512;10;100;0,022069;146fbc180f
63844640387530;2128579;10;100;0,195831;146fbc180f
63844640395296;2136444;10;100;0,133232;146fbc180f
63844640402030;2142977;-10;100;0,155395;146fbc180f
