Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_frequency_raw;User_ID
63844639584429;1325792;0;100;1,1197;146fbc180f
63844639584462;1326192;0;100;1,1068;146fbc180f
63844639584761;1326458;0;100;1,094;146fbc180f
63844639585094;1326792;0;100;1,0813;146fbc180f
63844639585494;1327192;0;100;1,0688;146fbc180f
63844639585794;1327525;0;100;1,0564;146fbc180f
63844639586094;1327792;0;100;1,0442;146fbc180f
63844639586394;1328125;0;100;1,0321;146fbc180f
63844639586928;1328525;0;100;1,0202;146fbc180f
63844639587127;1328792;0;100;1,0084;146fbc180f
63844639587394;1329125;0;100;0,9967;146fbc180f
63844639587827;1329525;0;100;0,9852;146fbc180f
63844639588127;1329858;0;100;0,9738;146fbc180f
63844639588428;1330125;0;100;0,9625;146fbc180f
63844639588727;1330458;0;100;0,9514;146fbc180f
63844639589328;1330858;0;100;0,9404;146fbc180f
63844639589427;1331125;0;100;0,9295;146fbc180f
63844639589761;1331458;0;100;0,9188;146fbc180f
63844639590060;1331791;0;100;0,9081;146fbc180f
63844639590460;1332191;0;100;0,8976;146fbc180f
63844639590761;1332458;0;100;0,8873;146fbc180f
63844639591060;1332791;0;100;0,877;146fbc180f
63844639591661;1333191;0;100;0,8668;146fbc180f
63844639591794;1333525;0;100;0,8568;146fbc180f
63844639592094;1333791;0;100;0,8469;146fbc180f
63844639592394;1334124;0;100;0,8371;146fbc180f
63844639592794;1334524;0;100;0,8274;146fbc180f
63844639593127;1334791;0;100;0,8179;146fbc180f
63844639593427;1335124;0;100;0,8084;146fbc180f
63844639594060;1335524;0;100;0,799;146fbc180f
63844639594127;1335858;0;100;0,7898;146fbc180f
63844639594428;1336124;0;100;0,7807;146fbc180f
63844639594727;1336457;0;100;0,7716;146fbc180f
63844639595127;1336857;0;100;0,7627;146fbc180f
63844639595460;1337124;0;100;0,7539;146fbc180f
63844639595761;1337457;0;100;0,7452;146fbc180f
63844639596460;1337791;0;100;0,7365;146fbc180f
63844639596494;1338191;0;100;0,728;146fbc180f
63844639596760;1338457;0;100;2,8018;146fbc180f
63844639597061;1338791;0;100;2,7694;146fbc180f
63844639597494;1339191;0;100;2,7374;146fbc180f
63844639597727;1339457;0;100;2,7057;146fbc180f
63844639598194;1339857;0;100;4,7567;146fbc180f
63844639598860;1340124;0;100;4,7017;146fbc180f
63844639598894;1340457;0;100;4,6473;146fbc180f
63844639599060;1340790;0;100;4,5935;146fbc180f
63844639599460;1341190;0;100;4,5404;146fbc180f
63844639599760;1341457;0;100;4,4879;146fbc180f
63844639600060;1341790;0;100;4,4359;146fbc180f
63844639600494;1342190;0;100;4,3846;146fbc180f
63844639600794;1342524;0;100;4,3339;146fbc180f
63844639601360;1342790;0;100;4,2838;146fbc180f
63844639601394;1343123;0;100;4,2342;146fbc180f
63844639601794;1343523;0;100;4,1852;146fbc180f
63844639602094;1343790;0;100;4,1368;146fbc180f
63844639602427;1344123;0;100;4,089;146fbc180f
63844639602727;1344457;0;100;4,0417;146fbc180f
63844639603127;1344857;0;100;3,9949;146fbc180f
63844639603760;1345123;0;100;3,9487;146fbc180f
63844639603761;1345457;0;100;3,903;146fbc180f
63844639604194;1345857;0;100;3,8579;146fbc180f
63844639604460;1346190;0;100;3,8132;146fbc180f
63844639604760;1346456;0;100;3,7691;146fbc180f
63844639605060;1346790;0;100;3,7255;146fbc180f
63844639605460;1347190;0;100;3,6824;146fbc180f
63844639606094;1347456;0;100;3,6398;146fbc180f
63844639606094;1347790;0;100;3,5977;146fbc180f
63844639606394;1348123;0;100;3,5561;146fbc180f
63844639606727;1348456;0;100;3,515;146fbc180f
63844639607160;1348856;0;100;3,4743;146fbc180f
63844639607460;1349123;0;100;3,4341;146fbc180f
63844639607761;1349456;0;100;3,3944;146fbc180f
63844639608460;1349789;0;100;3,3551;146fbc180f
63844639608494;1350189;0;100;3,3163;146fbc180f
63844639608794;1350456;0;100;3,2779;146fbc180f
63844639609094;1350789;0;100;3,24;146fbc180f
63844639609494;1351189;0;100;3,2025;146fbc180f
63844639609794;1351523;0;100;3,1655;146fbc180f
63844639610094;1351789;0;100;3,1289;146fbc180f
63844639610393;1352123;0;100;3,0927;146fbc180f
63844639610994;1352523;0;100;3,0569;146fbc180f
63844639611127;1352789;0;100;3,0215;146fbc180f
63844639611427;1353123;0;100;2,9866;146fbc180f
63844639611727;1353456;0;100;2,952;146fbc180f
63844639612127;1353856;0;100;2,9179;146fbc180f
63844639612427;1354122;0;100;2,8841;146fbc180f
63844639612760;1354456;0;100;2,8508;146fbc180f
63844639613328;1354789;0;100;2,8178;146fbc180f
63844639613428;1355122;0;100;2,7852;146fbc180f
63844639613827;1355522;0;100;2,753;146fbc180f
63844639614127;1355856;0;100;2,7211;146fbc180f
63844639614428;1356122;0;100;2,6897;146fbc180f
63844639614727;1356455;0;100;2,6585;146fbc180f
63844639615194;1356855;0;100;2,6278;146fbc180f
63844639615760;1357122;0;100;2,5974;146fbc180f
63844639615761;1357455;0;100;2,5673;146fbc180f
63844639616194;1357855;0;100;2,5376;146fbc180f
63844639616460;1358189;0;100;2,5083;146fbc180f
63844639616760;1358455;0;100;2,4793;146fbc180f
63844639617060;1358789;0;100;2,4506;146fbc180f
63844639617460;1359188;0;100;2,4222;146fbc180f
63844639618094;1359455;0;100;2,3942;146fbc180f
63844639618094;1359788;0;100;2,3665;146fbc180f
63844639618427;1360122;0;100;2,3391;146fbc180f
63844639618727;1360455;0;100;2,3121;146fbc180f
63844639619194;1360855;0;100;2,2853;146fbc180f
63844639619427;1361122;0;100;2,2589;146fbc180f
63844639619727;1361455;0;100;2,2328;146fbc180f
63844639620060;1361788;0;100;2,2069;146fbc180f
63844639620494;1362188;0;100;2,1814;146fbc180f
63844639620760;1362455;0;100;2,1562;146fbc180f
63844639621060;1362788;0;100;2,1312;146fbc180f
63844639621460;1363188;0;100;2,1066;146fbc180f
63844639621794;1363455;0;100;2,0822;146fbc180f
63844639622094;1363788;0;100;2,0581;146fbc180f
63844639622393;1364121;0;100;2,0343;146fbc180f
63844639622961;1364521;0;100;2,0108;146fbc180f
63844639623093;1364788;0;100;1,9875;146fbc180f
63844639623427;1365121;0;100;1,9645;146fbc180f
63844639623827;1365521;0;100;1,9418;146fbc180f
63844639624127;1365855;0;100;1,9193;146fbc180f
63844639624427;1366121;0;100;1,8971;146fbc180f
63844639624727;1366454;0;100;1,8752;146fbc180f
63844639625327;1366854;0;100;1,8535;146fbc180f
63844639625460;1367121;0;100;1,8321;146fbc180f
63844639625760;1367454;0;100;1,8109;146fbc180f
63844639626060;1367788;0;100;1,7899;146fbc180f
63844639626460;1368188;0;100;1,7692;146fbc180f
63844639626760;1368454;0;100;1,7487;146fbc180f
63844639627060;1368788;0;100;1,7285;146fbc180f
63844639627694;1369188;0;100;1,7085;146fbc180f
63844639627793;1369454;0;100;1,6888;146fbc180f
63844639628093;1369787;0;100;1,6692;146fbc180f
63844639628393;1370121;0;100;1,6499;146fbc180f
63844639628793;1370521;0;100;1,6308;146fbc180f
63844639629094;1370787;0;100;1,612;146fbc180f
63844639629393;1371121;0;100;1,5933;146fbc180f
63844639630127;1371521;0;100;1,5749;146fbc180f
63844639630127;1371787;0;100;1,5567;146fbc180f
63844639630427;1372121;0;100;1,5387;146fbc180f
63844639630727;1372454;0;100;1,5209;146fbc180f
63844639631160;1372854;0;100;1,5033;146fbc180f
63844639631426;1373120;0;100;1,4859;146fbc180f
63844639631727;1373454;0;100;1,4687;146fbc180f
63844639632493;1373854;0;100;1,4517;146fbc180f
63844639632494;1374120;0;100;1,4349;146fbc180f
63844639632760;1374454;0;100;1,4183;146fbc180f
63844639633060;1374787;0;100;1,4019;146fbc180f
63844639633460;1375187;0;100;1,3857;146fbc180f
63844639633760;1375454;0;100;1,3696;146fbc180f
63844639634060;1375787;0;100;1,3538;146fbc180f
63844639634493;1376187;0;100;1,3381;146fbc180f
63844639634927;1376520;0;100;1,3227;146fbc180f
63844639635093;1376787;0;100;1,3074;146fbc180f
63844639635394;1377120;0;100;1,2922;146fbc180f
63844639635793;1377520;0;100;1,2773;146fbc180f
63844639636160;1377787;0;100;1,2625;146fbc180f
63844639636393;1378120;0;100;1,2479;146fbc180f
63844639636727;1378453;0;100;1,2335;146fbc180f
63844639637326;1378853;0;100;1,2192;146fbc180f
63844639637427;1379120;0;100;1,2051;146fbc180f
63844639637727;1379453;0;100;1,1912;146fbc180f
63844639638093;1379786;0;100;1,1774;146fbc180f
63844639638394;1380120;0;100;1,1638;146fbc180f
63844639638793;1380520;0;100;1,1503;146fbc180f
63844639639127;1380786;0;100;1,137;146fbc180f
63844639639727;1381120;0;100;1,1238;146fbc180f
63844639639893;1381520;0;100;1,1108;146fbc180f
63844639640194;1381853;0;100;1,098;146fbc180f
63844639640427;1382120;0;100;1,0853;146fbc180f
63844639640727;1382453;0;100;1,0727;146fbc180f
63844639641127;1382853;0;100;1,0603;146fbc180f
63844639641427;1383120;0;100;1,0481;146fbc180f
63844639642127;1383453;0;100;1,0359;146fbc180f
63844639642127;1383853;0;100;1,0239;146fbc180f
63844639642460;1384186;0;100;1,0121;146fbc180f
63844639642760;1384453;0;100;1,0004;146fbc180f
63844639643060;1384786;0;100;0,9888;146fbc180f
63844639643460;1385186;0;100;0,9774;146fbc180f
63844639643760;1385453;0;100;0,9661;146fbc180f
63844639644060;1385786;0;100;0,9549;146fbc180f
63844639644527;1386186;0;100;0,9439;146fbc180f
63844639644793;1386519;0;100;0,9329;146fbc180f
63844639645093;1386786;0;100;0,9221;146fbc180f
63844639645393;1387119;0;100;0,9115;146fbc180f
63844639645795;1387519;0;100;0,9009;146fbc180f
63844639646093;1387786;0;100;0,8905;146fbc180f
63844639646427;1388119;0;100;0,8802;146fbc180f
63844639646960;1388452;0;100;0,87;146fbc180f
63844639647126;1388852;0;100;0,86;146fbc180f
63844639647426;1389119;0;100;0,85;146fbc180f
63844639647726;1389452;0;100;0,8402;146fbc180f
63844639648160;1389852;0;100;0,8305;146fbc180f
63844639648460;1390185;0;100;0,8209;146fbc180f
63844639648760;1390452;0;100;0,8114;146fbc180f
63844639649393;1390785;0;100;0,802;146fbc180f
63844639649460;1391185;0;100;0,7927;146fbc180f
63844639649793;1391519;0;100;0,7835;146fbc180f
63844639650093;1391785;0;100;0,7745;146fbc180f
63844639650393;1392119;0;100;0,7655;146fbc180f
63844639650793;1392519;0;100;0,7566;146fbc180f
63844639651128;1392785;0;100;0,7479;146fbc180f
63844639651760;1393118;0;100;0,7392;146fbc180f
63844639651760;1393452;0;100;0,7307;146fbc180f
63844639652260;1393852;0;100;0,7222;146fbc180f
63844639652460;1394118;0;100;0,7139;146fbc180f
63844639652760;1394452;1;100;0,7056;146fbc180f
63844639653193;1394852;1;100;0,6975;146fbc180f
63844639653460;1395185;1;100;0,6894;146fbc180f
63844639654259;1395452;1;100;0,6814;146fbc180f
63844639654260;1395785;1;100;0,6735;146fbc180f
63844639654393;1396118;1;100;0,6657;146fbc180f
63844639654726;1396452;1;100;0,658;146fbc180f
63844639655126;1396851;1;100;0,6504;146fbc180f
63844639655427;1397118;1;100;0,6429;146fbc180f
63844639655726;1397451;1;100;0,6355;146fbc180f
63844639656526;1397851;1;100;0,6281;146fbc180f
63844639656527;1398118;1;100;0,6209;146fbc180f
63844639656726;1398451;1;100;0,6137;146fbc180f
63844639657060;1398785;1;100;0,6066;146fbc180f
63844639657459;1399185;1;100;0,5996;146fbc180f
63844639657760;1399451;1;100;0,5926;146fbc180f
63844639658059;1399784;1;100;0,5858;146fbc180f
63844639658460;1400184;1;100;0,579;146fbc180f
63844639659026;1400451;1;100;0,5723;146fbc180f
63844639659060;1400784;1;100;0,5657;146fbc180f
63844639659393;1401118;1;100;0,5591;146fbc180f
63844639659793;1401518;1;100;0,5527;146fbc180f
63844639660093;1401784;1;100;0,5463;146fbc180f
63844639660393;1402118;1;100;0,5399;146fbc180f
63844639660792;1402518;1;100;0,5337;146fbc180f
63844639661326;1402784;1;100;0,5275;146fbc180f
63844639661493;1403118;1;100;0,5214;146fbc180f
63844639661726;1403451;1;100;0,5154;146fbc180f
63844639662126;1403851;1;100;0,5094;146fbc180f
63844639662426;1404117;1;100;0,5035;146fbc180f
63844639662726;1404451;1;100;0,4977;146fbc180f
63844639663193;1404851;1;100;0,492;146fbc180f
63844639663826;1405184;1;100;0,4863;146fbc180f
63844639663827;1405451;1;100;0,4806;146fbc180f
63844639664059;1405784;1;100;0,4751;146fbc180f
63844639664460;1406184;1;100;0,4696;146fbc180f
63844639664759;1406450;1;100;0,4641;146fbc180f
63844639665060;1406784;1;100;0,4588;146fbc180f
63844639665393;1407117;1;100;0,4535;146fbc180f
63844639666326;1407517;1;100;0,4482;146fbc180f
63844639666326;1407784;1;100;0,443;146fbc180f
63844639666393;1408117;1;100;0,4379;146fbc180f
63844639666793;1408517;1;100;0,4329;146fbc180f
63844639667093;1408784;1;100;0,4278;146fbc180f
63844639667426;1409117;1;100;0,4229;146fbc180f
63844639667693;1409450;1;100;0,418;146fbc180f
63844639668126;1409850;1;100;0,4132;146fbc180f
63844639668560;1410117;1;100;0,4084;146fbc180f
63844639668760;1410450;1;100;0,4037;146fbc180f
63844639669126;1410850;1;100;0,399;146fbc180f
63844639669426;1411117;1;100;0,3944;146fbc180f
63844639669726;1411450;1;100;0,3898;146fbc180f
63844639670193;1411850;1;100;0,3853;146fbc180f
63844639670426;1412117;1;100;0,3808;146fbc180f
63844639671026;1412450;1;100;0,3764;146fbc180f
63844639671026;1412783;1;100;0,3721;146fbc180f
63844639671459;1413183;1;100;0,3678;146fbc180f
63844639671760;1413450;1;100;0,3635;146fbc180f
63844639672060;1413783;1;100;0,3593;146fbc180f
63844639672460;1414183;1;100;0,3552;146fbc180f
63844639672760;1414450;1;100;0,3511;146fbc180f
63844639673393;1414783;1;100;0,347;146fbc180f
63844639673426;1415116;1;100;0,343;146fbc180f
63844639673793;1415516;1;100;0,339;146fbc180f
63844639674093;1415783;1;100;0,3351;146fbc180f
63844639674392;1416116;1;100;0,3312;146fbc180f
63844639674792;1416516;1;100;0,3274;146fbc180f
63844639675159;1416783;1;100;0,3236;146fbc180f
63844639675759;1417116;1;100;0,3199;146fbc180f
63844639675826;1417449;1;100;0,3162;146fbc180f
63844639676192;1417849;1;100;0,3125;146fbc180f
63844639676426;1418116;1;100;0,3089;146fbc180f
63844639676759;1418449;1;100;0,3053;146fbc180f
63844639677026;1418783;1;100;0,3018;146fbc180f
63844639677459;1419182;1;100;0,2983;146fbc180f
63844639678159;1419449;1;100;0,2948;146fbc180f
63844639678160;1419782;1;100;0,2914;146fbc180f
63844639678459;1420182;1;100;0,2881;146fbc180f
63844639678759;1420449;1;100;0,2847;146fbc180f
63844639679059;1420782;1;100;0,2814;146fbc180f
63844639679493;1421116;1;100;0,2782;146fbc180f
63844639679792;1421516;1;100;0,275;146fbc180f
63844639680093;1421782;1;100;0,2718;146fbc180f
63844639680560;1422116;1;100;0,2686;146fbc180f
63844639680792;1422516;1;100;0,2655;146fbc180f
63844639681092;1422782;1;100;0,2625;146fbc180f
63844639681392;1423115;1;100;0,2594;146fbc180f
63844639681725;1423449;1;100;0,2564;146fbc180f
63844639682126;1423849;1;100;0,2534;146fbc180f
63844639682426;1424115;1;100;0,2505;146fbc180f
63844639683059;1424449;1;100;0,2476;146fbc180f
63844639683126;1424849;1;100;0,2448;146fbc180f
63844639683426;1425182;1;100;0,2419;146fbc180f
63844639683759;1425449;1;100;0,2391;146fbc180f
63844639684059;1425782;1;100;0,2364;146fbc180f
63844639684459;1426182;1;100;0,2336;146fbc180f
63844639684859;1426582;1;100;0,2309;146fbc180f
63844639685359;1426782;1;100;0,2282;146fbc180f
63844639685459;1427182;1;100;0,2256;146fbc180f
63844639685759;1427448;1;100;0,223;146fbc180f
63844639686059;1427782;1;100;0,2204;146fbc180f
63844639686459;1428182;1;100;0,2179;146fbc180f
63844639686759;1428515;1;100;0,2153;146fbc180f
63844639687093;1428782;1;100;0,2129;146fbc180f
63844639687759;1429115;1;100;0,2104;146fbc180f
63844639687926;1429515;1;100;0,208;146fbc180f
