Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_amplitude_raw;User_ID
63844556604822;2428425;0;100;0,000341;36782ec562
63844556605721;2429559;0;100;0,000158;36782ec562
63844556607955;2431692;0;100;0,000449;36782ec562
63844556608589;2432358;0;100;0,000557;36782ec562
63844556609088;2432958;0;100;0,000584;36782ec562
63844556610088;2434025;0;100;0,000218;36782ec562
63844556611188;2434691;0;100;0,000578;36782ec562
63844556612021;2435891;0;100;0,000144;36782ec562
63844556614488;2438425;0;100;2,3E-05;36782ec562
63844556620188;2443958;0;100;0,000142;36782ec562
63844556622854;2446691;0;100;0,000121;36782ec562
63844556624021;2447091;0;100;0,000873;36782ec562
63844556624687;2448156;0;100;0,000851;36782ec562
63844556625188;2448956;0;100;0,000325;36782ec562
63844556625688;2449557;0;100;0,000338;36782ec562
63844556631521;2455289;0;100;0,000354;36782ec562
63844556631721;2455622;0;100;0,000153;36782ec562
63844556634054;2458022;0;100;0,000101;36782ec562
63844556634354;2458222;0;100;8,9E-05;36782ec562
63844556636054;2459755;0;100;0,000191;36782ec562
63844556636187;2460089;0;100;0,000216;36782ec562
63844556636587;2460489;0;100;0,000163;36782ec562
63844556638454;2462022;0;100;3,6E-05;36782ec562
63844556643753;2467688;0;100;8E-06;36782ec562
63844556654587;2478153;0;100;0,000322;36782ec562
63844556656954;2480753;0;100;0,000114;36782ec562
63844556660087;2483820;0;100;0,000152;36782ec562
63844556663187;2486886;0;100;0,000439;36782ec562
63844556664087;2487953;0;100;0,000238;36782ec562
63844556666720;2490619;0;100;0,000134;36782ec562
63844556670187;2494152;0;100;4,8E-05;36782ec562
63844556675353;2499085;0;100;0,000168;36782ec562
63844556677187;2501085;0;100;6,5E-05;36782ec562
63844556681720;2505217;0;100;3,8E-05;36782ec562
63844556681854;2505484;0;100;0,000216;36782ec562
63844556683687;2507551;0;100;0,000141;36782ec562
63844556686520;2510084;1;100;0,000247;36782ec562
63844556686753;2510351;1;100;0,000428;36782ec562
63844556687153;2510817;1;100;0,000348;36782ec562
63844556687686;2511483;1;100;0,000264;36782ec562
63844556690186;2514150;1;100;0,000193;36782ec562
63844556690687;2514350;1;100;0,000528;36782ec562
63844556691320;2515083;1;100;4,1E-05;36782ec562
63844556696353;2519749;1;100;0,000603;36782ec562
63844556696586;2520483;1;100;6,5E-05;36782ec562
63844556698920;2522682;1;100;0,000135;36782ec562
63844556699919;2523816;1;100;0,000259;36782ec562
63844556700220;2524083;1;100;5,4E-05;36782ec562
63844556703886;2527682;1;100;0,000334;36782ec562
63844556704186;2528082;1;100;0,000262;36782ec562
63844556705853;2529149;1;100;0,000397;36782ec562
63844556708586;2532215;1;100;7,8E-05;36782ec562
