Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCR_rise_time_raw;User_ID
63844556604822;2428425;0;100;0,4;36782ec562
63844556605721;2429559;0;100;0,133333;36782ec562
63844556607955;2431692;0;100;0,266667;36782ec562
63844556608589;2432358;0;100;0,2;36782ec562
63844556609088;2432958;0;100;0,133333;36782ec562
63844556610088;2434025;0;100;0,066667;36782ec562
63844556611188;2434691;0;100;0,4;36782ec562
63844556612021;2435891;0;100;0,066667;36782ec562
63844556614488;2438425;0;100;0,066667;36782ec562
63844556620188;2443958;0;100;0,133333;36782ec562
63844556622854;2446691;0;100;0,133333;36782ec562
63844556624021;2447091;0;100;0,666667;36782ec562
63844556624687;2448156;0;100;0,533333;36782ec562
63844556625188;2448956;0;100;0,2;36782ec562
63844556625688;2449557;0;100;0,2;36782ec562
63844556631521;2455289;0;100;0,2;36782ec562
63844556631721;2455622;0;100;0,133333;36782ec562
63844556634054;2458022;0;100;0,066667;36782ec562
63844556634354;2458222;0;100;0,133333;36782ec562
63844556636054;2459755;0;100;0,2;36782ec562
63844556636187;2460089;0;100;0,066667;36782ec562
63844556636587;2460489;0;100;0,133333;36782ec562
63844556638454;2462022;0;100;0,066667;36782ec562
63844556643753;2467688;0;100;0,066667;36782ec562
63844556654587;2478153;0;100;0,4;36782ec562
63844556656954;2480753;0;100;0,2;36782ec562
63844556660087;2483820;0;100;0,2;36782ec562
63844556663187;2486886;0;100;0,266667;36782ec562
63844556664087;2487953;0;100;0,133333;36782ec562
63844556666720;2490619;0;100;0,133333;36782ec562
63844556670187;2494152;0;100;0,066667;36782ec562
63844556675353;2499085;0;100;0,266667;36782ec562
63844556677187;2501085;0;100;0,133333;36782ec562
63844556681720;2505217;0;100;0,133333;36782ec562
63844556681854;2505484;0;100;0,133333;36782ec562
63844556683687;2507551;0;100;0,133333;36782ec562
63844556686520;2510084;1;100;0,133333;36782ec562
63844556686753;2510351;1;100;0,333333;36782ec562
63844556687153;2510817;1;100;0,266667;36782ec562
63844556687686;2511483;1;100;0,133333;36782ec562
63844556690186;2514150;1;100;0,066667;36782ec562
63844556690687;2514350;1;100;0,333333;36782ec562
63844556691320;2515083;1;100;0,066667;36782ec562
63844556696353;2519749;1;100;0,6;36782ec562
63844556696586;2520483;1;100;0,066667;36782ec562
63844556698920;2522682;1;100;0,2;36782ec562
63844556699919;2523816;1;100;0,133333;36782ec562
63844556700220;2524083;1;100;0,133333;36782ec562
63844556703886;2527682;1;100;0,266667;36782ec562
63844556704186;2528082;1;100;0,133333;36782ec562
63844556705853;2529149;1;100;0,533333;36782ec562
63844556708586;2532215;1;100;0,333333;36782ec562
63844556709086;2532948;1;100;0,133333;36782ec562
63844556712953;2536482;1;100;0,2;36782ec562
63844556713453;2537348;1;100;0,133333;36782ec562
63844556715403;2539081;1;100;0,133333;36782ec562
63844556715736;2539347;1;100;0,333333;36782ec562
63844556716186;2540081;1;100;0,066667;36782ec562
63844556716353;2540281;1;100;0,066667;36782ec562
63844556716686;2540481;1;100;0,2;36782ec562
63844556716953;2540947;1;100;0,066667;36782ec562
63844556724986;2548546;1;100;0,066667;36782ec562
63844556725602;2549546;1;100;0,066667;36782ec562
63844556726186;2549746;1;100;0,466667;36782ec562
63844556728435;2552346;1;100;0,133333;36782ec562
63844556728835;2552746;1;100;0,133333;36782ec562
63844556729869;2553280;1;100;0,266667;36782ec562
63844556730169;2554079;1;100;0,066667;36782ec562
63844556732569;2556546;1;100;0,066667;36782ec562
63844556735502;2559212;1;100;0,266667;36782ec562
63844556737969;2561945;1;100;0,066667;36782ec562
63844556739403;2562945;1;100;0,333333;36782ec562
63844556746569;2570278;1;100;0,133333;36782ec562
63844556747235;2571144;1;100;0,066667;36782ec562
63844556747769;2571344;1;100;0,4;36782ec562
63844556749302;2572945;1;100;0,333333;36782ec562
63844556750002;2573411;1;100;0,6;36782ec562
63844556751402;2574144;1;100;1;36782ec562
63844556751868;2575811;1;100;0,066667;36782ec562
63844556757635;2581610;-1;100;0,066667;36782ec562
63844556758035;2581810;-1;100;0,2;36782ec562
63844556758668;2582143;-1;100;0,2;36782ec562
63844556759068;2583010;-1;100;0,066667;36782ec562
63844556759368;2583276;-1;100;0,066667;36782ec562
63844556759568;2583476;-1;100;0,066667;36782ec562
63844556760202;2584076;-1;100;0,133333;36782ec562
63844556760468;2584476;-1;100;0,066667;36782ec562
63844556761502;2585476;-1;100;0,066667;36782ec562
63844556762301;2586209;-1;100;0,133333;36782ec562
63844556762835;2586609;-1;100;0,266667;36782ec562
63844556763402;2587143;-1;100;0,066667;36782ec562
63844556764035;2587742;-1;100;0,333333;36782ec562
63844556764568;2588343;-1;100;0,266667;36782ec562
63844556765068;2589010;-1;100;0,066667;36782ec562
63844556765368;2589276;-1;100;0,066667;36782ec562
63844556766102;2589610;-1;100;0,466667;36782ec562
63844556767702;2591676;-1;100;0,066667;36782ec562
63844556768402;2591876;-1;100;0,133333;36782ec562
63844556774035;2597941;-1;100;0,133333;36782ec562
63844556781101;2604941;2;100;0,133333;36782ec562
63844556781601;2605474;2;100;0,133333;36782ec562
63844556783902;2607607;2;100;0,266667;36782ec562
63844556787435;2610874;2;100;0,2;36782ec562
63844556792368;2616206;2;100;0,2;36782ec562
63844556795301;2619140;2;100;0,2;36782ec562
63844556797068;2621006;2;100;0,066667;36782ec562
63844556798701;2622472;2;100;0,2;36782ec562
63844556800034;2623806;2;100;0,2;36782ec562
63844556805701;2629605;2;100;0,133333;36782ec562
63844556817501;2641338;2;100;0,133333;36782ec562
63844556821534;2645471;2;100;0,066667;36782ec562
63844556826801;2650603;2;100;0,2;36782ec562
63844556827202;2651070;2;100;0,133333;36782ec562
63844556827501;2651337;2;100;0,133333;36782ec562
63844556834967;2658669;2;100;0,266667;36782ec562
63844556835701;2659602;2;100;0,133333;36782ec562
63844556840500;2664468;2;100;0,066667;36782ec562
63844556843567;2667202;2;100;0,4;36782ec562
63844556843967;2667868;2;100;0,066667;36782ec562
63844556844700;2668068;2;100;0,6;36782ec562
63844556845134;2668934;2;100;0,066667;36782ec562
63844556845334;2669134;2;100;0,133333;36782ec562
63844556845533;2669402;2;100;0,2;36782ec562
63844556845967;2669734;2;100;0,2;36782ec562
63844556846267;2670202;2;100;0,066667;36782ec562
63844556858366;2682333;2;100;0,066667;36782ec562
63844556858667;2682533;2;100;0,133333;36782ec562
63844556858967;2682800;2;100;0,2;36782ec562
63844556859700;2683600;2;100;0,066667;36782ec562
63844556861934;2685333;2;100;0,266667;36782ec562
63844556861934;2685733;2;100;0,2;36782ec562
63844556862533;2686467;2;100;0,066667;36782ec562
63844556869700;2693533;-2;100;0,2;36782ec562
63844556878900;2702532;-2;100;0,333333;36782ec562
63844556881166;2704731;-2;100;0,066667;36782ec562
63844556882633;2706531;-2;100;0,133333;36782ec562
63844556883833;2707331;-2;100;0,533333;36782ec562
63844556884366;2708264;-2;100;0,066667;36782ec562
63844556884566;2708464;-2;100;0,066667;36782ec562
63844556884766;2708664;-2;100;0,133333;36782ec562
63844556893666;2717529;-2;100;0,066667;36782ec562
63844556995697;2819473;4;100;0,2;36782ec562
63844556996531;2820006;4;100;0,266667;36782ec562
